ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,WGT,PRESNJ04,SEX,RACE,AGE9,PARTYID,PHIL3,FTVOTER,INCOME,FINSIT,RELIGN8,EDUC,UNION4,MARRIED,LATINO,TIMEPRES,FORCAND,ISSUE04G,QUAL04G,BUSH4,IRAQAPP,SAFERNOW,TRSTTERR,HNDLECON,IRAQGO,TERRWORR,STECNJ,MCGREEVY,SEXRACE,AGE60,AGE65,OVER65,PARTY,INC50K,INC100K,REL5,WHITEREL,WPROTCON,COLLEDUC,BUSH,TIME3D,TIMEWK,IRAQ2,IRAQGO2,TERWORR2,BUSHECON,KERRECON,BUSHTERR,KERRTERR,UNIONHH,UNIONVOT,WOMENWED,QRACE,SPANISHQ,GEOCODE,SIZEPLAC,SIZEPLC3,CDNUM,ZIPCODE
1472121.0,New Jersey,71.0,National,1.0,Call 1,Complete,0.727027654647827,Kerry,Male,White,25-29,Something Else,Liberal,No,"$30,000-$49,999",Worse today,Something else,College graduate,"Yes, I do",No,No,Before that,,Omit,Will bring about needed change,Strongly disapprove,Strongly disapprove,Omit,,,Very badly,,,,White male,18-29,25-29,18-64,Independent,"Under $50,000","Under $100,000",Something else,White Something else,All others,College graduate,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Somewhat/Very badly,,,,,,Someone in household is union member,Voter is union member,All others,White,English,South,Suburbs,Suburbs,2.0,8069.0
1474453.0,New Jersey,35.0,State,1.0,Call 1,Complete,1.25923037528992,Bush,Female,White,40-44,Republican,Moderate,No,"$200,000 or more",Better today,Catholic,Postgraduate study,No one does,Yes,No,Before that,For your candidate,Moral values,Is honest and trustworthy,Somewhat approve,Somewhat approve,Safer from terrorism,Only George W. Bush,Only George W. Bush,Somewhat well,Very worried,Good,Served out his full term in office,White female,30-44,40-49,18-64,Republican,"$50,000 or more","$100,000 or more",Catholic,White Catholic,All others,College graduate,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Very/Somewhat well,Very/Somewhat worried,Only George W. Bush/Both of them,Only George W. Bush/Neither of them,Only Bush/Both,Only Bush/Neither,No one in household is union member,Voter is not union member,Married women,White,English,Central,Suburbs,Suburbs,12.0,8540.0
1472117.0,New Jersey,68.0,State,1.0,Call 1,Complete,1.27431035041809,Kerry,Female,White,65-74,Democrat,Liberal,No,"$100,000-$149,999",About the same,Jewish,Postgraduate study,"Yes, someone else does",Yes,No,Before that,Against his opponent,Iraq,Will bring about needed change,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Only John Kerry,Only John Kerry,Very badly,Somewhat worried,Good,Resigned,White female,60 or over,65 or over,65 or over,Democrat,"$50,000 or more","$100,000 or more",Jewish,White Jewish,All others,College graduate,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Somewhat/Very badly,Very/Somewhat worried,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,Someone in household is union member,Voter is not union member,Married women,White,English,Bergen/Passaic,Suburbs,Suburbs,5.0,7456.0
1525774.0,New Jersey,79.0,State,1.0,Call 3,Complete,1.02099251747131,Bush,Male,White,45-49,Republican,Moderate,No,,Better today,Catholic,Postgraduate study,No one does,Yes,No,Before that,For your candidate,Economy/Jobs,Is a strong leader,Somewhat approve,Somewhat approve,Safer from terrorism,Both of them,Both of them,Somewhat badly,Somewhat worried,Not so good,Resigned,White male,45-59,40-49,18-64,Republican,,,Catholic,White Catholic,All others,College graduate,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Somewhat/Very badly,Very/Somewhat worried,Only George W. Bush/Both of them,Only John Kerry/Both of them,Only Bush/Both,Only Kerry/Both,No one in household is union member,Voter is not union member,All others,White,English,Northwest,Suburbs,Suburbs,5.0,8865.0
1474991.0,New Jersey,21.0,State,1.0,Call 1,Complete,0.901597797870636,Kerry,Male,Black,45-49,Democrat,Moderate,No,"$75,000-$99,999",About the same,Other Christian,Some college/associate degree,"Yes, I do",Yes,No,Before that,For your candidate,Iraq,Is intelligent,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Only John Kerry,Only John Kerry,Very badly,Not too worried,Not so good,Served out his full term in office,Non-white male,45-59,40-49,18-64,Democrat,"$50,000 or more","Under $100,000",Protestant/Other Christian,All others,All others,No degree,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Somewhat/Very badly,Not too/Not at all worried,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,Someone in household is union member,Voter is union member,All others,Black,English,Northern cities,"City: 50,000 to 500,000","City over 50,000",10.0,7103.0
1525768.0,New Jersey,43.0,National,2.0,Call 3,Complete,0.497599095106125,Bush,Female,White,30-39,Republican,Liberal,Yes,"$150,000-$199,999",Better today,Catholic,Postgraduate study,No one does,Yes,No,Before that,,Health care,Is a strong leader,Somewhat approve,Somewhat approve,Safer from terrorism,,,Somewhat well,,,,White female,30-44,30-39,18-64,Republican,"$50,000 or more","$100,000 or more",Catholic,White Catholic,All others,College graduate,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Very/Somewhat well,,,,,,No one in household is union member,Voter is not union member,Married women,White,English,Central,Suburbs,Suburbs,12.0,8852.0
1527019.0,New Jersey,26.0,National,1.0,Call 3,Complete,1.78851401805878,Kerry,Female,Black,40-44,,,No,,About the same,Muslim,High school graduate,"Yes, someone else does",,No,During the last month,,Health care,Cares about people like me,Strongly disapprove,Strongly disapprove,Less safe from terrorism,,,Somewhat badly,,,,Non-white female,30-44,40-49,18-64,,,,Something else,All others,All others,No degree,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Somewhat/Very badly,,,,,,Someone in household is union member,Voter is not union member,All others,Black,English,South,Suburbs,Suburbs,1.0,8096.0
1474439.0,New Jersey,55.0,National,3.0,Call 1,Not complete,0.886554479598999,Bush,Female,White,18-24,,,,,,,,,Yes,No,,For your candidate,,,,,,,,,,,,White female,18-29,18-24,18-64,,,,,,All others,,,,,,,,,,,,,,Married women,White,English,Northwest,Suburbs,Suburbs,11.0,7054.0
1497768.0,New Jersey,25.0,State,1.0,Call 2,Not complete,1.15143024921417,Bush,Male,White,30-39,,,,,,,,,,No,Before that,For your candidate,Economy/Jobs,Is a strong leader,Strongly approve,,,,,,Somewhat worried,Excellent,,White male,30-44,30-39,18-64,,,,,,All others,,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,,,Very/Somewhat worried,,,,,,,All others,White,English,South,Suburbs,Suburbs,1.0,8066.0
1500099.0,New Jersey,28.0,State,1.0,Call 2,Complete,1.66805553436279,Bush,Male,White,30-39,Republican,Conservative,No,"$150,000-$199,999",Better today,Catholic,Postgraduate study,"Yes, someone else does",Yes,No,Before that,For your candidate,Terrorism,Is a strong leader,Strongly approve,Strongly approve,Safer from terrorism,Only George W. Bush,Only George W. Bush,Somewhat well,Somewhat worried,Excellent,Resigned,White male,30-44,30-39,18-64,Republican,"$50,000 or more","$100,000 or more",Catholic,White Catholic,All others,College graduate,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Very/Somewhat well,Very/Somewhat worried,Only George W. Bush/Both of them,Only George W. Bush/Neither of them,Only Bush/Both,Only Bush/Neither,Someone in household is union member,Voter is not union member,All others,White,English,Northern cities,Suburbs,Suburbs,13.0,7030.0
