ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WGT,PRESWA04,SENWA04,GOVWA04,SEX,RACE,AGE9,PARTYID,PHIL3,FTVOTER,INCOME,FINSIT,RELIGN8,ATTEND,EDUC,UNION4,LATINO,TIMEPRES,FORCAND,ISSUE04G,QUAL04G,BUSH4,IRAQAPP,SAFERNOW,TRSTTERR,HNDLECON,IRAQGO,STECWA,COUNTACC,ENVIRON,SEXRACE,AGE60,AGE65,OVER65,PARTY,INC50K,INC100K,REL5,WHITEREL,WPROTCON,ATTEND2,ATTREL,COLLEDUC,BUSH,TIME3D,TIMEWK,IRAQ2,IRAQGO2,COUNT2,BUSHECON,KERRECON,BUSHTERR,KERRTERR,UNIONHH,UNIONVOT,QRACE,GEOCODE,SIZEPLAC,SIZEPLC3,CDNUM,ZIPCODE
1464183.0,Washington,,State,1.0,,Complete,Phone survey,2.52627635002136,Kerry,Murray,Gregoire,Female,White,50-59,Democrat,Liberal,No,"$75,000-$99,999",About the same,Catholic,A few times a year,Some college/associate degree,"Yes, someone else does",No,,For your candidate,Economy/Jobs,Will bring about needed change,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Only John Kerry,Only John Kerry,Very badly,Not so good,Very confident,Keeping jobs in your state,White female,45-59,50-64,18-64,Democrat,"$50,000 or more","Under $100,000",Catholic,White Catholic,All others,Occasionally,Catholics/Non-weekly,No degree,Somewhat/Strongly disapprove,,,Somewhat/Strongly disapprove,Somewhat/Very badly,Very/somewhat confident,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,Someone in household is union member,Voter is not union member,White,King County,"City over 500,000","City over 50,000",,98106.0
1464184.0,Washington,,State,1.0,,Complete,Phone survey,2.9750804901123,Kerry,Other,Rossi,Male,White,75 or over,Republican,Moderate,No,,About the same,Protestant,More than once a week,College graduate,No one does,No,,Omit,Iraq,Has clear stands on the issues,Strongly disapprove,Somewhat disapprove,Less safe from terrorism,Only John Kerry,Only John Kerry,Very badly,Not so good,Very confident,Protecting the environment,White male,60 or over,65 or over,65 or over,Republican,,,Protestant/Other Christian,White Protestant/Other Christian,All others,Weekly,Protestants/Weekly,College graduate,Somewhat/Strongly disapprove,,,Somewhat/Strongly disapprove,Somewhat/Very badly,Very/somewhat confident,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,No one in household is union member,Voter is not union member,White,King County,"City over 500,000","City over 50,000",,98115.0
1464185.0,Washington,,State,1.0,,Complete,Phone survey,2.24595046043396,Kerry,Murray,Gregoire,Female,White,65-74,Democrat,Moderate,No,"$15,000-$29,999",Worse today,Catholic,More than once a week,Some college/associate degree,No one does,No,,For your candidate,Economy/Jobs,Will bring about needed change,Somewhat approve,Somewhat disapprove,Less safe from terrorism,Both of them,Both of them,Somewhat badly,Not so good,Very confident,Keeping jobs in your state,White female,60 or over,65 or over,65 or over,Democrat,"Under $50,000","Under $100,000",Catholic,White Catholic,All others,Weekly,Catholics/Weekly,No degree,Strongly/Somewhat approve,,,Somewhat/Strongly disapprove,Somewhat/Very badly,Very/somewhat confident,Only George W. Bush/Both of them,Only John Kerry/Both of them,Only Bush/Both,Only Kerry/Both,No one in household is union member,Voter is not union member,White,King County,"City over 500,000","City over 50,000",,98199.0
1464186.0,Washington,,State,1.0,,Complete,Phone survey,2.52627635002136,Kerry,Murray,Gregoire,Female,White,30-39,Democrat,Liberal,No,"$75,000-$99,999",Worse today,None,Never,Postgraduate study,No one does,No,,Against his opponent,Iraq,Is honest and trustworthy,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Only John Kerry,Only John Kerry,Very badly,Not so good,Very confident,Protecting the environment,White female,30-44,30-39,18-64,Democrat,"$50,000 or more","Under $100,000",None,White None,All others,Never,All others,College graduate,Somewhat/Strongly disapprove,,,Somewhat/Strongly disapprove,Somewhat/Very badly,Very/somewhat confident,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,No one in household is union member,Voter is not union member,White,King County,"City over 500,000","City over 50,000",,98118.0
1464187.0,Washington,,State,1.0,,Complete,Phone survey,2.53681492805481,Bush,Nethercutt,Rossi,Female,White,30-39,Republican,Conservative,No,"$75,000-$99,999",About the same,Protestant,More than once a week,Postgraduate study,No one does,No,,For your candidate,Health care,Has clear stands on the issues,Somewhat approve,Somewhat disapprove,Safer from terrorism,Both of them,Only George W. Bush,Somewhat badly,Poor,Somewhat confident,Keeping jobs in your state,White female,30-44,30-39,18-64,Republican,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,Weekly,Protestants/Weekly,College graduate,Strongly/Somewhat approve,,,Somewhat/Strongly disapprove,Somewhat/Very badly,Very/somewhat confident,Only George W. Bush/Both of them,Only George W. Bush/Neither of them,Only Bush/Both,Only Kerry/Both,No one in household is union member,Voter is not union member,White,King County,"City over 500,000","City over 50,000",,98125.0
1464188.0,Washington,,State,1.0,,Complete,Phone survey,2.40819478034973,Bush,Murray,Gregoire,Male,White,75 or over,Independent,Conservative,No,"$15,000-$29,999",About the same,Protestant,Once a week,Did not complete high school,No one does,No,,For your candidate,Health care,Is a strong leader,Omit,Strongly disapprove,Less safe from terrorism,Neither of them,Only George W. Bush,Somewhat badly,Poor,Somewhat confident,Keeping jobs in your state,White male,60 or over,65 or over,65 or over,Independent,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,Weekly,Protestants/Weekly,No degree,Omit,,,Somewhat/Strongly disapprove,Somewhat/Very badly,Very/somewhat confident,Only George W. Bush/Both of them,Only George W. Bush/Neither of them,Only Kerry/Neither,Only Bush/Neither,No one in household is union member,Voter is not union member,White,King County,"City over 500,000","City over 50,000",,98118.0
1464189.0,Washington,,State,1.0,,Complete,Phone survey,2.52627635002136,Kerry,Murray,Gregoire,Male,White,30-39,Democrat,Moderate,No,"$75,000-$99,999",About the same,None,Never,College graduate,"Yes, someone else does",No,,Against his opponent,Iraq,Will bring about needed change,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Only John Kerry,Neither of them,Very badly,Good,Very confident,Protecting the environment,White male,30-44,30-39,18-64,Democrat,"$50,000 or more","Under $100,000",None,White None,All others,Never,All others,College graduate,Somewhat/Strongly disapprove,,,Somewhat/Strongly disapprove,Somewhat/Very badly,Very/somewhat confident,Only John Kerry/Neither of them,Only George W. Bush/Neither of them,Only Kerry/Neither,Only Kerry/Both,Someone in household is union member,Voter is not union member,White,King County,"City over 500,000","City over 50,000",,98116.0
1464190.0,Washington,,State,1.0,,Complete,Phone survey,2.52627635002136,Kerry,Murray,Gregoire,Female,White,45-49,Democrat,Moderate,No,"$150,000-$199,999",About the same,Other Christian,A few times a year,Some college/associate degree,No one does,No,,For your candidate,Iraq,Will bring about needed change,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Only John Kerry,Only John Kerry,Somewhat badly,Not so good,Somewhat confident,Protecting the environment,White female,45-59,40-49,18-64,Democrat,"$50,000 or more","$100,000 or more",Protestant/Other Christian,White Protestant/Other Christian,All others,Occasionally,All others,No degree,Somewhat/Strongly disapprove,,,Somewhat/Strongly disapprove,Somewhat/Very badly,Very/somewhat confident,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,No one in household is union member,Voter is not union member,White,King County,"City over 500,000","City over 50,000",,98118.0
1464191.0,Washington,,State,1.0,,Complete,Phone survey,2.52627635002136,Kerry,Murray,Gregoire,Male,White,25-29,Democrat,Moderate,No,,Omit,None,Omit,College graduate,No one does,No,,Against his opponent,Iraq,Is honest and trustworthy,Somewhat disapprove,Strongly disapprove,Less safe from terrorism,Neither of them,Only John Kerry,Very badly,Not so good,Very confident,Keeping jobs in your state,White male,18-29,25-29,18-64,Democrat,,,None,White None,All others,Omit,All others,College graduate,Somewhat/Strongly disapprove,,,Somewhat/Strongly disapprove,Somewhat/Very badly,Very/somewhat confident,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Bush/Neither,No one in household is union member,Voter is not union member,White,King County,"City over 500,000","City over 50,000",,98122.0
1464192.0,Washington,,State,1.0,,Complete,Phone survey,2.52627635002136,Kerry,Murray,Gregoire,Male,White,45-49,Democrat,Liberal,No,"$200,000 or more",Worse today,Protestant,A few times a year,Postgraduate study,No one does,No,,For your candidate,Iraq,Cares about people like me,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Only John Kerry,Only John Kerry,Very badly,Good,Somewhat confident,Protecting the environment,White male,45-59,40-49,18-64,Democrat,"$50,000 or more","$100,000 or more",Protestant/Other Christian,White Protestant/Other Christian,All others,Occasionally,Protestants/Non-weekly,College graduate,Somewhat/Strongly disapprove,,,Somewhat/Strongly disapprove,Somewhat/Very badly,Very/somewhat confident,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,No one in household is union member,Voter is not union member,White,King County,"City over 500,000","City over 50,000",,98103.0
