ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,WGT,PRESGA04,SENGA04,AMEND1GA,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME,FINSIT,RELIGN8,ATTEND,BRNAGAIN,LATINO,TIMEPRES,FORCAND,ISSUE04G,QUAL04G,BUSH4,IRAQAPP,TRSTTERR,COUNTACC,SEXRACE,AGE60,AGE65,OVER65,PARTY,INC50K,INC100K,REL5,WHITEREL,WPROTCON,WHTEVANG,ATTEND2,ATTREL,RELGCONS,BUSH,TIME3D,TIMEWK,IRAQ2,COUNT2,BUSHTERR,KERRTERR,QRACE,GEOCODE,SIZEPLAC,SIZEPLC3,CDNUM,ZIPCODE
1500118.0,Georgia,62.0,State,1.0,Call 2,Complete,1.0272456407547,Kerry,Majette,No,Female,White,18-24,Democrat,Liberal,"$30,000-$49,999",Worse today,Other Christian,Never,No,No,Before that,Against his opponent,Economy/Jobs,Is a strong leader,Strongly disapprove,Somewhat disapprove,Neither of them,Very confident,White female,18-29,18-24,18-64,Democrat,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,All others,Never,All others,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Very/somewhat confident,Only Kerry/Neither,Only Bush/Neither,White,North,"City: 10,000 to 49,999",Small cities and Rural,11.0,30165.0
1530445.0,Georgia,8.0,State,1.0,Call 1,Complete,1.35659599304199,Bush,Majette,Yes,Female,White,30-39,Independent,Moderate,"$30,000-$49,999",Worse today,Other Christian,A few times a month,Yes,No,Before that,For your candidate,Moral values,Has strong religious faith,Strongly approve,Somewhat approve,Only George W. Bush,Somewhat confident,White female,30-44,30-39,18-64,Independent,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,White evangelicals,Occasionally,All others,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Very/somewhat confident,Only Bush/Both,Only Bush/Neither,White,South,Rural,Small cities and Rural,1.0,31568.0
1523443.0,Georgia,43.0,State,1.0,Call 3,Complete,0.783205449581146,Bush,Isakson,No,Female,White,50-59,Republican,Moderate,"$100,000-$149,999",Better today,Protestant,A few times a year,No,No,Before that,Against his opponent,Taxes,Is a strong leader,Somewhat approve,Somewhat approve,Both of them,Very confident,White female,45-59,50-64,18-64,Republican,"$50,000 or more","$100,000 or more",Protestant/Other Christian,White Protestant/Other Christian,All others,All others,Occasionally,Protestants/Non-weekly,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Very/somewhat confident,Only Bush/Both,Only Kerry/Both,White,Atlanta,Suburbs,Suburbs,4.0,30030.0
1481446.0,Georgia,61.0,State,1.0,Call 1,Complete,1.01229178905487,Kerry,Majette,Yes,Female,White,40-44,,Liberal,"Under $15,000",Worse today,Something else,A few times a year,No,No,Before that,For your candidate,Omit,Omit,Strongly disapprove,Omit,Only John Kerry,Very confident,White female,30-44,40-49,18-64,,"Under $50,000","Under $100,000",Something else,White Something else,All others,All others,Occasionally,All others,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Omit,Very/somewhat confident,Only Kerry/Neither,Only Kerry/Both,White,North,"City: 10,000 to 49,999",Small cities and Rural,11.0,30161.0
1481444.0,Georgia,136.0,National,4.0,Call 1,Complete,0.784607291221619,Kerry,Majette,No,Female,Black,50-59,Independent,Liberal,"$50,000-$74,999",,,,,No,Before that,,,,,,Only John Kerry,,Non-white female,45-59,50-64,18-64,Independent,"$50,000 or more","Under $100,000",,,,,,,,,Sometime last week/During the last month/Before that,During the last month/Before that,,,Only Kerry/Neither,Only Kerry/Both,Black,Central,"City: 10,000 to 49,999",Small cities and Rural,11.0,30240.0
1500107.0,Georgia,136.0,National,3.0,Call 2,Complete,0.874314188957214,Kerry,Majette,Did not vote,Female,Black,30-39,Independent,Liberal,"Under $15,000",,None,More than once a week,Yes,No,,For your candidate,,,,,,Very confident,Non-white female,30-44,30-39,18-64,Independent,"Under $50,000","Under $100,000",None,All others,All others,All others,Weekly,All others,All others,,,,,Very/somewhat confident,,,Black,Central,"City: 10,000 to 49,999",Small cities and Rural,11.0,30240.0
1522496.0,Georgia,108.0,State,1.0,Call 3,Complete,0.873571217060089,Kerry,Majette,Yes,Male,Black,45-49,Democrat,Moderate,"$15,000-$29,999",Better today,Something else,More than once a week,Yes,No,Before that,Against his opponent,Iraq,Has clear stands on the issues,Strongly disapprove,Strongly disapprove,Only John Kerry,Very confident,Non-white male,45-59,40-49,18-64,Democrat,"Under $50,000","Under $100,000",Something else,All others,All others,All others,Weekly,All others,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Very/somewhat confident,Only Kerry/Neither,Only Kerry/Both,Black,South,Rural,Small cities and Rural,1.0,31635.0
1488440.0,Georgia,50.0,National,3.0,Call 1,Complete,0.7482048869133,Kerry,Majette,No,Female,Black,40-44,Democrat,Moderate,"$30,000-$49,999",,Other Christian,A few times a month,Yes,No,,For your candidate,,,,,,Not very confident,Non-white female,30-44,40-49,18-64,Democrat,"Under $50,000","Under $100,000",Protestant/Other Christian,All others,All others,All others,Occasionally,All others,All others,,,,,Not very/Not at all confident,,,Black,Atlanta,"City: 50,000 to 500,000","City over 50,000",4.0,30088.0
1479893.0,Georgia,48.0,State,1.0,Call 1,Complete,0.890977442264557,Kerry,Majette,Yes,Male,Black,30-39,Democrat,Moderate,"$75,000-$99,999",Better today,None,A few times a year,Yes,,Just today,For your candidate,Education,Is intelligent,Strongly disapprove,Somewhat approve,Only John Kerry,Very confident,Non-white male,30-44,30-39,18-64,Democrat,"$50,000 or more","Under $100,000",None,All others,All others,All others,Occasionally,All others,All others,Somewhat/Strongly disapprove,Just today/In the last three days,Just today/In the last three days/Sometime last week,Strongly/Somewhat approve,Very/somewhat confident,Only Kerry/Neither,Only Kerry/Both,Black,Atlanta,"City: 50,000 to 500,000","City over 50,000",4.0,30316.0
1523433.0,Georgia,25.0,State,1.0,Call 3,Complete,1.47402346134186,Bush,Isakson,Yes,Female,White,40-44,Republican,Moderate,"$75,000-$99,999",Better today,Protestant,Once a week,Yes,No,Before that,For your candidate,Iraq,Is honest and trustworthy,Strongly approve,Strongly approve,Only George W. Bush,Very confident,White female,30-44,40-49,18-64,Republican,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,White evangelicals,Weekly,Protestants/Weekly,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Very/somewhat confident,Only Bush/Both,Only Bush/Neither,White,Atlanta suburbs,"City: 50,000 to 500,000","City over 50,000",6.0,30067.0
