ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,WGT,PRESNH04,SENNH04,GOVNH04,SEX,RACE,AGE9,PARTYID,PHIL3,FTVOTER,INCOME,FINSIT,RELIGN8,ATTEND,EDUC,MARRIED,TIMEPRES,FORCAND,ISSUE04G,QUAL04G,BUSH4,IRAQAPP,SAFERNOW,TRSTTERR,HNDLECON,IRAQGO,STECNH,MATONH,GOVTDO,SEXRACE,AGE60,AGE65,OVER65,PARTY,INC50K,INC100K,REL5,WHITEREL,WPROTCON,ATTEND2,ATTREL,COLLEDUC,BUSH,TIME3D,TIMEWK,IRAQ2,IRAQGO2,BUSHECON,KERRECON,BUSHTERR,KERRTERR,WOMENWED,QRACE,GEOCODE,SIZEPLAC,SIZEPLC3,CDNUM,ZIPCODE
1483731.0,New Hampshire,90.0,State,1.0,Call 2,Complete,0.309993743896484,Nader,Haddock,Lynch,Female,White,18-24,Independent,Liberal,No,"$75,000-$99,999",Worse today,None,Never,Some college/associate degree,No,Just today,For your candidate,Moral values,Will bring about needed change,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Neither of them,Neither of them,Omit,Good,I was born in NH,Omit,White female,18-29,18-24,18-64,Independent,"$50,000 or more","Under $100,000",None,White None,All others,Never,All others,No degree,Somewhat/Strongly disapprove,Just today/In the last three days,Just today/In the last three days/Sometime last week,Somewhat/Strongly disapprove,Omit,Only John Kerry/Neither of them,Only George W. Bush/Neither of them,Only Kerry/Neither,Only Bush/Neither,All others,White,Industrial Areas,Suburbs,Suburbs,2.0,3079.0
1484333.0,New Hampshire,90.0,State,1.0,Call 1,Complete,0.31287357211113,Nader,Gregg,Benson,,Asian,25-29,Republican,Moderate,Yes,"$15,000-$29,999",About the same,Protestant,A few times a month,High school graduate,Yes,Before that,For your candidate,Iraq,Is a strong leader,Somewhat approve,Strongly approve,Safer from terrorism,Both of them,Only George W. Bush,Somewhat badly,Good,I was born in NH,Government should do more to solve problems,,18-29,25-29,18-64,Republican,"Under $50,000","Under $100,000",Protestant/Other Christian,All others,All others,Occasionally,Protestants/Non-weekly,No degree,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Somewhat/Very badly,Only George W. Bush/Both of them,Only George W. Bush/Neither of them,Only Bush/Both,Only Kerry/Both,All others,Asian,Industrial Areas,Suburbs,Suburbs,2.0,3079.0
1528353.0,New Hampshire,72.0,State,1.0,Call 3,Complete,0.315075606107712,Nader,Haddock,Lynch,Female,White,25-29,Something Else,Liberal,No,"$50,000-$74,999",Better today,None,Never,High school graduate,Yes,During the last month,Against his opponent,Moral values,Cares about people like me,Strongly disapprove,Somewhat disapprove,Less safe from terrorism,Neither of them,Neither of them,Very badly,Good,I moved to NH from another state,Government is doing too many things...,White female,18-29,25-29,18-64,Independent,"$50,000 or more","Under $100,000",None,White None,All others,Never,All others,No degree,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Somewhat/Very badly,Only John Kerry/Neither of them,Only George W. Bush/Neither of them,Only Kerry/Neither,Only Bush/Neither,Married women,White,Industrial Areas,"City: 50,000 to 500,000","City over 50,000",2.0,3062.0
1529222.0,New Hampshire,74.0,State,1.0,Call 3,Complete,0.360538899898529,Nader,Gregg,Benson,Male,White,40-44,Something Else,Moderate,No,"$100,000-$149,999",Worse today,None,Never,Some college/associate degree,Yes,Just today,Against his opponent,Economy/Jobs,Is honest and trustworthy,Somewhat approve,Somewhat disapprove,Safer from terrorism,Neither of them,Neither of them,Somewhat badly,Good,I moved to NH from MA,Government is doing too many things...,White male,30-44,40-49,18-64,Independent,"$50,000 or more","$100,000 or more",None,White None,All others,Never,All others,No degree,Strongly/Somewhat approve,Just today/In the last three days,Just today/In the last three days/Sometime last week,Somewhat/Strongly disapprove,Somewhat/Very badly,Only John Kerry/Neither of them,Only George W. Bush/Neither of them,Only Kerry/Neither,Only Bush/Neither,All others,White,Industrial Areas,"City: 50,000 to 500,000","City over 50,000",2.0,3060.0
1511905.0,New Hampshire,74.0,State,1.0,Call 2,Complete,0.370196968317032,Nader,Haddock,Lynch,Male,White,45-49,Something Else,Liberal,No,"$30,000-$49,999",Worse today,None,Never,College graduate,No,Sometime last week,For your candidate,Moral values,Will bring about needed change,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Neither of them,Neither of them,Somewhat badly,Not so good,I moved to NH from another state,Government should do more to solve problems,White male,45-59,40-49,18-64,Independent,"Under $50,000","Under $100,000",None,White None,All others,Never,All others,College graduate,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,Just today/In the last three days/Sometime last week,Somewhat/Strongly disapprove,Somewhat/Very badly,Only John Kerry/Neither of them,Only George W. Bush/Neither of them,Only Kerry/Neither,Only Bush/Neither,All others,White,Industrial Areas,"City: 50,000 to 500,000","City over 50,000",2.0,3060.0
1511290.0,New Hampshire,70.0,State,1.0,Call 2,Complete,0.375192373991013,Nader,Gregg,Lynch,Male,White,18-24,Independent,Liberal,No,"$15,000-$29,999",Worse today,None,Never,College graduate,No,Before that,For your candidate,Economy/Jobs,Has clear stands on the issues,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Neither of them,Neither of them,Very badly,Good,I was born in NH,Government should do more to solve problems,White male,18-29,18-24,18-64,Independent,"Under $50,000","Under $100,000",None,White None,All others,Never,All others,College graduate,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Somewhat/Very badly,Only John Kerry/Neither of them,Only George W. Bush/Neither of them,Only Kerry/Neither,Only Bush/Neither,All others,White,Industrial Areas,"City: 50,000 to 500,000","City over 50,000",2.0,3064.0
1531258.0,New Hampshire,70.0,State,1.0,Call 3,Complete,0.38908663392067,Nader,Gregg,Benson,Male,White,25-29,Independent,Moderate,No,"Under $15,000",About the same,Protestant,Once a week,Some college/associate degree,No,Sometime last week,For your candidate,Education,Is honest and trustworthy,Strongly approve,Somewhat disapprove,Safer from terrorism,Only George W. Bush,Neither of them,Somewhat badly,Good,I was born in NH,Government is doing too many things...,White male,18-29,25-29,18-64,Independent,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,Weekly,Protestants/Weekly,No degree,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,Just today/In the last three days/Sometime last week,Somewhat/Strongly disapprove,Somewhat/Very badly,Only John Kerry/Neither of them,Only George W. Bush/Neither of them,Only Bush/Both,Only Bush/Neither,All others,White,Industrial Areas,"City: 50,000 to 500,000","City over 50,000",2.0,3064.0
1484157.0,New Hampshire,13.0,State,1.0,Call 1,Complete,0.393214046955109,Kerry,Haddock,Lynch,Male,,50-59,Independent,Liberal,No,"$100,000-$149,999",Worse today,None,Never,Postgraduate study,Yes,Before that,For your candidate,Iraq,Will bring about needed change,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Only John Kerry,Only John Kerry,Very badly,Not so good,I moved to NH from MA,Government should do more to solve problems,,45-59,50-64,18-64,Independent,"$50,000 or more","$100,000 or more",None,All others,All others,Never,All others,College graduate,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Somewhat/Very badly,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,All others,,Concord/CT Valley,"City: 10,000 to 49,999",Small cities and Rural,2.0,3301.0
1482530.0,New Hampshire,13.0,State,1.0,Call 1,Complete,0.398189604282379,Kerry,Haddock,Lynch,Female,White,45-49,Democrat,Conservative,No,"$100,000-$149,999",Worse today,Catholic,Once a week,Postgraduate study,Yes,Before that,Against his opponent,Iraq,Has clear stands on the issues,Strongly disapprove,Somewhat approve,Less safe from terrorism,Neither of them,Neither of them,Very badly,Poor,I was born in NH,Government should do more to solve problems,White female,45-59,40-49,18-64,Democrat,"$50,000 or more","$100,000 or more",Catholic,White Catholic,All others,Weekly,Catholics/Weekly,College graduate,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Somewhat/Very badly,Only John Kerry/Neither of them,Only George W. Bush/Neither of them,Only Kerry/Neither,Only Bush/Neither,Married women,White,Concord/CT Valley,"City: 10,000 to 49,999",Small cities and Rural,2.0,3301.0
1482282.0,New Hampshire,13.0,State,1.0,Call 1,Complete,0.398189604282379,Kerry,Haddock,Lynch,Female,White,40-44,Democrat,Liberal,No,"$50,000-$74,999",Worse today,Protestant,Once a week,Postgraduate study,Yes,Before that,Omit,Iraq,Will bring about needed change,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Only John Kerry,Only John Kerry,Very badly,Not so good,I moved to NH from another state,Government should do more to solve problems,White female,30-44,40-49,18-64,Democrat,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,Weekly,Protestants/Weekly,College graduate,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Somewhat/Very badly,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,Married women,White,Concord/CT Valley,"City: 10,000 to 49,999",Small cities and Rural,2.0,3301.0
