ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WGT,PRESNC04,SENNC04,GOVNC04,SEX,RACE,AGE9,PARTYID,PHIL3,FTVOTER,INCOME,FINSIT,RELIGN8,BRNAGAIN,EDUC,VETVOTER,TIMEPRES,FORCAND,ISSUE04G,QUAL04G,BUSH4,IRAQAPP,SAFERNOW,TRSTTERR,HNDLECON,IRAQGO,STECNC,FAVEDWR,ISS04NC,SEXRACE,AGE60,AGE65,OVER65,PARTY,INC50K,INC100K,REL5,WHITEREL,WPROTCON,WHTEVANG,COLLEDUC,BUSH,TIME3D,TIMEWK,IRAQ2,IRAQGO2,BUSHECON,KERRECON,BUSHTERR,KERRTERR,QRACE,GEOCODE,SIZEPLAC,SIZEPLC3,CDNUM,ZIPCODE
1466659.0,North Carolina,,National,1.0,,Complete,Phone survey,1.4077855348587,Kerry,Bowles,Easley,Male,Black,30-39,Democrat,Liberal,No,"$50,000-$74,999",About the same,None,No,College graduate,Yes,,,Economy/Jobs,Will bring about needed change,Strongly disapprove,Somewhat disapprove,Safer from terrorism,,,Somewhat badly,,,,Non-white male,30-44,30-39,18-64,Democrat,"$50,000 or more","Under $100,000",None,All others,All others,All others,College graduate,Somewhat/Strongly disapprove,,,Somewhat/Strongly disapprove,Somewhat/Very badly,,,,,Black,East,"City: 10,000 to 49,999",,,28504.0
1466660.0,North Carolina,,National,1.0,,Complete,Phone survey,1.4077855348587,Kerry,Bowles,Easley,Male,White,25-29,Independent,Moderate,No,"$15,000-$29,999",Worse today,None,No,Some college/associate degree,No,,,Terrorism,Omit,Strongly disapprove,Strongly disapprove,Less safe from terrorism,,,Very badly,,,,White male,18-29,25-29,18-64,Independent,"Under $50,000","Under $100,000",None,White None,All others,All others,No degree,Somewhat/Strongly disapprove,,,Somewhat/Strongly disapprove,Somewhat/Very badly,,,,,White,Mountain west,"City: 50,000 to 500,000",,,28806.0
1466661.0,North Carolina,,National,1.0,,Complete,Phone survey,1.5302631855011,Bush,Burr,Ballantine,Female,White,25-29,Republican,Liberal,No,"$50,000-$74,999",Better today,Other Christian,Yes,College graduate,No,,,Moral values,Has strong religious faith,Strongly approve,Somewhat approve,Safer from terrorism,,,Somewhat well,,,,White female,18-29,25-29,18-64,Republican,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,White evangelicals,College graduate,Strongly/Somewhat approve,,,Strongly/Somewhat approve,Very/Somewhat well,,,,,White,East,"City: 10,000 to 49,999",,,28504.0
1466662.0,North Carolina,,National,1.0,,Complete,Phone survey,1.46465373039246,Bush,Bowles,Easley,Female,White,75 or over,Independent,Conservative,No,,About the same,Protestant,Yes,Some college/associate degree,No,,,Omit,Omit,Strongly approve,Somewhat approve,Safer from terrorism,,,Omit,,,,White female,60 or over,65 or over,65 or over,Independent,,,Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,White evangelicals,No degree,Strongly/Somewhat approve,,,Strongly/Somewhat approve,Omit,,,,,White,Mountain west,Rural,,,28739.0
1466663.0,North Carolina,,National,1.0,,Complete,Phone survey,1.5302631855011,Bush,Burr,Ballantine,Male,White,40-44,Independent,Conservative,No,"$100,000-$149,999",Better today,Protestant,No,Some college/associate degree,No,,,Iraq,Is a strong leader,Strongly approve,Strongly approve,Safer from terrorism,,,Somewhat well,,,,White male,30-44,40-49,18-64,Independent,"$50,000 or more","$100,000 or more",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,All others,No degree,Strongly/Somewhat approve,,,Strongly/Somewhat approve,Very/Somewhat well,,,,,White,East,Rural,,,27932.0
1466664.0,North Carolina,,National,1.0,,Complete,Phone survey,1.46755087375641,Bush,Burr,Ballantine,Female,White,60-64,,,Yes,"$15,000-$29,999",Better today,Something else,Yes,High school graduate,No,,,Terrorism,Is a strong leader,Strongly approve,Strongly approve,Safer from terrorism,,,Very well,,,,White female,60 or over,50-64,18-64,,"Under $50,000","Under $100,000",Something else,White Something else,All others,White evangelicals,No degree,Strongly/Somewhat approve,,,Strongly/Somewhat approve,Very/Somewhat well,,,,,White,East,Suburbs,,,28462.0
1466665.0,North Carolina,,National,1.0,,Complete,Phone survey,1.5302631855011,Bush,Burr,Ballantine,Female,White,45-49,Republican,Conservative,No,"$15,000-$29,999",About the same,Other Christian,No,High school graduate,No,,,Iraq,Is a strong leader,Strongly approve,Strongly approve,Safer from terrorism,,,Somewhat well,,,,White female,45-59,40-49,18-64,Republican,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,All others,No degree,Strongly/Somewhat approve,,,Strongly/Somewhat approve,Very/Somewhat well,,,,,White,Mountain west,"City: 10,000 to 49,999",,,28655.0
1466666.0,North Carolina,,National,1.0,,Complete,Phone survey,1.5302631855011,Bush,Burr,Ballantine,Male,White,60-64,Republican,Conservative,No,"$50,000-$74,999",Worse today,Other Christian,Yes,Some college/associate degree,Yes,,,Moral values,Is honest and trustworthy,Somewhat approve,Somewhat approve,Omit,,,Somewhat badly,,,,White male,60 or over,50-64,18-64,Republican,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,White evangelicals,No degree,Strongly/Somewhat approve,,,Strongly/Somewhat approve,Somewhat/Very badly,,,,,White,Raleigh/Durham area,Suburbs,,,27542.0
1466667.0,North Carolina,,National,1.0,,Complete,Phone survey,1.57611691951752,Bush,Burr,Easley,Male,White,30-39,Independent,Moderate,No,"$75,000-$99,999",Better today,Jewish,No,Postgraduate study,Yes,,,Iraq,Has clear stands on the issues,Somewhat approve,Strongly approve,Safer from terrorism,,,Very well,,,,White male,30-44,30-39,18-64,Independent,"$50,000 or more","Under $100,000",Jewish,White Jewish,All others,All others,College graduate,Strongly/Somewhat approve,,,Strongly/Somewhat approve,Very/Somewhat well,,,,,White,East,"City: 50,000 to 500,000",,,28546.0
1466668.0,North Carolina,,National,1.0,,Complete,Phone survey,1.5302631855011,Bush,Burr,Ballantine,Female,White,30-39,Republican,Liberal,No,"$30,000-$49,999",About the same,Other Christian,Yes,College graduate,No,,,Terrorism,Will bring about needed change,Strongly approve,Strongly approve,Safer from terrorism,,,Somewhat well,,,,White female,30-44,30-39,18-64,Republican,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,White evangelicals,College graduate,Strongly/Somewhat approve,,,Strongly/Somewhat approve,Very/Somewhat well,,,,,White,Raleigh/Durham area,Rural,,,27509.0
