ID,STANUM,PRECINCT,CALL,BACKSIDE,TELEPOLL,WEIGHT,PRSGA16,SENGA16,SEX,RACE,AGE8,PARTYID,PHIL3,INCOME16GEN,EDUC12R,LATINO,BRNAGAIN,MARRIED,@2WAYPRES16,CLINTONEMAIL,DESCRIBP12,FAVHCLIN16,FAVTRUMP,FINSIT,GOVTANGR16,CLINHONEST,TRUMPHONEST,IMMDEPORT,ISSUE16,LIFE,NEC,OBAMA4,QLT16,QUALCLINTON,QUALTRUMP,RACEFACTOR,TEMPCLINTON,TEMPTRUMP,TIME16,TRUMPWOMEN,SEXBYRACE,SEXWED,AGE,AGE3,AGE45,AGE49,AGE60,AGE65,OVER45,OVER65,AGEBLACK,AGEBYRACE,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,INC100K,INC50K,INCOME3,INCWHITE,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYWHITE,QRACEAI,QRACE3,RACE2B,RACEAI,SUBURBWHITE,WHNCLINC,CLINTONEMAILB,FAVPRES16,GOVTANGR16B,HONEST16,NEC2,OBAMA2,PTYIDEO,PTYIDEO7,QUALIFIED16,SPLITTICKET,TEMPERAMENT16,TIME16MONTH,TIME16WEEK,TRUMPWOMENB,WHTEVANG,QTYPE,SIZEPLAC,SIZEPLC3,CDNUM,REGION,VERSION,GEOCODE,ZIPCODE
195403.0, Georgia,7.0,Call 1,Complete,Election day exit poll,0.904942810535431,Did not vote,,Female,Black,60-64,Democrat,Conservative,,High school or less,No,Yes,No,Hillary Clinton,Not at all,,,,,,,,,,,,,,,,,,,,Some,Black women,Non married women,45-65,60+,45+,50+,60+,50-64,45+,18-64,Black 60+,Black 60+,Black 45-64,No college degree,High school graduate or less,Non white no college degree,Non-whites,,,,,Democrat,Black Democrat,Black Democrat,Democratic women,Non-White Democrats,Black,Black,Non-white,Black,Other,,Not much or not at all,,,,,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,Omit,,,,A lot or some,All others,National questionnaire,Rural,Small Cities/Rural,12.0,South,Version 5,Coast/South,30458.0
137048.0, Georgia,,,Complete,Telephone survey,5.94982099533081,Hillary Clinton,,Male,Black,18-24,,,,High school or less,,,,Hillary Clinton,,,,,,,,,Offered a chance to apply for legal status,,Omit,,,,Yes,No,,,,,,Black men,,18-29,18-29,18-44,18-49,18-29,18-24,18-44,18-64,Black 18-29,Black 18-29,Black 18-29,No college degree,High school graduate or less,Non white no college degree,Non-whites,,,,,,,,,,Black,Black,Non-white,,Other,,,,,,,,,,Only Hillary Clinton,Omit,,,,,,National questionnaire,"Cities 50,000-500,000","Cities over 50,000",5.0,South,Version 3,Atlanta Metro,30310.0
209922.0, Georgia,81.0,Call 3,Complete,Election day exit poll,0.194673597812653,Hillary Clinton,,Female,White,40-44,Independent,Moderate,"$100,000-$199,999",College graduate,No,No,Yes,,,,Favorable,Unfavorable,About the same,,,,,The economy,About the same,,Somewhat approve,Has the right experience,Yes,No,,,,Before that,,White women,Married women,30-44,30-59,18-44,18-49,30-44,40-49,18-44,18-64,Non-Black 30-44,White 30-44,White 30-44,College graduate,More than High school graduate,White college degree,White women college graduates,100k or more,50k or more,100 thousand or more,"Over $50,000 and white",Independent/Something else,Non-black non-Democrat,White Independent,Independent women,White Independent,White,White,White,White,Other,No,,Only Hillary Clinton,,,,Approve,Moderate/Liberal Republicans,Moderate Independents,Only Hillary Clinton,,,Before that,Before that,,All others,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",5.0,South,Version 1,Atlanta Metro,30327.0
137027.0, Georgia,,,Complete,Telephone survey,3.24159598350525,Hillary Clinton,,Female,Black,45-49,Democrat,Moderate,,College graduate,,,,Hillary Clinton,,,,,,,,,Offered a chance to apply for legal status,,Better than life today,,,,Yes,No,,,,,,Black women,,45-65,30-59,45+,18-49,45-59,40-49,45+,18-64,Black 45-59,Black 45-59,Black 45-64,College graduate,More than High school graduate,Non white college degree,Non-whites,,,,,Democrat,Black Democrat,Black Democrat,Democratic women,Non-White Democrats,Black,Black,Non-white,,Other,,,,,,,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Only Hillary Clinton,Omit,,,,,,National questionnaire,Suburbs,Suburbs,4.0,South,Version 3,Atlanta Metro,30087.0
197589.0, Georgia,84.0,Call 2,Complete,Election day exit poll,0.543161511421204,Hillary Clinton,,Male,Black,40-44,Democrat,Moderate,,College graduate,No,,,Hillary Clinton,Not much,Omit,,,,Angry,Omit,No,Omit,,,Not so good,,,,,Whites are favored over minorities,Yes,No,,A lot,Black men,,30-44,30-59,18-44,18-49,30-44,40-49,18-44,18-64,Black 30-44,Black 30-44,Black 30-44,College graduate,More than High school graduate,Non white college degree,Non-whites,,,,,Democrat,Black Democrat,Black Democrat,Democratic men,Non-White Democrats,Black,Black,Non-white,Black,Other,,Not much or not at all,,"Dissatisfied, but not angry or Angry",Omit,Not so good or poor,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,,Only Hillary Clinton,,,A lot or some,,State questionnaire,Suburbs,Suburbs,6.0,South,Version 2,Atlanta Metro,30005.0
197543.0, Georgia,5.0,Call 2,Complete,Election day exit poll,0.199600532650948,Hillary Clinton,,Female,Asian,45-49,,,"$50,000-$99,999",College graduate,,,Yes,,,,Favorable,Unfavorable,Omit,,,,,Immigration,Omit,,Omit,Omit,Yes,Omit,,,,In September,,All other races,Married women,45-65,30-59,45+,18-49,45-59,40-49,45+,18-64,Non-Black 45-59,All others,All others,College graduate,More than High school graduate,Non white college degree,Non-whites,Less than 100k,50k or more,50 to 100 thousand,"Over $50,000 and non white",,,,,,Asian,Other,Non-white,Asian,Other,No,,Only Hillary Clinton,,,,Omit,,,Only Hillary Clinton,,,Before that,Before that,,All others,State questionnaire,Rural,Small Cities/Rural,8.0,South,Version 1,Coast/South,31014.0
195955.0, Georgia,148.0,Call 2,Complete,Election day exit poll,0.325027137994766,Hillary Clinton,,Female,Black,40-44,Democrat,Conservative,"$50,000-$99,999",Some college/assoc. degree,No,,,,,I dislike the other candidates,,,,"Dissatisfied, but not angry",No,No,,The economy,,Not so good,,Has the right experience,,,,Yes,No,,,Black women,,30-44,30-59,18-44,18-49,30-44,40-49,18-44,18-64,Black 30-44,Black 30-44,Black 30-44,No college degree,More than High school graduate,Non white no college degree,Non-whites,Less than 100k,50k or more,50 to 100 thousand,"Over $50,000 and non white",Democrat,Black Democrat,Black Democrat,Democratic women,Non-White Democrats,Black,Black,Non-white,Black,Other,No,,,"Dissatisfied, but not angry or Angry",Neither,Not so good or poor,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,Omit,Only Hillary Clinton,,,,,National questionnaire,Rural,Small Cities/Rural,2.0,South,Version 2,Central,39886.0
210448.0, Georgia,148.0,Call 3,Complete,Election day exit poll,0.325027137994766,Hillary Clinton,,Female,Black,50-59,Democrat,Moderate,,,,,,,,Omit,,,,Omit,Yes,Omit,,Omit,,Excellent,,Has the right experience,,,,Yes,No,,,Black women,,45-65,30-59,45+,50+,45-59,50-64,45+,18-64,Black 45-59,Black 45-59,Black 45-64,,,,,,,,,Democrat,Black Democrat,Black Democrat,Democratic women,Non-White Democrats,Black,Black,Non-white,Black,Other,,,,Omit,Only Hillary Clinton,Excellent or good,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,Omit,Only Hillary Clinton,,,,,National questionnaire,Rural,Small Cities/Rural,2.0,South,Version 2,Central,39886.0
197819.0, Georgia,27.0,Call 2,Complete,Election day exit poll,0.514235854148865,Hillary Clinton,,Female,Hispanic/Latino,65 or over,Independent,Moderate,,Postgraduate study,Yes,,,Hillary Clinton,,,,,,,,,Offered a chance to apply for legal status,,Better than life today,,,,Yes,No,,,,,,Latino women,,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,Latino 60+,Latino 65+,College graduate,More than High school graduate,Non white college degree,Non-whites,,,,,Independent/Something else,Non-black non-Democrat,Latino Independent,Independent women,All others,Hispanic/Latino,Other,Non-white,Hispanic/Latino,Other,,,,,,,,Moderate/Liberal Republicans,Moderate Independents,Only Hillary Clinton,Omit,,,,,,National questionnaire,Suburbs,Suburbs,11.0,South,Version 3,Atlanta Suburbs,30101.0
177118.0, Georgia,65.0,Call 1,Complete,Election day exit poll,1.09667015075684,Hillary Clinton,,Female,Black,65 or over,,,,,,,,Hillary Clinton,Omit,I strongly favor my candidate,,,,Omit,Yes,No,Deported to the country they came from,,,Excellent,,,,,Omit,Yes,No,,Omit,Black women,,65+,60+,45+,50+,60+,65+,45+,65+,Black 60+,Black 60+,Black 65+,,,,,,,,,,,,,,Black,Black,Non-white,Black,Other,,Omit,,Omit,Only Hillary Clinton,Excellent or good,,,,,,Only Hillary Clinton,,,Omit,,State questionnaire,Rural,Small Cities/Rural,2.0,South,Version 2,Central,31007.0
209501.0, Georgia,133.0,Call 3,Complete,Election day exit poll,0.326520800590515,Hillary Clinton,,Female,Black,18-24,Democrat,Conservative,,High school or less,No,,,Hillary Clinton,Some,I strongly favor my candidate,,,,"Dissatisfied, but not angry",Yes,No,Offered a chance to apply for legal status,,,Not so good,,,,,Whites are favored over minorities,Yes,No,,A lot,Black women,,18-29,18-29,18-44,18-49,18-29,18-24,18-44,18-64,Black 18-29,Black 18-29,Black 18-29,No college degree,High school graduate or less,Non white no college degree,Non-whites,,,,,Democrat,Black Democrat,Black Democrat,Democratic women,Non-White Democrats,Black,Black,Non-white,Black,Other,,A lot or some,,"Dissatisfied, but not angry or Angry",Only Hillary Clinton,Not so good or poor,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,,Only Hillary Clinton,,,A lot or some,,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",2.0,South,Version 2,Central,31906.0
209477.0, Georgia,90.0,Call 3,Complete,Election day exit poll,0.55008339881897,Hillary Clinton,,Female,Black,30-39,Something else,Liberal,"Under $30,000",Postgraduate study,No,Yes,Yes,,,,Favorable,Unfavorable,Better today,,,,,Terrorism,Better than life today,,Strongly approve,Cares about people like me,Yes,No,,,,In October,,Black women,Married women,30-44,30-59,18-44,18-49,30-44,30-39,18-44,18-64,Black 30-44,Black 30-44,Black 30-44,College graduate,More than High school graduate,Non white college degree,Non-whites,Less than 100k,Less than 50k,Less than 50 thousand,"Under $50,000 and non white",Independent/Something else,Black non-Democrat,Black Independent,Independent women,All others,Black,Black,Non-white,Black,Other,No,,Only Hillary Clinton,,,,Approve,Moderate/Liberal Republicans,Liberal Independents,Only Hillary Clinton,,,In the last month,Before that,,All others,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",6.0,South,Version 1,Atlanta Metro,30350.0
182824.0, Georgia,1.0,Call 1,Complete,Election day exit poll,0.671240746974945,Hillary Clinton,,Male,Hispanic/Latino,45-49,,Liberal,,High school or less,No,Yes,Yes,Hillary Clinton,Omit,,,,,,,,,,,,,,,,,,,,Not at all,Latino men,Married men,45-65,30-59,45+,18-49,45-59,40-49,45+,18-64,Non-Black 45-59,Latino 45-59,Latino 45-64,No college degree,High school graduate or less,Non white no college degree,Non-whites,,,,,,,,,,Hispanic/Latino,Other,Non-white,Hispanic/Latino,Other,,Omit,,,,,,,,,Omit,,,,Not much or not at all,All others,National questionnaire,Suburbs,Suburbs,10.0,South,Version 5,North,30620.0
136376.0, Georgia,,,Complete,Telephone survey,0.541970908641815,Hillary Clinton,,Female,Black,65 or over,Democrat,,,High school or less,,,,,,I strongly favor my candidate,,,,"Satisfied, but not enthusiastic",Yes,Omit,,Immigration,,Good,,Omit,,,,Yes,Yes,,,Black women,,65+,60+,45+,50+,60+,65+,45+,65+,Black 60+,Black 60+,Black 65+,No college degree,High school graduate or less,Non white no college degree,Non-whites,,,,,Democrat,Black Democrat,Black Democrat,Democratic women,Non-White Democrats,Black,Black,Non-white,,Other,No,,,"Enthusiastic or satisfied, but not enthusiastic",Only Hillary Clinton,Excellent or good,,,,,Omit,Both,,,,,National questionnaire,Suburbs,Suburbs,10.0,South,Version 2,Central,31064.0
197545.0, Georgia,5.0,Call 2,Complete,Election day exit poll,0.199600532650948,Hillary Clinton,,Female,Asian,45-49,,,"$50,000-$99,999",College graduate,,,Yes,,,,Favorable,Unfavorable,Omit,,,,,Immigration,Omit,,Omit,Omit,Yes,Omit,,,,In September,,All other races,Married women,45-65,30-59,45+,18-49,45-59,40-49,45+,18-64,Non-Black 45-59,All others,All others,College graduate,More than High school graduate,Non white college degree,Non-whites,Less than 100k,50k or more,50 to 100 thousand,"Over $50,000 and non white",,,,,,Asian,Other,Non-white,Asian,Other,No,,Only Hillary Clinton,,,,Omit,,,Only Hillary Clinton,,,Before that,Before that,,All others,State questionnaire,Rural,Small Cities/Rural,8.0,South,Version 1,Coast/South,31014.0
