ID,STANUM,PRECINCT,CALL,BACKSIDE,TELEPOLL,WEIGHT,PRSNH16,SENNH16,GOVNH16,SEX,RACE,AGE8,PARTYID,PHIL3,INCOME16GEN,EDUC12R,LATINO,BRNAGAIN,MARRIED,@2WAYPRES16,CLINTONEMAIL,DESCRIBP12,FAVHCLIN16,FAVTRUMP,FAVAYOTTE,FAVHASSAN,FINSIT,GOTV16,GOVTANGR16,HANDLEECON16,HANDLEFP16,CLINHONEST,TRUMPHONEST,IMMBETTER,IMMDEPORT,ISSUE16,LIFE,NEC,OBAMA4,QLT16,QUALCLINTON,QUALTRUMP,RACEFACTOR,TEMPCLINTON,TEMPTRUMP,TIME16,TRADE16,TRUMPWOMEN,SEXBYRACE,SEXWED,AGE,AGE3,AGE45,AGE49,AGE60,AGE65,OVER45,OVER65,AGEBLACK,AGEBYRACE,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,INC100K,INC50K,INCOME3,INCWHITE,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYWHITE,QRACEAI,QRACE3,RACE2B,RACEAI,SUBURBWHITE,WHNCLINC,CLINTONEMAILB,FAVPRES16,GOTVCLINTON,GOTVTRUMP,GOVTANGR16B,HONEST16,NEC2,OBAMA2,PTYIDEO,PTYIDEO7,SPLITTICKET,QUALIFIED16,TEMPERAMENT16,TIME16MONTH,TIME16WEEK,TRUMPWOMENB,QTYPE,SIZEPLAC,SIZEPLC3,CDNUM,REGION,VERSION,GEOCODE,ZIPCODE
138929.0,New Hampshire,,,Complete,Telephone survey,0.0,Gary Johnson,,,Male,,,Independent,Moderate,,High school or less,,,Yes,,,,Unfavorable,Unfavorable,,,,,,,,,,,,The economy,,,Strongly disapprove,Omit,,,,,,In September,,,,Married men,,,,,,,,,,,,No college degree,High school graduate or less,,,,,,,Independent/Something else,,,Independent men,,,,,,Other,,,Neither,,,,,,Disapprove,Moderate/Liberal Republicans,Moderate Independents,,,,Before that,Before that,,National questionnaire,"Cities 50,000-500,000","Cities over 50,000",1.0,East,Version 1,Manchester/Nashua Corridor,3104.0
139103.0,New Hampshire,,,Complete,Telephone survey,0.0,Donald Trump,,,Male,White,50-59,Republican,Conservative,"Under $30,000",High school or less,,,,,,I strongly favor my candidate,,,,,,,Angry,,,No,Omit,,,Foreign policy,,Poor,,Can bring needed change,,,,Yes,Yes,,,,White men,,45-65,30-59,45+,50+,45-59,50-64,45+,18-64,Non-Black 45-59,White 45-59,White 45-64,No college degree,High school graduate or less,White no college degree,White men non college graduates,Less than 100k,Less than 50k,Less than 50 thousand,"Under $50,000 and white",Republican,Non-black non-Democrat,All Republicans,Republican men,White Republican,White,White,White,,Other,Yes,,,,,"Dissatisfied, but not angry or Angry",Omit,Not so good or poor,,Independent/Something else,Conservative Republicans,,,Both,,,,National questionnaire,Rural,Small Cities/Rural,2.0,East,Version 2,Cap Region/Connecticut Valley,3301.0
139104.0,New Hampshire,,,Complete,Telephone survey,0.0,Hillary Clinton,,,Male,White,65 or over,Democrat,Liberal,,High school or less,,,,,,I strongly favor my candidate,,,,,,,"Satisfied, but not enthusiastic",,,Yes,Omit,,,Foreign policy,,Good,,Cares about people like me,,,,Yes,No,,,,White men,,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,No college degree,High school graduate or less,White no college degree,White men non college graduates,,,,,Democrat,Non-black Democrat,White Democrat,Democratic men,White Democrat,White,White,White,,Other,,,,,,"Enthusiastic or satisfied, but not enthusiastic",Only Hillary Clinton,Excellent or good,,Liberal Democrats,Liberal Democrats,,,Only Hillary Clinton,,,,National questionnaire,Rural,Small Cities/Rural,2.0,East,Version 2,Cap Region/Connecticut Valley,3766.0
139105.0,New Hampshire,,,Complete,Telephone survey,0.0,Donald Trump,,,Female,White,65 or over,Independent,Moderate,"$50,000-$99,999",Postgraduate study,,,,,,I like my candidate but with reservations,,,,,,,"Dissatisfied, but not angry",,,No,No,,,The economy,,Not so good,,Can bring needed change,,,,No,No,,,,White women,,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,College graduate,More than High school graduate,White college degree,White women college graduates,Less than 100k,50k or more,50 to 100 thousand,"Over $50,000 and white",Independent/Something else,Non-black non-Democrat,White Independent,Independent women,White Independent,White,White,White,,Other,No,,,,,"Dissatisfied, but not angry or Angry",Neither,Not so good or poor,,Moderate/Liberal Republicans,Moderate Independents,,,Neither,,,,National questionnaire,Rural,Small Cities/Rural,2.0,East,Version 2,North,3579.0
139106.0,New Hampshire,,,Complete,Telephone survey,0.0,Donald Trump,,,Male,Hispanic/Latino,30-39,Independent,,,High school or less,,,,,,I dislike the other candidates,,,,,,,Enthusiastic,,,Yes,Yes,,,The economy,,Good,,Has the right experience,,,,Yes,Yes,,,,Latino men,,30-44,30-59,18-44,18-49,30-44,30-39,18-44,18-64,Non-Black 30-44,Latino 30-44,Latino 30-44,No college degree,High school graduate or less,Non white no college degree,Non-whites,,,,,Independent/Something else,Non-black non-Democrat,Latino Independent,Independent men,All others,Hispanic/Latino,Other,Non-white,,Other,No,,,,,"Enthusiastic or satisfied, but not enthusiastic",Both,Excellent or good,,,,,,Both,,,,National questionnaire,"Cities 50,000-500,000","Cities over 50,000",2.0,East,Version 2,Manchester/Nashua Corridor,3060.0
139304.0,New Hampshire,,,Complete,Telephone survey,0.0,Donald Trump,,,Female,White,65 or over,Republican,Conservative,,Some college/assoc. degree,,,,Donald Trump,,,,,,,,,,,,,,,Omit,,Omit,,,,No,Yes,,,,,Omit,,White women,,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,No college degree,More than High school graduate,White no college degree,White women non college graduates,,,,,Republican,Non-black non-Democrat,All Republicans,Republican women,White Republican,White,White,White,,White suburban women,,,,,,,,,,Independent/Something else,Conservative Republicans,,Only Donald Trump,,,,,National questionnaire,Suburbs,Suburbs,1.0,East,Version 3,Manchester/Nashua Corridor,3110.0
139305.0,New Hampshire,,,Complete,Telephone survey,0.0,Donald Trump,,,Male,White,65 or over,Independent,Conservative,,Postgraduate study,,,,Hillary Clinton,,,,,,,,,,,,,,,Offered a chance to apply for legal status,,About the same,,,,Yes,Yes,,,,,Has no effect on U.S. jobs,,White men,,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,College graduate,More than High school graduate,White college degree,White men college graduates,,,,,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,White Independent,White,White,White,,White suburban men,,,,,,,,,,Moderate/Liberal Republicans,Conservative Independents,,Both,,,,,National questionnaire,Suburbs,Suburbs,2.0,East,Version 3,Manchester/Nashua Corridor,3031.0
139474.0,New Hampshire,,,Complete,Telephone survey,0.0,Donald Trump,,,Male,White,50-59,Independent,Moderate,,Postgraduate study,,,,,,,,,,,About the same,,,Donald Trump,Donald Trump,,,,,,,,,,,,,,,,,,White men,,45-65,30-59,45+,50+,45-59,50-64,45+,18-64,Non-Black 45-59,White 45-59,White 45-64,College graduate,More than High school graduate,White college degree,White men college graduates,,,,,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,White Independent,White,White,White,,Other,,,,,,,,,,Moderate/Liberal Republicans,Moderate Independents,,,,,,,National questionnaire,"Cities 50,000-500,000","Cities over 50,000",1.0,East,Version 4,Manchester/Nashua Corridor,3102.0
139671.0,New Hampshire,,,Complete,Telephone survey,0.0,Hillary Clinton,,,Male,White,65 or over,Independent,Moderate,,Postgraduate study,,No,Yes,Hillary Clinton,A lot,,,,,,,,,,,,,,,,,,,,,,,,,,,A lot,White men,Married men,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,College graduate,More than High school graduate,White college degree,White men college graduates,,,,,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,White Independent,White,White,White,,Other,,A lot or some,,,,,,,,Moderate/Liberal Republicans,Moderate Independents,,,,,,A lot or some,National questionnaire,Rural,Small Cities/Rural,1.0,East,Version 5,North,3838.0
176706.0,New Hampshire,22.0,Call 1,Complete,Election day exit poll,0.854719817638397,Hillary Clinton,Maggie Hassan,Colin Van Ostern,Male,White,50-59,Republican,Moderate,,Some college/assoc. degree,No,No,,,,I strongly favor my candidate,,,,,,,"Satisfied, but not enthusiastic",,,Yes,No,,,The economy,,Excellent,,Has good judgment,,,No group is favored,Yes,No,,,,White men,,45-65,30-59,45+,50+,45-59,50-64,45+,18-64,Non-Black 45-59,White 45-59,White 45-64,No college degree,More than High school graduate,White no college degree,White men non college graduates,,,,,Republican,Non-black non-Democrat,All Republicans,Republican men,White Republican,White,White,White,White,Other,,,,,,"Enthusiastic or satisfied, but not enthusiastic",Only Hillary Clinton,Excellent or good,,Conservative Republicans,Mod./Liberal Republicans,Democratic Senate - voted Clinton,,Only Hillary Clinton,,,,State questionnaire,Rural,Small Cities/Rural,1.0,East,Version 2,North,3813.0
