ID,STANUM,PRECINCT,CALL,BACKSIDE,TELEPOLL,WEIGHT,PRSNY16,SENNY16,HOUNY16,SEX,RACE,AGE8,PARTYID,PHIL3,INCOME16GEN,EDUC12R,LATINO,BRNAGAIN,MARRIED,@2WAYPRES16,ATTEND16,BORNCITIZEN,BREAK12,CHIEF16,CLINTONEMAIL,COUNTACC,DESCRIBP12,FAIRJUSTICE,FAVDEM2,FAVREP2,FAVHCLIN16,FAVTRUMP,FINSIT,FTVOTER,GOVTANGR16,GOVTDO10,HANDLEECON16,HANDLEFP16,HEALTHCARE16,CLINHONEST,TRUMPHONEST,IMMDEPORT,IMMWALL,ISIS16,ISSUE16,LGBT,LIFE,NEC,OBAMA4,OBAMAPLCY16,QLT16,QUALCLINTON,QUALTRUMP,RELIGN10,SUPREME16,TEMPCLINTON,TEMPTRUMP,TIME16,TRACK,TRADE16,TRUMPWOMEN,UNIONHH12,VETVOTER,CLINTONWINGEN,TRUMPWINGEN,SEXBYRACE,SEXWED,AGE,AGE3,AGE45,OVER45,OVER65,AGE49,AGE60,AGE65,AGEBLACK,AGEBYRACE,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,INC100K,INC50K,INCOME3,INCWHITE,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYWHITE,QRACEAI,QRACE3,RACE2B,RACEAI,SUBURBWHITE,WHNCLINC,ATTEND16B,ATTREL,BREAK12A,BREAK12B,CLINTONEMAILB,COUNT2,FAVPRES16,GOVTANGR16B,HONEST16,ISIS16B,NEC2,OBAMA2,PTYIDEO,PTYIDEO7,QUALIFIED16,REL4,REL5,RELWHITE,MORMON,WPROTBRN,WPROTBRN3,WHTEVANG,SPLITTICKET,SUPREME16B,TEMPERAMENT16,TIME16MONTH,TIME16WEEK,TRUMPWOMENB,CLINTONWINGENB,TRUMPWINGENB,QTYPE,SPANISHQ,SIZEPLAC,SIZEPLC3,CDNUM,REGION,VERSION,GEOCODE,ZIPCODE
138936.0, New York,,,Complete,Telephone survey,0.0,Donald Trump,,The Republican candidate,Male,White,45-49,Independent,Conservative,"$30,000-$49,999",College graduate,No,,No,,,,,,,,,,,,Unfavorable,Favorable,,,,,,,,,,,,,The economy,,,,Strongly disapprove,,Can bring needed change,,,,,,,Before that,,,,,,,,White men,Non married men,45-65,30-59,45+,45+,18-64,18-49,45-59,40-49,Non-Black 45-59,White 45-59,White 45-64,College graduate,More than High school graduate,White college degree,White men college graduates,Less than 100k,Less than 50k,Less than 50 thousand,"Under $50,000 and white",Independent/Something else,Non-black non-Democrat,White Independent,Independent men,White Independent,White,White,White,White,Other,No,,,,,,,Only Donald Trump,,,,,Disapprove,Moderate/Liberal Republicans,Conservative Independents,,,,,,,,,,,,Before that,Before that,,,,National questionnaire,English,"Cities 10,000-50,000",Small Cities/Rural,22.0,East,Version 1,5.0,13901.0
138937.0, New York,,,Complete,Telephone survey,0.0,Hillary Clinton,,The Democratic candidate,Female,White,65 or over,Independent,Liberal,,College graduate,No,,Yes,,,,,,,,,,,,Favorable,Unfavorable,,,,,,,,,,,,,Foreign policy,,,,Somewhat disapprove,,Has the right experience,,,,,,,In September,,,,,,,,White women,Married women,65+,60+,45+,45+,65+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,College graduate,More than High school graduate,White college degree,White women college graduates,,,,,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,White Independent,White,White,White,White,White suburban women,No,,,,,,,Only Hillary Clinton,,,,,Disapprove,Moderate/Liberal Republicans,Liberal Independents,,,,,,,,,,,,Before that,Before that,,,,National questionnaire,English,Suburbs,Suburbs,1.0,East,Version 1,2.0,11968.0
138938.0, New York,,,Complete,Telephone survey,0.0,Hillary Clinton,,The Democratic candidate,Female,Hispanic/Latino,50-59,Democrat,Conservative,"Under $30,000",College graduate,Yes,,Yes,,,,,,,,,,,,Favorable,Unfavorable,,,,,,,,,,,,,Immigration,,,,Strongly approve,,Cares about people like me,,,,,,,Before that,,,,,,,,Latino women,Married women,45-65,30-59,45+,45+,18-64,50+,45-59,50-64,Non-Black 45-59,Latino 45-59,Latino 45-64,College graduate,More than High school graduate,Non white college degree,Non-whites,Less than 100k,Less than 50k,Less than 50 thousand,"Under $50,000 and non white",Democrat,Non-black Democrat,Latino Democrat,Democratic women,Non-White Democrats,Black,Other,Non-white,Hispanic/Latino,Other,No,,,,,,,Only Hillary Clinton,,,,,Approve,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,,,,,,,,,,,Before that,Before that,,,,National questionnaire,English,Suburbs,Suburbs,18.0,East,Version 1,3.0,10918.0
138939.0, New York,,,Complete,Telephone survey,0.0,Hillary Clinton,,The Democratic candidate,Female,White,65 or over,Democrat,Liberal,,High school or less,No,,No,,,,,,,,,,,,Favorable,Unfavorable,,,,,,,,,,,,,The economy,,,,Strongly approve,,Has the right experience,,,,,,,In October,,,,,,,,White women,Non married women,65+,60+,45+,45+,65+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,No college degree,High school graduate or less,White no college degree,White women non college graduates,,,,,Democrat,Non-black Democrat,White Democrat,Democratic women,White Democrat,White,White,White,White,White suburban women,,,,,,,,Only Hillary Clinton,,,,,Approve,Liberal Democrats,Liberal Democrats,,,,,,,,,,,,In the last month,Before that,,,,National questionnaire,English,Suburbs,Suburbs,16.0,East,Version 1,3.0,10543.0
138940.0, New York,,,Complete,Telephone survey,0.0,Hillary Clinton,,The Republican candidate,Female,Hispanic/Latino,50-59,Something else,Conservative,"Under $30,000",College graduate,Yes,,Yes,,,,,,,,,,,,Favorable,Favorable,,,,,,,,,,,,,Terrorism,,,,Strongly approve,,Can bring needed change,,,,,,,In the last week,,,,,,,,Latino women,Married women,45-65,30-59,45+,45+,18-64,50+,45-59,50-64,Non-Black 45-59,Latino 45-59,Latino 45-64,College graduate,More than High school graduate,Non white college degree,Non-whites,Less than 100k,Less than 50k,Less than 50 thousand,"Under $50,000 and non white",Independent/Something else,Non-black non-Democrat,Latino Independent,Independent women,All others,Hispanic/Latino,Other,Non-white,Hispanic/Latino,Other,No,,,,,,,Both,,,,,Approve,Moderate/Liberal Republicans,Conservative Independents,,,,,,,,,,,,In the last month,In the last week,,,,National questionnaire,Spanish,"Cities over 500,000","Cities over 50,000",14.0,East,Version 1,1.0,10475.0
138941.0, New York,,,Complete,Telephone survey,0.0,Hillary Clinton,,The Republican candidate,Male,Hispanic/Latino,18-24,Independent,Conservative,"$30,000-$49,999",High school or less,Yes,,No,,,,,,,,,,,,Favorable,Unfavorable,,,,,,,,,,,,,Omit,,,,Strongly approve,,Cares about people like me,,,,,,,In October,,,,,,,,Latino men,Non married men,18-29,18-29,18-44,18-44,18-64,18-49,18-29,18-24,Non-Black 18-29,Latino 18-29,Latino 18-29,No college degree,High school graduate or less,Non white no college degree,Non-whites,Less than 100k,Less than 50k,Less than 50 thousand,"Under $50,000 and non white",Independent/Something else,Non-black non-Democrat,Latino Independent,Independent men,All others,Hispanic/Latino,Other,Non-white,Hispanic/Latino,Other,No,,,,,,,Only Hillary Clinton,,,,,Approve,Moderate/Liberal Republicans,Conservative Independents,,,,,,,,,,,,In the last month,Before that,,,,National questionnaire,English,Suburbs,Suburbs,1.0,East,Version 1,2.0,11722.0
138942.0, New York,,,Complete,Telephone survey,0.0,Hillary Clinton,,The Democratic candidate,Female,Hispanic/Latino,65 or over,Democrat,Liberal,,High school or less,Yes,,No,,,,,,,,,,,,Favorable,Unfavorable,,,,,,,,,,,,,Terrorism,,,,Strongly approve,,Has the right experience,,,,,,,In September,,,,,,,,Latino women,Non married women,65+,60+,45+,45+,65+,50+,60+,65+,Non-Black 60+,Latino 60+,Latino 65+,No college degree,High school graduate or less,Non white no college degree,Non-whites,,,,,Democrat,Non-black Democrat,Latino Democrat,Democratic women,Non-White Democrats,Hispanic/Latino,Other,Non-white,Hispanic/Latino,Other,No,,,,,,,Only Hillary Clinton,,,,,Approve,Liberal Democrats,Liberal Democrats,,,,,,,,,,,,Before that,Before that,,,,National questionnaire,English,"Cities over 500,000","Cities over 50,000",15.0,East,Version 1,1.0,10458.0
138943.0, New York,,,Complete,Telephone survey,0.0,Hillary Clinton,,The Democratic candidate,Male,Black,60-64,Democrat,Moderate,"$50,000-$99,999",High school or less,No,,Yes,,,,,,,,,,,,Favorable,Unfavorable,,,,,,,,,,,,,The economy,,,,Strongly approve,,Can bring needed change,,,,,,,Before that,,,,,,,,Black men,Married men,45-65,60+,45+,45+,18-64,50+,60+,50-64,Black 60+,Black 60+,Black 45-64,No college degree,High school graduate or less,Non white no college degree,Non-whites,Less than 100k,50k or more,50 to 100 thousand,"Over $50,000 and non white",Democrat,Black Democrat,Black Democrat,Democratic men,Non-White Democrats,Black,Black,Non-white,Black,Other,No,,,,,,,Only Hillary Clinton,,,,,Approve,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,,,,,,,,,,,Before that,Before that,,,,National questionnaire,English,"Cities 50,000-500,000","Cities over 50,000",20.0,East,Version 1,3.0,12307.0
138944.0, New York,,,Complete,Telephone survey,0.0,Hillary Clinton,,The Democratic candidate,Female,Black,,Democrat,Liberal,"$100,000-$199,999",College graduate,No,,Yes,,,,,,,,,,,,Favorable,Unfavorable,,,,,,,,,,,,,The economy,,,,Strongly approve,,Has good judgment,,,,,,,Before that,,,,,,,,Black women,Married women,,,,,,,,,,,,College graduate,More than High school graduate,Non white college degree,Non-whites,100k or more,50k or more,100 thousand or more,"Over $50,000 and non white",Democrat,Black Democrat,Black Democrat,Democratic women,Non-White Democrats,Black,Black,Non-white,Black,Other,No,,,,,,,Only Hillary Clinton,,,,,Approve,Liberal Democrats,Liberal Democrats,,,,,,,,,,,,Before that,Before that,,,,National questionnaire,English,Suburbs,Suburbs,2.0,East,Version 1,2.0,11762.0
138945.0, New York,,,Complete,Telephone survey,0.0,Hillary Clinton,,The Democratic candidate,Female,White,30-39,Democrat,Liberal,"$50,000-$99,999",Postgraduate study,No,,Yes,,,,,,,,,,,,Favorable,Unfavorable,,,,,,,,,,,,,Immigration,,,,Strongly approve,,Has good judgment,,,,,,,Before that,,,,,,,,White women,Married women,30-44,30-59,18-44,18-44,18-64,18-49,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,College graduate,More than High school graduate,White college degree,White women college graduates,Less than 100k,50k or more,50 to 100 thousand,"Over $50,000 and white",Democrat,Non-black Democrat,White Democrat,Democratic women,White Democrat,White,White,White,White,Other,No,,,,,,,Only Hillary Clinton,,,,,Approve,Liberal Democrats,Liberal Democrats,,,,,,,,,,,,Before that,Before that,,,,National questionnaire,English,"Cities 50,000-500,000","Cities over 50,000",26.0,East,Version 1,4.0,14223.0
