ID,STANUM,PRECINCT,CALL,BACKSIDE,TELEPOLL,WEIGHT,PRSOH16,SENOH16,SEX,RACE,AGE8,PARTYID,PHIL3,INCOME16GEN,EDUC12R,LATINO,BRNAGAIN,MARRIED,@2WAYPRES16,CHILD12,CLINTONEMAIL,DESCRIBP12,FAVHCLIN16,FAVTRUMP,FAVKASICH,FINSIT,GOTV16,GOVTANGR16,HANDLEECON16,HANDLEFP16,HEALTHCARE16,CLINHONEST,TRUMPHONEST,IMMBETTER,IMMDEPORT,ISSUE16,JOBSIT,LIFE,NEC,OBAMA4,OBAMAPLCY16,QLT16,QUALCLINTON,QUALTRUMP,RACEFACTOR,TEMPCLINTON,TEMPTRUMP,TIME16,TRADE16,TRUMPWOMEN,UNIONHH12,SEXBYRACE,SEXWED,AGE,AGE3,AGE45,AGE49,AGE60,AGE65,OVER45,OVER65,AGEBLACK,AGEBYRACE,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,INC100K,INC50K,INCOME3,INCWHITE,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYWHITE,QRACEAI,QRACE3,RACE2B,RACEAI,SUBURBWHITE,WHNCLINC,CLINTONEMAILB,FAVPRES16,GOTVCLINTON,GOTVTRUMP,GOVTANGR16B,HONEST16,NEC2,OBAMA2,PARENTS,PTYIDEO,PTYIDEO7,QUALIFIED16,REL4,REL5,RELIGN10,RELWHITE,MORMON,SPLITTICKET,TEMPERAMENT16,TIME16MONTH,TIME16WEEK,TRUMPWOMENB,WHTEVANG,WPROTBRN,WPROTBRN3,QTYPE,SIZEPLAC,SIZEPLC3,CDNUM,REGION,VERSION,GEOCODE
193382.0,Ohio,68.0,Call 2,Complete,Election day exit poll,0.959753215312958,Hillary Clinton,,Male,Black,50-59,Democrat,Conservative,,College graduate,No,No,,Hillary Clinton,,,,,,,Better today,"No, not contacted by either",,Hillary Clinton,Hillary Clinton,,,,Help the country,Offered a chance to apply for legal status,,,Better than life today,,,Continue Barack Obama's policies,,,,No group is favored,,,,Takes away U.S. jobs,,,Black men,,45-65,30-59,45+,50+,45-59,50-64,45+,18-64,Black 45-59,Black 45-59,Black 45-64,College graduate,More than High school graduate,Non white college degree,Non-whites,,,,,Democrat,Black Democrat,Black Democrat,Democratic men,Non-White Democrats,Black,Black,Non-white,Black,Other,,,,Not contacted by Hillary Clinton,Not contacted by Donald Trump,,,,,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,"Protestant, Catholic or other Christian",Catholic,Catholic,,Not a mormon,,,,,,All others,No,,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",1.0,Midwest,Version 3,Cinc/Dayton Area
108279.0,Ohio,,,Complete,Telephone survey,2.97672438621521,Hillary Clinton,,Male,Black,50-59,Something else,Moderate,,College graduate,No,Yes,,Hillary Clinton,,,,,,,About the same,"Yes, for Hillary Clinton",,Hillary Clinton,Hillary Clinton,,,,Omit,Offered a chance to apply for legal status,,,About the same,,,Continue Barack Obama's policies,,,,Whites are favored over minorities,,,,Has no effect on U.S. jobs,,,Black men,,45-65,30-59,45+,50+,45-59,50-64,45+,18-64,Black 45-59,Black 45-59,Black 45-64,College graduate,More than High school graduate,Non white college degree,Non-whites,,,,,Independent/Something else,Black non-Democrat,Black Independent,Independent men,All others,Black,Black,Non-white,Black,Other,,,,Contacted by Hillary Clinton,Not contacted by Donald Trump,,,,,,Moderate/Liberal Republicans,Moderate Independents,,None,None,None,,Not a mormon,,,,,,All others,No,,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",13.0,Midwest,Version 3,North
213786.0,Ohio,33.0,Call 3,Complete,Election day exit poll,0.865948796272278,Hillary Clinton,,Male,Black,30-39,Something else,Moderate,,Some college/assoc. degree,No,Yes,,Hillary Clinton,,,,,,,Better today,"No, not contacted by either",,Hillary Clinton,Hillary Clinton,,,,Help the country,Offered a chance to apply for legal status,,,Better than life today,,,Continue Barack Obama's policies,,,,Whites are favored over minorities,,,,Omit,,,Black men,,30-44,30-59,18-44,18-49,30-44,30-39,18-44,18-64,Black 30-44,Black 30-44,Black 30-44,No college degree,More than High school graduate,Non white no college degree,Non-whites,,,,,Independent/Something else,Black non-Democrat,Black Independent,Independent men,All others,Black,Black,Non-white,Black,Other,,,,Not contacted by Hillary Clinton,Not contacted by Donald Trump,,,,,,Moderate/Liberal Republicans,Moderate Independents,,"Protestant, Catholic or other Christian",Protestant/Other Non-Catholic Christian,Other christian,,Not a mormon,,,,,,All others,No,,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",11.0,Midwest,Version 3,Cleveland Area
213618.0,Ohio,73.0,Call 3,Complete,Election day exit poll,0.617138624191284,Hillary Clinton,,Female,Black,25-29,Democrat,Moderate,,Some college/assoc. degree,No,No,,Donald Trump,,,,,,,About the same,"No, not contacted by either",,Donald Trump,Hillary Clinton,,,,Help the country,Deported to the country they came from,,,About the same,,,Continue Barack Obama's policies,,,,No group is favored,,,,Has no effect on U.S. jobs,,,Black women,,18-29,18-29,18-44,18-49,18-29,25-29,18-44,18-64,Black 18-29,Black 18-29,Black 18-29,No college degree,More than High school graduate,Non white no college degree,Non-whites,,,,,Democrat,Black Democrat,Black Democrat,Democratic women,Non-White Democrats,Black,Black,Non-white,Black,Other,,,,Not contacted by Hillary Clinton,Not contacted by Donald Trump,,,,,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,Other religion,Something else,Other,,Not a mormon,,,,,,All others,No,,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",1.0,Midwest,Version 3,Cinc/Dayton Area
211508.0,Ohio,58.0,Call 3,Complete,Election day exit poll,0.705721914768219,Hillary Clinton,,Female,White,50-59,Democrat,Moderate,,High school or less,No,,,Hillary Clinton,,,,,,,,,,,,Was about right,,,,Offered a chance to apply for legal status,,,Better than life today,,,Continue Barack Obama's policies,,Yes,No,,,,,Creates more U.S. jobs,,,White women,,45-65,30-59,45+,50+,45-59,50-64,45+,18-64,Non-Black 45-59,White 45-59,White 45-64,No college degree,High school graduate or less,White no college degree,White women non college graduates,,,,,Democrat,Non-black Democrat,White Democrat,Democratic women,White Democrat,White,White,White,White,White suburban women,,,,,,,,,,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Only Hillary Clinton,"Protestant, Catholic or other Christian",Catholic,Catholic,Catholic,Not a mormon,,,,,,,,,National questionnaire,Suburbs,Suburbs,15.0,Midwest,Version 3,Columbus Area
108292.0,Ohio,,,Complete,Telephone survey,0.379104793071747,Hillary Clinton,,Female,White,65 or over,Democrat,Moderate,,College graduate,No,No,,Hillary Clinton,,,,,,,About the same,"No, not contacted by either",,Hillary Clinton,Hillary Clinton,,,,Help the country,Omit,,,Better than life today,,,Change to more conservative policies,,,,Whites are favored over minorities,,,,Creates more U.S. jobs,,,White women,,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,College graduate,More than High school graduate,White college degree,White women college graduates,,,,,Democrat,Non-black Democrat,White Democrat,Democratic women,White Democrat,White,White,White,White,Other,,,,Not contacted by Hillary Clinton,Not contacted by Donald Trump,,,,,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,"Protestant, Catholic or other Christian",Protestant/Other Non-Catholic Christian,Protestant,Protestant/Other Non-Catholic Christian,Not a mormon,,,,,,All others,No,White Protestant non-evangelical,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",7.0,Midwest,Version 3,Ohio Valley + West
175167.0,Ohio,65.0,Call 1,Complete,Election day exit poll,0.503733456134796,Hillary Clinton,,Female,White,45-49,Democrat,Moderate,,Some college/assoc. degree,No,Yes,Yes,Hillary Clinton,,Some,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A lot,,White women,Married women,45-65,30-59,45+,18-49,45-59,40-49,45+,18-64,Non-Black 45-59,White 45-59,White 45-64,No college degree,More than High school graduate,White no college degree,White women non college graduates,,,,,Democrat,Non-black Democrat,White Democrat,Democratic women,White Democrat,White,White,White,White,White suburban women,,A lot or some,,,,,,,,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,"Protestant, Catholic or other Christian",Protestant/Other Non-Catholic Christian,Protestant,Protestant/Other Non-Catholic Christian,Not a mormon,,,,,A lot or some,White Born-again/Evangelical Christians,Yes,White Protestant evangelical,National questionnaire,Suburbs,Suburbs,10.0,Midwest,Version 5,Cinc/Dayton Area
214174.0,Ohio,128.0,Call 3,Complete,Election day exit poll,0.540030837059021,Hillary Clinton,,Female,White,30-39,Independent,Moderate,,College graduate,No,Yes,Yes,Hillary Clinton,,Some,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A lot,,White women,Married women,30-44,30-59,18-44,18-49,30-44,30-39,18-44,18-64,Non-Black 30-44,White 30-44,White 30-44,College graduate,More than High school graduate,White college degree,White women college graduates,,,,,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,White Independent,White,White,White,White,Other,,A lot or some,,,,,,,,,Moderate/Liberal Republicans,Moderate Independents,,"Protestant, Catholic or other Christian",Protestant/Other Non-Catholic Christian,Protestant,Protestant/Other Non-Catholic Christian,Not a mormon,,,,,A lot or some,White Born-again/Evangelical Christians,Yes,White Protestant evangelical,National questionnaire,"Cities 50,000-500,000","Cities over 50,000",12.0,Midwest,Version 5,Ohio Valley + West
209910.0,Ohio,135.0,Call 3,Complete,Election day exit poll,0.563122630119324,Hillary Clinton,,Female,,45-49,Independent,,,High school or less,No,,,Hillary Clinton,,,,,,,,,,,,Did not go far enough,,,,Omit,,,Worse than life today,,,Omit,,Omit,No,,,,,Creates more U.S. jobs,,,,,45-65,30-59,45+,18-49,45-59,40-49,45+,18-64,,,,No college degree,High school graduate or less,,,,,,,Independent/Something else,,,Independent women,,,,,,Other,,,,,,,,,,,,,Omit,"Protestant, Catholic or other Christian",Protestant/Other Non-Catholic Christian,Other christian,,Not a mormon,,,,,,,,,National questionnaire,"Cities 50,000-500,000","Cities over 50,000",13.0,Midwest,Version 3,North
137226.0,Ohio,,,Complete,Telephone survey,0.909959137439728,Hillary Clinton,,Female,White,60-64,Independent,Liberal,,High school or less,,,,Hillary Clinton,,,,,,,,,,,,Did not go far enough,,,,Omit,,,Better than life today,,,Change to more liberal policies,,Yes,No,,,,,Creates more U.S. jobs,,,White women,,45-65,60+,45+,50+,60+,50-64,45+,18-64,Non-Black 60+,White 60+,White 45-64,No college degree,High school graduate or less,White no college degree,White women non college graduates,,,,,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,White Independent,White,White,White,,White suburban women,,,,,,,,,,,Moderate/Liberal Republicans,Liberal Independents,Only Hillary Clinton,,,,,,,,,,,,,,National questionnaire,Suburbs,Suburbs,11.0,Midwest,Version 3,Cleveland Area
