ID,STANUM,PRECINCT,CALL,BACKSIDE,TELEPOLL,WEIGHT,PRSMN16,SEX,RACE,AGE8,PARTYID,PHIL3,INCOME16GEN,EDUC12R,LATINO,DESCRIBP12,FAIRJUSTICE,FAVHCLIN16,FAVTRUMP,HEALTHCARE16,CLINHONEST,TRUMPHONEST,ISSUE16,LIFE,MARRIED,QLT16,TEMPCLINTON,TEMPTRUMP,TIME16,SEXBYRACE,SEXWED,AGE,AGE3,AGE45,AGE49,AGE60,AGE65,OVER45,OVER65,AGEBLACK,AGEBYRACE,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,INC100K,INC50K,INCOME3,INCWHITE,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYWHITE,QRACEAI,QRACE3,RACE2B,RACEAI,SUBURBWHITE,WHNCLINC,FAVPRES16,HONEST16,PTYIDEO,PTYIDEO7,TEMPERAMENT16,TIME16MONTH,TIME16WEEK,QTYPE,SIZEPLAC,SIZEPLC3,CDNUM,REGION,VERSION,GEOCODE,ZIPCODE
218640.0,Minnesota,29.0,Call 3,Complete,Election day exit poll,1.93005192279816,Hillary Clinton,Male,White,25-29,Republican,Conservative,"$50,000-$99,999",College graduate,No,I strongly favor my candidate,Treats all people fairly,Favorable,Unfavorable,Went too far,No,No,Terrorism,About the same,Yes,Can bring needed change,No,Yes,In September,White men,Married men,18-29,18-29,18-44,18-49,18-29,25-29,18-44,18-64,Non-Black 18-29,White 18-29,White 18-29,College graduate,More than High school graduate,White college degree,White men college graduates,Less than 100k,50k or more,50 to 100 thousand,"Over $50,000 and white",Republican,Non-black non-Democrat,All Republicans,Republican men,White Republican,White,White,White,White,Other,No,Only Hillary Clinton,Neither,Independent/Something else,Conservative Republicans,Only Donald Trump,Before that,Before that,State questionnaire,Rural,Small Cities/Rural,7.0,Midwest,Version 1,5.0,56319.0
221364.0,Minnesota,28.0,Call 3,Complete,Election day exit poll,0.767448008060455,Hillary Clinton,Female,Hispanic/Latino,25-29,Something else,Moderate,"$50,000-$99,999",Some college/assoc. degree,Yes,I dislike the other candidates,Treats blacks unfairly,Favorable,Unfavorable,Was about right,No,No,The economy,Better than life today,No,Has good judgment,Yes,No,Before that,Latino women,Non married women,18-29,18-29,18-44,18-49,18-29,25-29,18-44,18-64,Non-Black 18-29,Latino 18-29,Latino 18-29,No college degree,More than High school graduate,Non white no college degree,Non-whites,Less than 100k,50k or more,50 to 100 thousand,"Over $50,000 and non white",Independent/Something else,Non-black non-Democrat,Latino Independent,Independent women,All others,Other,Other,Non-white,Hispanic/Latino,Other,No,Only Hillary Clinton,Neither,Moderate/Liberal Republicans,Moderate Independents,Only Hillary Clinton,Before that,Before that,State questionnaire,Suburbs,Suburbs,2.0,Midwest,Version 1,2.0,55075.0
218620.0,Minnesota,43.0,Call 3,Complete,Election day exit poll,1.68451356887817,Hillary Clinton,Female,Black,18-24,Independent,Liberal,,Some college/assoc. degree,No,,,,,,,,,,No,,,,,Black women,Non married women,18-29,18-29,18-44,18-49,18-29,18-24,18-44,18-64,Black 18-29,Black 18-29,Black 18-29,No college degree,More than High school graduate,Non white no college degree,Non-whites,,,,,Independent/Something else,Black non-Democrat,Black Independent,Independent women,All others,Black,Black,Non-white,Black,Other,,,,Moderate/Liberal Republicans,Liberal Independents,,,,National questionnaire,"Cities 50,000-500,000","Cities over 50,000",5.0,Midwest,Version 5,1.0,55418.0
183827.0,Minnesota,92.0,Call 1,Complete,Election day exit poll,0.897469699382782,Hillary Clinton,Male,White,60-64,Democrat,Moderate,"$100,000-$199,999",Some college/assoc. degree,No,I strongly favor my candidate,Treats blacks unfairly,Favorable,Unfavorable,Went too far,Yes,No,The economy,Better than life today,Yes,Has good judgment,Yes,No,Before that,White men,Married men,45-65,60+,45+,50+,60+,50-64,45+,18-64,Non-Black 60+,White 60+,White 45-64,No college degree,More than High school graduate,White no college degree,White men non college graduates,100k or more,50k or more,100 thousand or more,"Over $50,000 and white",Democrat,Non-black Democrat,White Democrat,Democratic men,White Democrat,White,White,White,White,White suburban men,No,Only Hillary Clinton,Only Hillary Clinton,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Only Hillary Clinton,Before that,Before that,State questionnaire,Suburbs,Suburbs,2.0,Midwest,Version 1,3.0,55372.0
222659.0,Minnesota,96.0,Call 3,Complete,Election day exit poll,0.783948302268982,Hillary Clinton,Female,Black,18-24,,,,,No,I like my candidate but with reservations,Treats all people fairly,Favorable,Unfavorable,Did not go far enough,Yes,No,Omit,Better than life today,No,Cares about people like me,No,Omit,Before that,Black women,Non married women,18-29,18-29,18-44,18-49,18-29,18-24,18-44,18-64,Black 18-29,Black 18-29,Black 18-29,,,,,,,,,,,,,,Black,Black,Non-white,Black,Other,,Only Hillary Clinton,Only Hillary Clinton,,,Omit,Before that,Before that,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",6.0,Midwest,Version 1,3.0,56304.0
182167.0,Minnesota,32.0,Call 1,Complete,Election day exit poll,1.26832473278046,Hillary Clinton,Female,White,65 or over,Democrat,Liberal,,Some college/assoc. degree,No,,,,,,,,,,,,,,,White women,,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,No college degree,More than High school graduate,White no college degree,White women non college graduates,,,,,Democrat,Non-black Democrat,White Democrat,Democratic women,White Democrat,White,White,White,White,Other,,,,Liberal Democrats,Liberal Democrats,,,,National questionnaire,"Cities 50,000-500,000","Cities over 50,000",3.0,Midwest,Version 4,1.0,55444.0
186215.0,Minnesota,46.0,Call 1,Complete,Election day exit poll,1.17539918422699,Hillary Clinton,Female,White,65 or over,Republican,Moderate,"$100,000-$199,999",Postgraduate study,No,I strongly favor my candidate,Omit,Favorable,Unfavorable,Went too far,Yes,No,The economy,Worse than life today,Yes,Has the right experience,Yes,No,Before that,White women,Married women,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,College graduate,More than High school graduate,White college degree,White women college graduates,100k or more,50k or more,100 thousand or more,"Over $50,000 and white",Republican,Non-black non-Democrat,All Republicans,Republican women,White Republican,White,White,White,White,Other,No,Only Hillary Clinton,Only Hillary Clinton,Conservative Republicans,Mod./Liberal Republicans,Only Hillary Clinton,Before that,Before that,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",5.0,Midwest,Version 1,1.0,55419.0
202410.0,Minnesota,92.0,Call 2,Complete,Election day exit poll,0.822332680225372,Hillary Clinton,Male,Asian,30-39,Independent,Moderate,"$250,000 or more",Postgraduate study,No,I strongly favor my candidate,Treats blacks unfairly,Favorable,Unfavorable,Did not go far enough,Yes,No,The economy,About the same,Yes,Has good judgment,Yes,No,Before that,All other races,Married men,30-44,30-59,18-44,18-49,30-44,30-39,18-44,18-64,Non-Black 30-44,All others,All others,College graduate,More than High school graduate,Non white college degree,Non-whites,100k or more,50k or more,100 thousand or more,"Over $50,000 and non white",Independent/Something else,Non-black non-Democrat,All Other,Independent men,All others,Asian,Other,Non-white,Asian,Other,No,Only Hillary Clinton,Only Hillary Clinton,Moderate/Liberal Republicans,Moderate Independents,Only Hillary Clinton,Before that,Before that,State questionnaire,Suburbs,Suburbs,2.0,Midwest,Version 1,3.0,55372.0
184184.0,Minnesota,89.0,Call 1,Complete,Election day exit poll,1.10009288787842,Hillary Clinton,Female,Hispanic/Latino,30-39,Democrat,Moderate,"$100,000-$199,999",Postgraduate study,Yes,I strongly favor my candidate,Treats blacks unfairly,Favorable,Unfavorable,Did not go far enough,Yes,No,The economy,Better than life today,Yes,Has good judgment,Yes,No,Before that,Latino women,Married women,30-44,30-59,18-44,18-49,30-44,30-39,18-44,18-64,Non-Black 30-44,Latino 30-44,Latino 30-44,College graduate,More than High school graduate,Non white college degree,Non-whites,100k or more,50k or more,100 thousand or more,"Over $50,000 and non white",Democrat,Non-black Democrat,Latino Democrat,Democratic women,Non-White Democrats,White,Other,Non-white,Hispanic/Latino,Other,No,Only Hillary Clinton,Only Hillary Clinton,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Only Hillary Clinton,Before that,Before that,State questionnaire,Suburbs,Suburbs,8.0,Midwest,Version 1,5.0,55720.0
204424.0,Minnesota,51.0,Call 2,Complete,Election day exit poll,1.19723165035248,Hillary Clinton,Male,White,65 or over,Democrat,Liberal,,Some college/assoc. degree,No,,Treats blacks unfairly,,,Did not go far enough,,,,Better than life today,,,,,,White men,,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,No college degree,More than High school graduate,White no college degree,White men non college graduates,,,,,Democrat,Non-black Democrat,White Democrat,Democratic men,White Democrat,White,White,White,White,White suburban men,,,,Liberal Democrats,Liberal Democrats,,,,National questionnaire,Suburbs,Suburbs,3.0,Midwest,Version 3,1.0,55361.0
