ID,STANUM,PRECINCT,CALL,BACKSIDE,TELEPOLL,WEIGHT,PRSNM16,SEX,RACE,AGE8,PARTYID,PHIL3,INCOME16GEN,EDUC12R,LATINO,MARRIED,@2WAYPRES16,CLINTONEMAIL,DESCRIBP12,FAVHCLIN16,FAVTRUMP,FAVJOHNSON,GOVTANGR16,HANDLEECON16,HANDLEFP16,CLINHONEST,TRUMPHONEST,IMMBETTER,IMMDEPORT,IMMWALL,ISSUE16,LIFE,NEC,OBAMA4,QLT16,QUALCLINTON,QUALTRUMP,RACEFACTOR,TEMPCLINTON,TEMPTRUMP,TIME16,TRUMPWOMEN,SEXBYRACE,SEXWED,AGE,AGE3,AGE45,AGE49,AGE60,AGE65,OVER45,OVER65,AGEBLACK,AGEBYRACE,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,INC100K,INC50K,INCOME3,INCWHITE,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYWHITE,QRACEAI,QRACE3,RACE2B,RACEAI,SUBURBWHITE,WHNCLINC,CLINTONEMAILB,FAVPRES16,GOVTANGR16B,HONEST16,NEC2,OBAMA2,PTYIDEO,PTYIDEO7,QUALIFIED16,TEMPERAMENT16,TIME16MONTH,TIME16WEEK,TRUMPWOMENB,QTYPE,SIZEPLAC,SIZEPLC3,CDNUM,REGION,VERSION,GEOCODE,SPANISHQ,ZIPCODE
206347.0, New Mexico,32.0,Call 2,Complete,Election day exit poll,0.762049794197083,Did not vote,Male,Hispanic/Latino,18-24,Democrat,Moderate,"$50,000-$99,999",High school or less,Yes,,,,,Favorable,Unfavorable,Favorable,,Hillary Clinton,Hillary Clinton,,,,,Oppose,The economy,About the same,,Strongly approve,Has good judgment,Yes,No,,,,Before that,,Latino men,,18-29,18-29,18-44,18-49,18-29,18-24,18-44,18-64,Non-Black 18-29,Latino 18-29,Latino 18-29,No college degree,High school graduate or less,Non white no college degree,Non-whites,Less than 100k,50k or more,50 to 100 thousand,"Over $50,000 and non white",Democrat,Non-black Democrat,Latino Democrat,Democratic men,Non-White Democrats,Hispanic/Latino,Other,Non-white,Hispanic/Latino,Other,No,,Only Hillary Clinton,,,,Approve,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Only Hillary Clinton,,Before that,Before that,,State questionnaire,Suburbs,Suburbs,2.0,West,Version 1,4.0,English,88021.0
226532.0, New Mexico,57.0,Call 3,Complete,Election day exit poll,0.510877788066864,Did not vote,Male,Hispanic/Latino,30-39,,,,Some college/assoc. degree,Yes,Yes,Hillary Clinton,Not much,Omit,,,,"Dissatisfied, but not angry",,,Omit,No,Help the country,Offered a chance to apply for legal status,,,,Not so good,,,,,Whites are favored over minorities,Yes,No,,Not much,Latino men,Married men,30-44,30-59,18-44,18-49,30-44,30-39,18-44,18-64,Non-Black 30-44,Latino 30-44,Latino 30-44,No college degree,More than High school graduate,Non white no college degree,Non-whites,,,,,,,,,,Hispanic/Latino,Other,Non-white,Hispanic/Latino,Other,,Not much or not at all,,"Dissatisfied, but not angry or Angry",Omit,Not so good or poor,,,,,Only Hillary Clinton,,,Not much or not at all,State questionnaire,Rural,Small Cities/Rural,2.0,West,Version 2,1.0,English,88130.0
221666.0, New Mexico,72.0,Call 3,Complete,Election day exit poll,0.617816090583801,Did not vote,Female,Hispanic/Latino,45-49,Democrat,Conservative,"Under $30,000",High school or less,Yes,,,,,Unfavorable,Unfavorable,Omit,,Omit,Omit,,,,,Support,Terrorism,About the same,,Strongly disapprove,Has good judgment,No,No,,,,In the last few days,,Latino women,,45-65,30-59,45+,18-49,45-59,40-49,45+,18-64,Non-Black 45-59,Latino 45-59,Latino 45-64,No college degree,High school graduate or less,Non white no college degree,Non-whites,Less than 100k,Less than 50k,Less than 50 thousand,"Under $50,000 and non white",Democrat,Non-black Democrat,Latino Democrat,Democratic women,Non-White Democrats,Hispanic/Latino,Other,Non-white,Hispanic/Latino,Other,No,,Neither,,,,Disapprove,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Neither,,In the last month,In the last week,,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",3.0,West,Version 1,2.0,English,87501.0
223622.0, New Mexico,39.0,Call 3,Complete,Election day exit poll,0.467775046825409,Did not vote,Female,Hispanic/Latino,50-59,Republican,Moderate,"Under $30,000",High school or less,Yes,,,,,Unfavorable,Favorable,Favorable,,Donald Trump,Donald Trump,,,,,Oppose,The economy,Worse than life today,,Somewhat disapprove,Has good judgment,No,Yes,,,,In the last week,,Latino women,,45-65,30-59,45+,50+,45-59,50-64,45+,18-64,Non-Black 45-59,Latino 45-59,Latino 45-64,No college degree,High school graduate or less,Non white no college degree,Non-whites,Less than 100k,Less than 50k,Less than 50 thousand,"Under $50,000 and non white",Republican,Non-black non-Democrat,All Republicans,Republican women,All others,Hispanic/Latino,Other,Non-white,Hispanic/Latino,Other,No,,Only Donald Trump,,,,Disapprove,Conservative Republicans,Mod./Liberal Republicans,Only Donald Trump,,In the last month,In the last week,,State questionnaire,Rural,Small Cities/Rural,2.0,West,Version 1,4.0,English,88061.0
205459.0, New Mexico,1.0,Call 2,Complete,Election day exit poll,0.601107120513916,Did not vote,Female,White,18-24,Independent,Moderate,,Some college/assoc. degree,No,No,Would not have voted,Not much,Omit,,,,"Dissatisfied, but not angry",,,No,No,Help the country,Offered a chance to apply for legal status,,,,Not so good,,,,,Whites are favored over minorities,No,No,,A lot,White women,Non married women,18-29,18-29,18-44,18-49,18-29,18-24,18-44,18-64,Non-Black 18-29,White 18-29,White 18-29,No college degree,More than High school graduate,White no college degree,White women non college graduates,,,,,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,White Independent,White,White,White,White,Other,,Not much or not at all,,"Dissatisfied, but not angry or Angry",Neither,Not so good or poor,,Moderate/Liberal Republicans,Moderate Independents,,Neither,,,A lot or some,State questionnaire,"Cities over 500,000","Cities over 50,000",1.0,West,Version 2,3.0,English,87102.0
205117.0, New Mexico,80.0,Call 2,Complete,Election day exit poll,0.563254237174988,Did not vote,Male,Other,25-29,,Liberal,"Under $30,000",High school or less,No,,,,,Omit,Omit,Omit,,Hillary Clinton,Donald Trump,,,,,Support,Immigration,Worse than life today,,Strongly approve,Cares about people like me,No,No,,,,Omit,,All other races,,18-29,18-29,18-44,18-49,18-29,25-29,18-44,18-64,Non-Black 18-29,All others,All others,No college degree,High school graduate or less,Non white no college degree,Non-whites,Less than 100k,Less than 50k,Less than 50 thousand,"Under $50,000 and non white",,,,,,American Indian,Other,Non-white,American Indian,Other,No,,Omit,,,,Approve,,,Neither,,Omit,Omit,,State questionnaire,Rural,Small Cities/Rural,2.0,West,Version 1,4.0,English,87825.0
223578.0, New Mexico,39.0,Call 3,Complete,Election day exit poll,0.5552077293396,Did not vote,Male,Hispanic/Latino,25-29,Republican,Moderate,"$30,000-$49,999",High school or less,Yes,,,,,Unfavorable,Favorable,Unfavorable,,Donald Trump,Donald Trump,,,,,Support,The economy,Better than life today,,Somewhat approve,Can bring needed change,No,Yes,,,,In the last few days,,Latino men,,18-29,18-29,18-44,18-49,18-29,25-29,18-44,18-64,Non-Black 18-29,Latino 18-29,Latino 18-29,No college degree,High school graduate or less,Non white no college degree,Non-whites,Less than 100k,Less than 50k,Less than 50 thousand,"Under $50,000 and non white",Republican,Non-black non-Democrat,All Republicans,Republican men,All others,White,Other,Non-white,Hispanic/Latino,Other,No,,Only Donald Trump,,,,Approve,Conservative Republicans,Mod./Liberal Republicans,Only Donald Trump,,In the last month,In the last week,,State questionnaire,Rural,Small Cities/Rural,2.0,West,Version 1,4.0,English,88061.0
204802.0, New Mexico,80.0,Call 2,Complete,Election day exit poll,0.54789787530899,Did not vote,Male,Other,50-59,Something else,Conservative,"$250,000 or more",Postgraduate study,No,,,,,Unfavorable,Unfavorable,Unfavorable,,Hillary Clinton,Hillary Clinton,,,,,Oppose,Terrorism,Worse than life today,,Strongly disapprove,Can bring needed change,Omit,Omit,,,,Before that,,All other races,,45-65,30-59,45+,50+,45-59,50-64,45+,18-64,Non-Black 45-59,All others,All others,College graduate,More than High school graduate,Non white college degree,Non-whites,100k or more,50k or more,100 thousand or more,"Over $50,000 and non white",Independent/Something else,Non-black non-Democrat,All Other,Independent men,All others,American Indian,Other,Non-white,American Indian,Other,No,,Neither,,,,Disapprove,Moderate/Liberal Republicans,Conservative Independents,Omit,,Before that,Before that,,State questionnaire,Rural,Small Cities/Rural,2.0,West,Version 1,4.0,English,87825.0
204555.0, New Mexico,2.0,Call 2,Complete,Election day exit poll,0.51975005865097,Did not vote,Female,Hispanic/Latino,50-59,Republican,Moderate,,High school or less,Yes,Yes,Omit,Some,I strongly favor my candidate,,,,"Dissatisfied, but not angry",,,No,No,Help the country,Offered a chance to apply for legal status,,,,Not so good,,,,,Omit,No,Omit,,Omit,Latino women,Married women,45-65,30-59,45+,50+,45-59,50-64,45+,18-64,Non-Black 45-59,Latino 45-59,Latino 45-64,No college degree,High school graduate or less,Non white no college degree,Non-whites,,,,,Republican,Non-black non-Democrat,All Republicans,Republican women,All others,Hispanic/Latino,Other,Non-white,Hispanic/Latino,Other,,A lot or some,,"Dissatisfied, but not angry or Angry",Neither,Not so good or poor,,Conservative Republicans,Mod./Liberal Republicans,,Omit,,,Omit,State questionnaire,"Cities over 500,000","Cities over 50,000",1.0,West,Version 2,3.0,English,87120.0
207033.0, New Mexico,35.0,Call 2,Complete,Election day exit poll,0.564556121826172,Did not vote,Female,Hispanic/Latino,30-39,Independent,Liberal,,Postgraduate study,Yes,No,Would not have voted,A lot,I dislike the other candidates,,,,"Dissatisfied, but not angry",,,No,No,Help the country,Offered a chance to apply for legal status,,,,Not so good,,,,,No group is favored,No,No,,A lot,Latino women,Non married women,30-44,30-59,18-44,18-49,30-44,30-39,18-44,18-64,Non-Black 30-44,Latino 30-44,Latino 30-44,College graduate,More than High school graduate,Non white college degree,Non-whites,,,,,Independent/Something else,Non-black non-Democrat,Latino Independent,Independent women,All others,Hispanic/Latino,Other,Non-white,Hispanic/Latino,Other,,A lot or some,,"Dissatisfied, but not angry or Angry",Neither,Not so good or poor,,Moderate/Liberal Republicans,Liberal Independents,,Neither,,,A lot or some,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",2.0,West,Version 2,4.0,English,88007.0
