ID,STANUM,PRECINCT,CALL,BACKSIDE,TELEPOLL,WEIGHT,PRSAZ16,SENAZ16,PROP205AZ16,SEX,RACE,AGE8,PARTYID,PHIL3,INCOME16GEN,EDUC12R,LATINO,@2WAYPRES16,CLINTONEMAIL,DESCRIBP12,FAVHCLIN16,FAVTRUMP,GOVTANGR16,HANDLEECON16,HANDLEFP16,CLINHONEST,TRUMPHONEST,IMMDEPORT,IMMWALL,ISSUE16,LIFE,NEC,OBAMA4,QLT16,QUALCLINTON,QUALTRUMP,RACEFACTOR,TEMPCLINTON,TEMPTRUMP,TIME16,TRUMPWOMEN,SEXBYRACE,SEXWED,AGE,AGE3,AGE45,AGE49,AGE60,AGE65,OVER45,OVER65,AGEBLACK,AGEBYRACE,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,INC100K,INC50K,INCOME3,INCWHITE,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYWHITE,QRACEAI,QRACE3,RACE2B,RACEAI,SUBURBWHITE,WHNCLINC,CLINTONEMAILB,FAVPRES16,GOVTANGR16B,HONEST16,NEC2,OBAMA2,PTYIDEO,PTYIDEO7,QUALIFIED16,SPLITTICKET,TEMPERAMENT16,TIME16MONTH,TIME16WEEK,TRUMPWOMENB,QTYPE,SIZEPLAC,SIZEPLC3,CDNUM,REGION,VERSION,GEOCODE,SPANISHQ,ZIPCODE
111348.0,Arizona,,,Complete,Telephone survey,3.96698904037476,Hillary Clinton,John McCain,No,Female,Other,18-24,Something else,Conservative,"$30,000-$49,999",Some college/assoc. degree,No,Would not have voted,Some,I like my candidate but with reservations,Favorable,Unfavorable,"Dissatisfied, but not angry",Hillary Clinton,Hillary Clinton,No,No,Offered a chance to apply for legal status,Support,The economy,Worse than life today,Poor,Somewhat disapprove,Has good judgment,Yes,No,Minorities are favored over whites,Yes,Yes,In October,A lot,All other races,,18-29,18-29,18-44,18-49,18-29,18-24,18-44,18-64,Non-Black 18-29,All others,All others,No college degree,More than High school graduate,Non white no college degree,Non-whites,Less than 100k,Less than 50k,Less than 50 thousand,"Under $50,000 and non white",Independent/Something else,Non-black non-Democrat,All Other,Independent women,All others,American Indian,Other,Non-white,American Indian,Other,No,A lot or some,Only Hillary Clinton,"Dissatisfied, but not angry or Angry",Neither,Not so good or poor,Disapprove,Moderate/Liberal Republicans,Conservative Independents,Only Hillary Clinton,Republican Senate - did not vote Trump,Both,In the last month,Before that,A lot or some,State questionnaire,"Cities over 500,000","Cities over 50,000",7.0,West,Version 1,1.0,English,85002.0
111349.0,Arizona,,,Complete,Telephone survey,2.81863284111023,Hillary Clinton,Ann Kirkpatrick,Yes,Female,White,30-39,Independent,Liberal,"$50,000-$99,999",College graduate,No,Hillary Clinton,Not much,I like my candidate but with reservations,Favorable,Unfavorable,Angry,Hillary Clinton,Hillary Clinton,No,No,Offered a chance to apply for legal status,Oppose,The economy,Omit,Not so good,Strongly approve,Omit,Yes,No,Whites are favored over minorities,Yes,No,Before that,A lot,White women,,30-44,30-59,18-44,18-49,30-44,30-39,18-44,18-64,Non-Black 30-44,White 30-44,White 30-44,College graduate,More than High school graduate,White college degree,White women college graduates,Less than 100k,50k or more,50 to 100 thousand,"Over $50,000 and white",Independent/Something else,Non-black non-Democrat,White Independent,Independent women,White Independent,White,White,White,White,Other,No,Not much or not at all,Only Hillary Clinton,"Dissatisfied, but not angry or Angry",Neither,Not so good or poor,Approve,Moderate/Liberal Republicans,Liberal Independents,Only Hillary Clinton,Democratic Senate - voted Clinton,Only Hillary Clinton,Before that,Before that,A lot or some,State questionnaire,"Cities over 500,000","Cities over 50,000",7.0,West,Version 1,1.0,English,85003.0
111350.0,Arizona,,,Complete,Telephone survey,0.426467776298523,Hillary Clinton,Ann Kirkpatrick,Yes,Female,White,60-64,Democrat,Liberal,,Some college/assoc. degree,No,Hillary Clinton,Some,I like my candidate but with reservations,Favorable,Unfavorable,Enthusiastic,Hillary Clinton,Hillary Clinton,Yes,No,Offered a chance to apply for legal status,Oppose,The economy,Better than life today,Good,Strongly approve,Has good judgment,Yes,No,Whites are favored over minorities,Yes,No,Before that,A lot,White women,,45-65,60+,45+,50+,60+,50-64,45+,18-64,Non-Black 60+,White 60+,White 45-64,No college degree,More than High school graduate,White no college degree,White women non college graduates,,,,,Democrat,Non-black Democrat,White Democrat,Democratic women,White Democrat,White,White,White,White,Other,,A lot or some,Only Hillary Clinton,"Enthusiastic or satisfied, but not enthusiastic",Only Hillary Clinton,Excellent or good,Approve,Liberal Democrats,Liberal Democrats,Only Hillary Clinton,Democratic Senate - voted Clinton,Only Hillary Clinton,Before that,Before that,A lot or some,State questionnaire,"Cities over 500,000","Cities over 50,000",7.0,West,Version 1,1.0,English,85003.0
111351.0,Arizona,,,Complete,Telephone survey,1.38088047504425,Hillary Clinton,Ann Kirkpatrick,Yes,Male,Hispanic/Latino,30-39,Something else,Liberal,"$30,000-$49,999",College graduate,Yes,Hillary Clinton,Some,I like my candidate but with reservations,Favorable,Unfavorable,"Satisfied, but not enthusiastic",Hillary Clinton,Hillary Clinton,Yes,No,Offered a chance to apply for legal status,Oppose,The economy,About the same,Not so good,Somewhat approve,Has good judgment,Yes,No,Whites are favored over minorities,Yes,No,Before that,A lot,Latino men,,30-44,30-59,18-44,18-49,30-44,30-39,18-44,18-64,Non-Black 30-44,Latino 30-44,Latino 30-44,College graduate,More than High school graduate,Non white college degree,Non-whites,Less than 100k,Less than 50k,Less than 50 thousand,"Under $50,000 and non white",Independent/Something else,Non-black non-Democrat,Latino Independent,Independent men,All others,Hispanic/Latino,Other,Non-white,Hispanic/Latino,Other,No,A lot or some,Only Hillary Clinton,"Enthusiastic or satisfied, but not enthusiastic",Only Hillary Clinton,Not so good or poor,Approve,Moderate/Liberal Republicans,Liberal Independents,Only Hillary Clinton,Democratic Senate - voted Clinton,Only Hillary Clinton,Before that,Before that,A lot or some,State questionnaire,"Cities over 500,000","Cities over 50,000",7.0,West,Version 1,1.0,English,85003.0
111352.0,Arizona,,,Complete,Telephone survey,3.81740570068359,Hillary Clinton,Ann Kirkpatrick,Yes,Female,White,18-24,Democrat,Liberal,"$50,000-$99,999",Some college/assoc. degree,No,Hillary Clinton,Not much,I strongly favor my candidate,Favorable,Unfavorable,"Satisfied, but not enthusiastic",Hillary Clinton,Hillary Clinton,Yes,No,Offered a chance to apply for legal status,Oppose,Foreign policy,Omit,Good,Strongly approve,Has good judgment,Yes,No,Whites are favored over minorities,Yes,No,Before that,A lot,White women,,18-29,18-29,18-44,18-49,18-29,18-24,18-44,18-64,Non-Black 18-29,White 18-29,White 18-29,No college degree,More than High school graduate,White no college degree,White women non college graduates,Less than 100k,50k or more,50 to 100 thousand,"Over $50,000 and white",Democrat,Non-black Democrat,White Democrat,Democratic women,White Democrat,White,White,White,White,Other,No,Not much or not at all,Only Hillary Clinton,"Enthusiastic or satisfied, but not enthusiastic",Only Hillary Clinton,Excellent or good,Approve,Liberal Democrats,Liberal Democrats,Only Hillary Clinton,Democratic Senate - voted Clinton,Only Hillary Clinton,Before that,Before that,A lot or some,State questionnaire,"Cities over 500,000","Cities over 50,000",7.0,West,Version 1,1.0,English,85003.0
111353.0,Arizona,,,Complete,Telephone survey,1.36496949195862,Hillary Clinton,Ann Kirkpatrick,Yes,Male,White,50-59,Independent,Liberal,"$50,000-$99,999",Some college/assoc. degree,No,Hillary Clinton,Not much,I like my candidate but with reservations,Favorable,Unfavorable,"Satisfied, but not enthusiastic",Hillary Clinton,Hillary Clinton,Yes,No,Offered a chance to apply for legal status,Oppose,The economy,Worse than life today,Good,Strongly approve,Cares about people like me,Yes,No,Whites are favored over minorities,Yes,No,In September,A lot,White men,,45-65,30-59,45+,50+,45-59,50-64,45+,18-64,Non-Black 45-59,White 45-59,White 45-64,No college degree,More than High school graduate,White no college degree,White men non college graduates,Less than 100k,50k or more,50 to 100 thousand,"Over $50,000 and white",Independent/Something else,Non-black non-Democrat,White Independent,Independent men,White Independent,White,White,White,White,Other,No,Not much or not at all,Only Hillary Clinton,"Enthusiastic or satisfied, but not enthusiastic",Only Hillary Clinton,Excellent or good,Approve,Moderate/Liberal Republicans,Liberal Independents,Only Hillary Clinton,Democratic Senate - voted Clinton,Only Hillary Clinton,Before that,Before that,A lot or some,State questionnaire,"Cities over 500,000","Cities over 50,000",7.0,West,Version 1,1.0,English,85004.0
111354.0,Arizona,,,Complete,Telephone survey,1.38088047504425,Hillary Clinton,Ann Kirkpatrick,Yes,Male,Hispanic/Latino,30-39,Independent,Liberal,"Under $30,000",College graduate,Yes,Hillary Clinton,Not at all,I like my candidate but with reservations,Favorable,Unfavorable,"Dissatisfied, but not angry",Hillary Clinton,Hillary Clinton,Yes,Yes,Offered a chance to apply for legal status,Support,The economy,Better than life today,Good,Strongly approve,Has the right experience,Yes,No,No group is favored,Yes,No,In October,Some,Latino men,,30-44,30-59,18-44,18-49,30-44,30-39,18-44,18-64,Non-Black 30-44,Latino 30-44,Latino 30-44,College graduate,More than High school graduate,Non white college degree,Non-whites,Less than 100k,Less than 50k,Less than 50 thousand,"Under $50,000 and non white",Independent/Something else,Non-black non-Democrat,Latino Independent,Independent men,All others,Hispanic/Latino,Other,Non-white,Hispanic/Latino,Other,No,Not much or not at all,Only Hillary Clinton,"Dissatisfied, but not angry or Angry",Both,Excellent or good,Approve,Moderate/Liberal Republicans,Liberal Independents,Only Hillary Clinton,Democratic Senate - voted Clinton,Only Hillary Clinton,In the last month,Before that,A lot or some,State questionnaire,"Cities over 500,000","Cities over 50,000",7.0,West,Version 1,1.0,English,85004.0
111355.0,Arizona,,,Complete,Telephone survey,2.05316138267517,Hillary Clinton,Ann Kirkpatrick,Yes,Female,White,45-49,Democrat,Liberal,"$200.000-$249,999",Some college/assoc. degree,No,Hillary Clinton,Not much,I like my candidate but with reservations,Favorable,Unfavorable,"Dissatisfied, but not angry",Hillary Clinton,Hillary Clinton,Yes,No,Offered a chance to apply for legal status,Oppose,Omit,Better than life today,Good,Strongly approve,Has the right experience,Yes,No,Whites are favored over minorities,Yes,No,Before that,A lot,White women,,45-65,30-59,45+,18-49,45-59,40-49,45+,18-64,Non-Black 45-59,White 45-59,White 45-64,No college degree,More than High school graduate,White no college degree,White women non college graduates,100k or more,50k or more,100 thousand or more,"Over $50,000 and white",Democrat,Non-black Democrat,White Democrat,Democratic women,White Democrat,White,White,White,White,Other,No,Not much or not at all,Only Hillary Clinton,"Dissatisfied, but not angry or Angry",Only Hillary Clinton,Excellent or good,Approve,Liberal Democrats,Liberal Democrats,Only Hillary Clinton,Democratic Senate - voted Clinton,Only Hillary Clinton,Before that,Before that,A lot or some,State questionnaire,"Cities over 500,000","Cities over 50,000",7.0,West,Version 1,1.0,English,85006.0
111356.0,Arizona,,,Complete,Telephone survey,1.36496949195862,Hillary Clinton,Ann Kirkpatrick,Yes,Male,White,50-59,Democrat,Moderate,"Under $30,000",Postgraduate study,No,Would not have voted,Not at all,I dislike the other candidates,Unfavorable,Unfavorable,"Dissatisfied, but not angry",Hillary Clinton,Hillary Clinton,Yes,No,Offered a chance to apply for legal status,Oppose,Terrorism,Better than life today,Not so good,Strongly approve,Has good judgment,Yes,No,No group is favored,Yes,No,Before that,Some,White men,,45-65,30-59,45+,50+,45-59,50-64,45+,18-64,Non-Black 45-59,White 45-59,White 45-64,College graduate,More than High school graduate,White college degree,White men college graduates,Less than 100k,Less than 50k,Less than 50 thousand,"Under $50,000 and white",Democrat,Non-black Democrat,White Democrat,Democratic men,White Democrat,White,White,White,White,Other,No,Not much or not at all,Neither,"Dissatisfied, but not angry or Angry",Only Hillary Clinton,Not so good or poor,Approve,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Only Hillary Clinton,Democratic Senate - voted Clinton,Only Hillary Clinton,Before that,Before that,A lot or some,State questionnaire,"Cities over 500,000","Cities over 50,000",7.0,West,Version 1,1.0,English,85006.0
111357.0,Arizona,,,Complete,Telephone survey,2.15119171142578,Hillary Clinton,Ann Kirkpatrick,Yes,Female,Hispanic/Latino,18-24,Democrat,Moderate,"Under $30,000",Some college/assoc. degree,Yes,Hillary Clinton,Not much,I strongly favor my candidate,Favorable,Unfavorable,"Dissatisfied, but not angry",Hillary Clinton,Hillary Clinton,Yes,No,Offered a chance to apply for legal status,Oppose,The economy,Better than life today,Not so good,Somewhat disapprove,Has the right experience,Yes,No,Whites are favored over minorities,Yes,No,Before that,A lot,Latino women,,18-29,18-29,18-44,18-49,18-29,18-24,18-44,18-64,Non-Black 18-29,Latino 18-29,Latino 18-29,No college degree,More than High school graduate,Non white no college degree,Non-whites,Less than 100k,Less than 50k,Less than 50 thousand,"Under $50,000 and non white",Democrat,Non-black Democrat,Latino Democrat,Democratic women,Non-White Democrats,American Indian,Other,Non-white,Hispanic/Latino,Other,No,Not much or not at all,Only Hillary Clinton,"Dissatisfied, but not angry or Angry",Only Hillary Clinton,Not so good or poor,Disapprove,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Only Hillary Clinton,Democratic Senate - voted Clinton,Only Hillary Clinton,Before that,Before that,A lot or some,State questionnaire,"Cities over 500,000","Cities over 50,000",7.0,West,Version 1,1.0,English,85006.0
