ID,STANUM,PRECINCT,CALL,BACKSIDE,TELEPOLL,WEIGHT,PRSIL16,SENIL16,HOUIL16,SEX,RACE,AGE8,PARTYID,PHIL3,INCOME16GEN,EDUC12R,LATINO,BRNAGAIN,MARRIED,@2WAYPRES16,ATTEND16,BORNCITIZEN,BREAK12,CHIEF16,CLINTONEMAIL,COUNTACC,DESCRIBP12,FAIRJUSTICE,FAVDEM2,FAVREP2,FAVHCLIN16,FAVTRUMP,FINSIT,FTVOTER,GOVTANGR16,GOVTDO10,HANDLEECON16,HANDLEFP16,HEALTHCARE16,CLINHONEST,TRUMPHONEST,IMMDEPORT,IMMWALL,ISIS16,ISSUE16,LGBT,LIFE,NEC,OBAMA4,OBAMAPLCY16,QLT16,QUALCLINTON,QUALTRUMP,RELIGN10,SUPREME16,TEMPCLINTON,TEMPTRUMP,TIME16,TRACK,TRADE16,TRUMPWOMEN,UNIONHH12,VETVOTER,CLINTONWINGEN,TRUMPWINGEN,SEXBYRACE,SEXWED,AGE,AGE3,AGE45,AGE49,AGE60,AGE65,OVER45,OVER65,AGEBLACK,AGEBYRACE,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,INC100K,INC50K,INCOME3,INCWHITE,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYWHITE,QRACEAI,QRACE3,RACE2B,RACEAI,SUBURBWHITE,WHNCLINC,ATTEND16B,ATTREL,BREAK12A,BREAK12B,CLINTONEMAILB,COUNT2,FAVPRES16,GOVTANGR16B,HONEST16,ISIS16B,NEC2,OBAMA2,PTYIDEO,PTYIDEO7,QUALIFIED16,REL4,REL5,RELWHITE,MORMON,WPROTBRN,WPROTBRN3,WHTEVANG,SPLITTICKET,SUPREME16B,TEMPERAMENT16,TIME16MONTH,TIME16WEEK,TRUMPWOMENB,CLINTONWINGENB,TRUMPWINGENB,QTYPE,SPANISHQ,SIZEPLAC,SIZEPLC3,CDNUM,REGION,VERSION,GEOCODE,ZIPCODE
138845.0, Illinois,,,Complete,Telephone survey,0.0,Other,,The Democratic candidate,Female,,50-59,Something else,,,Some college/assoc. degree,,,,,,,,,,,,,,,Omit,Omit,,,,,,,,,,,,,The economy,,,,Somewhat approve,,Omit,,,,,,,Omit,,,,,,,,,,45-65,30-59,45+,50+,45-59,50-64,45+,18-64,,,,No college degree,More than High school graduate,,,,,,,Independent/Something else,,,Independent women,,,,,,Other,,,,,,,,Omit,,,,,Approve,,,,,,,,,,,,,,Omit,Omit,,,,National questionnaire,,"Cities over 500,000","Cities over 50,000",2.0,Midwest,Version 1,1.0,60617.0
138846.0, Illinois,,,Complete,Telephone survey,0.0,Hillary Clinton,,The Democratic candidate,Male,White,60-64,Independent,Liberal,"$50,000-$99,999",Some college/assoc. degree,No,,Yes,,,,,,,,,,,,Favorable,Unfavorable,,,,,,,,,,,,,The economy,,,,Strongly approve,,Has good judgment,,,,,,,In September,,,,,,,,White men,Married men,45-65,60+,45+,50+,60+,50-64,45+,18-64,Non-Black 60+,White 60+,White 45-64,No college degree,More than High school graduate,White no college degree,White men non college graduates,Less than 100k,50k or more,50 to 100 thousand,"Over $50,000 and white",Independent/Something else,Non-black non-Democrat,White Independent,Independent men,White Independent,White,White,White,White,White suburban men,No,,,,,,,Only Hillary Clinton,,,,,Approve,Moderate/Liberal Republicans,Liberal Independents,,,,,,,,,,,,Before that,Before that,,,,National questionnaire,English,Suburbs,Suburbs,16.0,Midwest,Version 1,4.0,61115.0
138847.0, Illinois,,,Complete,Telephone survey,0.0,Hillary Clinton,,The Democratic candidate,Female,White,65 or over,Democrat,Liberal,,High school or less,No,,No,,,,,,,,,,,,Favorable,Unfavorable,,,,,,,,,,,,,Terrorism,,,,Strongly approve,,Has the right experience,,,,,,,Omit,,,,,,,,White women,Non married women,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,No college degree,High school graduate or less,White no college degree,White women non college graduates,,,,,Democrat,Non-black Democrat,White Democrat,Democratic women,White Democrat,White,White,White,White,White suburban women,,,,,,,,Only Hillary Clinton,,,,,Approve,Liberal Democrats,Liberal Democrats,,,,,,,,,,,,Omit,Omit,,,,National questionnaire,English,Suburbs,Suburbs,12.0,Midwest,Version 1,5.0,62024.0
138848.0, Illinois,,,Complete,Telephone survey,0.0,Donald Trump,,The Republican candidate,Male,White,65 or over,Republican,Conservative,"$50,000-$99,999",High school or less,No,,No,,,,,,,,,,,,Unfavorable,Favorable,,,,,,,,,,,,,The economy,,,,Strongly disapprove,,Can bring needed change,,,,,,,Before that,,,,,,,,White men,Non married men,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,No college degree,High school graduate or less,White no college degree,White men non college graduates,Less than 100k,50k or more,50 to 100 thousand,"Over $50,000 and white",Republican,Non-black non-Democrat,All Republicans,Republican men,White Republican,White,White,White,White,White suburban men,No,,,,,,,Only Donald Trump,,,,,Disapprove,Independent/Something else,Conservative Republicans,,,,,,,,,,,,Before that,Before that,,,,National questionnaire,English,Suburbs,Suburbs,2.0,Midwest,Version 1,3.0,60423.0
138849.0, Illinois,,,Complete,Telephone survey,0.0,Hillary Clinton,,The Democratic candidate,Male,Other,65 or over,Democrat,Liberal,"Under $30,000",High school or less,No,,Yes,,,,,,,,,,,,Favorable,Unfavorable,,,,,,,,,,,,,Foreign policy,,,,Strongly approve,,Has the right experience,,,,,,,Before that,,,,,,,,All other races,Married men,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,All others,All others,No college degree,High school graduate or less,Non white no college degree,Non-whites,Less than 100k,Less than 50k,Less than 50 thousand,"Under $50,000 and non white",Democrat,Non-black Democrat,All Other,Democratic men,Non-White Democrats,Other,Other,Non-white,Other,Other,No,,,,,,,Only Hillary Clinton,,,,,Approve,Liberal Democrats,Liberal Democrats,,,,,,,,,,,,Before that,Before that,,,,National questionnaire,English,"Cities over 500,000","Cities over 50,000",1.0,Midwest,Version 1,1.0,60617.0
138850.0, Illinois,,,Complete,Telephone survey,0.0,Donald Trump,,The Democratic candidate,Female,White,60-64,Something else,Moderate,"Under $30,000",Some college/assoc. degree,No,,No,,,,,,,,,,,,Unfavorable,Unfavorable,,,,,,,,,,,,,Immigration,,,,Strongly disapprove,,Can bring needed change,,,,,,,In October,,,,,,,,White women,Non married women,45-65,60+,45+,50+,60+,50-64,45+,18-64,Non-Black 60+,White 60+,White 45-64,No college degree,More than High school graduate,White no college degree,White women non college graduates,Less than 100k,Less than 50k,Less than 50 thousand,"Under $50,000 and white",Independent/Something else,Non-black non-Democrat,White Independent,Independent women,White Independent,White,White,White,White,White suburban women,Yes,,,,,,,Neither,,,,,Disapprove,Moderate/Liberal Republicans,Moderate Independents,,,,,,,,,,,,In the last month,Before that,,,,National questionnaire,English,Suburbs,Suburbs,13.0,Midwest,Version 1,5.0,62040.0
138851.0, Illinois,,,Complete,Telephone survey,0.0,Donald Trump,,The Republican candidate,Male,White,65 or over,Republican,Conservative,"$100,000-$199,999",Postgraduate study,No,,Yes,,,,,,,,,,,,Unfavorable,Favorable,,,,,,,,,,,,,Terrorism,,,,Strongly disapprove,,Has good judgment,,,,,,,Before that,,,,,,,,White men,Married men,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,College graduate,More than High school graduate,White college degree,White men college graduates,100k or more,50k or more,100 thousand or more,"Over $50,000 and white",Republican,Non-black non-Democrat,All Republicans,Republican men,White Republican,White,White,White,White,Other,No,,,,,,,Only Donald Trump,,,,,Disapprove,Independent/Something else,Conservative Republicans,,,,,,,,,,,,Before that,Before that,,,,National questionnaire,English,"Cities 50,000-500,000","Cities over 50,000",14.0,Midwest,Version 1,3.0,60565.0
138852.0, Illinois,,,Complete,Telephone survey,0.0,Hillary Clinton,,,Female,,,,,,,,,,,,,,,,,,,,,Omit,Omit,,,,,,,,,,,,,Omit,,,,Omit,,Omit,,,,,,,Omit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,,,,,,,,Omit,,,,,Omit,,,,,,,,,,,,,,Omit,Omit,,,,National questionnaire,,"Cities over 500,000","Cities over 50,000",7.0,Midwest,Version 1,1.0,60644.0
138853.0, Illinois,,,Complete,Telephone survey,0.0,Gary Johnson,,The Democratic candidate,Male,White,25-29,Democrat,Moderate,"$30,000-$49,999",College graduate,No,,No,,,,,,,,,,,,Unfavorable,Unfavorable,,,,,,,,,,,,,The economy,,,,Somewhat approve,,Can bring needed change,,,,,,,In the last week,,,,,,,,White men,Non married men,18-29,18-29,18-44,18-49,18-29,25-29,18-44,18-64,Non-Black 18-29,White 18-29,White 18-29,College graduate,More than High school graduate,White college degree,White men college graduates,Less than 100k,Less than 50k,Less than 50 thousand,"Under $50,000 and white",Democrat,Non-black Democrat,White Democrat,Democratic men,White Democrat,White,White,White,White,Other,No,,,,,,,Neither,,,,,Approve,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,,,,,,,,,,,In the last month,In the last week,,,,National questionnaire,English,Rural,Small Cities/Rural,16.0,Midwest,Version 1,4.0,61364.0
138854.0, Illinois,,,Complete,Telephone survey,0.0,Donald Trump,,The Republican candidate,Female,White,18-24,Republican,Conservative,"$30,000-$49,999",Some college/assoc. degree,No,,No,,,,,,,,,,,,Unfavorable,Favorable,,,,,,,,,,,,,Terrorism,,,,Somewhat disapprove,,Can bring needed change,,,,,,,Before that,,,,,,,,White women,Non married women,18-29,18-29,18-44,18-49,18-29,18-24,18-44,18-64,Non-Black 18-29,White 18-29,White 18-29,No college degree,More than High school graduate,White no college degree,White women non college graduates,Less than 100k,Less than 50k,Less than 50 thousand,"Under $50,000 and white",Republican,Non-black non-Democrat,All Republicans,Republican women,White Republican,White,White,White,White,White suburban women,Yes,,,,,,,Only Donald Trump,,,,,Disapprove,Independent/Something else,Conservative Republicans,,,,,,,,,,,,Before that,Before that,,,,National questionnaire,English,Suburbs,Suburbs,17.0,Midwest,Version 1,4.0,61443.0
