ID,STANUM,PRECINCT,CALL,BACKSIDE,TELEPOLL,WEIGHT,PRSKY16,SENKY16,SEX,RACE,AGE8,PARTYID,PHIL3,INCOME16GEN,EDUC12R,LATINO,BRNAGAIN,COALHH,DESCRIBP12,FAVHCLIN16,FAVTRUMP,CLINHONEST,TRUMPHONEST,ISSUE16,LIFE,MARRIED,QLT16,TIME16,SEXBYRACE,SEXWED,AGE,AGE3,AGE45,AGE49,AGE60,AGE65,OVER45,OVER65,AGEBLACK,AGEBYRACE,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,INC100K,INC50K,INCOME3,INCWHITE,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYWHITE,QRACEAI,QRACE3,RACE2B,RACEAI,SUBURBWHITE,WHNCLINC,FAVPRES16,HONEST16,PTYIDEO,PTYIDEO7,SPLITTICKET,TIME16MONTH,TIME16WEEK,WHTEVANG,QTYPE,SIZEPLAC,SIZEPLC3,CDNUM,REGION,VERSION,GEOCODE,ZIPCODE
138879.0,Kentucky,,,Complete,Telephone survey,0.0,Hillary Clinton,,Female,Black,50-59,Democrat,Liberal,,High school or less,,,,,Favorable,Unfavorable,,,Terrorism,,Yes,Has good judgment,In September,Black women,Married women,45-65,30-59,45+,50+,45-59,50-64,45+,18-64,Black 45-59,Black 45-59,Black 45-64,No college degree,High school graduate or less,Non white no college degree,Non-whites,,,,,Democrat,Black Democrat,Black Democrat,Democratic women,Non-White Democrats,Black,Black,Non-white,,Other,No,Only Hillary Clinton,,Liberal Democrats,Liberal Democrats,,Before that,Before that,,National questionnaire,"Cities over 500,000","Cities over 50,000",3.0,South,Version 1,4.0,40216.0
138880.0,Kentucky,,,Complete,Telephone survey,0.0,Hillary Clinton,,Female,Black,65 or over,Democrat,Moderate,,High school or less,,,,,Favorable,Unfavorable,,,The economy,,No,Omit,Before that,Black women,Non married women,65+,60+,45+,50+,60+,65+,45+,65+,Black 60+,Black 60+,Black 65+,No college degree,High school graduate or less,Non white no college degree,Non-whites,,,,,Democrat,Black Democrat,Black Democrat,Democratic women,Non-White Democrats,Black,Black,Non-white,,Other,No,Only Hillary Clinton,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,Before that,Before that,,National questionnaire,Rural,Small Cities/Rural,6.0,South,Version 1,1.0,40353.0
138881.0,Kentucky,,,Complete,Telephone survey,0.0,Donald Trump,,Male,White,40-44,Independent,Moderate,,,,,,,Unfavorable,Omit,,,The economy,,Yes,Has the right experience,Before that,White men,Married men,30-44,30-59,18-44,18-49,30-44,40-49,18-44,18-64,Non-Black 30-44,White 30-44,White 30-44,,,,,,,,,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,White Independent,White,White,White,,Other,,Omit,,Moderate/Liberal Republicans,Moderate Independents,,Before that,Before that,,National questionnaire,Rural,Small Cities/Rural,4.0,South,Version 1,1.0,41523.0
139046.0,Kentucky,,,Complete,Telephone survey,0.0,Hillary Clinton,,Female,White,40-44,Democrat,Liberal,"$30,000-$49,999",College graduate,,,,I like my candidate but with reservations,,,Yes,No,The economy,,,Can bring needed change,,White women,,30-44,30-59,18-44,18-49,30-44,40-49,18-44,18-64,Non-Black 30-44,White 30-44,White 30-44,College graduate,More than High school graduate,White college degree,White women college graduates,Less than 100k,Less than 50k,Less than 50 thousand,"Under $50,000 and white",Democrat,Non-black Democrat,White Democrat,Democratic women,White Democrat,White,White,White,,Other,No,,Only Hillary Clinton,Liberal Democrats,Liberal Democrats,,,,,National questionnaire,"Cities 50,000-500,000","Cities over 50,000",6.0,South,Version 2,2.0,40503.0
139250.0,Kentucky,,,Complete,Telephone survey,0.0,Donald Trump,,Female,White,45-49,Republican,Moderate,,High school or less,,,,,,,,,,Worse than life today,,,,White women,,45-65,30-59,45+,18-49,45-59,40-49,45+,18-64,Non-Black 45-59,White 45-59,White 45-64,No college degree,High school graduate or less,White no college degree,White women non college graduates,,,,,Republican,Non-black non-Democrat,All Republicans,Republican women,White Republican,White,White,White,,Other,,,,Conservative Republicans,Mod./Liberal Republicans,,,,,National questionnaire,Rural,Small Cities/Rural,5.0,South,Version 3,1.0,40741.0
139251.0,Kentucky,,,Complete,Telephone survey,0.0,Hillary Clinton,,Male,Hispanic/Latino,60-64,Democrat,Moderate,,Some college/assoc. degree,,,,,,,,,,Omit,,,,Latino men,,45-65,60+,45+,50+,60+,50-64,45+,18-64,Non-Black 60+,Latino 60+,Latino 45-64,No college degree,More than High school graduate,Non white no college degree,Non-whites,,,,,Democrat,Non-black Democrat,Latino Democrat,Democratic men,Non-White Democrats,Hispanic/Latino,Other,Non-white,,Other,,,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,,,,National questionnaire,"Cities over 500,000","Cities over 50,000",3.0,South,Version 3,4.0,40216.0
139252.0,Kentucky,,,Complete,Telephone survey,0.0,Donald Trump,,Male,White,65 or over,Republican,Conservative,,High school or less,,,,,,,,,,Worse than life today,,,,White men,,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,No college degree,High school graduate or less,White no college degree,White men non college graduates,,,,,Republican,Non-black non-Democrat,All Republicans,Republican men,White Republican,White,White,White,,Other,,,,Independent/Something else,Conservative Republicans,,,,,National questionnaire,Rural,Small Cities/Rural,5.0,South,Version 3,1.0,40741.0
139253.0,Kentucky,,,Complete,Telephone survey,0.0,Hillary Clinton,,Female,White,40-44,Something else,Liberal,,High school or less,,,,,,,,,,Better than life today,,,,White women,,30-44,30-59,18-44,18-49,30-44,40-49,18-44,18-64,Non-Black 30-44,White 30-44,White 30-44,No college degree,High school graduate or less,White no college degree,White women non college graduates,,,,,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,White Independent,White,White,White,,Other,,,,Moderate/Liberal Republicans,Liberal Independents,,,,,National questionnaire,Rural,Small Cities/Rural,1.0,South,Version 3,1.0,42728.0
139254.0,Kentucky,,,Complete,Telephone survey,0.0,Donald Trump,,Male,White,18-24,Democrat,Moderate,,College graduate,,,,,,,,,,Worse than life today,,,,White men,,18-29,18-29,18-44,18-49,18-29,18-24,18-44,18-64,Non-Black 18-29,White 18-29,White 18-29,College graduate,More than High school graduate,White college degree,White men college graduates,,,,,Democrat,Non-black Democrat,White Democrat,Democratic men,White Democrat,White,White,White,,White suburban men,,,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,,,,National questionnaire,Suburbs,Suburbs,6.0,South,Version 3,2.0,40324.0
139255.0,Kentucky,,,Complete,Telephone survey,0.0,Donald Trump,,Female,White,40-44,Independent,Conservative,,College graduate,,,,,,,,,,Better than life today,,,,White women,,30-44,30-59,18-44,18-49,30-44,40-49,18-44,18-64,Non-Black 30-44,White 30-44,White 30-44,College graduate,More than High school graduate,White college degree,White women college graduates,,,,,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,White Independent,White,White,White,,Other,,,,Moderate/Liberal Republicans,Conservative Independents,,,,,National questionnaire,Rural,Small Cities/Rural,4.0,South,Version 3,3.0,41008.0
139425.0,Kentucky,,,Complete,Telephone survey,0.0,Donald Trump,,Male,White,18-24,Republican,Conservative,,Some college/assoc. degree,,,,,,,,,,,,,,White men,,18-29,18-29,18-44,18-49,18-29,18-24,18-44,18-64,Non-Black 18-29,White 18-29,White 18-29,No college degree,More than High school graduate,White no college degree,White men non college graduates,,,,,Republican,Non-black non-Democrat,All Republicans,Republican men,White Republican,White,White,White,,White suburban men,,,,Independent/Something else,Conservative Republicans,,,,,National questionnaire,Suburbs,Suburbs,6.0,South,Version 4,2.0,40383.0
