ID,STANUM,PRECINCT,CALL,BACKSIDE,TELEPOLL,WEIGHT,PRSSC16,SENSC16,SEX,RACE,AGE8,PARTYID,PHIL3,INCOME16GEN,EDUC12R,LATINO,BRNAGAIN,DESCRIBP12,FAIRJUSTICE,FAVHCLIN16,FAVTRUMP,CLINHONEST,TRUMPHONEST,ISSUE16,LIFE,MARRIED,QLT16,TIME16,SEXBYRACE,SEXWED,AGE,AGE3,AGE45,AGE49,AGE60,AGE65,OVER45,OVER65,AGEBLACK,AGEBYRACE,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,INC100K,INC50K,INCOME3,INCWHITE,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYWHITE,QRACEAI,QRACE3,RACE2B,RACEAI,SUBURBWHITE,WHNCLINC,FAVPRES16,HONEST16,PTYIDEO,PTYIDEO7,SPLITTICKET,TIME16MONTH,TIME16WEEK,WHTEVANG,QTYPE,SIZEPLAC,SIZEPLC3,CDNUM,REGION,VERSION,GEOCODE,ZIPCODE
138966.0,South Carolina,,,Complete,Telephone survey,0.0,Hillary Clinton,,Female,White,50-59,Democrat,Liberal,,Postgraduate study,,,,,Favorable,Unfavorable,,,Foreign policy,,No,Has the right experience,Before that,White women,Non married women,45-65,30-59,45+,50+,45-59,50-64,45+,18-64,Non-Black 45-59,White 45-59,White 45-64,College graduate,More than High school graduate,White college degree,White women college graduates,,,,,Democrat,Non-black Democrat,White Democrat,Democratic women,White Democrat,White,White,White,,White suburban women,No,Only Hillary Clinton,,Liberal Democrats,Liberal Democrats,,Before that,Before that,,National questionnaire,Suburbs,Suburbs,7.0,South,Version 1,4.0,29550.0
138968.0,South Carolina,,,Complete,Telephone survey,0.0,Donald Trump,,Female,White,50-59,Something else,,,High school or less,,,,,Unfavorable,Favorable,,,Terrorism,,Yes,Can bring needed change,Before that,White women,Married women,45-65,30-59,45+,50+,45-59,50-64,45+,18-64,Non-Black 45-59,White 45-59,White 45-64,No college degree,High school graduate or less,White no college degree,White women non college graduates,,,,,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,White Independent,White,White,White,,White suburban women,,Only Donald Trump,,,,,Before that,Before that,,National questionnaire,Suburbs,Suburbs,5.0,South,Version 1,2.0,29067.0
138969.0,South Carolina,,,Complete,Telephone survey,0.0,Hillary Clinton,,Female,Black,45-49,Democrat,Moderate,"Under $30,000",College graduate,,,,,Favorable,Unfavorable,,,The economy,,No,Has good judgment,In October,Black women,Non married women,45-65,30-59,45+,18-49,45-59,40-49,45+,18-64,Black 45-59,Black 45-59,Black 45-64,College graduate,More than High school graduate,Non white college degree,Non-whites,Less than 100k,Less than 50k,Less than 50 thousand,"Under $50,000 and non white",Democrat,Black Democrat,Black Democrat,Democratic women,Non-White Democrats,Black,Black,Non-white,,Other,No,Only Hillary Clinton,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,In the last month,Before that,,National questionnaire,Rural,Small Cities/Rural,6.0,South,Version 1,3.0,29048.0
138970.0,South Carolina,,,Complete,Telephone survey,0.0,Hillary Clinton,,Female,Black,18-24,Independent,Liberal,"$50,000-$99,999",Some college/assoc. degree,,,,,Unfavorable,Unfavorable,,,The economy,,No,Has good judgment,In September,Black women,Non married women,18-29,18-29,18-44,18-49,18-29,18-24,18-44,18-64,Black 18-29,Black 18-29,Black 18-29,No college degree,More than High school graduate,Non white no college degree,Non-whites,Less than 100k,50k or more,50 to 100 thousand,"Over $50,000 and non white",Independent/Something else,Black non-Democrat,Black Independent,Independent women,All others,Black,Black,Non-white,,Other,No,Neither,,Moderate/Liberal Republicans,Liberal Independents,,Before that,Before that,,National questionnaire,Suburbs,Suburbs,2.0,South,Version 1,3.0,29172.0
138971.0,South Carolina,,,Complete,Telephone survey,0.0,Donald Trump,,Female,White,60-64,Independent,Conservative,,College graduate,,,,,Unfavorable,Favorable,,,The economy,,Yes,Can bring needed change,Before that,White women,Married women,45-65,60+,45+,50+,60+,50-64,45+,18-64,Non-Black 60+,White 60+,White 45-64,College graduate,More than High school graduate,White college degree,White women college graduates,,,,,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,White Independent,White,White,White,,Other,No,Only Donald Trump,,Moderate/Liberal Republicans,Conservative Independents,,Before that,Before that,,National questionnaire,"Cities 50,000-500,000","Cities over 50,000",4.0,South,Version 1,1.0,29601.0
138972.0,South Carolina,,,Complete,Telephone survey,0.0,Donald Trump,,Male,White,25-29,Independent,Conservative,"$100,000-$199,999",Postgraduate study,,,,,Unfavorable,Favorable,,,Terrorism,,Yes,Can bring needed change,Before that,White men,Married men,18-29,18-29,18-44,18-49,18-29,25-29,18-44,18-64,Non-Black 18-29,White 18-29,White 18-29,College graduate,More than High school graduate,White college degree,White men college graduates,100k or more,50k or more,100 thousand or more,"Over $50,000 and white",Independent/Something else,Non-black non-Democrat,White Independent,Independent men,White Independent,White,White,White,,Other,No,Only Donald Trump,,Moderate/Liberal Republicans,Conservative Independents,,Before that,Before that,,National questionnaire,"Cities 10,000-50,000",Small Cities/Rural,7.0,South,Version 1,4.0,29526.0
139159.0,South Carolina,,,Complete,Telephone survey,0.0,Hillary Clinton,,Male,Black,60-64,Democrat,Conservative,"Under $30,000",College graduate,,,I dislike the other candidates,,,,Yes,No,Terrorism,,,Can bring needed change,,Black men,,45-65,60+,45+,50+,60+,50-64,45+,18-64,Black 60+,Black 60+,Black 45-64,College graduate,More than High school graduate,Non white college degree,Non-whites,Less than 100k,Less than 50k,Less than 50 thousand,"Under $50,000 and non white",Democrat,Black Democrat,Black Democrat,Democratic men,Non-White Democrats,Black,Black,Non-white,,Other,No,,Only Hillary Clinton,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,,,,National questionnaire,"Cities 50,000-500,000","Cities over 50,000",1.0,South,Version 2,5.0,29407.0
139160.0,South Carolina,,,Complete,Telephone survey,0.0,Hillary Clinton,,Male,White,60-64,Democrat,Moderate,"$250,000 or more",College graduate,,,I dislike the other candidates,,,,No,No,The economy,,,Has good judgment,,White men,,45-65,60+,45+,50+,60+,50-64,45+,18-64,Non-Black 60+,White 60+,White 45-64,College graduate,More than High school graduate,White college degree,White men college graduates,100k or more,50k or more,100 thousand or more,"Over $50,000 and white",Democrat,Non-black Democrat,White Democrat,Democratic men,White Democrat,White,White,White,,White suburban men,No,,Neither,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,,,,National questionnaire,Suburbs,Suburbs,1.0,South,Version 2,5.0,29909.0
139161.0,South Carolina,,,Complete,Telephone survey,0.0,Hillary Clinton,,Female,White,65 or over,Democrat,Liberal,"$100,000-$199,999",Postgraduate study,,,I strongly favor my candidate,,,,Yes,No,The economy,,,Has good judgment,,White women,,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,College graduate,More than High school graduate,White college degree,White women college graduates,100k or more,50k or more,100 thousand or more,"Over $50,000 and white",Democrat,Non-black Democrat,White Democrat,Democratic women,White Democrat,White,White,White,,Other,No,,Only Hillary Clinton,Liberal Democrats,Liberal Democrats,,,,,National questionnaire,"Cities 50,000-500,000","Cities over 50,000",1.0,South,Version 2,5.0,29414.0
139162.0,South Carolina,,,Complete,Telephone survey,0.0,Hillary Clinton,,Male,Black,65 or over,Democrat,Conservative,,High school or less,,,I dislike the other candidates,,,,Omit,Omit,Foreign policy,,,Omit,,Black men,,65+,60+,45+,50+,60+,65+,45+,65+,Black 60+,Black 60+,Black 65+,No college degree,High school graduate or less,Non white no college degree,Non-whites,,,,,Democrat,Black Democrat,Black Democrat,Democratic men,Non-White Democrats,Black,Black,Non-white,,Other,No,,Omit,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,,,,National questionnaire,Suburbs,Suburbs,5.0,South,Version 2,3.0,29020.0
