ID,STANUM,PRECINCT,CALL,BACKSIDE,TELEPOLL,WEIGHT,PRSME16,SEX,RACE,AGE8,PARTYID,PHIL3,INCOME16GEN,EDUC12R,LATINO,MARRIED,@2WAYPRES16,CLIMATECHANGE,CRIMEDRUGS,DESCRIBP12,FAVHCLIN16,FAVTRUMP,FINSIT,GOVTANGR16,HANDLEECON16,HANDLEFP16,CLINHONEST,TRUMPHONEST,IMMDEPORT,ISSUE16,LEPAGEAPP2,LIFE,NEC,OBAMA4,QLT16,QUALCLINTON,QUALTRUMP,RACEFACTOR,TEMPCLINTON,TEMPTRUMP,TIME16,SEXBYRACE,SEXWED,AGE,AGE3,AGE45,AGE49,AGE60,AGE65,OVER45,OVER65,AGEBLACK,AGEBYRACE,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,INC100K,INC50K,INCOME3,INCWHITE,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYWHITE,QRACEAI,QRACE3,RACE2B,RACEAI,SUBURBWHITE,WHNCLINC,FAVPRES16,GOVTANGR16B,HONEST16,NEC2,OBAMA2,PTYIDEO,PTYIDEO7,QUALIFIED16,TEMPERAMENT16,TIME16MONTH,TIME16WEEK,QTYPE,SIZEPLAC,SIZEPLC3,CDNUM,REGION,VERSION,GEOCODE,ZIPCODE
139056.0,Maine,,,Complete,Telephone survey,0.0,Hillary Clinton,Female,White,65 or over,Democrat,Liberal,"$250,000 or more",Postgraduate study,,,,,,I strongly favor my candidate,,,,"Dissatisfied, but not angry",,,Yes,No,,Foreign policy,,,Good,,Has good judgment,,,,Yes,No,,White women,,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,College graduate,More than High school graduate,White college degree,White women college graduates,100k or more,50k or more,100 thousand or more,"Over $50,000 and white",Democrat,Non-black Democrat,White Democrat,Democratic women,White Democrat,White,White,White,,Other,No,,"Dissatisfied, but not angry or Angry",Only Hillary Clinton,Excellent or good,,Liberal Democrats,Liberal Democrats,,Only Hillary Clinton,,,National questionnaire,Rural,Small Cities/Rural,2.0,East,Version 2,2.0,4627.0
139615.0,Maine,,,Complete,Telephone survey,0.0,Hillary Clinton,Female,White,30-39,Democrat,Liberal,,College graduate,,Yes,Hillary Clinton,,,,,,,,,,,,,,,,,,,,,,,,,White women,Married women,30-44,30-59,18-44,18-49,30-44,30-39,18-44,18-64,Non-Black 30-44,White 30-44,White 30-44,College graduate,More than High school graduate,White college degree,White women college graduates,,,,,Democrat,Non-black Democrat,White Democrat,Democratic women,White Democrat,White,White,White,,Other,,,,,,,Liberal Democrats,Liberal Democrats,,,,,National questionnaire,Rural,Small Cities/Rural,2.0,East,Version 5,2.0,4605.0
139614.0,Maine,,,Complete,Telephone survey,0.0,Hillary Clinton,Female,White,,Democrat,Moderate,,Some college/assoc. degree,,No,Hillary Clinton,,,,,,,,,,,,,,,,,,,,,,,,,White women,Non married women,,,,,,,,,,,,No college degree,More than High school graduate,White no college degree,White women non college graduates,,,,,Democrat,Non-black Democrat,White Democrat,Democratic women,White Democrat,White,White,White,,White suburban women,,,,,,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,,,,National questionnaire,Suburbs,Suburbs,2.0,East,Version 5,2.0,4930.0
139263.0,Maine,,,Complete,Telephone survey,0.0,Hillary Clinton,Male,White,30-39,Independent,Liberal,,Postgraduate study,,,Hillary Clinton,,,,,,,,,,,,Offered a chance to apply for legal status,,,Worse than life today,,,,Yes,No,,,,,White men,,30-44,30-59,18-44,18-49,30-44,30-39,18-44,18-64,Non-Black 30-44,White 30-44,White 30-44,College graduate,More than High school graduate,White college degree,White men college graduates,,,,,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,White Independent,White,White,White,,Other,,,,,,,Moderate/Liberal Republicans,Liberal Independents,Only Hillary Clinton,,,,National questionnaire,Rural,Small Cities/Rural,1.0,East,Version 3,1.0,4578.0
138894.0,Maine,,,Complete,Telephone survey,0.0,Hillary Clinton,Male,White,65 or over,Democrat,Liberal,"$30,000-$49,999",High school or less,,Yes,,,,,Omit,Unfavorable,,,,,,,,The economy,,,,Somewhat approve,Omit,,,,,,In October,White men,Married men,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,No college degree,High school graduate or less,White no college degree,White men non college graduates,Less than 100k,Less than 50k,Less than 50 thousand,"Under $50,000 and white",Democrat,Non-black Democrat,White Democrat,Democratic men,White Democrat,White,White,White,,White suburban men,Yes,Omit,,,,Approve,Liberal Democrats,Liberal Democrats,,,In the last month,Before that,National questionnaire,Suburbs,Suburbs,1.0,East,Version 1,1.0,4105.0
139057.0,Maine,,,Complete,Telephone survey,0.0,Donald Trump,Female,White,65 or over,Republican,Conservative,"$30,000-$49,999",Some college/assoc. degree,,,,,,I like my candidate but with reservations,,,,"Dissatisfied, but not angry",,,No,Yes,,The economy,,,Poor,,Can bring needed change,,,,No,Yes,,White women,,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,No college degree,More than High school graduate,White no college degree,White women non college graduates,Less than 100k,Less than 50k,Less than 50 thousand,"Under $50,000 and white",Republican,Non-black non-Democrat,All Republicans,Republican women,White Republican,White,White,White,,White suburban women,Yes,,"Dissatisfied, but not angry or Angry",Only Donald Trump,Not so good or poor,,Independent/Something else,Conservative Republicans,,Only Donald Trump,,,National questionnaire,Suburbs,Suburbs,1.0,East,Version 2,1.0,4040.0
139433.0,Maine,,,Complete,Telephone survey,0.0,Donald Trump,Female,White,60-64,,Conservative,,Some college/assoc. degree,,,,,,,,,Worse today,,Donald Trump,Donald Trump,,,,,,,,,,,,,,,,White women,,45-65,60+,45+,50+,60+,50-64,45+,18-64,Non-Black 60+,White 60+,White 45-64,No college degree,More than High school graduate,White no college degree,White women non college graduates,,,,,,,,,,White,White,White,,White suburban women,,,,,,,,,,,,,National questionnaire,Suburbs,Suburbs,2.0,East,Version 4,2.0,4457.0
139434.0,Maine,,,Complete,Telephone survey,0.0,Donald Trump,Female,White,18-24,Independent,Moderate,,High school or less,,,,,,,,,About the same,,Donald Trump,Donald Trump,,,,,,,,,,,,,,,,White women,,18-29,18-29,18-44,18-49,18-29,18-24,18-44,18-64,Non-Black 18-29,White 18-29,White 18-29,No college degree,High school graduate or less,White no college degree,White women non college graduates,,,,,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,White Independent,White,White,White,,Other,,,,,,,Moderate/Liberal Republicans,Moderate Independents,,,,,National questionnaire,Rural,Small Cities/Rural,1.0,East,Version 4,1.0,4330.0
138895.0,Maine,,,Complete,Telephone survey,0.0,Donald Trump,Female,White,65 or over,Republican,Moderate,"$50,000-$99,999",Postgraduate study,,Yes,,,,,Unfavorable,Favorable,,,,,,,,Terrorism,,,,Somewhat disapprove,Has good judgment,,,,,,In October,White women,Married women,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,College graduate,More than High school graduate,White college degree,White women college graduates,Less than 100k,50k or more,50 to 100 thousand,"Over $50,000 and white",Republican,Non-black non-Democrat,All Republicans,Republican women,White Republican,White,White,White,,Other,No,Only Donald Trump,,,,Disapprove,Conservative Republicans,Mod./Liberal Republicans,,,In the last month,Before that,National questionnaire,Rural,Small Cities/Rural,1.0,East,Version 1,1.0,4551.0
221880.0,Maine,13.0,Call 3,Complete,Election day exit poll,0.0,Other,Female,White,25-29,Independent,Conservative,"$50,000-$99,999",College graduate,No,Yes,,Yes,,,Unfavorable,Unfavorable,,,Hillary Clinton,Hillary Clinton,,,,Foreign policy,,About the same,,Somewhat approve,Has good judgment,Yes,No,,,,In the last week,White women,Married women,18-29,18-29,18-44,18-49,18-29,25-29,18-44,18-64,Non-Black 18-29,White 18-29,White 18-29,College graduate,More than High school graduate,White college degree,White women college graduates,Less than 100k,50k or more,50 to 100 thousand,"Over $50,000 and white",Independent/Something else,Non-black non-Democrat,White Independent,Independent women,White Independent,White,White,White,White,White suburban women,No,Neither,,,,Approve,Moderate/Liberal Republicans,Conservative Independents,Only Hillary Clinton,,In the last month,In the last week,State questionnaire,Suburbs,Suburbs,1.0,East,Version 1,1.0,4011.0
186155.0,Maine,91.0,Call 1,Complete,Election day exit poll,0.0,Other,Male,White,40-44,Republican,Conservative,,College graduate,No,,Would not have voted,,Prosecuting drug crimes,I dislike the other candidates,,,Better today,Angry,,,No,No,Offered a chance to apply for legal status,Terrorism,Approve,,Not so good,,,,,Minorities are favored over whites,No,No,,White men,,30-44,30-59,18-44,18-49,30-44,40-49,18-44,18-64,Non-Black 30-44,White 30-44,White 30-44,College graduate,More than High school graduate,White college degree,White men college graduates,,,,,Republican,Non-black non-Democrat,All Republicans,Republican men,White Republican,White,White,White,White,Other,,,"Dissatisfied, but not angry or Angry",Neither,Not so good or poor,,Independent/Something else,Conservative Republicans,,Neither,,,State questionnaire,Rural,Small Cities/Rural,1.0,East,Version 2,1.0,4858.0
185843.0,Maine,77.0,Call 1,Complete,Election day exit poll,0.0,Other,Female,White,60-64,Independent,Moderate,"$30,000-$49,999",Some college/assoc. degree,No,Yes,,Yes,,,Favorable,Unfavorable,,,Hillary Clinton,Hillary Clinton,,,,The economy,,About the same,,Somewhat approve,Cares about people like me,Yes,No,,,,Before that,White women,Married women,45-65,60+,45+,50+,60+,50-64,45+,18-64,Non-Black 60+,White 60+,White 45-64,No college degree,More than High school graduate,White no college degree,White women non college graduates,Less than 100k,Less than 50k,Less than 50 thousand,"Under $50,000 and white",Independent/Something else,Non-black non-Democrat,White Independent,Independent women,White Independent,White,White,White,White,Other,Yes,Only Hillary Clinton,,,,Approve,Moderate/Liberal Republicans,Moderate Independents,Only Hillary Clinton,,Before that,Before that,State questionnaire,Rural,Small Cities/Rural,2.0,East,Version 1,2.0,4668.0
218083.0,Maine,88.0,Call 3,Complete,Election day exit poll,0.0,Other,Male,White,25-29,Something else,Conservative,,Some college/assoc. degree,No,,Hillary Clinton,,Treatment for drug users,I dislike the other candidates,,,Better today,"Dissatisfied, but not angry",,,No,No,Offered a chance to apply for legal status,The economy,Approve,,Good,,,,,No group is favored,Yes,No,,White men,,18-29,18-29,18-44,18-49,18-29,25-29,18-44,18-64,Non-Black 18-29,White 18-29,White 18-29,No college degree,More than High school graduate,White no college degree,White men non college graduates,,,,,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,White Independent,White,White,White,White,White suburban men,,,"Dissatisfied, but not angry or Angry",Neither,Excellent or good,,Moderate/Liberal Republicans,Conservative Independents,,Only Hillary Clinton,,,State questionnaire,Suburbs,Suburbs,1.0,East,Version 2,1.0,3908.0
