ID,STANUM,PRECINCT,CALL,BACKSIDE,TELEPOLL,WEIGHT,PRSIA16,SENIA16,SEX,RACE,AGE8,PARTYID,PHIL3,INCOME16GEN,EDUC12R,LATINO,BRNAGAIN,MARRIED,@2WAYPRES16,ATTEND16,CLINTONEMAIL,DESCRIBP12,ECONFAIR,FAVHCLIN16,FAVTRUMP,FINSIT,GOTV16,GOVTANGR16,HANDLEECON16,HANDLEFP16,IMMBETTER,IMMDEPORT,ISSUE16,LIFE,NEC,OBAMA4,OBAMAPLCY16,QLT16,QUALCLINTON,QUALTRUMP,RACEFACTOR,RELIGN10,TEMPCLINTON,TEMPTRUMP,TIME16,TRADE16,TRUMPWOMEN,VETVOTER,SEXBYRACE,SEXWED,AGE,AGE3,AGE45,AGE49,AGE60,AGE65,OVER45,OVER65,AGEBLACK,AGEBYRACE,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,INC100K,INC50K,INCOME3,INCWHITE,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYWHITE,QRACEAI,QRACE3,RACE2B,RACEAI,SUBURBWHITE,WHNCLINC,ATTEND16B,ATTREL,CLINHONEST,CLINTONEMAILB,FAVPRES16,GOTVCLINTON,GOTVTRUMP,GOVTANGR16B,HONEST16,NEC2,OBAMA2,PTYIDEO,PTYIDEO7,QUALIFIED16,REL4,REL5,RELWHITE,MORMON,SPLITTICKET,TEMPERAMENT16,TIME16MONTH,TIME16WEEK,TRUMPHONEST,TRUMPWOMENB,WHTEVANG,WPROTBRN,WPROTBRN3,QTYPE,SIZEPLAC,SIZEPLC3,CDNUM,REGION,VERSION,GEOCODE,ZIPCODE
135761.0, Iowa,,,Complete,Telephone survey,1.41520547866821,Hillary Clinton,Did not vote,Male,White,65 or over,Democrat,Moderate,"$100,000-$199,999",High school or less,,,Yes,,,,,,Favorable,Unfavorable,,,,,,,,The economy,,,Strongly approve,,Cares about people like me,,,,,,,In October,,,,White men,Married men,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,No college degree,High school graduate or less,White no college degree,White men non college graduates,100k or more,50k or more,100 thousand or more,"Over $50,000 and white",Democrat,Non-black Democrat,White Democrat,Democratic men,White Democrat,White,White,White,,Other,No,,,,,Only Hillary Clinton,,,,,,Approve,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,,,,,,,In the last month,Before that,,,,,,National questionnaire,Rural,Small Cities/Rural,3.0,Midwest,Version 1,5.0,50847.0
185210.0, Iowa,69.0,Call 1,Complete,Election day exit poll,1.02143049240112,Donald Trump,Chuck Grassley,Male,White,50-59,Republican,Conservative,"$50,000-$99,999",Postgraduate study,No,,,,,,,,Unfavorable,Favorable,Worse today,,,Donald Trump,Donald Trump,,,Immigration,,,Strongly disapprove,,Can bring needed change,No,Yes,,,,,Before that,,,No,White men,,45-65,30-59,45+,50+,45-59,50-64,45+,18-64,Non-Black 45-59,White 45-59,White 45-64,College graduate,More than High school graduate,White college degree,White men college graduates,Less than 100k,50k or more,50 to 100 thousand,"Over $50,000 and white",Republican,Non-black non-Democrat,All Republicans,Republican men,White Republican,White,White,White,White,Other,No,,,,,Only Donald Trump,,,,,,Disapprove,Independent/Something else,Conservative Republicans,Only Donald Trump,,,,,Republican Senate - Voted Trump,,Before that,Before that,,,,,,State questionnaire,Rural,Small Cities/Rural,4.0,Midwest,Version 1,5.0,51249.0
185208.0, Iowa,35.0,Call 1,Complete,Election day exit poll,0.663055539131165,Donald Trump,Chuck Grassley,Female,White,50-59,Independent,Conservative,,College graduate,No,Yes,,,A few times a year,,I dislike the other candidates,,,,,,"Dissatisfied, but not angry",,,,,The economy,,Not so good,,,Can bring needed change,,,,Protestant,No,No,,,,,White women,,45-65,30-59,45+,50+,45-59,50-64,45+,18-64,Non-Black 45-59,White 45-59,White 45-64,College graduate,More than High school graduate,White college degree,White women college graduates,,,,,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,White Independent,White,White,White,White,White suburban women,,A few times a year or less,Protestant/Do not attend weekly,No,,,,,"Dissatisfied, but not angry or Angry",Neither,Not so good or poor,,Moderate/Liberal Republicans,Conservative Independents,,"Protestant, Catholic or other Christian",Protestant/Other Non-Catholic Christian,Protestant/Other Non-Catholic Christian,Not a mormon,Republican Senate - Voted Trump,Neither,,,No,,White Born-again/Evangelical Christians,Yes,White Protestant evangelical,State questionnaire,Suburbs,Suburbs,4.0,Midwest,Version 2,2.0,50624.0
185202.0, Iowa,25.0,Call 1,Complete,Election day exit poll,0.895408272743225,Donald Trump,Chuck Grassley,Male,White,65 or over,Republican,Conservative,,College graduate,No,,Yes,Donald Trump,,A lot,,Omit,,,,"No, not contacted by either",,,,Hurt the country,Offered a chance to apply for legal status,,About the same,,,Change to more conservative policies,,,,No group is favored,,,,,Takes away U.S. jobs,Not at all,,White men,Married men,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,College graduate,More than High school graduate,White college degree,White men college graduates,,,,,Republican,Non-black non-Democrat,All Republicans,Republican men,White Republican,White,White,White,White,Other,,,,,A lot or some,,Not contacted by Hillary Clinton,Not contacted by Donald Trump,,,,,Independent/Something else,Conservative Republicans,,,,,,Republican Senate - Voted Trump,,,,,Not much or not at all,,,,State questionnaire,Rural,Small Cities/Rural,2.0,Midwest,Version 3,2.0,52655.0
185198.0, Iowa,73.0,Call 1,Complete,Election day exit poll,0.521169364452362,Gary Johnson,Chuck Grassley,Female,White,30-39,Republican,Moderate,,College graduate,No,No,,,Never,,I strongly favor my candidate,,,,,,"Dissatisfied, but not angry",,,,,The economy,,Not so good,,,Has good judgment,,,,Other,No,No,,,,,White women,,30-44,30-59,18-44,18-49,30-44,30-39,18-44,18-64,Non-Black 30-44,White 30-44,White 30-44,College graduate,More than High school graduate,White college degree,White women college graduates,,,,,Republican,Non-black non-Democrat,All Republicans,Republican women,White Republican,White,White,White,White,White suburban women,,A few times a year or less,All others,No,,,,,"Dissatisfied, but not angry or Angry",Neither,Not so good or poor,,Conservative Republicans,Mod./Liberal Republicans,,Other religion,Something else,Something else,Not a mormon,Republican Senate - did not vote Trump,Neither,,,No,,All others,No,All others,State questionnaire,Suburbs,Suburbs,3.0,Midwest,Version 2,3.0,50023.0
185196.0, Iowa,18.0,Call 1,Complete,Election day exit poll,0.90040135383606,Donald Trump,Chuck Grassley,Male,White,65 or over,Republican,Conservative,"$30,000-$49,999",High school or less,No,,,,,,,,Unfavorable,Favorable,Worse today,,,Donald Trump,Donald Trump,,,The economy,,,Strongly disapprove,,Can bring needed change,No,Yes,,,,,Before that,,,Yes,White men,,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,No college degree,High school graduate or less,White no college degree,White men non college graduates,Less than 100k,Less than 50k,Less than 50 thousand,"Under $50,000 and white",Republican,Non-black non-Democrat,All Republicans,Republican men,White Republican,White,White,White,White,Other,Yes,,,,,Only Donald Trump,,,,,,Disapprove,Independent/Something else,Conservative Republicans,Only Donald Trump,,,,,Republican Senate - Voted Trump,,Before that,Before that,,,,,,State questionnaire,Rural,Small Cities/Rural,4.0,Midwest,Version 1,5.0,51012.0
185195.0, Iowa,55.0,Call 1,Complete,Election day exit poll,0.322777628898621,Gary Johnson,Patty Judge,Male,White,30-39,Independent,Liberal,,Postgraduate study,No,,Yes,Hillary Clinton,,Not at all,,Favors the wealthy,,,,"Yes, for both candidates",,,,Help the country,Offered a chance to apply for legal status,,Worse than life today,,,Continue Barack Obama's policies,,,,No group is favored,,,,,Creates more U.S. jobs,Some,,White men,Married men,30-44,30-59,18-44,18-49,30-44,30-39,18-44,18-64,Non-Black 30-44,White 30-44,White 30-44,College graduate,More than High school graduate,White college degree,White men college graduates,,,,,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,White Independent,White,White,White,White,Other,,,,,Not much or not at all,,Contacted by Hillary Clinton,Contacted by Donald Trump,,,,,Moderate/Liberal Republicans,Liberal Independents,,,,,,Democratic Senate - did not vote Clinton,,,,,A lot or some,,,,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",1.0,Midwest,Version 3,1.0,52404.0
185193.0, Iowa,55.0,Call 1,Complete,Election day exit poll,0.322777628898621,Gary Johnson,Patty Judge,Male,White,30-39,Independent,Liberal,,Postgraduate study,No,,Yes,Hillary Clinton,,Not at all,,Favors the wealthy,,,,"Yes, for both candidates",,,,Help the country,Offered a chance to apply for legal status,,Worse than life today,,,Continue Barack Obama's policies,,,,No group is favored,,,,,Creates more U.S. jobs,Some,,White men,Married men,30-44,30-59,18-44,18-49,30-44,30-39,18-44,18-64,Non-Black 30-44,White 30-44,White 30-44,College graduate,More than High school graduate,White college degree,White men college graduates,,,,,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,White Independent,White,White,White,White,Other,,,,,Not much or not at all,,Contacted by Hillary Clinton,Contacted by Donald Trump,,,,,Moderate/Liberal Republicans,Liberal Independents,,,,,,Democratic Senate - did not vote Clinton,,,,,A lot or some,,,,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",1.0,Midwest,Version 3,1.0,52404.0
185191.0, Iowa,63.0,Call 1,Complete,Election day exit poll,1.58072316646576,Donald Trump,Chuck Grassley,Male,White,50-59,Independent,Conservative,"$250,000 or more",Postgraduate study,No,,,,,,,,Unfavorable,Unfavorable,Better today,,,Donald Trump,Hillary Clinton,,,The economy,,,Strongly disapprove,,Can bring needed change,No,Yes,,,,,In the last few days,,,No,White men,,45-65,30-59,45+,50+,45-59,50-64,45+,18-64,Non-Black 45-59,White 45-59,White 45-64,College graduate,More than High school graduate,White college degree,White men college graduates,100k or more,50k or more,100 thousand or more,"Over $50,000 and white",Independent/Something else,Non-black non-Democrat,White Independent,Independent men,White Independent,White,White,White,White,Other,No,,,,,Neither,,,,,,Disapprove,Moderate/Liberal Republicans,Conservative Independents,Only Donald Trump,,,,,Republican Senate - Voted Trump,,In the last month,In the last week,,,,,,State questionnaire,Rural,Small Cities/Rural,1.0,Midwest,Version 1,4.0,50158.0
185187.0, Iowa,21.0,Call 1,Complete,Election day exit poll,1.01739370822906,Donald Trump,Chuck Grassley,Female,White,30-39,Independent,Liberal,,Some college/assoc. degree,No,,Yes,Donald Trump,,A lot,,Favors the wealthy,,,,"No, not contacted by either",,,,Hurt the country,Deported to the country they came from,,Worse than life today,,,Change to more liberal policies,,,,Minorities are favored over whites,,,,,Takes away U.S. jobs,Some,,White women,Married women,30-44,30-59,18-44,18-49,30-44,30-39,18-44,18-64,Non-Black 30-44,White 30-44,White 30-44,No college degree,More than High school graduate,White no college degree,White women non college graduates,,,,,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,White Independent,White,White,White,White,Other,,,,,A lot or some,,Not contacted by Hillary Clinton,Not contacted by Donald Trump,,,,,Moderate/Liberal Republicans,Liberal Independents,,,,,,Republican Senate - Voted Trump,,,,,A lot or some,,,,State questionnaire,Rural,Small Cities/Rural,2.0,Midwest,Version 3,1.0,52742.0
