ID,AGE3,AGE60,AGE65,AGE9,AGEBLACK,AGEBYRACE,ATTEND,ATTEND2,ATTREL,BACKSIDE,BEATREP2,BREAKDEM,BREAKDM2,CALL,CDNUM,CHIEFDEM2,CLRCLIN,CLROBAM,CLRPLAN,COLLEDUC,DPRS08,EDUC,FINWORRY,FINWRRY2,GENDISS,GENDISS2,GEOCODE,HSEDUC,IMMPRIME,INC100K,INC50K,INCOME07,INSPIRSC,INSPIRSO,INSPIRES,ISSIA08D,LATINO,NEC,NEC2,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PHIL3,PHIL5,PRECINCT,QLTNH08D,QRACEAI,QTYPE,RACE,RACEISS,RACEISS2,REGION,REL5,RELIGN8,RELWHITE,SATCLIN,SATISDEM,SATOBAM,SEX,SEXBLACK,SEXBYRACE,SEXRACE,SEXWHITE,SIZEPLAC,SIZEPLC3,STANUM,SUPERDEL,TELEPOLL,TIME3D,TIMEPR,TIMEWK,TRADE,UNFAIRSC,UNFRCLIN,UNFROBAM,VERSION,VTDPRS08,WHITEREL,XAGE,XAGE60,XAGE65,XAGE9,XAGEBYRACE,XBEATREP,XCHIEFDEM,XOVER65,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE,WEIGHT
1224398.0,30-59,45-59,50-64,50-59,Non black 45-59,All other,,,,Not complete,9.0,9.0,9.0,Call 2,1.0,,1.0,2.0,1.0,,2.0,,3.0,2.0,,,2.0,,,,,,,,,2.0,No,Poor,Not so good/Poor,18-64,,,,,,,9.0,3.0,Other,State questionnaire,Other,,,East,,,,,,,Female,Non black female,All other races,Non white female,Non white,Rural,Small Cities/Rural, Vermont,,Election day exit poll,2.0,4.0,2.0,,4.0,2.0,Barack Obama did not,Version 1,1.0,,3.0,3.0,5.0,6.0,13.0,9.0,,17-64,Low Density Rural,Rural,Rural,Upscale,5301.0,0.941987216472626
1227262.0,30-59,45-59,50-64,50-59,Non black 45-59,White 45-59,,,,Not complete,9.0,2.0,1.0,Call 3,1.0,,1.0,1.0,3.0,,2.0,,1.0,1.0,,,1.0,,,,,,,,,2.0,No,Poor,Not so good/Poor,18-64,,,,,,,14.0,3.0,White,State questionnaire,White,,,East,,,,,,,Female,Non black female,White women,White female,White female,"Cities 10,000-50,000",Small Cities/Rural, Vermont,,Election day exit poll,2.0,4.0,2.0,,3.0,1.0,Barack Obama did,Version 1,1.0,,3.0,3.0,5.0,6.0,3.0,9.0,,17-64,Town,Rural,Rural,Upscale,5401.0,1.19124615192413
1227203.0,,,,,,,,,,Not complete,9.0,9.0,9.0,Call 3,1.0,,9.0,9.0,9.0,,2.0,,9.0,9.0,,,1.0,,,,,,,,,1.0,,Omit,Omit,,,,,,,,14.0,3.0,Black,State questionnaire,Black,,,East,,,,,,,Male,Black male,Black men,Non white male,Non white,"Cities 10,000-50,000",Small Cities/Rural, Vermont,,Election day exit poll,2.0,5.0,2.0,,9.0,9.0,Omit,Version 1,1.0,,,,,,,9.0,,,Town,Rural,Rural,Upscale,5401.0,0.704374670982361
1222487.0,30-59,45-59,50-64,50-59,Non black 45-59,White 45-59,A few times a year,A few times a month/A few times a year,Protestant/Do not attend weekly,Complete,1.0,3.0,2.0,Call 1,1.0,1.0,1.0,1.0,3.0,1.0,0.0,High school graduate,3.0,2.0,3.0,2.0,3.0,1.0,1.0,Less than 100k,50k or more,"$50,000-$74,999",1.0,1.0,3.0,1.0,No,Not so good,Not so good/Poor,18-64,Republican,Non black non Democrat,All Republicans,Republican,Conservative,5.0,1.0,9.0,White,State questionnaire,White,3.0,2.0,East,Protestant/Other Non-Catholic Christian,Protestant,1.0,1.0,3.0,1.0,Male,Non black male,White men,White male,White male,Rural,Small Cities/Rural, Vermont,1.0,Election day exit poll,9.0,9.0,9.0,2.0,3.0,1.0,Barack Obama did,Version 1,0.0,Protestant/Other Christian,3.0,3.0,5.0,6.0,3.0,1.0,1.0,17-64,Low Density Rural,Rural,Rural,Upscale,5491.0,0.872283697128296
1227578.0,30-59,45-59,50-64,50-59,Non black 45-59,White 45-59,A few times a year,A few times a month/A few times a year,Catholic/Do not attend weekly,Complete,1.0,2.0,1.0,Call 3,1.0,1.0,1.0,1.0,3.0,1.0,0.0,High school graduate,1.0,1.0,3.0,2.0,1.0,1.0,3.0,,,,1.0,1.0,3.0,1.0,No,Not so good,Not so good/Poor,18-64,Independent/Something else,Non black non Democrat,White Independents,Independent,Moderate,3.0,61.0,2.0,White,State questionnaire,White,3.0,2.0,East,Catholic,Catholic,2.0,1.0,3.0,1.0,Female,Non black female,White women,White female,White female,Suburbs,Suburbs, Vermont,1.0,Election day exit poll,2.0,4.0,2.0,2.0,9.0,9.0,Omit,Version 1,0.0,Catholic,3.0,3.0,5.0,6.0,3.0,1.0,1.0,17-64,Town,60s Suburbs,Low-Growth Suburban Perimeter,Downscale,5478.0,0.799224853515625
1227148.0,60+,60+,50-64,60-64,Non black 60+,White 60+,A few times a year,A few times a month/A few times a year,Catholic/Do not attend weekly,Complete,1.0,3.0,2.0,Call 3,1.0,1.0,1.0,2.0,1.0,2.0,2.0,Postgraduate study,2.0,1.0,3.0,2.0,1.0,2.0,1.0,Less than 100k,Less than 50k,"$30,000-$49,999",1.0,1.0,3.0,1.0,No,Not so good,Not so good/Poor,18-64,Democrat,Non black Democrat,White Democrats,Democrat,Liberal,2.0,14.0,1.0,White,State questionnaire,White,3.0,2.0,East,Catholic,Catholic,2.0,1.0,1.0,2.0,Female,Non black female,White women,White female,White female,"Cities 10,000-50,000",Small Cities/Rural, Vermont,9.0,Election day exit poll,2.0,5.0,2.0,1.0,4.0,2.0,Barack Obama did not,Version 1,1.0,Catholic,3.0,4.0,5.0,7.0,4.0,1.0,1.0,17-64,Town,Rural,Rural,Upscale,5401.0,1.37588596343994
1222476.0,30-59,45-59,50-64,50-59,Non black 45-59,White 45-59,A few times a year,A few times a month/A few times a year,Catholic/Do not attend weekly,Complete,1.0,2.0,1.0,Call 1,1.0,1.0,1.0,2.0,1.0,2.0,2.0,College graduate,2.0,1.0,2.0,1.0,1.0,2.0,1.0,Less than 100k,50k or more,"$50,000-$74,999",1.0,1.0,3.0,1.0,No,Not so good,Not so good/Poor,18-64,Democrat,Non black Democrat,White Democrats,Democrat,Moderate,3.0,18.0,1.0,White,State questionnaire,White,2.0,1.0,East,Catholic,Catholic,2.0,1.0,1.0,2.0,Male,Non black male,White men,White male,White male,"Cities 10,000-50,000",Small Cities/Rural, Vermont,1.0,Election day exit poll,2.0,5.0,2.0,1.0,4.0,2.0,Barack Obama did not,Version 1,1.0,Catholic,3.0,3.0,5.0,6.0,3.0,1.0,1.0,17-64,Town,Rural,Rural,Upscale,5401.0,1.28102874755859
1222475.0,30-59,45-59,50-64,50-59,Non black 45-59,White 45-59,Once a week,More than once a week/Once a week,All others,Complete,1.0,2.0,1.0,Call 1,1.0,1.0,2.0,2.0,4.0,2.0,2.0,College graduate,2.0,1.0,2.0,1.0,3.0,2.0,1.0,Less than 100k,Less than 50k,"Under $15,000",1.0,1.0,3.0,1.0,No,Not so good,Not so good/Poor,18-64,Independent/Something else,Non black non Democrat,White Independents,Independent,Moderate,3.0,41.0,4.0,White,State questionnaire,White,3.0,2.0,East,None,None,5.0,1.0,3.0,1.0,Female,Non black female,White women,White female,White female,Rural,Small Cities/Rural, Vermont,2.0,Election day exit poll,2.0,5.0,2.0,2.0,9.0,9.0,Omit,Version 1,1.0,None,3.0,3.0,5.0,6.0,3.0,1.0,1.0,17-64,Low Density Rural,Rural,Rural,Very upscale,5255.0,0.916083037853241
1227132.0,30-59,45-59,50-64,50-59,Non black 45-59,White 45-59,A few times a year,A few times a month/A few times a year,Catholic/Do not attend weekly,Complete,1.0,1.0,1.0,Call 3,1.0,1.0,1.0,2.0,1.0,1.0,2.0,Some college or associate degree,2.0,1.0,3.0,2.0,3.0,2.0,2.0,Less than 100k,50k or more,"$75,000-$99,999",1.0,2.0,1.0,1.0,No,Good,Excellent/Good,18-64,Democrat,Non black Democrat,White Democrats,Democrat,Moderate,3.0,1.0,1.0,White,State questionnaire,White,3.0,2.0,East,Catholic,Catholic,2.0,1.0,1.0,2.0,Male,Non black male,White men,White male,White male,Rural,Small Cities/Rural, Vermont,1.0,Election day exit poll,2.0,4.0,2.0,2.0,3.0,1.0,Barack Obama did,Version 1,1.0,Catholic,3.0,3.0,5.0,6.0,3.0,1.0,1.0,17-64,Low Density Rural,Rural,Rural,Upscale,5491.0,0.984346568584442
1222458.0,60+,60+,65+,65-74,Non black 60+,White 60+,Once a week,More than once a week/Once a week,Catholic/Attend weekly,Complete,1.0,3.0,2.0,Call 1,1.0,1.0,1.0,2.0,1.0,2.0,2.0,College graduate,2.0,1.0,3.0,2.0,3.0,2.0,3.0,Less than 100k,50k or more,"$50,000-$74,999",1.0,2.0,1.0,2.0,No,Not so good,Not so good/Poor,65+,Democrat,Non black Democrat,White Democrats,Democrat,Liberal,1.0,41.0,3.0,White,State questionnaire,White,3.0,2.0,East,Catholic,Catholic,2.0,1.0,1.0,2.0,Female,Non black female,White women,White female,White female,Rural,Small Cities/Rural, Vermont,1.0,Election day exit poll,2.0,5.0,2.0,3.0,2.0,2.0,Barack Obama did,Version 1,1.0,Catholic,4.0,4.0,6.0,8.0,4.0,1.0,1.0,65+,Low Density Rural,Rural,Rural,Very upscale,5255.0,1.05807340145111
