ID,ATTEND,ATTEND2,ATTREL,BACKSIDE,BREAKDEM,BREAKDM2,CALL,CDNUM,CHIEFDST,COLLEDUC,DEDPRS08,DPRS08,DPRS08ST,EDUC,GENDISS,GENDISS2,GEOCODE,GETAHEAD,HSEDUC,INC100K,INC50K,INCOME07,ISSIA08D,LATINO,MARRIED,NEC,NEC2,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PHIL3,PHIL5,PRECINCT,QLTNH08D,QRACEAI,QTYPE,RACE,RACEISS,RACEISS2,REGION,REL5,RELIGN8,RELWHITE,SATCLIN,SATISDEM,SATOBAM,SEX,SEXBLACK,SEXBYRACE,SEXRACE,SEXWED,SEXWHITE,SIZEPLAC,SIZEPLC3,STANUM,TELEPOLL,TIME3D,TIMEPR,TIMEWK,UNFAIRSC,UNFRCLIN,UNFROBAM,UNION4,UNIONHH,UNIONMEM,UNIONVOT,UNITEST,VERSION,WHITEREL,WOMENWED,WPROTBRN,XAGE,XAGE60,XAGE65,XAGE9,XAGEBYRACE,XOVER65,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE,WEIGHT
1113571.0,A few times a year,A few times a month/A few times a year,All others,Complete,2.0,1.0,Call 2,1.0,3.0,2.0,0.0,0.0,,Postgraduate study,3.0,2.0,1.0,2.0,2.0,100k or more,50k or more,"$150,000-$199,999",2.0,No,Yes,Good,Excellent/Good,Democrat,Non black Democrat,White Democrats,Democrat,Liberal,2.0,55.0,1.0,White,State questionnaire,White,3.0,2.0,East,Jewish,Jewish,3.0,2.0,2.0,1.0,Male,Non black male,White men,White male,Married men,White male,"Cities 50,000-500,000","Cities over 50,000",Delaware,Election day exit poll,2.0,5.0,2.0,1.0,1.0,Barack Obama did not,No one does,No,No,No,3.0,Version 1,Jewish,2.0,,1.0,1.0,2.0,2.0,1.0,17-64,Extremely High Density Urban,Urban,Urban Core,Very downscale,19802.0,0.958696722984314
1123592.0,,,,Not complete,2.0,1.0,Call 3,1.0,,,0.0,0.0,,,,,1.0,,,,,,3.0,No,,Poor,Not so good/Poor,,,,,,,55.0,1.0,Black,State questionnaire,Black,,,East,,,,,,,Female,Black female,Black women,Non white female,,Non white,"Cities 50,000-500,000","Cities over 50,000",Delaware,Election day exit poll,2.0,3.0,1.0,4.0,2.0,Barack Obama did not,No one does,No,No,No,,Version 1,,,,1.0,1.0,2.0,2.0,5.0,17-64,Extremely High Density Urban,Urban,Urban Core,Very downscale,19802.0,0.923382759094238
1106109.0,Once a week,More than once a week/Once a week,Catholic/Attend weekly,Complete,2.0,1.0,Call 1,1.0,1.0,1.0,1.0,1.0,5.0,High school graduate,1.0,1.0,1.0,2.0,1.0,Less than 100k,50k or more,"$75,000-$99,999",2.0,No,No,Good,Excellent/Good,Democrat,Non black Democrat,White Democrats,Democrat,Liberal,1.0,35.0,1.0,White,State questionnaire,White,1.0,1.0,East,Catholic,Catholic,2.0,1.0,1.0,2.0,Male,Non black male,White men,White male,Non-married men,White male,Suburbs,Suburbs,Delaware,Election day exit poll,2.0,4.0,2.0,2.0,2.0,Barack Obama did,No one does,No,No,No,1.0,Version 1,Catholic,2.0,,4.0,4.0,6.0,9.0,4.0,65+,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,19707.0,1.51014041900635
1113779.0,A few times a year,A few times a month/A few times a year,Catholic/Do not attend weekly,Complete,1.0,1.0,Call 2,1.0,3.0,1.0,1.0,1.0,5.0,Some college or associate degree,3.0,2.0,1.0,2.0,2.0,100k or more,50k or more,"$150,000-$199,999",2.0,No,No,Poor,Not so good/Poor,Democrat,Non black Democrat,White Democrats,Democrat,Moderate,3.0,55.0,3.0,White,State questionnaire,White,3.0,2.0,East,Catholic,Catholic,2.0,2.0,2.0,1.0,Male,Non black male,White men,White male,Non-married men,White male,"Cities 50,000-500,000","Cities over 50,000",Delaware,Election day exit poll,2.0,5.0,2.0,1.0,1.0,Barack Obama did not,"Yes, someone else does",Yes,"Member in household, but not voter",No,3.0,Version 1,Catholic,2.0,,3.0,3.0,5.0,6.0,3.0,17-64,Extremely High Density Urban,Urban,Urban Core,Very downscale,19802.0,1.77682769298553
1125850.0,Never,Never,Protestant/Do not attend weekly,Complete,2.0,1.0,Call 3,1.0,2.0,2.0,1.0,1.0,5.0,College graduate,2.0,1.0,1.0,3.0,2.0,100k or more,50k or more,"$100,000-$149,999",1.0,No,Yes,Good,Excellent/Good,Democrat,Black Democrat,Black Democrats,Democrat,Liberal,2.0,32.0,2.0,Black,State questionnaire,Black,3.0,2.0,East,Protestant/Other Non-Catholic Christian,Mormon/LDS,9.0,2.0,4.0,2.0,Female,Black female,Black women,Non white female,Married women,Non white,Suburbs,Suburbs,Delaware,Election day exit poll,1.0,2.0,1.0,3.0,1.0,Barack Obama did,"Yes, I do and someone else does",Yes,I am,Yes,1.0,Version 1,Non-white,1.0,,2.0,2.0,4.0,4.0,6.0,17-64,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Very upscale,19711.0,1.68913328647614
1113614.0,A few times a year,A few times a month/A few times a year,All others,Complete,9.0,9.0,Call 2,1.0,1.0,2.0,1.0,1.0,5.0,College graduate,2.0,1.0,1.0,3.0,2.0,,,,1.0,No,Yes,Not so good,Not so good/Poor,Independent/Something else,Non black non Democrat,White Independents,Independent,Liberal,2.0,35.0,1.0,White,State questionnaire,White,2.0,1.0,East,Jewish,Jewish,3.0,2.0,2.0,1.0,Female,Non black female,White women,White female,Married women,White female,Suburbs,Suburbs,Delaware,Election day exit poll,1.0,2.0,1.0,9.0,9.0,Omit,No one does,No,No,No,2.0,Version 1,Jewish,1.0,,4.0,4.0,6.0,9.0,4.0,65+,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,19707.0,1.30648756027222
1113248.0,A few times a month,A few times a month/A few times a year,Protestant/Do not attend weekly,Complete,1.0,1.0,Call 2,1.0,3.0,2.0,1.0,1.0,5.0,Postgraduate study,3.0,2.0,2.0,2.0,2.0,Less than 100k,50k or more,"$50,000-$74,999",2.0,No,Yes,Not so good,Not so good/Poor,Democrat,Non black Democrat,White Democrats,Democrat,Liberal,2.0,64.0,1.0,White,State questionnaire,White,2.0,1.0,East,Protestant/Other Non-Catholic Christian,Protestant,1.0,2.0,2.0,1.0,Male,Non black male,White men,White male,Married men,White male,Rural,Small Cities/Rural,Delaware,Election day exit poll,2.0,4.0,2.0,2.0,2.0,Barack Obama did,No one does,No,No,No,3.0,Version 1,Protestant/Other Christian,2.0,,4.0,4.0,6.0,9.0,4.0,65+,Low Density Rural,Rural,Rural,Downscale,19963.0,2.03675317764282
1113182.0,Never,Never,All others,Complete,2.0,1.0,Call 2,1.0,1.0,2.0,1.0,1.0,5.0,College graduate,2.0,1.0,1.0,1.0,2.0,Less than 100k,50k or more,"$75,000-$99,999",2.0,No,No,Not so good,Not so good/Poor,Democrat,Non black Democrat,White Democrats,Democrat,Liberal,1.0,35.0,3.0,White,State questionnaire,White,3.0,2.0,East,None,None,5.0,1.0,3.0,1.0,Female,Non black female,White women,White female,Non-married women,White female,Suburbs,Suburbs,Delaware,Election day exit poll,2.0,5.0,2.0,4.0,2.0,Barack Obama did not,No one does,No,No,No,1.0,Version 1,None,2.0,,4.0,4.0,6.0,9.0,4.0,65+,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,19707.0,1.30648756027222
1125544.0,Once a week,More than once a week/Once a week,All others,Complete,1.0,1.0,Call 3,1.0,3.0,1.0,1.0,1.0,5.0,Some college or associate degree,2.0,1.0,2.0,3.0,2.0,Less than 100k,Less than 50k,"$15,000-$29,999",1.0,No,No,Poor,Not so good/Poor,Democrat,Black Democrat,Black Democrats,Democrat,Moderate,3.0,11.0,2.0,Black,State questionnaire,Black,2.0,1.0,East,Protestant/Other Non-Catholic Christian,Other Christian,9.0,1.0,3.0,1.0,Female,Black female,Black women,Non white female,Non-married women,Non white,"Cities 10,000-50,000",Small Cities/Rural,Delaware,Election day exit poll,1.0,2.0,1.0,3.0,1.0,Barack Obama did,No one does,No,No,No,1.0,Version 1,Non-white,2.0,,1.0,1.0,2.0,2.0,5.0,17-64,Town,Rural,Rural,Downscale,19901.0,3.17193698883057
1112889.0,,,,Not complete,3.0,2.0,Call 2,1.0,,,1.0,1.0,5.0,,,,1.0,,,,,,1.0,No,,Good,Excellent/Good,,,,,,,47.0,3.0,White,State questionnaire,White,,,East,,,,,,,Male,Non black male,White men,White male,,White male,"Cities 50,000-500,000","Cities over 50,000",Delaware,Election day exit poll,2.0,5.0,2.0,4.0,2.0,Barack Obama did not,No one does,No,No,No,,Version 1,,,,3.0,3.0,4.0,5.0,3.0,17-64,Suburb,Urban,Urban Core,Very upscale,19803.0,1.44247114658356
