ID,AGE3,AGE60,AGE65,AGE9,AGEBLACK,AGEBYRACE,ATTEND,ATTEND2,ATTREL,BACKSIDE,BEATREPWI,CALL,CDNUM,CHIEFDLA,COLLEDUC,DPRS08,EDUC,FTEVER,FTPRIM,FTVOTEP,GENDISS,GENDISS2,GEOCODE,HSEDUC,INC100K,INC50K,INCOME07,ISSIA08D,LATINO,MARRIED,NEC,NEC2,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PHIL3,PHIL5,PRECINCT,QLTNH08D,QRACEAI,QTYPE,RACE,RACEISS,RACEISS2,REGION,REL5,RELIGN8,RELWHITE,SATCLIN2,SATISCLIN,SATISOBAM,SATOBAM2,SEX,SEXBLACK,SEXBYRACE,SEXRACE,SEXWED,SEXWHITE,SIZEPLAC,SIZEPLC3,STANUM,TELEPOLL,TIME3D,TIMEPR,TIMEWK,TRADE,UNFAIRSC,UNFRCLIN,UNFROBAM,UNION4,UNIONHH,UNIONMEM,UNIONVOT,UNITELA,USRELD,VERSION,WHITEREL,WIDPRS08,WOMENWED,XAGE,XAGE60,XAGE65,XAGE9,XAGEBYRACE,XOVER65,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE,WEIGHT
1198649.0,18-29,18-29,18-24,18-24,Non black 18-29,White 18-29,Never,Never,All others,Complete,2.0,Call 1,4.0,2.0,1.0,10.0,High school graduate,1.0,1.0,3.0,3.0,2.0,1.0,1.0,100k or more,50k or more,"$200,000 or more",2.0,No,No,Not so good,Not so good/Poor,18-64,Democrat,Non black Democrat,White Democrats,Democrat,Liberal,2.0,49.0,1.0,White,State questionnaire,White,3.0,2.0,Midwest,None,None,5.0,2.0,3.0,1.0,1.0,Male,Non black male,White men,White male,Non-married men,White male,"Cities over 500,000","Cities over 50,000",Wisconsin,Election day exit poll,2.0,4.0,2.0,2.0,4.0,2.0,Barack Obama did not,No one does,No,No,No,2.0,2.0,Version 1,None,3.0,2.0,1.0,1.0,1.0,1.0,1.0,17-64,Extremely High Density Urban,Urban,Urban Core,Downscale,53201.0,0.695978581905365
1200874.0,30-59,30-44,40-49,40-44,Non black 30-44,White 30-44,Once a week,More than once a week/Once a week,Catholic/Attend weekly,Complete,2.0,Call 3,1.0,2.0,2.0,10.0,College graduate,2.0,2.0,1.0,3.0,2.0,3.0,2.0,Less than 100k,50k or more,"$75,000-$99,999",2.0,No,Yes,Poor,Not so good/Poor,18-64,Independent/Something else,Non black non Democrat,White Independents,Independent,Moderate,3.0,85.0,1.0,White,State questionnaire,White,3.0,2.0,Midwest,Catholic,Catholic,2.0,2.0,3.0,1.0,1.0,Female,Non black female,White women,White female,Married women,White female,Rural,Small Cities/Rural,Wisconsin,Election day exit poll,2.0,4.0,2.0,2.0,1.0,1.0,Barack Obama did not,No one does,No,No,No,2.0,2.0,Version 1,Catholic,3.0,1.0,2.0,2.0,4.0,4.0,2.0,17-64,Low Density Rural,Rural,Rural,Upscale,53121.0,1.10620999336243
1199838.0,60+,60+,50-64,60-64,Black 60+,Black 60+,A few times a year,A few times a month/A few times a year,All others,Complete,2.0,Call 2,8.0,1.0,2.0,10.0,Postgraduate study,2.0,2.0,1.0,3.0,2.0,4.0,2.0,Less than 100k,50k or more,"$75,000-$99,999",1.0,,Yes,Poor,Not so good/Poor,18-64,Independent/Something else,Black non Democrat,Black Indpendents,Something else,Liberal,1.0,2.0,1.0,Black,State questionnaire,Black,3.0,2.0,Midwest,Something else,Something else,9.0,1.0,1.0,1.0,1.0,Male,Black male,Black men,Non white male,Married men,Non white,Suburbs,Suburbs,Wisconsin,Election day exit poll,2.0,5.0,2.0,2.0,3.0,1.0,Barack Obama did,No one does,No,No,No,2.0,1.0,Version 1,Non-white,3.0,2.0,3.0,4.0,5.0,7.0,8.0,17-64,High Density Urban,60s Suburbs,Urban Perimeter,Upscale,54301.0,0.493841737508774
1200061.0,30-59,45-59,50-64,50-59,Non black 45-59,White 45-59,A few times a year,A few times a month/A few times a year,Protestant/Do not attend weekly,Complete,2.0,Call 2,7.0,2.0,1.0,0.0,Some college or associate degree,2.0,2.0,1.0,2.0,1.0,5.0,2.0,Less than 100k,Less than 50k,"$30,000-$49,999",1.0,No,Yes,Good,Excellent/Good,18-64,Republican,Non black non Democrat,All Republicans,Republican,Conservative,4.0,68.0,3.0,White,State questionnaire,White,3.0,2.0,Midwest,Protestant/Other Non-Catholic Christian,Protestant,1.0,2.0,4.0,4.0,2.0,Male,Non black male,White men,White male,Married men,White male,Rural,Small Cities/Rural,Wisconsin,Election day exit poll,2.0,5.0,2.0,2.0,1.0,1.0,Barack Obama did not,No one does,No,No,No,2.0,2.0,Version 1,Protestant/Other Christian,0.0,2.0,3.0,3.0,5.0,6.0,3.0,17-64,Extremely Low Density Rural,Rural,Rural,Very downscale,54005.0,0.858297288417816
1199160.0,60+,60+,65+,65-74,Non black 60+,White 60+,Once a week,More than once a week/Once a week,Catholic/Attend weekly,Complete,1.0,Call 1,1.0,1.0,1.0,2.0,Some college or associate degree,2.0,2.0,1.0,3.0,2.0,3.0,2.0,Less than 100k,50k or more,"$50,000-$74,999",3.0,No,Yes,Not so good,Not so good/Poor,65+,Democrat,Non black Democrat,White Democrats,Democrat,Moderate,3.0,31.0,2.0,White,State questionnaire,White,3.0,2.0,Midwest,Catholic,Catholic,2.0,1.0,1.0,1.0,1.0,Male,Non black male,White men,White male,Married men,White male,Suburbs,Suburbs,Wisconsin,Election day exit poll,1.0,2.0,1.0,2.0,3.0,1.0,Barack Obama did,"Yes, I do",Yes,I am,Yes,2.0,1.0,Version 1,Catholic,1.0,2.0,4.0,4.0,6.0,8.0,4.0,65+,High Density Urban,60s Suburbs,Urban Perimeter,Very downscale,53140.0,1.27151882648468
1199157.0,60+,60+,65+,65-74,Non black 60+,White 60+,Once a week,More than once a week/Once a week,Catholic/Attend weekly,Complete,1.0,Call 1,8.0,1.0,1.0,2.0,High school graduate,2.0,2.0,1.0,1.0,1.0,4.0,1.0,,,,1.0,No,Yes,Poor,Not so good/Poor,65+,Independent/Something else,Non black non Democrat,White Independents,Independent,Liberal,1.0,6.0,2.0,White,State questionnaire,White,3.0,2.0,Midwest,Catholic,Catholic,2.0,1.0,1.0,1.0,1.0,Male,Non black male,White men,White male,Married men,White male,"Cities 50,000-500,000","Cities over 50,000",Wisconsin,Election day exit poll,2.0,5.0,2.0,2.0,4.0,2.0,Barack Obama did not,No one does,No,No,No,1.0,1.0,Version 1,Catholic,1.0,2.0,4.0,4.0,6.0,8.0,4.0,65+,Suburb,Urban,Urban Core,Very downscale,54303.0,0.95789635181427
1199146.0,60+,60+,65+,65-74,Non black 60+,White 60+,A few times a year,A few times a month/A few times a year,Protestant/Do not attend weekly,Complete,1.0,Call 1,7.0,1.0,1.0,2.0,Did not complete high school,2.0,2.0,1.0,3.0,2.0,5.0,1.0,Less than 100k,Less than 50k,"$30,000-$49,999",1.0,No,Yes,Poor,Not so good/Poor,65+,Democrat,Non black Democrat,White Democrats,Democrat,Conservative,4.0,99.0,3.0,White,State questionnaire,White,3.0,2.0,Midwest,Protestant/Other Non-Catholic Christian,Protestant,1.0,1.0,1.0,2.0,1.0,Male,Non black male,White men,White male,Married men,White male,"Cities 10,000-50,000",Small Cities/Rural,Wisconsin,Election day exit poll,2.0,4.0,2.0,1.0,4.0,2.0,Barack Obama did not,No one does,No,No,No,1.0,1.0,Version 1,Protestant/Other Christian,1.0,2.0,4.0,4.0,6.0,8.0,4.0,65+,Low Density Rural,Rural,Rural,Very downscale,54495.0,0.757303357124329
1199143.0,30-59,45-59,50-64,50-59,Non black 45-59,White 45-59,Omit,Omit,Protestant/Do not attend weekly,Complete,1.0,Call 1,8.0,1.0,2.0,2.0,Postgraduate study,2.0,2.0,1.0,3.0,2.0,4.0,2.0,Less than 100k,50k or more,"$75,000-$99,999",1.0,No,Yes,Poor,Not so good/Poor,18-64,Democrat,Non black Democrat,White Democrats,Democrat,Liberal,2.0,6.0,3.0,White,State questionnaire,White,3.0,2.0,Midwest,Protestant/Other Non-Catholic Christian,Protestant,1.0,1.0,1.0,1.0,1.0,Male,Non black male,White men,White male,Married men,White male,"Cities 50,000-500,000","Cities over 50,000",Wisconsin,Election day exit poll,2.0,5.0,2.0,2.0,4.0,2.0,Barack Obama did not,No one does,No,No,No,2.0,2.0,Version 1,Protestant/Other Christian,1.0,2.0,3.0,3.0,5.0,6.0,3.0,17-64,Suburb,Urban,Urban Core,Very downscale,54303.0,0.8885697722435
1199139.0,60+,60+,65+,65-74,Non black 60+,White 60+,Once a week,More than once a week/Once a week,Catholic/Attend weekly,Complete,1.0,Call 1,7.0,1.0,1.0,2.0,High school graduate,2.0,2.0,1.0,3.0,2.0,5.0,1.0,Less than 100k,Less than 50k,"$15,000-$29,999",1.0,No,No,Not so good,Not so good/Poor,65+,Democrat,Non black Democrat,White Democrats,Democrat,Liberal,2.0,100.0,1.0,White,State questionnaire,White,3.0,2.0,Midwest,Catholic,Catholic,2.0,1.0,1.0,1.0,1.0,Male,Non black male,White men,White male,Non-married men,White male,"Cities 10,000-50,000",Small Cities/Rural,Wisconsin,Election day exit poll,2.0,5.0,2.0,2.0,3.0,1.0,Barack Obama did,"Yes, I do",Yes,I am,Yes,1.0,1.0,Version 1,Catholic,1.0,2.0,4.0,4.0,6.0,8.0,4.0,65+,Low Density Rural,Rural,Rural,Upscale,54449.0,0.896947503089905
1199134.0,18-29,18-29,18-24,18-24,Non black 18-29,White 18-29,Never,Never,All others,Complete,1.0,Call 1,4.0,2.0,1.0,2.0,High school graduate,1.0,1.0,3.0,3.0,2.0,1.0,1.0,Less than 100k,Less than 50k,"Under $15,000",2.0,No,No,Good,Excellent/Good,18-64,Independent/Something else,Non black non Democrat,White Independents,Something else,Liberal,2.0,52.0,3.0,White,State questionnaire,White,3.0,2.0,Midwest,None,None,5.0,1.0,1.0,3.0,2.0,Female,Non black female,White women,White female,Non-married women,White female,"Cities over 500,000","Cities over 50,000",Wisconsin,Election day exit poll,2.0,5.0,2.0,1.0,3.0,1.0,Barack Obama did,"Yes, someone else does",Yes,"Member in household, but not voter",No,1.0,1.0,Version 1,None,1.0,2.0,1.0,1.0,1.0,1.0,1.0,17-64,Extremely High Density Urban,Urban,Urban Core,Downscale,53202.0,1.84662568569183
