ID,AGE3,AGE60,AGE65,AGE9,AGEBLACK,AGEBYRACE,ATTEND,ATTEND2,ATTREL,BACKSIDE,BREAKDEM,BREAKDEM2,CALL,CDNUM,CHIEFDST,COLLEDUC,DPRS08,DPRS08ST,EDUC,FAVBILL,FAVBILL2,GENDISS,GENDISS2,GEOCODE,GETAHEAD,HSEDUC,INC100K,INC50K,INCOME07,ISSIA08D,LATINO,MARRIED,MODPRS08,NEC,NEC2,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PHIL3,PHIL5,PRECINCT,QLTNH08D,QRACEAI,QTYPE,RACE,RACEISS,RACEISS2,REGION,REL5,RELIGN8,RELWHITE,SATCLIN,SATISDEM,SATOBAM,SEX,SEXBLACK,SEXBYRACE,SEXRACE,SEXWED,SEXWHITE,SIZEPLAC,SIZEPLC3,STANUM,TELEPOLL,TIME3D,TIMEPR,TIMEWK,UNFAIRSC,UNFRCLIN,UNFROBAM,UNION4,UNIONHH,UNIONMEM,UNIONVOT,UNITEST,VERSION,WHITEREL,WOMENWED,XAGE,XAGE60,XAGE65,XAGE9,XAGEBYRACE,XOVER65,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE,WEIGHT
1116472.0,60+,60+,65+,65-74,Non black 60+,White 60+,A few times a month,A few times a month/A few times a year,Protestant/Do not attend weekly,Complete,9.0,9.0,Call 2,9.0,3.0,1.0,0.0,,Some college or associate degree,1.0,1.0,3.0,2.0,2.0,2.0,2.0,Less than 100k,Less than 50k,"$15,000-$29,999",9.0,No,No,0.0,Poor,Not so good/Poor,65+,Democrat,Non black Democrat,White Democrats,Democrat,Moderate,3.0,39.0,9.0,White,State questionnaire,White,3.0,2.0,Midwest,Protestant/Other Non-Catholic Christian,Protestant,1.0,9.0,9.0,9.0,Female,Non black female,White women,White female,Non-married women,White female,Suburbs,Suburbs,Missouri,Election day exit poll,9.0,9.0,9.0,3.0,1.0,Barack Obama did,No one does,No,No,No,3.0,Version 1,Protestant/Other Christian,2.0,4.0,4.0,6.0,8.0,4.0,65+,Low Density Rural,70s Suburbs,Low-Growth Suburban Perimeter,Downscale,63077.0,1.46999192237854
1125397.0,30-59,45-59,40-49,45-49,Non black 45-59,White 45-59,Once a week,More than once a week/Once a week,Protestant/Attend weekly,Complete,2.0,1.0,Call 3,4.0,2.0,1.0,0.0,,Some college or associate degree,2.0,1.0,3.0,2.0,4.0,3.0,2.0,Less than 100k,50k or more,"$50,000-$74,999",1.0,No,Yes,0.0,Not so good,Not so good/Poor,18-64,Republican,Non black non Democrat,All Republicans,Republican,Moderate,3.0,2.0,1.0,White,State questionnaire,White,3.0,2.0,Midwest,Protestant/Other Non-Catholic Christian,Protestant,1.0,1.0,3.0,1.0,Male,Non black male,White men,White male,Married men,White male,Rural,Small Cities/Rural,Missouri,Election day exit poll,2.0,5.0,2.0,3.0,1.0,Barack Obama did,No one does,No,No,No,2.0,Version 1,Protestant/Other Christian,2.0,3.0,3.0,4.0,5.0,3.0,17-64,Low Density Rural,Rural,Rural,Very downscale,65355.0,1.48770809173584
1106997.0,60+,60+,65+,65-74,Non black 60+,White 60+,Once a week,More than once a week/Once a week,Protestant/Attend weekly,Complete,4.0,2.0,Call 1,3.0,1.0,2.0,2.0,1.0,College graduate,2.0,1.0,3.0,2.0,2.0,2.0,2.0,Less than 100k,50k or more,"$50,000-$74,999",2.0,No,Yes,1.0,Poor,Not so good/Poor,65+,Democrat,Non black Democrat,White Democrats,Democrat,Conservative,4.0,114.0,1.0,White,State questionnaire,White,3.0,2.0,Midwest,Protestant/Other Non-Catholic Christian,Protestant,1.0,1.0,1.0,2.0,Female,Non black female,White women,White female,Married women,White female,Suburbs,Suburbs,Missouri,Election day exit poll,2.0,5.0,2.0,3.0,1.0,Barack Obama did,"Yes, someone else does",Yes,"Member in household, but not voter",No,1.0,Version 1,Protestant/Other Christian,1.0,4.0,4.0,6.0,8.0,4.0,65+,High Density Urban,60s Suburbs,Urban Perimeter,Upscale,63123.0,0.597506463527679
1126169.0,30-59,45-59,50-64,50-59,Non black 45-59,White 45-59,A few times a month,A few times a month/A few times a year,Catholic/Do not attend weekly,Complete,9.0,9.0,Call 3,2.0,1.0,1.0,2.0,1.0,High school graduate,1.0,1.0,3.0,2.0,2.0,2.0,1.0,100k or more,50k or more,"$100,000-$149,999",2.0,No,Yes,1.0,Poor,Not so good/Poor,18-64,Democrat,Non black Democrat,White Democrats,Democrat,Moderate,3.0,95.0,4.0,White,State questionnaire,White,3.0,2.0,Midwest,Catholic,Catholic,2.0,1.0,1.0,2.0,Female,Non black female,White women,White female,Married women,White female,Suburbs,Suburbs,Missouri,Election day exit poll,2.0,5.0,2.0,4.0,2.0,Barack Obama did not,"Yes, someone else does",Yes,"Member in household, but not voter",No,1.0,Version 1,Catholic,1.0,3.0,3.0,5.0,6.0,3.0,17-64,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,63366.0,0.55538409948349
1124316.0,30-59,30-44,40-49,40-44,Non black 30-44,White 30-44,,,,Not complete,9.0,9.0,Call 3,5.0,,,2.0,1.0,,,,,,3.0,,,,,,1.0,No,,1.0,Poor,Not so good/Poor,18-64,,,,,,,59.0,1.0,White,State questionnaire,White,,,Midwest,,,,,,,Female,Non black female,White women,White female,,White female,"Cities 50,000-500,000","Cities over 50,000",Missouri,Election day exit poll,2.0,5.0,2.0,4.0,2.0,Barack Obama did not,"Yes, I do",Yes,I am,Yes,,Version 1,,,2.0,2.0,4.0,4.0,2.0,17-64,Suburb,Urban,Urban Core,Downscale,64507.0,1.99083137512207
1124471.0,30-59,30-44,40-49,40-44,Non black 30-44,White 30-44,,,,Not complete,9.0,9.0,Call 3,5.0,,,2.0,1.0,,,,,,3.0,,,,,,1.0,No,,1.0,Poor,Not so good/Poor,18-64,,,,,,,59.0,1.0,White,State questionnaire,White,,,Midwest,,,,,,,Male,Non black male,White men,White male,,White male,"Cities 50,000-500,000","Cities over 50,000",Missouri,Election day exit poll,2.0,4.0,2.0,4.0,2.0,Barack Obama did not,"Yes, I do",Yes,I am,Yes,,Version 1,,,2.0,2.0,4.0,4.0,2.0,17-64,Suburb,Urban,Urban Core,Downscale,64507.0,2.07162976264954
1105792.0,30-59,45-59,50-64,50-59,Non black 45-59,All other,A few times a month,A few times a month/A few times a year,All others,Complete,2.0,1.0,Call 1,4.0,1.0,1.0,2.0,1.0,Some college or associate degree,2.0,1.0,3.0,2.0,4.0,3.0,2.0,Less than 100k,50k or more,"$50,000-$74,999",1.0,No,Yes,1.0,Poor,Not so good/Poor,18-64,Democrat,Non black Democrat,All other,Democrat,Liberal,2.0,101.0,2.0,American Indian,State questionnaire,Other,3.0,2.0,Midwest,Protestant/Other Non-Catholic Christian,Other Christian,9.0,1.0,3.0,1.0,Female,Non black female,All other races,Non white female,Married women,Non white,Rural,Small Cities/Rural,Missouri,Election day exit poll,2.0,5.0,2.0,3.0,1.0,Barack Obama did,No one does,No,No,No,2.0,Version 1,Non-white,1.0,3.0,3.0,5.0,6.0,13.0,17-64,Extremely Low Density Rural,Rural,Rural,Very downscale,64763.0,1.40859723091125
1106196.0,18-29,18-29,25-29,25-29,Non black 18-29,Latino 18-29,A few times a year,A few times a month/A few times a year,All others,Complete,3.0,2.0,Call 1,3.0,1.0,1.0,2.0,1.0,Some college or associate degree,1.0,1.0,3.0,2.0,2.0,1.0,2.0,Less than 100k,50k or more,"$50,000-$74,999",1.0,Yes,No,1.0,Not so good,Not so good/Poor,18-64,Democrat,Non black Democrat,Latino Democrats,Democrat,Liberal,2.0,120.0,1.0,Other,State questionnaire,Hispanic/Latino,3.0,2.0,Midwest,Protestant/Other Non-Catholic Christian,Other Christian,9.0,1.0,1.0,2.0,Female,Non black female,Latino women,Non white female,Non-married women,Non white,Suburbs,Suburbs,Missouri,Election day exit poll,1.0,1.0,1.0,4.0,2.0,Barack Obama did not,No one does,No,No,No,1.0,Version 1,Non-white,2.0,1.0,1.0,2.0,2.0,9.0,17-64,Suburb,60s Suburbs,Urban Perimeter,Upscale,63125.0,0.831313014030457
1105781.0,30-59,45-59,50-64,50-59,Non black 45-59,White 45-59,A few times a year,A few times a month/A few times a year,Protestant/Do not attend weekly,Complete,3.0,2.0,Call 1,8.0,2.0,1.0,2.0,1.0,Some college or associate degree,2.0,1.0,3.0,2.0,5.0,3.0,2.0,Less than 100k,50k or more,"$75,000-$99,999",2.0,No,Yes,1.0,Not so good,Not so good/Poor,18-64,Democrat,Non black Democrat,White Democrats,Democrat,Moderate,3.0,52.0,3.0,White,State questionnaire,White,2.0,1.0,Midwest,Protestant/Other Non-Catholic Christian,Protestant,1.0,1.0,3.0,1.0,Female,Non black female,White women,White female,Married women,White female,Rural,Small Cities/Rural,Missouri,Election day exit poll,1.0,2.0,1.0,3.0,1.0,Barack Obama did,No one does,No,No,No,2.0,Version 1,Protestant/Other Christian,1.0,3.0,3.0,5.0,6.0,3.0,17-64,Low Density Rural,Rural,Rural,Very downscale,63650.0,1.46811926364899
1106154.0,60+,60+,50-64,60-64,Non black 60+,White 60+,Once a week,More than once a week/Once a week,Catholic/Attend weekly,Complete,3.0,2.0,Call 1,3.0,1.0,1.0,2.0,1.0,High school graduate,1.0,1.0,3.0,2.0,2.0,2.0,1.0,Less than 100k,Less than 50k,"$30,000-$49,999",9.0,No,Yes,1.0,Not so good,Not so good/Poor,18-64,Democrat,Non black Democrat,White Democrats,Democrat,Moderate,3.0,120.0,1.0,White,State questionnaire,White,3.0,2.0,Midwest,Catholic,Catholic,2.0,1.0,1.0,2.0,Female,Non black female,White women,White female,Married women,White female,Suburbs,Suburbs,Missouri,Election day exit poll,2.0,4.0,2.0,4.0,2.0,Barack Obama did not,"Yes, someone else does",Yes,"Member in household, but not voter",No,1.0,Version 1,Catholic,1.0,3.0,4.0,5.0,7.0,4.0,17-64,Suburb,60s Suburbs,Urban Perimeter,Upscale,63125.0,0.831313014030457
