ID,ATTEND,ATTEND2,ATTREL,BACKSIDE,BEATMCCN,BILLHELP,BREAKDEM,BREAKDM2,CALL,CDNUM,CHIEFDEM2,CLINASVP,CLRCLIN,CLROBAM,CLRPLAN,COLLEDUC,DPRS08,EDUC,FAVMCCN,FAVMCCN2,FINWORRY,FINWRRY2,GENDISS,GENDISS2,GEOCODE,HONESTCLIN,HONESTDEM,HONESTOBAM,HSEDUC,INC100K,INC50K,INCOME07,INSPIRSC,INSPIRSO,INSPIRES,ISSIA08D,MSDPRS08,NEC,NEC2,OBAMAASVP,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PHIL3,PHIL5,PRECINCT,QLTNH08D,QRACEAI,QTYPE,RACE,RACEISS,RACEISS2,REGION,REL5,RELIGN8,RELWHITE,SATCLIN,SATISDEM,SATOBAM,SEX,SEXBLACK,SEXBYRACE,SEXRACE,SEXWHITE,SIZEPLAC,SIZEPLC3,STANUM,TELEPOLL,TIME3D,TIMEPR,TIMEWK,UNFAIRSC,UNFRCLIN,UNFROBAM,VERSION,WHITEREL,XAGE,XAGE60,XAGE65,XAGE9,XAGEBYRACE,XBEATREP,XCHIEFDEM,XOVER65,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE,WEIGHT
1251742.0,A few times a year,A few times a month/A few times a year,Catholic/Do not attend weekly,Complete,1.0,1.0,1.0,1.0,Call 3,4.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,Some college or associate degree,1.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,3.0,1.0,2.0,Less than 100k,50k or more,"$50,000-$74,999",1.0,2.0,1.0,1.0,1.0,Not so good,Not so good/Poor,2.0,Republican,Non black non Democrat,All Republicans,Republican,Conservative,4.0,21.0,3.0,White,State questionnaire,White,3.0,2.0,South,Catholic,Catholic,2.0,1.0,1.0,2.0,Female,Non black female,White women,White female,White female,Suburbs,Suburbs, Mississippi,Election day exit poll,2.0,5.0,2.0,4.0,2.0,Barack Obama did not,Version 1,Catholic,2.0,2.0,3.0,3.0,2.0,1.0,1.0,17-64,Suburb,,Urban Perimeter,Upscale,39540.0,0.682076334953308
1251723.0,A few times a year,A few times a month/A few times a year,All others,Complete,1.0,1.0,2.0,1.0,Call 3,4.0,1.0,1.0,9.0,9.0,9.0,2.0,2.0,Postgraduate study,3.0,2.0,2.0,1.0,3.0,2.0,2.0,9.0,9.0,9.0,2.0,Less than 100k,50k or more,"$75,000-$99,999",1.0,2.0,1.0,1.0,1.0,Not so good,Not so good/Poor,2.0,Democrat,Non black Democrat,White Democrats,Democrat,Liberal,2.0,21.0,3.0,White,State questionnaire,White,3.0,2.0,South,None,None,5.0,1.0,1.0,2.0,Female,Non black female,White women,White female,White female,Suburbs,Suburbs, Mississippi,Election day exit poll,2.0,3.0,1.0,9.0,9.0,Omit,Version 1,None,3.0,3.0,5.0,6.0,3.0,1.0,1.0,17-64,Suburb,,Urban Perimeter,Upscale,39540.0,0.682076334953308
1251718.0,A few times a month,A few times a month/A few times a year,All others,Complete,1.0,3.0,3.0,2.0,Call 3,4.0,1.0,1.0,9.0,9.0,9.0,2.0,2.0,College graduate,3.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0,3.0,1.0,2.0,Less than 100k,Less than 50k,"$30,000-$49,999",1.0,2.0,1.0,1.0,1.0,Poor,Not so good/Poor,1.0,Democrat,Non black Democrat,White Democrats,Democrat,Liberal,2.0,21.0,3.0,White,State questionnaire,White,3.0,2.0,South,Protestant/Other Non-Catholic Christian,Other Christian,1.0,1.0,3.0,1.0,Female,Non black female,White women,White female,White female,Suburbs,Suburbs, Mississippi,Election day exit poll,2.0,5.0,2.0,4.0,2.0,Barack Obama did not,Version 1,Protestant/Other Christian,3.0,3.0,4.0,5.0,3.0,1.0,1.0,17-64,Suburb,,Urban Perimeter,Upscale,39540.0,0.682076334953308
1251712.0,,,,Not complete,1.0,3.0,1.0,1.0,Call 3,4.0,,,1.0,2.0,1.0,,2.0,,,,1.0,1.0,,,2.0,,,,,,,,,,,9.0,1.0,Not so good,Not so good/Poor,,,,,,,,21.0,3.0,Asian,State questionnaire,Asian,,,South,,,,,,,Female,Non black female,All other races,Non white female,Non white,Suburbs,Suburbs, Mississippi,Election day exit poll,2.0,4.0,2.0,3.0,1.0,Barack Obama did,Version 1,,2.0,2.0,3.0,3.0,13.0,1.0,,17-64,Suburb,,Urban Perimeter,Upscale,39540.0,0.682076334953308
1251709.0,A few times a year,A few times a month/A few times a year,Catholic/Do not attend weekly,Complete,1.0,2.0,2.0,1.0,Call 3,4.0,1.0,2.0,2.0,2.0,4.0,1.0,2.0,Some college or associate degree,1.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,4.0,2.0,2.0,Less than 100k,50k or more,"$50,000-$74,999",1.0,2.0,1.0,1.0,1.0,Good,Excellent/Good,2.0,Republican,Non black non Democrat,All Republicans,Republican,Moderate,3.0,21.0,2.0,Other,State questionnaire,Other,3.0,2.0,South,Catholic,Catholic,9.0,1.0,1.0,2.0,Male,Non black male,All other races,Non white male,Non white,Suburbs,Suburbs, Mississippi,Election day exit poll,2.0,3.0,1.0,4.0,2.0,Barack Obama did not,Version 1,Non-white,3.0,3.0,5.0,6.0,13.0,1.0,1.0,17-64,Suburb,,Urban Perimeter,Upscale,39540.0,0.731569111347198
1251679.0,A few times a year,A few times a month/A few times a year,All others,Complete,1.0,1.0,4.0,2.0,Call 3,4.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,College graduate,2.0,1.0,3.0,2.0,2.0,1.0,2.0,2.0,4.0,2.0,2.0,Less than 100k,Less than 50k,"$30,000-$49,999",1.0,2.0,1.0,3.0,1.0,Not so good,Not so good/Poor,2.0,Democrat,Non black Democrat,White Democrats,Democrat,Liberal,1.0,21.0,3.0,White,State questionnaire,White,3.0,2.0,South,Something else,Something else,4.0,1.0,3.0,1.0,Female,Non black female,White women,White female,White female,Suburbs,Suburbs, Mississippi,Election day exit poll,2.0,3.0,1.0,2.0,2.0,Barack Obama did,Version 1,Something else,1.0,1.0,1.0,1.0,1.0,1.0,1.0,17-64,Suburb,,Urban Perimeter,Upscale,39540.0,0.67118912935257
1251667.0,A few times a year,A few times a month/A few times a year,Protestant/Do not attend weekly,Complete,1.0,1.0,2.0,1.0,Call 3,4.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,Some college or associate degree,3.0,2.0,2.0,1.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,Less than 100k,Less than 50k,"$30,000-$49,999",1.0,2.0,1.0,1.0,1.0,Poor,Not so good/Poor,2.0,Independent/Something else,Non black non Democrat,White Independents,Independent,Moderate,3.0,21.0,3.0,White,State questionnaire,White,3.0,2.0,South,Protestant/Other Non-Catholic Christian,Protestant,1.0,1.0,1.0,2.0,Female,Non black female,White women,White female,White female,Suburbs,Suburbs, Mississippi,Election day exit poll,2.0,4.0,2.0,2.0,2.0,Barack Obama did,Version 1,Protestant/Other Christian,3.0,4.0,5.0,7.0,4.0,1.0,1.0,17-64,Suburb,,Urban Perimeter,Upscale,39540.0,0.80847841501236
1251659.0,More than once a week,More than once a week/Once a week,Catholic/Attend weekly,Complete,1.0,1.0,2.0,1.0,Call 3,4.0,1.0,1.0,2.0,2.0,4.0,2.0,2.0,Postgraduate study,3.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,2.0,2.0,Less than 100k,50k or more,"$75,000-$99,999",1.0,2.0,1.0,2.0,1.0,Not so good,Not so good/Poor,1.0,Democrat,Non black Democrat,White Democrats,Democrat,Liberal,1.0,21.0,1.0,White,State questionnaire,White,3.0,2.0,South,Catholic,Catholic,2.0,1.0,3.0,1.0,Female,Non black female,White women,White female,White female,Suburbs,Suburbs, Mississippi,Election day exit poll,1.0,2.0,1.0,3.0,1.0,Barack Obama did,Version 1,Catholic,3.0,3.0,5.0,6.0,3.0,1.0,1.0,17-64,Suburb,,Urban Perimeter,Upscale,39540.0,0.682076334953308
1250676.0,A few times a year,A few times a month/A few times a year,Catholic/Do not attend weekly,Complete,1.0,1.0,3.0,2.0,Call 2,4.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,Postgraduate study,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,,,,1.0,2.0,1.0,3.0,1.0,Poor,Not so good/Poor,1.0,Democrat,Non black Democrat,White Democrats,Democrat,Moderate,3.0,21.0,3.0,White,State questionnaire,White,3.0,2.0,South,Catholic,Catholic,2.0,1.0,1.0,2.0,Female,Non black female,White women,White female,White female,Suburbs,Suburbs, Mississippi,Election day exit poll,2.0,5.0,2.0,4.0,2.0,Barack Obama did not,Version 1,Catholic,2.0,2.0,3.0,3.0,2.0,1.0,1.0,17-64,Suburb,,Urban Perimeter,Upscale,39540.0,0.682076334953308
1250657.0,A few times a month,A few times a month/A few times a year,All others,Complete,1.0,3.0,3.0,2.0,Call 2,4.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,High school graduate,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,Less than 100k,Less than 50k,"$30,000-$49,999",1.0,1.0,3.0,1.0,1.0,Not so good,Not so good/Poor,2.0,Democrat,,,Democrat,Moderate,3.0,21.0,1.0,,State questionnaire,,1.0,1.0,South,None,None,9.0,1.0,3.0,1.0,Female,,,,,Suburbs,Suburbs, Mississippi,Election day exit poll,2.0,5.0,2.0,4.0,2.0,Barack Obama did not,Version 1,Non-white,2.0,2.0,3.0,3.0,,1.0,1.0,17-64,Suburb,,Urban Perimeter,Upscale,39540.0,0.433308273553848
