ID,AGE3,AGE60,BACKSIDE,BREAKRNV,BREAKRN2,BRNAGAIN,CALL,CDNUM,GEOCODE,INC100K,INC50K08,INCOME08,ISSIA08R,LATINO,LATINOS,NVPARTYID,NVRPRS08,OVER65,PARTYNV,PHIL3,PHIL5,PRECINCT,QLTNV08R,QRACEAI,QTYPE,RACE,REGION,REL5,RELIGN8,RELWHITE,RPRS08,SEX,SEXRACE,SEXWHITE,SIZEPLAC,SIZEPLC3,SPANISHQ,STANUM,TELEPOLL,TIME3DNV,TIMECAUNV,TIMEWKNV,VERSION,VETVOTER,WHITEREL,WHTEVANG,WPROTBRN,XAGE,XAGE6,XAGE60,XOVER65,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE,WEIGHT
535402.0,18-29,18-29,Complete,2.0,1.0,No,Call 3,3.0,2.0,Less than 100k,1.0,2.0,2.0,No,No,1.0,0.0,18-64,1.0,Liberal,1.0,7.0,1.0,Other,State questionnaire,Other,West,None,None,9.0,0.0,Female,Non white female,Non white,Suburbs,Suburbs,English,Nevada,Election day exit poll,2.0,5.0,2.0,Version 1,No,Non-white,All others,All others,1.0,1.0,1.0,17-64,Low Density Rural,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,89052.0,0.948152005672455
535222.0,18-29,18-29,Complete,2.0,1.0,No,Call 1,2.0,3.0,Less than 100k,1.0,2.0,3.0,No,No,2.0,0.0,18-64,2.0,Conservative,5.0,57.0,2.0,White,State questionnaire,White,West,Protestant/Other Non-Catholic Christian,Mormon/LDS,1.0,0.0,Female,White female,White female,"Cities 10,000-50,000",Small Cities/Rural,English,Nevada,Election day exit poll,1.0,2.0,1.0,Version 1,No,Protestant/Other Christian,All others,All others,1.0,2.0,1.0,17-64,Extremely Low Density Rural,Rural,Rural,Upscale,89801.0,0.621203005313873
536523.0,30-59,30-44,Complete,9.0,9.0,No,Call 3,2.0,1.0,Less than 100k,2.0,5.0,1.0,No,No,3.0,1.0,18-64,3.0,Conservative,4.0,81.0,3.0,White,State questionnaire,White,West,Protestant/Other Non-Catholic Christian,Other Christian,1.0,1.0,Male,White male,White male,"Cities 50,000-500,000","Cities over 50,000",English,Nevada,Election day exit poll,2.0,3.0,1.0,Version 1,Yes,Protestant/Other Christian,All others,All others,2.0,3.0,2.0,17-64,Low Density Rural,Urban,Urban Core,Very upscale,89434.0,0.421849519014359
536513.0,30-59,30-44,Complete,3.0,2.0,No,Call 3,2.0,1.0,100k or more,2.0,6.0,3.0,,,2.0,1.0,18-64,2.0,Moderate,3.0,81.0,2.0,Hispanic/Latino,State questionnaire,Hispanic/Latino,West,None,None,9.0,1.0,Male,Non white male,Non white,"Cities 50,000-500,000","Cities over 50,000",,Nevada,Election day exit poll,2.0,5.0,2.0,Version 1,No,Non-white,All others,All others,2.0,3.0,2.0,17-64,Low Density Rural,Urban,Urban Core,Very upscale,89434.0,0.421849519014359
536030.0,30-59,30-44,Complete,3.0,2.0,No,Call 3,2.0,1.0,100k or more,2.0,6.0,4.0,No,No,2.0,1.0,18-64,2.0,Moderate,3.0,86.0,1.0,White,State questionnaire,White,West,Protestant/Other Non-Catholic Christian,Protestant,1.0,1.0,Male,White male,White male,"Cities 50,000-500,000","Cities over 50,000",English,Nevada,Election day exit poll,2.0,3.0,1.0,Version 1,Yes,Protestant/Other Christian,All others,All others,2.0,3.0,2.0,17-64,Low Density Rural,Urban,Urban Core,Very upscale,89434.0,0.623861968517303
535805.0,60+,60+,Complete,9.0,9.0,No,Call 3,2.0,1.0,100k or more,2.0,6.0,3.0,Yes,Yes,2.0,1.0,18-64,2.0,Conservative,4.0,67.0,3.0,White,State questionnaire,Hispanic/Latino,West,None,None,9.0,1.0,Female,Non white female,Non white,Suburbs,Suburbs,English,Nevada,Election day exit poll,2.0,5.0,2.0,Version 1,No,Non-white,All others,All others,3.0,5.0,4.0,17-64,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,89451.0,0.631271183490753
535797.0,60+,60+,Complete,1.0,1.0,No,Call 3,2.0,1.0,,,,3.0,No,No,2.0,1.0,65+,2.0,,,67.0,3.0,White,State questionnaire,White,West,Protestant/Other Non-Catholic Christian,Protestant,1.0,1.0,Male,White male,White male,Suburbs,Suburbs,English,Nevada,Election day exit poll,2.0,5.0,2.0,Version 1,Yes,Protestant/Other Christian,All others,All others,4.0,6.0,4.0,65+,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,89451.0,0.656783282756805
535774.0,60+,60+,Complete,4.0,2.0,No,Call 3,2.0,1.0,100k or more,2.0,6.0,3.0,No,No,2.0,1.0,18-64,2.0,Moderate,3.0,71.0,3.0,White,State questionnaire,White,West,Protestant/Other Non-Catholic Christian,Protestant,1.0,1.0,Female,White female,White female,"Cities 50,000-500,000","Cities over 50,000",English,Nevada,Election day exit poll,1.0,2.0,1.0,Version 1,No,Protestant/Other Christian,All others,All others,3.0,5.0,4.0,17-64,Low Density Rural,Urban,Urban Core,Very upscale,89511.0,0.878290355205536
535732.0,60+,60+,Complete,3.0,2.0,No,Call 3,2.0,1.0,100k or more,2.0,6.0,1.0,,,2.0,1.0,65+,2.0,Conservative,5.0,71.0,3.0,White,State questionnaire,White,West,Protestant/Other Non-Catholic Christian,Protestant,1.0,1.0,Male,White male,White male,"Cities 50,000-500,000","Cities over 50,000",,Nevada,Election day exit poll,1.0,2.0,1.0,Version 1,Yes,Protestant/Other Christian,All others,All others,4.0,6.0,4.0,65+,Low Density Rural,Urban,Urban Core,Very upscale,89511.0,0.913785457611084
535677.0,18-29,18-29,Complete,4.0,2.0,No,Call 3,2.0,3.0,Less than 100k,1.0,1.0,3.0,No,No,2.0,1.0,18-64,2.0,Liberal,2.0,57.0,2.0,White,State questionnaire,White,West,Catholic,Catholic,2.0,1.0,Male,White male,White male,"Cities 10,000-50,000",Small Cities/Rural,English,Nevada,Election day exit poll,1.0,1.0,1.0,Version 1,No,Catholic,All others,All others,1.0,1.0,1.0,17-64,Extremely Low Density Rural,Rural,Rural,Upscale,89801.0,1.41155982017517
