ID,AGE3,AGE60,AGE65,AGE9,AGEBLACK,AGEBYRACE,ATTEND,ATTEND2,ATTREL,BACKSIDE,BEATMCCN,CDNUM,CLINVSMCCN,COLLEDUC,DPRS08,EDUC,ENDPRIM,ENVICLIN,ENVIOBAM,ENVIRO,FTEVER,FTPRIM,FTVOTEP,GASTAX,GENDISS,GENDISS2,GENDISS4,GEOCODE,HONESTCLIN,HONESTDEM,HONESTOBAM,HSEDUC,INC100K,INC50K,INCOME07,ISSIA08D,OBAMVSMCCN,ORDPRS08,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PHIL3,PHIL5,QLTNH08D,QRACEAI,QTYPE,RACE,RACEISS,RACEISS2,RACEISS5,RECESS08,RECSS082,REGION,REL5,RELIGN8,RELWHITE,REVWRIGHT,RVWRGHT2,SATCLIN,SATISDEM,SATOBAM,SEX,SEXBLACK,SEXBYRACE,SEXRACE,SEXWHITE,SHARECLIN,SHAREOBAM,SHAREVAL,SIZEPLAC,SIZEPLC3,STANUM,TELEPOLL,UNFAIRSC,UNFRCLIN,UNFROBAM,UNION4,UNIONHH,UNIONMEM,UNIONVOT,VERSION,WHENOR3D,WHENORD,WHENORWK,WHITEREL,WINNOM,XAGE,XAGE60,XAGE65,XAGE9,XAGEBYRACE,XBEATREP,XOVER65,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE,WEIGHT
3694623.0,30-59,45-59,40-49,45-49,Non black 45-59,White 45-59,Once a week,More than once a week/Once a week,All others,Complete,1.0,5.0,1.0,1.0,2.0,Some college or associate degree,9.0,2.0,2.0,4.0,2.0,2.0,1.0,9.0,3.0,2.0,2.0,3.0,2.0,4.0,2.0,2.0,100k or more,50k or more,"$100,000-$149,999",1.0,2.0,1.0,18-64,,,,,Conservative,4.0,3.0,White,State questionnaire,White,3.0,2.0,2.0,1.0,1.0,West,Protestant/Other Non-Catholic Christian,Other Christian,1.0,1.0,1.0,1.0,1.0,2.0,Male,Non black male,White men,White male,White male,1.0,2.0,1.0,"Cities 50,000-500,000","Cities over 50,000",Oregon,Telephone survey,4.0,2.0,Barack Obama did not,No one does,No,No,No,Version 1,2.0,5.0,2.0,Protestant/Other Christian,2.0,3.0,3.0,4.0,5.0,3.0,1.0,17-64,Suburb,Urban,Urban Core,Downscale,97301.0,1.29275417327881
3694342.0,30-59,45-59,50-64,50-59,,,A few times a year,A few times a month/A few times a year,All others,Complete,1.0,2.0,1.0,2.0,2.0,Postgraduate study,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,4.0,4.0,1.0,1.0,2.0,2.0,Less than 100k,Less than 50k,"$30,000-$49,999",1.0,1.0,1.0,18-64,Independent/Something else,,,Something else,Moderate,3.0,3.0,,State questionnaire,,3.0,2.0,9.0,1.0,1.0,West,Protestant/Other Non-Catholic Christian,Other Christian,9.0,1.0,1.0,1.0,1.0,2.0,Female,,,,,1.0,2.0,1.0,"Cities 50,000-500,000","Cities over 50,000",Oregon,Telephone survey,3.0,1.0,Barack Obama did,No one does,No,No,No,Version 1,1.0,2.0,1.0,Non-white,2.0,3.0,3.0,5.0,6.0,,1.0,17-64,Low Density Rural,Urban,Urban Core,Upscale,97701.0,0.213807344436646
3694337.0,60+,60+,65+,65-74,,,Once a week,More than once a week/Once a week,All others,Complete,1.0,2.0,1.0,1.0,2.0,Some college or associate degree,1.0,1.0,1.0,3.0,2.0,2.0,1.0,9.0,3.0,2.0,2.0,4.0,1.0,1.0,2.0,2.0,Less than 100k,Less than 50k,"$30,000-$49,999",1.0,2.0,1.0,65+,Democrat,,,Democrat,Moderate,3.0,4.0,,State questionnaire,,3.0,2.0,9.0,1.0,1.0,West,Something else,Something else,9.0,4.0,2.0,1.0,1.0,2.0,Male,,,,,1.0,2.0,1.0,Rural,Small Cities/Rural,Oregon,Telephone survey,3.0,1.0,Barack Obama did,"Yes, someone else does",Yes,"Member in household, but not voter",No,Version 1,2.0,3.0,1.0,Non-white,1.0,4.0,4.0,6.0,8.0,,1.0,65+,Low Density Rural,Rural,Rural,Downscale,97603.0,0.165699496865273
3694318.0,60+,60+,65+,75 or over,Non black 60+,White 60+,Never,Never,Protestant/Do not attend weekly,Complete,1.0,3.0,1.0,1.0,2.0,High school graduate,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,,,2.0,2.0,1.0,65+,,,,,Conservative,5.0,4.0,White,State questionnaire,White,1.0,1.0,1.0,4.0,2.0,West,Protestant/Other Non-Catholic Christian,Protestant,1.0,1.0,1.0,1.0,1.0,2.0,Male,Non black male,White men,White male,White male,1.0,2.0,1.0,"Cities over 500,000","Cities over 50,000",Oregon,Telephone survey,1.0,1.0,Barack Obama did not,No one does,No,No,No,Version 1,2.0,4.0,2.0,Protestant/Other Christian,1.0,4.0,4.0,6.0,9.0,4.0,1.0,65+,Suburb,Urban,Urban Core,Upscale,97236.0,0.987924337387085
3694313.0,30-59,45-59,50-64,50-59,,,A few times a month,A few times a month/A few times a year,Protestant/Do not attend weekly,Complete,1.0,1.0,1.0,2.0,2.0,College graduate,1.0,2.0,2.0,4.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,3.0,1.0,1.0,2.0,2.0,Less than 100k,50k or more,"$75,000-$99,999",1.0,2.0,1.0,18-64,Democrat,,,Democrat,Moderate,3.0,4.0,,State questionnaire,,3.0,2.0,9.0,1.0,1.0,West,Protestant/Other Non-Catholic Christian,Protestant,9.0,2.0,1.0,1.0,1.0,2.0,Male,,,,,1.0,2.0,1.0,"Cities 50,000-500,000","Cities over 50,000",Oregon,Telephone survey,2.0,2.0,Barack Obama did,"Yes, I do and someone else does",Yes,I am,Yes,Version 1,2.0,3.0,1.0,Non-white,2.0,3.0,3.0,5.0,6.0,,1.0,17-64,High Density Urban,Urban,Urban Core,Upscale,97005.0,0.251913189888
3694292.0,60+,60+,65+,75 or over,,,Omit,Omit,Catholic/Do not attend weekly,Complete,9.0,4.0,2.0,1.0,2.0,Some college or associate degree,9.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,3.0,2.0,4.0,2.0,1.0,3.0,1.0,2.0,Less than 100k,50k or more,"$75,000-$99,999",1.0,2.0,1.0,65+,Democrat,,,Democrat,Moderate,3.0,3.0,,State questionnaire,,3.0,2.0,9.0,2.0,1.0,West,Catholic,Catholic,9.0,4.0,2.0,1.0,1.0,2.0,Female,,,,,1.0,1.0,3.0,"Cities 10,000-50,000",Small Cities/Rural,Oregon,Telephone survey,3.0,1.0,Barack Obama did,No one does,No,No,No,Version 1,2.0,3.0,1.0,Non-white,1.0,4.0,4.0,6.0,9.0,,9.0,65+,Suburb,Rural,Rural,Very upscale,97330.0,0.156538754701614
3694193.0,60+,60+,65+,75 or over,Non black 60+,White 60+,Omit,Omit,Protestant/Do not attend weekly,Complete,1.0,4.0,1.0,1.0,2.0,Some college or associate degree,9.0,1.0,1.0,3.0,2.0,2.0,1.0,9.0,3.0,2.0,4.0,2.0,1.0,3.0,1.0,2.0,,,,1.0,1.0,1.0,65+,,,,,,,3.0,White,State questionnaire,White,3.0,2.0,2.0,1.0,1.0,West,Protestant/Other Non-Catholic Christian,Protestant,1.0,9.0,9.0,1.0,3.0,1.0,Female,Non black female,White women,White female,White female,1.0,2.0,1.0,"Cities 50,000-500,000","Cities over 50,000",Oregon,Telephone survey,4.0,2.0,Barack Obama did not,No one does,No,No,No,Version 1,1.0,2.0,1.0,Protestant/Other Christian,1.0,4.0,4.0,6.0,9.0,4.0,1.0,65+,Suburb,Urban,Urban Core,Downscale,97402.0,0.629806637763977
3694149.0,,,,,,,Omit,Omit,All others,Complete,9.0,2.0,1.0,,2.0,,1.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,3.0,2.0,4.0,4.0,1.0,3.0,1.0,,,,,1.0,1.0,1.0,,Democrat,,,Democrat,Moderate,3.0,3.0,,State questionnaire,,3.0,2.0,9.0,1.0,1.0,West,Protestant/Other Non-Catholic Christian,Other Christian,9.0,2.0,1.0,1.0,3.0,1.0,Female,,,,,1.0,1.0,3.0,"Cities 50,000-500,000","Cities over 50,000",Oregon,Telephone survey,4.0,2.0,Barack Obama did not,No one does,No,No,No,Version 1,2.0,5.0,2.0,Non-white,9.0,,,,,,9.0,,Suburb,Urban,Urban Core,Very upscale,97504.0,0.0640683248639107
3693726.0,60+,60+,65+,75 or over,,,Once a week,More than once a week/Once a week,Catholic/Attend weekly,Complete,2.0,1.0,1.0,2.0,2.0,Postgraduate study,1.0,1.0,1.0,3.0,2.0,2.0,1.0,9.0,3.0,2.0,4.0,1.0,1.0,3.0,1.0,2.0,,,,1.0,1.0,1.0,65+,Democrat,,,Democrat,Liberal,1.0,3.0,,State questionnaire,,3.0,2.0,9.0,2.0,1.0,West,Catholic,Catholic,9.0,2.0,1.0,1.0,3.0,1.0,Female,,,,,1.0,1.0,3.0,"Cities over 500,000","Cities over 50,000",Oregon,Telephone survey,4.0,2.0,Barack Obama did not,No one does,No,No,No,Version 1,2.0,5.0,2.0,Non-white,2.0,4.0,4.0,6.0,9.0,,2.0,65+,Suburb,Urban,Urban Core,Very upscale,97219.0,0.181670233607292
3693720.0,,,,,,,A few times a year,A few times a month/A few times a year,Catholic/Do not attend weekly,Complete,2.0,5.0,1.0,2.0,2.0,College graduate,2.0,1.0,1.0,3.0,2.0,2.0,1.0,2.0,2.0,1.0,3.0,3.0,1.0,1.0,2.0,2.0,,,,1.0,1.0,1.0,,Democrat,,,Democrat,Liberal,2.0,4.0,,State questionnaire,,3.0,2.0,9.0,2.0,1.0,West,Catholic,Catholic,9.0,1.0,1.0,1.0,3.0,1.0,Female,,,,,2.0,2.0,4.0,Suburbs,Suburbs,Oregon,Telephone survey,3.0,1.0,Barack Obama did,No one does,No,No,No,Version 1,2.0,5.0,2.0,Non-white,2.0,,,,,,2.0,,Low Density Rural,70s Suburbs,High-Growth Suburban Perimeter,Upscale,97338.0,0.0558492206037045
