ID,AGE3,AGE60,AGE65,AGE9,AGEBLACK,AGEBYRACE,ATTEND,ATTEND2,ATTREL,BACKSIDE,BEATMCCN,BREAKDEM,BREAKDM2,CALL,CDNUM,CLINASVP,CLINVSMCCN,COLLEDUC,DPRS08,EDUC,GENDISS,GENDISS2,GENDISS4,GEOCODE,GUNOWNER,HONESTCLIN,HONESTDEM,HONESTOBAM,HSEDUC,INC100K,INC50K,INCOME07,ISSIA08D,ISSVQUAL,LONGPRIM,OBAMAASVP,OBAMVSMCCN,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PHIL3,PHIL5,PRECINCT,QLTNH08D,QRACEAI,QTYPE,RACE,RACEISS,RACEISS2,RACEISS5,RECESS08,RECSS082,REGION,REL5,RELIGN8,RELWHITE,SATCLIN,SATISDEM,SATOBAM,SDDPRS08,SEX,SEXBLACK,SEXBYRACE,SEXRACE,SEXWHITE,SHARECLIN,SHAREOBAM,SHAREVAL,SIZEPLAC,SIZEPLC3,STANUM,TELEPOLL,TIME3D,TIMEPR,TIMEWK,TIME3DAB,TIMEPRAB,TIMEWKAB,UNFAIRSC,UNFRCLIN,UNFROBAM,VERSION,WHITEREL,XAGE,XAGE60,XAGE65,XAGE9,XAGEBYRACE,XBEATREP,XOVER65,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE,WEIGHT
3707323.0,,,,,,,Omit,Omit,Omit,Complete,1.0,,,,1.0,2.0,1.0,,2.0,,3.0,2.0,4.0,3.0,No,1.0,1.0,2.0,,,,,1.0,My candidates position on the issues,1.0,2.0,1.0,,Independent/Something else,,,Independent,Moderate,3.0,50002.0,3.0,,State questionnaire,,3.0,2.0,9.0,2.0,1.0,Midwest,,,9.0,9.0,9.0,9.0,1.0,Female,,,,,1.0,2.0,1.0,"Cities 50,000-500,000","Cities over 50,000",South Dakota,Telephone survey,9.0,9.0,9.0,3.0,6.0,3.0,3.0,1.0,Barack Obama did,Version 1,,,,,,,1.0,,Suburb,Urban,Urban Core,Upscale,57701.0,0.253470033407211
3707320.0,,,,,,,A few times a month,A few times a month/A few times a year,Catholic/Do not attend weekly,Complete,9.0,,,,1.0,1.0,1.0,,2.0,,3.0,2.0,2.0,1.0,No,1.0,3.0,1.0,,,,,2.0,My candidates leadership/personal qualities,1.0,1.0,1.0,,Democrat,Non black Democrat,White Democrats,Democrat,Moderate,3.0,50003.0,4.0,White,State questionnaire,White,3.0,2.0,2.0,2.0,1.0,Midwest,Catholic,Catholic,2.0,1.0,3.0,1.0,1.0,Male,Non black male,White men,White male,White male,1.0,1.0,3.0,"Cities 50,000-500,000","Cities over 50,000",South Dakota,Telephone survey,9.0,9.0,9.0,3.0,6.0,3.0,3.0,1.0,Barack Obama did,Version 1,Catholic,,,,,,9.0,,Extremely Low Density Rural,Urban,Urban Core,Very upscale,57032.0,0.540512025356293
3707135.0,30-59,45-59,50-64,50-59,Non black 45-59,White 45-59,A few times a month,A few times a month/A few times a year,All others,Complete,9.0,,,,1.0,9.0,2.0,1.0,2.0,Some college or associate degree,3.0,2.0,2.0,3.0,No,2.0,4.0,2.0,2.0,,,,1.0,My candidates leadership/personal qualities,9.0,9.0,2.0,18-64,Independent/Something else,Non black non Democrat,White Independents,Independent,Conservative,4.0,50002.0,3.0,White,State questionnaire,White,3.0,2.0,2.0,4.0,2.0,Midwest,Protestant/Other Non-Catholic Christian,Other Christian,1.0,2.0,4.0,2.0,1.0,Male,Non black male,White men,White male,White male,2.0,2.0,4.0,"Cities 10,000-50,000",Small Cities/Rural,South Dakota,Telephone survey,9.0,9.0,9.0,3.0,6.0,3.0,9.0,9.0,Omit,Version 1,Protestant/Other Christian,3.0,3.0,5.0,6.0,3.0,9.0,17-64,Low Density Rural,Rural,Rural,Upscale,57783.0,1.50421988964081
3707131.0,30-59,45-59,50-64,50-59,Non black 45-59,White 45-59,A few times a month,A few times a month/A few times a year,Protestant/Do not attend weekly,Complete,1.0,,,,1.0,2.0,2.0,1.0,2.0,Some college or associate degree,3.0,2.0,2.0,3.0,Yes,1.0,1.0,2.0,2.0,Less than 100k,50k or more,"$75,000-$99,999",2.0,My candidates position on the issues,9.0,2.0,2.0,18-64,Independent/Something else,Non black non Democrat,White Independents,Something else,Conservative,5.0,50002.0,3.0,White,State questionnaire,White,3.0,2.0,2.0,4.0,2.0,Midwest,Protestant/Other Non-Catholic Christian,Protestant,1.0,2.0,4.0,2.0,1.0,Male,Non black male,White men,White male,White male,2.0,2.0,4.0,Suburbs,Suburbs,South Dakota,Telephone survey,9.0,9.0,9.0,3.0,6.0,3.0,4.0,2.0,Barack Obama did not,Version 1,Protestant/Other Christian,3.0,3.0,5.0,6.0,3.0,1.0,17-64,Extremely Low Density Rural,70s Suburbs,Low-Growth Suburban Perimeter,Very downscale,57719.0,1.50421988964081
3707129.0,30-59,45-59,50-64,50-59,Non black 45-59,White 45-59,A few times a month,A few times a month/A few times a year,All others,Complete,1.0,,,,1.0,1.0,1.0,1.0,2.0,High school graduate,3.0,2.0,2.0,2.0,Yes,1.0,3.0,1.0,1.0,100k or more,50k or more,"$100,000-$149,999",2.0,My candidates position on the issues,1.0,1.0,1.0,18-64,Democrat,Non black Democrat,White Democrats,Democrat,Liberal,1.0,50001.0,1.0,White,State questionnaire,White,3.0,2.0,2.0,2.0,1.0,Midwest,Protestant/Other Non-Catholic Christian,Other Christian,1.0,1.0,3.0,1.0,1.0,Male,Non black male,White men,White male,White male,1.0,2.0,1.0,"Cities 10,000-50,000",Small Cities/Rural,South Dakota,Telephone survey,9.0,9.0,9.0,3.0,6.0,3.0,4.0,2.0,Barack Obama did not,Version 1,Protestant/Other Christian,3.0,3.0,5.0,6.0,3.0,1.0,17-64,Low Density Rural,Rural,Rural,Very upscale,57401.0,1.46107470989227
3707127.0,30-59,45-59,50-64,50-59,Non black 45-59,White 45-59,Once a week,More than once a week/Once a week,Catholic/Attend weekly,Complete,1.0,,,,1.0,2.0,1.0,1.0,2.0,High school graduate,2.0,1.0,1.0,1.0,Yes,1.0,3.0,1.0,1.0,Less than 100k,50k or more,"$50,000-$74,999",2.0,My candidates position on the issues,1.0,1.0,1.0,18-64,Democrat,Non black Democrat,White Democrats,Democrat,Moderate,3.0,50003.0,3.0,White,State questionnaire,White,2.0,1.0,1.0,2.0,1.0,Midwest,Catholic,Catholic,2.0,1.0,3.0,1.0,1.0,Male,Non black male,White men,White male,White male,1.0,1.0,3.0,Rural,Small Cities/Rural,South Dakota,Telephone survey,9.0,9.0,9.0,3.0,6.0,3.0,3.0,1.0,Barack Obama did,Version 1,Catholic,3.0,3.0,5.0,6.0,3.0,1.0,17-64,Extremely Low Density Rural,Rural,Rural,Downscale,57048.0,1.42244780063629
3707125.0,30-59,45-59,50-64,50-59,Non black 45-59,White 45-59,Never,Never,All others,Complete,1.0,,,,1.0,1.0,1.0,1.0,2.0,High school graduate,1.0,1.0,1.0,1.0,,1.0,1.0,2.0,1.0,,,,1.0,My candidates position on the issues,2.0,1.0,1.0,18-64,Democrat,Non black Democrat,White Democrats,Democrat,Conservative,4.0,50003.0,2.0,White,State questionnaire,White,1.0,1.0,1.0,2.0,1.0,Midwest,None,None,5.0,1.0,1.0,2.0,1.0,Male,Non black male,White men,White male,White male,1.0,2.0,1.0,Rural,Small Cities/Rural,South Dakota,Telephone survey,9.0,9.0,9.0,3.0,6.0,3.0,2.0,2.0,Barack Obama did,Version 1,None,3.0,3.0,5.0,6.0,3.0,1.0,17-64,Extremely Low Density Rural,Rural,Rural,Very downscale,57366.0,1.42244780063629
3707119.0,30-59,30-44,30-39,30-39,Non black 30-44,White 30-44,A few times a month,A few times a month/A few times a year,All others,Complete,1.0,,,,1.0,1.0,1.0,1.0,2.0,Some college or associate degree,3.0,2.0,4.0,1.0,No,1.0,3.0,1.0,2.0,,,,1.0,My candidates leadership/personal qualities,2.0,1.0,1.0,18-64,Independent/Something else,Non black non Democrat,White Independents,Independent,Liberal,1.0,50003.0,3.0,White,State questionnaire,White,3.0,2.0,2.0,2.0,1.0,Midwest,None,None,5.0,1.0,3.0,1.0,1.0,Female,Non black female,White women,White female,White female,1.0,1.0,3.0,"Cities 50,000-500,000","Cities over 50,000",South Dakota,Telephone survey,9.0,9.0,9.0,3.0,6.0,3.0,4.0,2.0,Barack Obama did not,Version 1,None,2.0,2.0,3.0,3.0,2.0,1.0,17-64,Suburb,Urban,Urban Core,Very upscale,57106.0,1.4726322889328
3707113.0,30-59,45-59,40-49,45-49,Non black 45-59,All other,A few times a year,A few times a month/A few times a year,Catholic/Do not attend weekly,Complete,1.0,,,,1.0,1.0,1.0,1.0,2.0,High school graduate,3.0,2.0,4.0,3.0,,1.0,3.0,1.0,1.0,,,,9.0,My candidates leadership/personal qualities,1.0,1.0,1.0,18-64,Democrat,Non black Democrat,All other,Democrat,Moderate,3.0,50002.0,1.0,American Indian,State questionnaire,Other,3.0,2.0,5.0,2.0,1.0,Midwest,Catholic,Catholic,9.0,1.0,1.0,2.0,1.0,Female,Non black female,All other races,Non white female,Non white,1.0,2.0,1.0,"Cities 50,000-500,000","Cities over 50,000",South Dakota,Telephone survey,9.0,9.0,9.0,3.0,6.0,3.0,4.0,2.0,Barack Obama did not,Version 1,Non-white,3.0,3.0,4.0,5.0,13.0,1.0,17-64,Suburb,Urban,Urban Core,Upscale,57701.0,1.80969715118408
3707110.0,30-59,45-59,50-64,50-59,Non black 45-59,All other,A few times a year,A few times a month/A few times a year,Protestant/Do not attend weekly,Complete,1.0,,,,1.0,2.0,1.0,1.0,2.0,Some college or associate degree,3.0,2.0,2.0,2.0,Yes,1.0,1.0,2.0,2.0,Less than 100k,Less than 50k,"Under $15,000",3.0,My candidates leadership/personal qualities,1.0,2.0,1.0,18-64,Democrat,Non black Democrat,All other,Democrat,Moderate,3.0,50001.0,3.0,American Indian,State questionnaire,Other,3.0,2.0,5.0,1.0,1.0,Midwest,Protestant/Other Non-Catholic Christian,Protestant,9.0,1.0,1.0,2.0,1.0,Male,Non black male,All other races,Non white male,Non white,1.0,2.0,1.0,Rural,Small Cities/Rural,South Dakota,Telephone survey,9.0,9.0,9.0,3.0,6.0,3.0,3.0,1.0,Barack Obama did,Version 1,Non-white,3.0,3.0,5.0,6.0,13.0,1.0,17-64,Extremely Low Density Rural,Rural,Rural,Very downscale,57262.0,1.91081750392914
