ID,AGE3,AGE60,AGE65,AGE9,AGEBLACK,AGEBYRACE,ATTEND,ATTEND2,ATTREL,BACKSIDE,BILLHELP,BREAKDEM,BREAKDM2,CALL,CDNUM,CHIEFDST,COLLEDUC,DPRS08,DPRS08ST,EDUC,GENDISS,GENDISS2,GEOCODE,GETAHEAD,HSEDUC,INC100K,INC50K,INCOME07,ISSIA08D,LATINO,MARRIED,NEC,NEC2,NJDPRS08,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PHIL3,PHIL5,PRECINCT,QLTNH08D,QRACEAI,QTYPE,RACE,RACEISS,RACEISS2,REGION,REL5,RELIGN8,RELWHITE,SATCLIN,SATISDEM,SATOBAM,SEX,SEXBLACK,SEXBYRACE,SEXRACE,SEXWED,SEXWHITE,SIZEPLAC,SIZEPLC3,STANUM,TELEPOLL,TIME3D,TIMEPR,TIMEWK,UNFAIRSC,UNFRCLIN,UNFROBAM,UNION4,UNIONHH,UNIONMEM,UNIONVOT,UNITEST,VERSION,WHITEREL,WOMENWED,XAGE,XAGE60,XAGE65,XAGE9,XAGEBYRACE,XOVER65,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE,WEIGHT
1103508.0,30-59,45-59,50-64,50-59,Non black 45-59,White 45-59,Once a week,More than once a week/Once a week,Protestant/Attend weekly,Complete,1.0,4.0,2.0,Call 1,12.0,1.0,2.0,2.0,1.0,College graduate,2.0,1.0,3.0,2.0,2.0,100k or more,50k or more,"$100,000-$149,999",3.0,No,Yes,Not so good,Not so good/Poor,1.0,18-64,Democrat,Non black Democrat,White Democrats,Democrat,Moderate,3.0,85.0,1.0,White,State questionnaire,White,3.0,2.0,East,Protestant/Other Non-Catholic Christian,Protestant,1.0,1.0,1.0,2.0,Female,Non black female,White women,White female,Married women,White female,Suburbs,Suburbs,New Jersey,Election day exit poll,2.0,4.0,2.0,2.0,2.0,Barack Obama did,"Yes, someone else does",Yes,"Member in household, but not voter",No,1.0,Version 1,Protestant/Other Christian,1.0,3.0,3.0,5.0,6.0,3.0,17-64,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,7738.0,0.764870405197144
1115166.0,30-59,45-59,40-49,45-49,Non black 45-59,White 45-59,A few times a year,A few times a month/A few times a year,Protestant/Do not attend weekly,Complete,1.0,3.0,2.0,Call 2,1.0,1.0,1.0,2.0,1.0,High school graduate,1.0,1.0,4.0,3.0,1.0,Less than 100k,50k or more,"$50,000-$74,999",9.0,No,No,Poor,Not so good/Poor,1.0,18-64,Democrat,Non black Democrat,White Democrats,Democrat,Conservative,5.0,44.0,1.0,White,State questionnaire,White,1.0,1.0,East,Protestant/Other Non-Catholic Christian,Protestant,1.0,1.0,3.0,1.0,Female,Non black female,White women,White female,Non-married women,White female,Suburbs,Suburbs,New Jersey,Election day exit poll,2.0,5.0,2.0,4.0,2.0,Barack Obama did not,No one does,No,No,No,1.0,Version 1,Protestant/Other Christian,2.0,3.0,3.0,4.0,5.0,3.0,17-64,Suburb,60s Suburbs,Urban Perimeter,Downscale,8090.0,0.92849063873291
1124496.0,18-29,18-29,18-24,18-24,Non black 18-29,White 18-29,A few times a year,A few times a month/A few times a year,All others,Complete,1.0,4.0,2.0,Call 3,13.0,1.0,2.0,2.0,1.0,College graduate,2.0,1.0,1.0,2.0,2.0,Less than 100k,Less than 50k,"$30,000-$49,999",2.0,No,No,Not so good,Not so good/Poor,1.0,18-64,Democrat,Non black Democrat,White Democrats,Democrat,Liberal,2.0,53.0,1.0,White,State questionnaire,White,3.0,2.0,East,Jewish,Jewish,3.0,1.0,3.0,1.0,Male,Non black male,White men,White male,Non-married men,White male,Suburbs,Suburbs,New Jersey,Election day exit poll,2.0,5.0,2.0,3.0,1.0,Barack Obama did,No one does,No,No,No,3.0,Version 1,Jewish,2.0,1.0,1.0,1.0,1.0,1.0,17-64,Extremely High Density Urban,60s Suburbs,Urban Perimeter,Downscale,7302.0,1.88548398017883
1103497.0,30-59,45-59,40-49,45-49,Non black 45-59,White 45-59,A few times a month,A few times a month/A few times a year,Catholic/Do not attend weekly,Complete,1.0,1.0,1.0,Call 1,12.0,1.0,1.0,2.0,1.0,High school graduate,3.0,2.0,3.0,2.0,1.0,100k or more,50k or more,"$150,000-$199,999",1.0,No,No,Not so good,Not so good/Poor,1.0,18-64,Democrat,Non black Democrat,White Democrats,Democrat,Moderate,3.0,85.0,1.0,White,State questionnaire,White,2.0,1.0,East,Catholic,Catholic,2.0,1.0,1.0,2.0,Female,Non black female,White women,White female,Non-married women,White female,Suburbs,Suburbs,New Jersey,Election day exit poll,1.0,1.0,1.0,4.0,2.0,Barack Obama did not,No one does,No,No,No,1.0,Version 1,Catholic,2.0,3.0,3.0,4.0,5.0,3.0,17-64,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,7738.0,0.764870405197144
1115160.0,30-59,45-59,40-49,45-49,Non black 45-59,White 45-59,Once a week,More than once a week/Once a week,Catholic/Attend weekly,Complete,1.0,1.0,1.0,Call 2,2.0,1.0,2.0,2.0,1.0,College graduate,2.0,1.0,4.0,2.0,2.0,Less than 100k,50k or more,"$50,000-$74,999",3.0,No,Yes,Not so good,Not so good/Poor,1.0,18-64,Democrat,Non black Democrat,White Democrats,Democrat,Moderate,3.0,3.0,3.0,White,State questionnaire,White,2.0,1.0,East,Catholic,Catholic,2.0,1.0,3.0,1.0,Female,Non black female,White women,White female,Married women,White female,Suburbs,Suburbs,New Jersey,Election day exit poll,2.0,5.0,2.0,4.0,2.0,Barack Obama did not,No one does,No,No,No,1.0,Version 1,Catholic,1.0,3.0,3.0,4.0,5.0,3.0,17-64,Suburb,60s Suburbs,Urban Perimeter,Downscale,8244.0,1.07960546016693
1103492.0,30-59,45-59,50-64,50-59,Non black 45-59,White 45-59,,,,Not complete,,4.0,2.0,Call 1,5.0,,,2.0,1.0,,,,2.0,,,,,,2.0,No,,Poor,Not so good/Poor,1.0,18-64,,,,,,,6.0,4.0,White,State questionnaire,White,,,East,,,,,,,Male,Non black male,White men,White male,,White male,Suburbs,Suburbs,New Jersey,Election day exit poll,2.0,5.0,2.0,3.0,1.0,Barack Obama did,"Yes, I do",Yes,I am,Yes,,Version 1,,,3.0,3.0,5.0,6.0,3.0,17-64,Suburb,60s Suburbs,Urban Perimeter,Very upscale,7624.0,0.69833368062973
1103488.0,30-59,30-44,30-39,30-39,Non black 30-44,White 30-44,Once a week,More than once a week/Once a week,All others,Complete,1.0,1.0,1.0,Call 1,3.0,1.0,1.0,2.0,1.0,Did not complete high school,2.0,1.0,4.0,3.0,1.0,Less than 100k,50k or more,"$50,000-$74,999",1.0,No,No,Poor,Not so good/Poor,1.0,18-64,Democrat,Non black Democrat,White Democrats,Democrat,Moderate,3.0,23.0,3.0,White,State questionnaire,White,1.0,1.0,East,Protestant/Other Non-Catholic Christian,Other Christian,1.0,1.0,3.0,1.0,Female,Non black female,White women,White female,Non-married women,White female,Suburbs,Suburbs,New Jersey,Election day exit poll,2.0,5.0,2.0,3.0,1.0,Barack Obama did,No one does,No,No,No,3.0,Version 1,Protestant/Other Christian,2.0,2.0,2.0,3.0,3.0,2.0,17-64,High Density Urban,60s Suburbs,Urban Perimeter,Upscale,8046.0,1.19868922233582
1103484.0,18-29,18-29,18-24,18-24,Non black 18-29,All other,A few times a year,A few times a month/A few times a year,All others,Complete,3.0,3.0,2.0,Call 1,5.0,1.0,2.0,2.0,1.0,College graduate,3.0,2.0,2.0,1.0,2.0,100k or more,50k or more,"$100,000-$149,999",1.0,No,No,Not so good,Not so good/Poor,1.0,18-64,Independent/Something else,Non black non Democrat,All other,Independent,Moderate,3.0,6.0,3.0,Asian,State questionnaire,Asian,3.0,2.0,East,None,None,9.0,1.0,1.0,2.0,Female,Non black female,All other races,Non white female,Non-married women,Non white,Suburbs,Suburbs,New Jersey,Election day exit poll,2.0,3.0,1.0,3.0,1.0,Barack Obama did,"Yes, someone else does",Yes,"Member in household, but not voter",No,3.0,Version 1,Non-white,2.0,1.0,1.0,1.0,1.0,13.0,17-64,Suburb,60s Suburbs,Urban Perimeter,Very upscale,7624.0,0.811105668544769
1124477.0,30-59,30-44,30-39,30-39,Non black 30-44,White 30-44,A few times a year,A few times a month/A few times a year,Catholic/Do not attend weekly,Complete,1.0,4.0,2.0,Call 3,3.0,1.0,2.0,2.0,1.0,College graduate,3.0,2.0,4.0,3.0,2.0,Less than 100k,Less than 50k,"$15,000-$29,999",3.0,No,No,Not so good,Not so good/Poor,1.0,18-64,Democrat,Non black Democrat,White Democrats,Democrat,Moderate,3.0,100.0,1.0,White,State questionnaire,White,3.0,2.0,East,Catholic,Catholic,2.0,1.0,1.0,2.0,Female,Non black female,White women,White female,Non-married women,White female,Suburbs,Suburbs,New Jersey,Election day exit poll,2.0,5.0,2.0,4.0,2.0,Barack Obama did not,No one does,No,No,No,1.0,Version 1,Catholic,2.0,2.0,2.0,3.0,3.0,2.0,17-64,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Upscale,8753.0,0.927512168884277
1103478.0,30-59,45-59,40-49,45-49,Non black 45-59,White 45-59,Omit,Omit,Omit,Complete,2.0,4.0,2.0,Call 1,5.0,1.0,1.0,2.0,1.0,Some college or associate degree,3.0,2.0,2.0,3.0,2.0,,,,1.0,No,Yes,Poor,Not so good/Poor,1.0,18-64,Democrat,Non black Democrat,White Democrats,Democrat,Moderate,3.0,6.0,3.0,White,State questionnaire,White,3.0,2.0,East,,,9.0,1.0,1.0,2.0,Female,Non black female,White women,White female,Married women,White female,Suburbs,Suburbs,New Jersey,Election day exit poll,2.0,5.0,2.0,3.0,1.0,Barack Obama did,No one does,No,No,No,1.0,Version 1,,1.0,3.0,3.0,4.0,5.0,3.0,17-64,Suburb,60s Suburbs,Urban Perimeter,Very upscale,7624.0,0.705757677555084
