ID,AGE3,AGE60,AGE65,AGE9,AGEBLACK,AGEBYRACE,ATTEND,ATTEND2,ATTREL,BACKSIDE,BREAKDEM,BREAKDM2,CALL,CDNUM,CHIEFDST,COLLEDUC,DPRS08,DPRS08ST,EDUC,GENDISS,GENDISS2,GEOCODE,GETAHEAD,HSEDUC,IMMPRIME,INC100K,INC50K,INCOME07,ISSIA08D,LATINO,LATINOS,MARRIED,NEC,NEC2,NMPRSD08,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PHIL3,PHIL5,PRECINCT,QLTNH08D,QRACEAI,QTYPE,RACE,RACEISS,RACEISS2,REGION,REL5,RELIGN8,RELWHITE,SATCLIN,SATISDEM,SATOBAM,SEX,SEXBLACK,SEXBYRACE,SEXRACE,SEXWED,SEXWHITE,SIZEPLAC,SIZEPLC3,SPANISHQ,STANUM,TELEPOLL,TIME3D,TIMEPR,TIMEWK,UNFAIRSC,UNFRCLIN,UNFROBAM,UNION4,UNIONHH,UNIONMEM,UNIONVOT,UNITEST,VERSION,WHITEREL,WOMENWED,XAGE,XAGE60,XAGE65,XAGE9,XAGEBYRACE,XOVER65,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE,WEIGHT
1117547.0,,,,,,,,,,Not complete,4.0,2.0,Call 1,2.0,,,2.0,1.0,,,,2.0,,,,,,,3.0,,,,Good,Excellent/Good,1.0,,,,,,,,16.0,2.0,,State questionnaire,,,,West,,,,,,,Female,,,,,,"Cities 10,000-50,000",Small Cities/Rural,, New Mexico,Election day exit poll,2.0,5.0,2.0,3.0,1.0,Barack Obama did,,,,,,Version 1,,,,,,,,,Extremely Low Density Rural,Rural,Rural,Downscale,88203.0,0.675269961357117
1116715.0,,,,,,,Never,Never,All others,Complete,4.0,2.0,Call 1,2.0,1.0,2.0,2.0,1.0,College graduate,3.0,2.0,2.0,2.0,2.0,2.0,Less than 100k,50k or more,"$50,000-$74,999",1.0,No,No,No,Omit,Omit,1.0,,Independent/Something else,,,Independent,Moderate,3.0,25.0,9.0,,State questionnaire,,3.0,2.0,West,None,None,9.0,1.0,3.0,1.0,Male,,,,Non-married men,,Rural,Small Cities/Rural,English, New Mexico,Election day exit poll,2.0,5.0,2.0,3.0,1.0,Barack Obama did,No one does,No,No,No,1.0,Version 1,Non-white,2.0,,,,,,,Low Density Rural,Rural,Rural,Upscale,87801.0,0.790375590324402
1121298.0,,,,,,,,,,Not complete,3.0,2.0,Call 2,2.0,,,2.0,1.0,,,,2.0,,,,,,,3.0,Yes,Yes,,Not so good,Not so good/Poor,1.0,,,,,,,,23.0,3.0,White,State questionnaire,Hispanic/Latino,,,West,,,,,,,,,,,,Non white,Rural,Small Cities/Rural,English, New Mexico,Election day exit poll,1.0,2.0,1.0,3.0,1.0,Barack Obama did,"Yes, I do and someone else does",Yes,I am,Yes,,Version 1,,,,,,,,,Extremely Low Density Rural,Rural,Rural,Very downscale,88023.0,0.826365411281586
1116151.0,,,,,,,,,,Not complete,9.0,9.0,Call 1,2.0,,,2.0,1.0,,,,2.0,,,,,,,9.0,,,,Omit,Omit,1.0,,,,,,,,23.0,9.0,,State questionnaire,,,,West,,,,,,,Female,,,,,,Rural,Small Cities/Rural,, New Mexico,Election day exit poll,9.0,9.0,9.0,9.0,9.0,Omit,,,,,,Version 1,,,,,,,,,Extremely Low Density Rural,Rural,Rural,Very downscale,88023.0,0.675269961357117
1117984.0,,,,,,,,,,Not complete,9.0,9.0,Call 1,2.0,,,2.0,1.0,,,,2.0,,,,,,,9.0,,,,Omit,Omit,1.0,,,,,,,,16.0,9.0,Hispanic/Latino,State questionnaire,Hispanic/Latino,,,West,,,,,,,Male,Non black male,Latino men,Non white male,,Non white,"Cities 10,000-50,000",Small Cities/Rural,, New Mexico,Election day exit poll,9.0,9.0,9.0,9.0,9.0,Omit,,,,,,Version 1,,,,,,,,,Extremely Low Density Rural,Rural,Rural,Downscale,88203.0,0.950058698654175
1117578.0,,,,,,,,,,Not complete,9.0,9.0,Call 1,2.0,,,2.0,1.0,,,,2.0,,,,,,,9.0,,,,Omit,Omit,1.0,,,,,,,,16.0,9.0,,State questionnaire,,,,West,,,,,,,,,,,,,"Cities 10,000-50,000",Small Cities/Rural,, New Mexico,Election day exit poll,9.0,9.0,9.0,9.0,9.0,Omit,,,,,,Version 1,,,,,,,,,Extremely Low Density Rural,Rural,Rural,Downscale,88203.0,1.92581403255463
1119067.0,,,,,,,Once a week,More than once a week/Once a week,Protestant/Attend weekly,Complete,9.0,9.0,Call 1,3.0,1.0,2.0,4.0,2.0,College graduate,3.0,2.0,3.0,2.0,2.0,1.0,Less than 100k,Less than 50k,"$15,000-$29,999",3.0,No,No,,Not so good,Not so good/Poor,2.0,,Democrat,Non black Democrat,White Democrats,Democrat,Liberal,2.0,36.0,3.0,White,State questionnaire,White,3.0,2.0,West,Protestant/Other Non-Catholic Christian,Protestant,1.0,2.0,4.0,2.0,Female,Non black female,White women,White female,,White female,"Cities 50,000-500,000","Cities over 50,000",English, New Mexico,Election day exit poll,9.0,9.0,9.0,4.0,2.0,Barack Obama did not,,,,,3.0,Version 1,Protestant/Other Christian,2.0,,,,,,,Suburb,Urban,Urban Core,Very upscale,87501.0,1.11314702033997
1117427.0,18-29,18-29,18-24,18-24,Black 18-29,Black 18-29,A few times a year,A few times a month/A few times a year,Catholic/Do not attend weekly,Complete,1.0,1.0,Call 1,1.0,3.0,1.0,2.0,1.0,Some college or associate degree,3.0,2.0,1.0,3.0,2.0,3.0,Less than 100k,Less than 50k,"$30,000-$49,999",3.0,No,No,No,Poor,Not so good/Poor,1.0,18-64,Democrat,Black Democrat,Black Democrats,Democrat,Liberal,1.0,1.0,1.0,Black,State questionnaire,Black,3.0,2.0,West,Catholic,Catholic,9.0,2.0,2.0,1.0,Male,Black male,Black men,Non white male,Non-married men,Non white,"Cities 50,000-500,000","Cities over 50,000",English, New Mexico,Election day exit poll,2.0,5.0,2.0,1.0,1.0,Barack Obama did not,No one does,No,No,No,3.0,Version 1,Non-white,2.0,1.0,1.0,1.0,1.0,5.0,17-64,Suburb,Urban,Urban Core,Very downscale,87102.0,1.38142228126526
1122042.0,18-29,18-29,25-29,25-29,Non black 18-29,White 18-29,Never,Never,All others,Complete,4.0,2.0,Call 2,1.0,2.0,1.0,2.0,1.0,High school graduate,3.0,2.0,1.0,2.0,1.0,2.0,Less than 100k,50k or more,"$50,000-$74,999",1.0,No,No,Yes,Good,Excellent/Good,1.0,18-64,Independent/Something else,Non black non Democrat,White Independents,Independent,Moderate,3.0,3.0,3.0,White,State questionnaire,White,3.0,2.0,West,None,None,5.0,1.0,1.0,2.0,Female,Non black female,White women,White female,Married women,White female,"Cities 50,000-500,000","Cities over 50,000",English, New Mexico,Election day exit poll,1.0,1.0,1.0,3.0,1.0,Barack Obama did,No one does,No,No,No,2.0,Version 1,None,1.0,1.0,1.0,2.0,2.0,1.0,17-64,Suburb,Urban,Urban Core,Very upscale,87120.0,1.71272170543671
1129018.0,18-29,18-29,18-24,18-24,Non black 18-29,Latino 18-29,Once a week,More than once a week/Once a week,Catholic/Attend weekly,Complete,4.0,2.0,Call 3,3.0,1.0,1.0,2.0,1.0,Some college or associate degree,3.0,2.0,3.0,2.0,2.0,1.0,Less than 100k,50k or more,"$75,000-$99,999",2.0,Yes,Yes,No,Good,Excellent/Good,1.0,18-64,Democrat,Non black Democrat,Latino Democrats,Democrat,Moderate,3.0,30.0,2.0,Hispanic/Latino,State questionnaire,Hispanic/Latino,3.0,2.0,West,Catholic,Catholic,9.0,1.0,1.0,2.0,Female,Non black female,Latino women,Non white female,Non-married women,Non white,Rural,Small Cities/Rural,English, New Mexico,Election day exit poll,2.0,5.0,2.0,4.0,2.0,Barack Obama did not,No one does,No,No,No,1.0,Version 1,Non-white,2.0,1.0,1.0,1.0,1.0,9.0,17-64,Low Density Rural,Rural,Rural,Downscale,87582.0,4.34638833999634
1128080.0,18-29,18-29,25-29,25-29,Non black 18-29,Latino 18-29,Once a week,More than once a week/Once a week,Catholic/Attend weekly,Complete,9.0,9.0,Call 3,2.0,1.0,1.0,2.0,1.0,Some college or associate degree,3.0,2.0,2.0,3.0,2.0,3.0,Less than 100k,Less than 50k,"$15,000-$29,999",3.0,Yes,Yes,No,Poor,Not so good/Poor,1.0,18-64,Democrat,Non black Democrat,Latino Democrats,Democrat,Liberal,2.0,23.0,1.0,Hispanic/Latino,State questionnaire,Hispanic/Latino,3.0,2.0,West,Catholic,Catholic,9.0,1.0,1.0,2.0,Female,Non black female,Latino women,Non white female,Non-married women,Non white,Rural,Small Cities/Rural,English, New Mexico,Election day exit poll,2.0,5.0,2.0,3.0,1.0,Barack Obama did,No one does,No,No,No,1.0,Version 1,Non-white,2.0,1.0,1.0,2.0,2.0,9.0,17-64,Extremely Low Density Rural,Rural,Rural,Very downscale,88023.0,0.994509875774384
1128298.0,18-29,18-29,25-29,25-29,Non black 18-29,Latino 18-29,Once a week,More than once a week/Once a week,Catholic/Attend weekly,Complete,4.0,2.0,Call 3,2.0,1.0,2.0,2.0,1.0,College graduate,2.0,1.0,2.0,3.0,2.0,2.0,Less than 100k,Less than 50k,"$30,000-$49,999",1.0,Yes,Yes,Yes,Excellent,Excellent/Good,1.0,18-64,Democrat,Non black Democrat,Latino Democrats,Democrat,Moderate,3.0,23.0,3.0,Hispanic/Latino,State questionnaire,Hispanic/Latino,1.0,1.0,West,Catholic,Catholic,9.0,1.0,1.0,2.0,Male,Non black male,Latino men,Non white male,Married men,Non white,Rural,Small Cities/Rural,English, New Mexico,Election day exit poll,2.0,4.0,2.0,1.0,1.0,Barack Obama did not,"Yes, I do",Yes,I am,Yes,1.0,Version 1,Non-white,2.0,1.0,1.0,2.0,2.0,9.0,17-64,Extremely Low Density Rural,Rural,Rural,Very downscale,88023.0,1.14120841026306
1128834.0,18-29,18-29,25-29,25-29,Non black 18-29,Latino 18-29,Once a week,More than once a week/Once a week,Catholic/Attend weekly,Complete,1.0,1.0,Call 3,2.0,1.0,2.0,2.0,1.0,College graduate,3.0,2.0,2.0,3.0,2.0,2.0,Less than 100k,50k or more,"$50,000-$74,999",1.0,Yes,Yes,Yes,Not so good,Not so good/Poor,1.0,18-64,Democrat,Non black Democrat,Latino Democrats,Democrat,Conservative,4.0,27.0,1.0,Hispanic/Latino,State questionnaire,Hispanic/Latino,3.0,2.0,West,Catholic,Catholic,9.0,1.0,1.0,2.0,Female,Non black female,Latino women,Non white female,Married women,Non white,Suburbs,Suburbs,English, New Mexico,Election day exit poll,2.0,5.0,2.0,2.0,2.0,Barack Obama did,No one does,No,No,No,1.0,Version 1,Non-white,1.0,1.0,1.0,2.0,2.0,9.0,17-64,Low Density Rural,80s Suburbs,High-Growth Suburban Perimeter,Downscale,87031.0,0.724571466445923
1121481.0,18-29,18-29,25-29,25-29,Non black 18-29,White 18-29,Never,Never,All others,Complete,4.0,2.0,Call 2,3.0,1.0,1.0,2.0,1.0,Some college or associate degree,3.0,2.0,3.0,3.0,2.0,1.0,Less than 100k,Less than 50k,"$30,000-$49,999",1.0,No,No,No,Poor,Not so good/Poor,1.0,18-64,Democrat,Non black Democrat,White Democrats,Democrat,Liberal,2.0,34.0,1.0,White,State questionnaire,White,3.0,2.0,West,None,None,5.0,1.0,3.0,1.0,Male,Non black male,White men,White male,Non-married men,White male,Rural,Small Cities/Rural,English, New Mexico,Election day exit poll,2.0,5.0,2.0,3.0,1.0,Barack Obama did,No one does,No,No,No,1.0,Version 1,None,2.0,1.0,1.0,2.0,2.0,1.0,17-64,Low Density Rural,Rural,Rural,Downscale,87410.0,1.44698655605316
1128719.0,18-29,18-29,25-29,25-29,Non black 18-29,Latino 18-29,Never,Never,Catholic/Do not attend weekly,Complete,4.0,2.0,Call 3,1.0,1.0,2.0,2.0,1.0,College graduate,2.0,1.0,1.0,2.0,2.0,3.0,Less than 100k,Less than 50k,"$30,000-$49,999",2.0,Yes,Yes,No,Not so good,Not so good/Poor,1.0,18-64,Democrat,Non black Democrat,Latino Democrats,Democrat,Liberal,2.0,1.0,3.0,Hispanic/Latino,State questionnaire,Hispanic/Latino,3.0,2.0,West,Catholic,Catholic,9.0,1.0,3.0,1.0,Female,Non black female,Latino women,Non white female,Non-married women,Non white,"Cities 50,000-500,000","Cities over 50,000",English, New Mexico,Election day exit poll,1.0,2.0,1.0,4.0,2.0,Barack Obama did not,"Yes, I do",Yes,I am,Yes,1.0,Version 1,Non-white,2.0,1.0,1.0,2.0,2.0,9.0,17-64,Suburb,Urban,Urban Core,Very downscale,87102.0,1.46804714202881
1121574.0,18-29,18-29,18-24,18-24,Non black 18-29,Latino 18-29,A few times a month,A few times a month/A few times a year,All others,Complete,4.0,2.0,Call 2,1.0,1.0,2.0,2.0,1.0,College graduate,3.0,2.0,1.0,2.0,2.0,1.0,Less than 100k,50k or more,"$50,000-$74,999",2.0,Yes,Yes,No,Poor,Not so good/Poor,1.0,18-64,Democrat,Non black Democrat,Latino Democrats,Democrat,Liberal,2.0,1.0,3.0,Hispanic/Latino,State questionnaire,Hispanic/Latino,3.0,2.0,West,Protestant/Other Non-Catholic Christian,Other Christian,9.0,1.0,3.0,1.0,Male,Non black male,Latino men,Non white male,Non-married men,Non white,"Cities 50,000-500,000","Cities over 50,000",English, New Mexico,Election day exit poll,2.0,4.0,2.0,4.0,2.0,Barack Obama did not,No one does,No,No,No,1.0,Version 1,Non-white,2.0,1.0,1.0,1.0,1.0,9.0,17-64,Suburb,Urban,Urban Core,Very downscale,87102.0,1.47935473918915
1121643.0,18-29,18-29,18-24,18-24,Non black 18-29,Latino 18-29,A few times a month,A few times a month/A few times a year,All others,Complete,4.0,2.0,Call 2,1.0,1.0,1.0,2.0,1.0,Some college or associate degree,2.0,1.0,1.0,2.0,2.0,1.0,100k or more,50k or more,"$100,000-$149,999",2.0,Yes,Yes,No,Not so good,Not so good/Poor,1.0,18-64,Democrat,Non black Democrat,Latino Democrats,Democrat,Moderate,3.0,13.0,3.0,Hispanic/Latino,State questionnaire,Hispanic/Latino,3.0,2.0,West,Protestant/Other Non-Catholic Christian,Other Christian,9.0,1.0,1.0,2.0,Female,Non black female,Latino women,Non white female,Non-married women,Non white,"Cities 50,000-500,000","Cities over 50,000",English, New Mexico,Election day exit poll,2.0,5.0,2.0,4.0,2.0,Barack Obama did not,"Yes, someone else does",Yes,"Member in household, but not voter",No,1.0,Version 1,Non-white,2.0,1.0,1.0,1.0,1.0,9.0,17-64,Suburb,Urban,Urban Core,Very upscale,87114.0,2.56908249855042
1121425.0,18-29,18-29,18-24,18-24,Non black 18-29,White 18-29,Never,Never,All others,Complete,3.0,2.0,Call 2,1.0,1.0,1.0,2.0,1.0,Some college or associate degree,2.0,1.0,1.0,2.0,2.0,1.0,Less than 100k,Less than 50k,"$15,000-$29,999",1.0,No,No,No,Not so good,Not so good/Poor,1.0,18-64,Democrat,Non black Democrat,White Democrats,Democrat,Liberal,2.0,13.0,3.0,White,State questionnaire,White,3.0,2.0,West,None,None,5.0,1.0,3.0,1.0,Female,Non black female,White women,White female,Non-married women,White female,"Cities 50,000-500,000","Cities over 50,000",English, New Mexico,Election day exit poll,2.0,5.0,2.0,4.0,2.0,Barack Obama did not,No one does,No,No,No,1.0,Version 1,None,2.0,1.0,1.0,1.0,1.0,1.0,17-64,Suburb,Urban,Urban Core,Very upscale,87114.0,2.56908249855042
1128511.0,18-29,18-29,18-24,18-24,Non black 18-29,Latino 18-29,A few times a year,A few times a month/A few times a year,All others,Complete,2.0,1.0,Call 3,2.0,2.0,1.0,2.0,1.0,Some college or associate degree,3.0,2.0,2.0,2.0,2.0,1.0,100k or more,50k or more,"$150,000-$199,999",3.0,Yes,Yes,No,Not so good,Not so good/Poor,1.0,18-64,Democrat,Non black Democrat,Latino Democrats,Democrat,Moderate,3.0,25.0,3.0,Hispanic/Latino,State questionnaire,Hispanic/Latino,3.0,2.0,West,Protestant/Other Non-Catholic Christian,Other Christian,9.0,1.0,3.0,1.0,Female,Non black female,Latino women,Non white female,Non-married women,Non white,Rural,Small Cities/Rural,English, New Mexico,Election day exit poll,1.0,2.0,1.0,3.0,1.0,Barack Obama did,"Yes, someone else does",Yes,"Member in household, but not voter",No,2.0,Version 1,Non-white,2.0,1.0,1.0,1.0,1.0,9.0,17-64,Low Density Rural,Rural,Rural,Upscale,87801.0,1.01440012454987
1128429.0,18-29,18-29,25-29,25-29,Non black 18-29,Latino 18-29,A few times a year,A few times a month/A few times a year,Catholic/Do not attend weekly,Complete,4.0,2.0,Call 3,2.0,1.0,1.0,2.0,1.0,Did not complete high school,1.0,1.0,2.0,1.0,1.0,1.0,Less than 100k,Less than 50k,"$30,000-$49,999",2.0,Yes,Yes,No,Good,Excellent/Good,1.0,18-64,Democrat,Non black Democrat,Latino Democrats,Democrat,Liberal,1.0,25.0,3.0,White,State questionnaire,Hispanic/Latino,2.0,1.0,West,Catholic,Catholic,9.0,1.0,1.0,2.0,Female,Non black female,Latino women,Non white female,Non-married women,Non white,Rural,Small Cities/Rural,English, New Mexico,Election day exit poll,2.0,5.0,2.0,4.0,2.0,Barack Obama did not,No one does,No,No,No,1.0,Version 1,Non-white,2.0,1.0,1.0,2.0,2.0,9.0,17-64,Low Density Rural,Rural,Rural,Upscale,87801.0,1.01440012454987
1116557.0,18-29,18-29,18-24,18-24,Non black 18-29,White 18-29,Never,Never,All others,Complete,2.0,1.0,Call 1,1.0,1.0,2.0,2.0,1.0,College graduate,3.0,2.0,1.0,1.0,2.0,1.0,100k or more,50k or more,"$200,000 or more",1.0,No,No,No,Poor,Not so good/Poor,1.0,18-64,Democrat,Non black Democrat,White Democrats,Democrat,Liberal,2.0,11.0,3.0,White,State questionnaire,White,3.0,2.0,West,None,None,5.0,1.0,1.0,2.0,Male,Non black male,White men,White male,Non-married men,White male,"Cities 50,000-500,000","Cities over 50,000",English, New Mexico,Election day exit poll,2.0,5.0,2.0,4.0,2.0,Barack Obama did not,No one does,No,No,No,1.0,Version 1,None,2.0,1.0,1.0,1.0,1.0,1.0,17-64,Suburb,Urban,Urban Core,Very upscale,87122.0,1.68577635288239
1120942.0,18-29,18-29,18-24,18-24,Non black 18-29,White 18-29,Never,Never,All others,Complete,1.0,1.0,Call 2,1.0,1.0,1.0,2.0,1.0,Some college or associate degree,2.0,1.0,1.0,3.0,2.0,3.0,Less than 100k,Less than 50k,"Under $15,000",3.0,No,No,No,Poor,Not so good/Poor,1.0,18-64,Independent/Something else,Non black non Democrat,White Independents,Something else,Moderate,3.0,9.0,3.0,White,State questionnaire,White,3.0,2.0,West,Something else,Something else,4.0,1.0,3.0,1.0,Female,Non black female,White women,White female,Non-married women,White female,"Cities 50,000-500,000","Cities over 50,000",English, New Mexico,Election day exit poll,2.0,5.0,2.0,4.0,2.0,Barack Obama did not,No one does,No,No,No,1.0,Version 1,Something else,2.0,1.0,1.0,1.0,1.0,1.0,17-64,Suburb,Urban,Urban Core,Very upscale,87122.0,1.41047668457031
1116456.0,18-29,18-29,25-29,25-29,Non black 18-29,Latino 18-29,Once a week,More than once a week/Once a week,Catholic/Attend weekly,Complete,2.0,1.0,Call 1,2.0,1.0,1.0,2.0,1.0,Some college or associate degree,3.0,2.0,2.0,2.0,2.0,2.0,Less than 100k,Less than 50k,"Under $15,000",2.0,Yes,Yes,No,Good,Excellent/Good,1.0,18-64,Democrat,Non black Democrat,Latino Democrats,Democrat,Moderate,3.0,23.0,3.0,Hispanic/Latino,State questionnaire,Hispanic/Latino,3.0,2.0,West,Catholic,Catholic,9.0,1.0,1.0,2.0,Male,Non black male,Latino men,Non white male,Non-married men,Non white,Rural,Small Cities/Rural,English, New Mexico,Election day exit poll,2.0,5.0,2.0,4.0,2.0,Barack Obama did not,"Yes, someone else does",Yes,"Member in household, but not voter",No,1.0,Version 1,Non-white,2.0,1.0,1.0,2.0,2.0,9.0,17-64,Extremely Low Density Rural,Rural,Rural,Very downscale,88023.0,1.14120841026306
