ID,ABORT2,ABORTION,AGE3,AGE60,AGE65,AGE9,AGEBLACK,AGEBYRACE,AGEISS,AGEISS2,ATTEND,ATTEND2,ATTREL,BACKSIDE,BREAKREP,BREAKREP2,BRNAGAIN,CALL,CDNUM,COLLEDUC,EDUC,FAVMCCN,FAVMCCN2,GEOCODE,HSEDUC,IMMPRIME,INC100K,INC50K,INCOME07,ISSIA08R,LATINO,MCCONSRV,NEC,NEC2,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PHIL3,PHIL5,QLTNH08R,QRACEAI,QTYPE,RACE,REGION,REL5,RELIGN8,RELWHITE,RPRS08,SATHUCK,SATISREPTX,SATMCCN,SEX,SEXBLACK,SEXBYRACE,SEXRACE,SEXWHITE,SIZEPLAC,SIZEPLC3,STANUM,TELEPOLL,TIME3D,TIMEPR,TIMEWK,VERSION,VETVOTER,VTRPRS08,WHITEREL,WHTEVANG,WPROTBRN,XAGE,XAGE60,XAGE65,XAGE9,XAGEBYRACE,XOVER65,PRECINCT,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE,WEIGHT
1222758.0,2.0,3.0,30-59,45-59,50-64,50-59,Non black 45-59,White 45-59,3.0,2.0,A few times a year,A few times a month/A few times a year,Protestant/Do not attend weekly,Complete,3.0,2.0,No,Call 1,1.0,1.0,Some college or associate degree,2.0,1.0,3.0,2.0,3.0,Less than 100k,50k or more,"$75,000-$99,999",2.0,No,3.0,Not so good,Not so good/Poor,18-64,Republican,Non black non Democrat,All Republicans,Republican,Conservative,4.0,2.0,White,State questionnaire,White,East,Protestant/Other Non-Catholic Christian,Protestant,1.0,4.0,1.0,3.0,1.0,Male,Non black male,White men,White male,White male,Rural,Small Cities/Rural, Vermont,Election day exit poll,2.0,5.0,2.0,Version 1,No,2.0,Protestant/Other Christian,All others,All others,3.0,3.0,5.0,6.0,3.0,17-64,1.0,Low Density Rural,Rural,Rural,Upscale,5491.0,2.10905861854553
1228267.0,1.0,1.0,30-59,45-59,50-64,50-59,Non black 45-59,White 45-59,3.0,2.0,A few times a year,A few times a month/A few times a year,Protestant/Do not attend weekly,Complete,4.0,2.0,No,Call 3,1.0,1.0,High school graduate,2.0,1.0,3.0,1.0,3.0,Less than 100k,Less than 50k,"$30,000-$49,999",3.0,No,3.0,Not so good,Not so good/Poor,18-64,Republican,Non black non Democrat,All Republicans,Republican,Conservative,4.0,3.0,White,State questionnaire,White,East,Protestant/Other Non-Catholic Christian,Protestant,1.0,4.0,1.0,3.0,1.0,Male,Non black male,White men,White male,White male,Rural,Small Cities/Rural, Vermont,Election day exit poll,2.0,4.0,2.0,Version 1,Yes,2.0,Protestant/Other Christian,All others,All others,3.0,3.0,5.0,6.0,3.0,17-64,1.0,Low Density Rural,Rural,Rural,Upscale,5491.0,2.10905861854553
1228266.0,1.0,1.0,30-59,45-59,50-64,50-59,Non black 45-59,White 45-59,3.0,2.0,A few times a year,A few times a month/A few times a year,Protestant/Do not attend weekly,Complete,4.0,2.0,No,Call 3,1.0,1.0,High school graduate,2.0,1.0,3.0,1.0,3.0,Less than 100k,Less than 50k,"$30,000-$49,999",3.0,No,3.0,Not so good,Not so good/Poor,18-64,Republican,Non black non Democrat,All Republicans,Republican,Conservative,4.0,3.0,White,State questionnaire,White,East,Protestant/Other Non-Catholic Christian,Protestant,1.0,4.0,1.0,3.0,1.0,Male,Non black male,White men,White male,White male,Rural,Small Cities/Rural, Vermont,Election day exit poll,2.0,4.0,2.0,Version 1,Yes,2.0,Protestant/Other Christian,All others,All others,3.0,3.0,5.0,6.0,3.0,17-64,1.0,Low Density Rural,Rural,Rural,Upscale,5491.0,2.10905861854553
1222737.0,1.0,2.0,60+,60+,65+,65-74,Non black 60+,White 60+,3.0,2.0,A few times a year,A few times a month/A few times a year,Catholic/Do not attend weekly,Complete,2.0,1.0,No,Call 1,1.0,1.0,Some college or associate degree,1.0,1.0,3.0,2.0,2.0,Less than 100k,Less than 50k,"Under $15,000",4.0,No,3.0,Not so good,Not so good/Poor,65+,Republican,Non black non Democrat,All Republicans,Republican,Liberal,2.0,1.0,White,State questionnaire,White,East,Catholic,Catholic,2.0,4.0,1.0,3.0,1.0,Female,Non black female,White women,White female,White female,Rural,Small Cities/Rural, Vermont,Election day exit poll,2.0,5.0,2.0,Version 1,No,2.0,Catholic,All others,All others,4.0,4.0,6.0,8.0,4.0,65+,1.0,Low Density Rural,Rural,Rural,Upscale,5491.0,2.2287278175354
1222699.0,1.0,1.0,60+,60+,50-64,60-64,Non black 60+,White 60+,3.0,2.0,A few times a month,A few times a month/A few times a year,Catholic/Do not attend weekly,Complete,4.0,2.0,No,Call 1,1.0,2.0,Postgraduate study,1.0,1.0,3.0,2.0,2.0,100k or more,50k or more,"$100,000-$149,999",3.0,No,3.0,Not so good,Not so good/Poor,18-64,Republican,Non black non Democrat,All Republicans,Republican,Moderate,3.0,2.0,White,State questionnaire,White,East,Catholic,Catholic,2.0,4.0,2.0,2.0,1.0,Male,Non black male,White men,White male,White male,Rural,Small Cities/Rural, Vermont,Election day exit poll,2.0,5.0,2.0,Version 1,Yes,2.0,Catholic,All others,All others,3.0,4.0,5.0,7.0,4.0,17-64,1.0,Low Density Rural,Rural,Rural,Upscale,5491.0,2.47917938232422
1222683.0,2.0,3.0,60+,60+,65+,65-74,Non black 60+,White 60+,,,,,,Not complete,4.0,2.0,,Call 1,1.0,,,1.0,1.0,3.0,,,,,,2.0,No,,Good,Excellent/Good,65+,,,,,,,2.0,White,State questionnaire,White,East,,,,4.0,,,,Male,Non black male,White men,White male,White male,Rural,Small Cities/Rural, Vermont,Election day exit poll,2.0,4.0,2.0,Version 1,No,2.0,,,,4.0,4.0,6.0,8.0,4.0,65+,1.0,Low Density Rural,Rural,Rural,Upscale,5491.0,2.47917938232422
1222673.0,2.0,3.0,60+,60+,50-64,60-64,Non black 60+,White 60+,3.0,2.0,Once a week,More than once a week/Once a week,Catholic/Attend weekly,Complete,4.0,2.0,No,Call 1,1.0,2.0,Postgraduate study,1.0,1.0,3.0,2.0,1.0,Less than 100k,Less than 50k,"$30,000-$49,999",3.0,No,3.0,Not so good,Not so good/Poor,18-64,Republican,Non black non Democrat,All Republicans,Republican,Conservative,4.0,2.0,White,State questionnaire,White,East,Catholic,Catholic,2.0,4.0,2.0,2.0,1.0,Female,Non black female,White women,White female,White female,Rural,Small Cities/Rural, Vermont,Election day exit poll,2.0,4.0,2.0,Version 1,No,2.0,Catholic,All others,All others,3.0,4.0,5.0,7.0,4.0,17-64,1.0,Low Density Rural,Rural,Rural,Upscale,5491.0,2.2287278175354
1222719.0,2.0,3.0,30-59,45-59,50-64,50-59,Non black 45-59,White 45-59,,,,,,Not complete,3.0,2.0,,Call 1,1.0,,,1.0,1.0,3.0,,,,,,3.0,No,,Not so good,Not so good/Poor,18-64,,,,,,,2.0,White,State questionnaire,White,East,,,,4.0,,,,Female,Non black female,White women,White female,White female,Rural,Small Cities/Rural, Vermont,Election day exit poll,2.0,5.0,2.0,Version 1,No,2.0,,,,3.0,3.0,5.0,6.0,3.0,17-64,1.0,Low Density Rural,Rural,Rural,Upscale,5491.0,1.89599752426147
1224561.0,2.0,3.0,30-59,45-59,50-64,50-59,Non black 45-59,White 45-59,3.0,2.0,A few times a year,A few times a month/A few times a year,Protestant/Do not attend weekly,Complete,4.0,2.0,Yes,Call 2,1.0,1.0,High school graduate,1.0,1.0,3.0,1.0,2.0,Less than 100k,50k or more,"$50,000-$74,999",3.0,No,3.0,Not so good,Not so good/Poor,18-64,Republican,Non black non Democrat,All Republicans,Republican,Conservative,4.0,3.0,White,State questionnaire,White,East,Protestant/Other Non-Catholic Christian,Protestant,1.0,4.0,2.0,2.0,1.0,Female,Non black female,White women,White female,White female,Rural,Small Cities/Rural, Vermont,Election day exit poll,2.0,5.0,2.0,Version 1,No,2.0,Protestant/Other Christian,White Born-again/Evangelical Christians,White/Protestant/Other Christian/Born Again/Evangelical,3.0,3.0,5.0,6.0,3.0,17-64,1.0,Low Density Rural,Rural,Rural,Upscale,5491.0,1.89599752426147
1222711.0,2.0,4.0,60+,60+,50-64,60-64,Non black 60+,White 60+,,,,,,Not complete,4.0,2.0,,Call 1,1.0,,,1.0,1.0,3.0,,,,,,9.0,No,,Good,Excellent/Good,18-64,,,,,,,2.0,White,State questionnaire,White,East,,,,4.0,,,,Male,Non black male,White men,White male,White male,Rural,Small Cities/Rural, Vermont,Election day exit poll,2.0,5.0,2.0,Version 1,No,2.0,,,,3.0,4.0,5.0,7.0,4.0,17-64,1.0,Low Density Rural,Rural,Rural,Upscale,5491.0,2.47917938232422
