ID,ABORT2,ABORTION,AGE3,AGE60,AGE65,AGE9,AGEBLACK,AGEBYRACE,ATTEND,ATTEND2,ATTREL,BACKSIDE,BREAKREP,BREAKRP2,BRNAGAIN,BUSHANG08,BUSHANG2,CALL,CDNUM,CHIEFREPAL,COLLEDUC,ECONREP,EDUC,GEOCODE,HSEDUC,ILRPRS08,IMMPRIME,INC100K,INC50K,INCOME07,IRAQWAR,IRAQWAR2,ISSIA08R,ISSVQUAL,LATINO,LATINOS,NEC,NEC2,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PHIL3,PHIL5,PRECINCT,QLTNH08R,QRACEAI,QTYPE,RACE,REGION,REL5,RELIGN8,RELWHITE,RPRS08,RPRS08ST,SEX,SEXBLACK,SEXBYRACE,SEXRACE,SEXWHITE,SIZEPLAC,SIZEPLC3,SPANISHQ,STANUM,TELEPOLL,TIME3D,TIMEPR,TIMEWK,VERSION,VETVOTER,WHITEREL,WHTEVANG,WPROTBRN,XAGE,XAGE60,XAGE65,XAGE9,XAGEBYRACE,XOVER65,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE,WEIGHT
1105077.0,9.0,9.0,,,,,,,,,,Not complete,9.0,9.0,,9.0,9.0,Call 1,18.0,,,,,4.0,,5.0,,,,,,,2.0,Omit,,,,,,,,,,,,93.0,2.0,White,State questionnaire,White,Midwest,,,,7.0,5.0,Female,Non black female,White women,White female,White female,Suburbs,Suburbs,, Illinois,Election day exit poll,2.0,5.0,2.0,Version 1,,,,,,,,,,,Extremely Low Density Rural,60s Suburbs,Low-Growth Suburban Perimeter,Downscale,61516.0,0.600939869880676
1105443.0,1.0,2.0,30-59,45-59,40-49,45-49,Non black 45-59,White 45-59,Omit,Omit,Catholic/Do not attend weekly,Complete,2.0,1.0,,1.0,1.0,Call 1,7.0,3.0,1.0,2.0,Some college or associate degree,1.0,2.0,3.0,1.0,Less than 100k,50k or more,"$50,000-$74,999",Strongly approve,Approve,9.0,Omit,,,Not so good,Not so good/Poor,18-64,,,,,Liberal,2.0,111.0,1.0,White,State questionnaire,White,Midwest,Catholic,Catholic,2.0,4.0,3.0,Male,Non black male,White men,White male,White male,"Cities over 500,000","Cities over 50,000",, Illinois,Election day exit poll,1.0,2.0,1.0,Version 1,No,Catholic,All others,All others,3.0,3.0,4.0,5.0,3.0,17-64,High Density Urban,Urban,Urban Core,Very downscale,60612.0,1.79365932941437
1105444.0,1.0,2.0,30-59,45-59,40-49,45-49,Non black 45-59,White 45-59,Omit,Omit,Catholic/Do not attend weekly,Complete,2.0,1.0,,1.0,1.0,Call 1,7.0,3.0,1.0,2.0,Some college or associate degree,1.0,2.0,3.0,1.0,Less than 100k,50k or more,"$50,000-$74,999",Strongly approve,Approve,9.0,Omit,,,Not so good,Not so good/Poor,18-64,,,,,Liberal,2.0,111.0,1.0,White,State questionnaire,White,Midwest,Catholic,Catholic,2.0,4.0,3.0,Male,Non black male,White men,White male,White male,"Cities over 500,000","Cities over 50,000",, Illinois,Election day exit poll,1.0,2.0,1.0,Version 1,No,Catholic,All others,All others,3.0,3.0,4.0,5.0,3.0,17-64,High Density Urban,Urban,Urban Core,Very downscale,60612.0,1.79365932941437
1114553.0,2.0,4.0,,,,,,,Omit,Omit,Omit,Complete,4.0,2.0,Yes,4.0,2.0,Call 2,16.0,4.0,,4.0,,4.0,,4.0,9.0,,,,Strongly disapprove,Disapprove,9.0,My candidates position on the issues,,,Omit,Omit,,Independent/Something else,,,Independent,Conservative,5.0,90.0,1.0,,State questionnaire,,Midwest,,,9.0,6.0,4.0,,,,,,Suburbs,Suburbs,, Illinois,Election day exit poll,2.0,5.0,2.0,Version 1,,,All others,,,,,,,,Suburb,70s Suburbs,Urban Perimeter,Downscale,61115.0,1.17257642745972
1114811.0,2.0,3.0,60+,60+,65+,65-74,,,More than once a week,More than once a week/Once a week,Catholic/Attend weekly,Complete,2.0,1.0,No,1.0,1.0,Call 2,1.0,5.0,1.0,5.0,High school graduate,2.0,1.0,5.0,1.0,Less than 100k,50k or more,"$50,000-$74,999",Strongly approve,Approve,4.0,My candidates position on the issues,,,Not so good,Not so good/Poor,65+,Republican,,,Republican,Conservative,5.0,140.0,2.0,,State questionnaire,,Midwest,Catholic,Catholic,9.0,7.0,5.0,Male,,,,,Suburbs,Suburbs,, Illinois,Election day exit poll,2.0,5.0,2.0,Version 1,No,Non-white,All others,All others,4.0,4.0,6.0,8.0,,65+,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Upscale,60478.0,1.46954250335693
1115007.0,1.0,1.0,60+,60+,65+,65-74,Non black 60+,White 60+,More than once a week,More than once a week/Once a week,All others,Complete,3.0,2.0,Yes,3.0,2.0,Call 2,17.0,3.0,1.0,2.0,Some college or associate degree,4.0,2.0,3.0,1.0,Less than 100k,Less than 50k,"Under $15,000",Strongly disapprove,Disapprove,2.0,My candidates position on the issues,,,Not so good,Not so good/Poor,65+,Republican,Non black non Democrat,All Republicans,Republican,Conservative,4.0,60.0,1.0,White,State questionnaire,White,Midwest,Protestant/Other Non-Catholic Christian,Other Christian,1.0,4.0,3.0,Female,Non black female,White women,White female,White female,Suburbs,Suburbs,, Illinois,Election day exit poll,2.0,3.0,1.0,Version 1,No,Protestant/Other Christian,White Born-again/Evangelical Christians,White/Protestant/Other Christian/Born Again/Evangelical,4.0,4.0,6.0,8.0,4.0,65+,Suburb,60s Suburbs,Urban Perimeter,Downscale,61244.0,0.45223468542099
1115343.0,2.0,3.0,60+,60+,65+,75 or over,Non black 60+,White 60+,Once a week,More than once a week/Once a week,Protestant/Attend weekly,Complete,1.0,1.0,Yes,2.0,1.0,Call 2,16.0,3.0,1.0,3.0,High school graduate,4.0,1.0,3.0,1.0,Less than 100k,Less than 50k,"$15,000-$29,999",Somewhat approve,Approve,4.0,My candidates position on the issues,,,Not so good,Not so good/Poor,65+,Republican,Non black non Democrat,All Republicans,Republican,Conservative,4.0,75.0,1.0,White,State questionnaire,White,Midwest,Protestant/Other Non-Catholic Christian,Protestant,1.0,4.0,3.0,Male,Non black male,White men,White male,White male,Rural,Small Cities/Rural,, Illinois,Election day exit poll,2.0,4.0,2.0,Version 1,Yes,Protestant/Other Christian,White Born-again/Evangelical Christians,White/Protestant/Other Christian/Born Again/Evangelical,4.0,4.0,6.0,9.0,4.0,65+,Low Density Rural,Rural,Rural,Very downscale,61252.0,1.33414947986603
1117035.0,2.0,3.0,60+,60+,50-64,60-64,Non black 60+,White 60+,A few times a month,A few times a month/A few times a year,Protestant/Do not attend weekly,Complete,3.0,2.0,Yes,3.0,2.0,Call 2,16.0,3.0,1.0,4.0,Some college or associate degree,4.0,2.0,4.0,3.0,Less than 100k,50k or more,"$50,000-$74,999",Strongly disapprove,Disapprove,9.0,Omit,,,Excellent,Excellent/Good,18-64,Democrat,Non black Democrat,White Democrats,Democrat,Moderate,3.0,89.0,1.0,White,State questionnaire,White,Midwest,Protestant/Other Non-Catholic Christian,Protestant,1.0,6.0,4.0,Female,Non black female,White women,White female,White female,Suburbs,Suburbs,, Illinois,Election day exit poll,2.0,5.0,2.0,Version 1,No,Protestant/Other Christian,White Born-again/Evangelical Christians,White/Protestant/Other Christian/Born Again/Evangelical,3.0,4.0,5.0,7.0,4.0,17-64,Suburb,70s Suburbs,Urban Perimeter,Upscale,61111.0,0.648540258407593
1118108.0,1.0,1.0,60+,60+,50-64,60-64,Non black 60+,White 60+,Omit,Omit,Protestant/Do not attend weekly,Complete,9.0,9.0,,2.0,1.0,Call 2,8.0,3.0,1.0,3.0,Some college or associate degree,3.0,2.0,3.0,3.0,Less than 100k,50k or more,"$75,000-$99,999",Somewhat disapprove,Disapprove,3.0,My candidates position on the issues,,,Poor,Not so good/Poor,18-64,Republican,Non black non Democrat,All Republicans,Republican,Liberal,2.0,37.0,2.0,White,State questionnaire,White,Midwest,Protestant/Other Non-Catholic Christian,Protestant,1.0,4.0,3.0,Female,Non black female,White women,White female,White female,Suburbs,Suburbs,, Illinois,Election day exit poll,9.0,9.0,9.0,Version 1,No,Protestant/Other Christian,All others,,3.0,4.0,5.0,7.0,4.0,17-64,Suburb,70s Suburbs,High-Growth Suburban Perimeter,Upscale,60098.0,1.16759526729584
1122546.0,2.0,4.0,30-59,30-44,30-39,30-39,Non black 30-44,White 30-44,More than once a week,More than once a week/Once a week,All others,Complete,2.0,1.0,Yes,2.0,1.0,Call 3,16.0,2.0,1.0,2.0,Some college or associate degree,4.0,2.0,2.0,1.0,Less than 100k,50k or more,"$50,000-$74,999",Strongly approve,Approve,3.0,My candidates position on the issues,,,Good,Excellent/Good,18-64,Republican,Non black non Democrat,All Republicans,Republican,Conservative,4.0,75.0,2.0,White,State questionnaire,White,Midwest,Protestant/Other Non-Catholic Christian,Other Christian,1.0,2.0,2.0,Female,Non black female,White women,White female,White female,Rural,Small Cities/Rural,, Illinois,Election day exit poll,2.0,5.0,2.0,Version 1,No,Protestant/Other Christian,White Born-again/Evangelical Christians,White/Protestant/Other Christian/Born Again/Evangelical,2.0,2.0,3.0,3.0,2.0,17-64,Low Density Rural,Rural,Rural,Very downscale,61252.0,0.930853724479675
