ID,AGE3,AGE60,AGE65,AGE9,AGEBLACK,AGEBYRACE,ATTEND,ATTEND2,ATTREL,BACKSIDE,BREAKDEM,BREAKDM2,CALL,CDNUM,CLINVSMCCN,COLLEDUC,DPRS08,ECONCLIN,ECONDEM,ECONOBAM,EDUC,GENDISS,GENDISS2,GENDISS4,GEOCODE,GUNOWNER,HONESTCLIN,HONESTDEM,HONESTOBAM,HSEDUC,INC100K,INC50K,INCOME07,INTOUCH,INTOUCHCLIN,INTOUCHOBAM,ISSIA08D,LATINO,OBAMVSMCCN,OVER65,PADPRS08,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PHIL3,PHIL5,PRECINCT,QLTNH08D,QRACEAI,QTYPE,RACE,RACEISS,RACEISS2,RACEISS5,RECESS2,RECESSION,REGION,REGPADEM,REGPADEM1,REGPADEM2,REL5,RELIGN8,RELWHITE,SATCLIN,SATISDEM,SATOBAM,SEX,SEXBLACK,SEXBYRACE,SEXRACE,SEXWHITE,SIZEPLAC,SIZEPLC3,STANUM,TELEPOLL,TIME3D,TIMEPR,TIMEWK,UNFAIRSC,UNFRCLIN,UNFROBAM,UNION4,UNIONHH,UNIONMEM,UNIONVOT,VERSION,WHITEREL,WINNOM,XAGE,XAGE60,XAGE65,XAGE9,XAGEBYRACE,XOVER65,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE,WEIGHT
3633186.0,30-59,45-59,50-64,50-59,Non black 45-59,White 45-59,A few times a year,A few times a month/A few times a year,Protestant/Do not attend weekly,Complete,2.0,1.0,Call 1,12.0,2.0,1.0,0.0,2.0,4.0,2.0,High school graduate,3.0,2.0,4.0,5.0,Yes,2.0,4.0,2.0,1.0,,,,4.0,2.0,Barack Obama is not,1.0,No,2.0,18-64,0.0,Democrat,Non black Democrat,White Democrats,Democrat,Moderate,3.0,42.0,1.0,White,State questionnaire,White,3.0,2.0,2.0,1.0,2.0,East,2.0,1.0,1.0,Protestant/Other Non-Catholic Christian,Protestant,1.0,2.0,4.0,2.0,Female,Non black female,White women,White female,White female,"Cities 10,000-50,000",Small Cities/Rural,Pennsylvania,Election day exit poll,2.0,4.0,2.0,3.0,1.0,Barack Obama did,No one does,No,No,No,Version 1,Protestant/Other Christian,1.0,3.0,3.0,5.0,6.0,3.0,17-64,Town,Rural,Rural,Very downscale,15902.0,1.40028989315033
3632880.0,30-59,45-59,50-64,50-59,Non black 45-59,White 45-59,Once a week,More than once a week/Once a week,Catholic/Attend weekly,Complete,4.0,2.0,Call 1,12.0,2.0,1.0,0.0,2.0,4.0,2.0,High school graduate,2.0,1.0,3.0,4.0,Yes,2.0,4.0,2.0,1.0,Less than 100k,Less than 50k,"$15,000-$29,999",4.0,2.0,Barack Obama is not,3.0,No,2.0,18-64,0.0,Democrat,Non black Democrat,White Democrats,Democrat,Conservative,4.0,83.0,1.0,White,State questionnaire,White,3.0,2.0,2.0,1.0,2.0,East,2.0,1.0,1.0,Catholic,Catholic,2.0,2.0,4.0,2.0,Female,Non black female,White women,White female,White female,Rural,Small Cities/Rural,Pennsylvania,Election day exit poll,1.0,1.0,1.0,3.0,1.0,Barack Obama did,"Yes, someone else does",Yes,"Member in household, but not voter",No,Version 1,Catholic,1.0,3.0,3.0,5.0,6.0,3.0,17-64,Suburb,Rural,Rural,Very downscale,15357.0,1.38994348049164
3635029.0,30-59,45-59,40-49,45-49,Non black 45-59,White 45-59,Never,Never,All others,Complete,4.0,2.0,Call 3,6.0,1.0,2.0,2.0,1.0,3.0,1.0,Postgraduate study,3.0,2.0,4.0,2.0,No,2.0,4.0,2.0,2.0,Less than 100k,50k or more,"$50,000-$74,999",3.0,1.0,Barack Obama is,2.0,No,1.0,18-64,1.0,Democrat,Non black Democrat,White Democrats,Democrat,Liberal,1.0,51.0,3.0,White,State questionnaire,White,3.0,2.0,2.0,1.0,2.0,East,2.0,1.0,1.0,Jewish,Jewish,3.0,1.0,1.0,2.0,Female,Non black female,White women,White female,White female,Suburbs,Suburbs,Pennsylvania,Election day exit poll,2.0,5.0,2.0,3.0,1.0,Barack Obama did,No one does,No,No,No,Version 1,Jewish,2.0,3.0,3.0,4.0,5.0,3.0,17-64,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,19087.0,1.50324010848999
3635025.0,30-59,45-59,40-49,45-49,Non black 45-59,White 45-59,A few times a year,A few times a month/A few times a year,Catholic/Do not attend weekly,Complete,4.0,2.0,Call 3,6.0,1.0,1.0,2.0,1.0,3.0,1.0,Some college or associate degree,3.0,2.0,4.0,2.0,No,1.0,3.0,1.0,2.0,Less than 100k,50k or more,"$50,000-$74,999",1.0,1.0,Barack Obama is not,3.0,No,1.0,18-64,1.0,Democrat,Non black Democrat,White Democrats,Democrat,Liberal,1.0,51.0,1.0,White,State questionnaire,White,3.0,2.0,2.0,1.0,2.0,East,2.0,1.0,1.0,Catholic,Catholic,2.0,1.0,1.0,2.0,Female,Non black female,White women,White female,White female,Suburbs,Suburbs,Pennsylvania,Election day exit poll,2.0,5.0,2.0,4.0,2.0,Barack Obama did not,No one does,No,No,No,Version 1,Catholic,1.0,3.0,3.0,4.0,5.0,3.0,17-64,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,19087.0,1.50324010848999
3635021.0,60+,60+,50-64,60-64,Non black 60+,White 60+,Once a week,More than once a week/Once a week,All others,Complete,4.0,2.0,Call 3,6.0,1.0,2.0,2.0,1.0,3.0,1.0,Postgraduate study,2.0,1.0,1.0,2.0,No,1.0,3.0,1.0,2.0,Less than 100k,50k or more,"$75,000-$99,999",3.0,1.0,Barack Obama is,1.0,No,1.0,18-64,1.0,Democrat,Non black Democrat,White Democrats,Democrat,Liberal,1.0,51.0,2.0,White,State questionnaire,White,3.0,2.0,2.0,1.0,3.0,East,2.0,1.0,1.0,Something else,Something else,4.0,1.0,3.0,1.0,Male,Non black male,White men,White male,White male,Suburbs,Suburbs,Pennsylvania,Election day exit poll,1.0,1.0,1.0,3.0,1.0,Barack Obama did,"Yes, I do",Yes,I am,Yes,Version 1,Something else,2.0,3.0,4.0,5.0,7.0,4.0,17-64,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,19087.0,2.12903475761414
3635015.0,30-59,30-44,30-39,30-39,Non black 30-44,White 30-44,A few times a year,A few times a month/A few times a year,All others,Complete,3.0,2.0,Call 3,2.0,1.0,2.0,2.0,1.0,3.0,1.0,Postgraduate study,2.0,1.0,3.0,1.0,No,1.0,3.0,1.0,2.0,Less than 100k,Less than 50k,"$30,000-$49,999",3.0,1.0,Barack Obama is,3.0,No,1.0,18-64,1.0,Democrat,Non black Democrat,White Democrats,Democrat,Liberal,2.0,157.0,3.0,White,State questionnaire,White,2.0,1.0,1.0,1.0,2.0,East,2.0,1.0,1.0,Jewish,Jewish,3.0,1.0,3.0,1.0,Female,Non black female,White women,White female,White female,"Cities over 500,000","Cities over 50,000",Pennsylvania,Election day exit poll,1.0,1.0,1.0,4.0,2.0,Barack Obama did not,No one does,No,No,No,Version 1,Jewish,2.0,2.0,2.0,3.0,3.0,2.0,17-64,Extremely High Density Urban,Urban,Urban Core,Very upscale,19103.0,1.16746699810028
3635013.0,18-29,18-29,25-29,25-29,Non black 18-29,White 18-29,Once a week,More than once a week/Once a week,All others,Complete,4.0,2.0,Call 3,2.0,1.0,2.0,2.0,1.0,3.0,1.0,Postgraduate study,3.0,2.0,4.0,1.0,No,1.0,3.0,1.0,2.0,Less than 100k,50k or more,"$50,000-$74,999",3.0,1.0,Barack Obama is,2.0,No,1.0,18-64,1.0,Democrat,Non black Democrat,White Democrats,Democrat,Moderate,3.0,157.0,3.0,White,State questionnaire,White,3.0,2.0,2.0,1.0,2.0,East,2.0,1.0,1.0,Jewish,Jewish,3.0,1.0,3.0,1.0,Female,Non black female,White women,White female,White female,"Cities over 500,000","Cities over 50,000",Pennsylvania,Election day exit poll,1.0,1.0,1.0,3.0,1.0,Barack Obama did,No one does,No,No,No,Version 1,Jewish,2.0,1.0,1.0,2.0,2.0,1.0,17-64,Extremely High Density Urban,Urban,Urban Core,Very upscale,19103.0,1.2217264175415
3635012.0,30-59,45-59,40-49,45-49,Non black 45-59,White 45-59,Once a week,More than once a week/Once a week,All others,Complete,4.0,2.0,Call 3,19.0,1.0,2.0,2.0,1.0,3.0,1.0,Postgraduate study,1.0,1.0,3.0,5.0,No,2.0,4.0,2.0,2.0,Less than 100k,50k or more,"$50,000-$74,999",3.0,1.0,Barack Obama is,1.0,No,1.0,18-64,1.0,Democrat,Non black Democrat,White Democrats,Democrat,Moderate,3.0,56.0,3.0,White,State questionnaire,White,3.0,2.0,2.0,2.0,1.0,East,2.0,1.0,1.0,Something else,Something else,4.0,1.0,3.0,1.0,Female,Non black female,White women,White female,White female,Suburbs,Suburbs,Pennsylvania,Election day exit poll,1.0,2.0,1.0,3.0,1.0,Barack Obama did,No one does,No,No,No,Version 1,Something else,2.0,3.0,3.0,4.0,5.0,3.0,17-64,Town,60s Suburbs,Urban Perimeter,Very upscale,17011.0,1.12239050865173
3635011.0,30-59,45-59,40-49,45-49,Non black 45-59,White 45-59,Once a week,More than once a week/Once a week,All others,Complete,4.0,2.0,Call 3,19.0,1.0,2.0,2.0,1.0,3.0,1.0,Postgraduate study,1.0,1.0,3.0,5.0,No,2.0,4.0,2.0,2.0,Less than 100k,50k or more,"$50,000-$74,999",3.0,1.0,Barack Obama is,1.0,No,1.0,18-64,1.0,Democrat,Non black Democrat,White Democrats,Democrat,Moderate,3.0,56.0,3.0,White,State questionnaire,White,3.0,2.0,2.0,2.0,1.0,East,2.0,1.0,1.0,Something else,Something else,4.0,1.0,3.0,1.0,Female,Non black female,White women,White female,White female,Suburbs,Suburbs,Pennsylvania,Election day exit poll,1.0,2.0,1.0,3.0,1.0,Barack Obama did,No one does,No,No,No,Version 1,Something else,2.0,3.0,3.0,4.0,5.0,3.0,17-64,Town,60s Suburbs,Urban Perimeter,Very upscale,17011.0,1.12239050865173
3635010.0,60+,60+,65+,75 or over,Non black 60+,White 60+,Never,Never,All others,Complete,1.0,1.0,Call 3,2.0,1.0,2.0,2.0,1.0,1.0,2.0,College graduate,3.0,2.0,4.0,1.0,No,1.0,3.0,1.0,2.0,Less than 100k,50k or more,"$75,000-$99,999",3.0,1.0,Barack Obama is,1.0,No,1.0,65+,1.0,Independent/Something else,Non black non Democrat,White Independents,Independent,Moderate,3.0,157.0,3.0,White,State questionnaire,White,3.0,2.0,2.0,1.0,2.0,East,2.0,1.0,1.0,None,None,5.0,1.0,3.0,1.0,Female,Non black female,White women,White female,White female,"Cities over 500,000","Cities over 50,000",Pennsylvania,Election day exit poll,1.0,2.0,1.0,3.0,1.0,Barack Obama did,No one does,No,No,No,Version 1,None,1.0,4.0,4.0,6.0,9.0,4.0,65+,Extremely High Density Urban,Urban,Urban Core,Very upscale,19103.0,1.35992777347565
