ID,ABORT2,ABORTION,AGE3,AGE60,AGE65,AGE9,AGEBLACK,AGEBYRACE,AGEISS,AGEISS2,ATTEND,ATTEND2,ATTREL,BACKSIDE,BREAKREP,BREAKREP2,BRNAGAIN,CALL,CDNUM,COLLEDUC,EDUC,FAVMCCN,FAVMCCN2,GEOCODE,HSEDUC,IMMPRIME,INC100K,INC50K,INCOME07,ISSIA08R,LATINO,LATINOS,MCCONSRV,NEC,NEC2,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PHIL3,PHIL5,PRECINCT,QLTNH08R,QRACEAI,QTYPE,RACE,REGION,REL5,RELIGN8,RELWHITE,RPRS08,SATHUCK,SATISREPTX,SATMCCN,SEX,SEXBLACK,SEXBYRACE,SEXRACE,SEXWHITE,SIZEPLAC,SIZEPLC3,SPANISHQ,STANUM,TELEPOLL,TIME3D,TIME3DAB,TIMEPR,TIMEPRAB,TIMEWK,TIMEWKAB,TXRPRS08,VERSION,VETVOTER,WHITEREL,WHTEVANG,WPROTBRN,XAGE,XAGE60,XAGE65,XAGE9,XAGEBYRACE,XOVER65,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE,WEIGHT
1221514.0,1.0,2.0,60+,60+,65+,65-74,Non black 60+,White 60+,3.0,2.0,A few times a month,A few times a month/A few times a year,Protestant/Do not attend weekly,Complete,,,Yes,,28.0,2.0,College graduate,1.0,1.0,6.0,2.0,2.0,,,,2.0,No,No,3.0,Excellent,Excellent/Good,65+,Republican,Non black non Democrat,All Republicans,Republican,Conservative,5.0,,2.0,White,State questionnaire,White,South,Protestant/Other Non-Catholic Christian,Protestant,1.0,4.0,1.0,3.0,1.0,Female,Non black female,White women,White female,White female,"Cities 10,000-50,000",Small Cities/Rural,English,Texas,Telephone survey,9.0,3.0,9.0,6.0,9.0,3.0,2.0,Version 1,No,Protestant/Other Christian,White Born-again/Evangelical Christians,White/Protestant/Other Christian/Born Again/Evangelical,4.0,4.0,6.0,8.0,4.0,65+,Suburb,Rural,Rural,Very downscale,78572.0,0.838707506656647
1221329.0,2.0,4.0,30-59,45-59,50-64,50-59,Non black 45-59,White 45-59,3.0,2.0,A few times a year,A few times a month/A few times a year,Protestant/Do not attend weekly,Complete,,,Yes,,28.0,2.0,College graduate,3.0,2.0,6.0,2.0,2.0,,,,2.0,No,No,2.0,Poor,Not so good/Poor,18-64,Independent/Something else,Non black non Democrat,White Independents,Independent,Moderate,3.0,,2.0,White,State questionnaire,White,South,Protestant/Other Non-Catholic Christian,Protestant,1.0,6.0,2.0,4.0,2.0,Male,Non black male,White men,White male,White male,"Cities 10,000-50,000",Small Cities/Rural,English,Texas,Telephone survey,9.0,3.0,9.0,6.0,9.0,3.0,3.0,Version 1,No,Protestant/Other Christian,White Born-again/Evangelical Christians,White/Protestant/Other Christian/Born Again/Evangelical,3.0,3.0,5.0,6.0,3.0,17-64,Suburb,Rural,Rural,Very downscale,78572.0,2.24105620384216
1221345.0,2.0,3.0,30-59,30-44,30-39,30-39,Non black 30-44,White 30-44,3.0,2.0,A few times a year,A few times a month/A few times a year,Protestant/Do not attend weekly,Complete,,,Yes,,27.0,2.0,College graduate,3.0,2.0,6.0,2.0,3.0,Less than 100k,50k or more,"$75,000-$99,999",3.0,No,No,2.0,Not so good,Not so good/Poor,18-64,Republican,Non black non Democrat,All Republicans,Republican,Conservative,5.0,,2.0,White,State questionnaire,White,South,Protestant/Other Non-Catholic Christian,Protestant,1.0,2.0,1.0,3.0,1.0,Male,Non black male,White men,White male,White male,"Cities 50,000-500,000","Cities over 50,000",English,Texas,Telephone survey,9.0,3.0,9.0,6.0,9.0,3.0,1.0,Version 1,No,Protestant/Other Christian,White Born-again/Evangelical Christians,White/Protestant/Other Christian/Born Again/Evangelical,2.0,2.0,3.0,3.0,2.0,17-64,Suburb,Urban,Urban Core,Very upscale,78414.0,3.50874161720276
1221568.0,1.0,2.0,60+,60+,50-64,60-64,Non black 60+,White 60+,3.0,2.0,A few times a year,A few times a month/A few times a year,Catholic/Do not attend weekly,Complete,,,No,,27.0,1.0,High school graduate,1.0,1.0,6.0,1.0,1.0,,,,3.0,No,No,3.0,Poor,Not so good/Poor,18-64,Independent/Something else,Non black non Democrat,White Independents,Something else,Conservative,4.0,,3.0,White,State questionnaire,White,South,Catholic,Catholic,2.0,4.0,1.0,3.0,1.0,Female,Non black female,White women,White female,White female,"Cities 50,000-500,000","Cities over 50,000",English,Texas,Telephone survey,9.0,3.0,9.0,6.0,9.0,3.0,2.0,Version 1,No,Catholic,All others,All others,3.0,4.0,5.0,7.0,4.0,17-64,High Density Urban,Urban,Urban Core,Upscale,78412.0,0.454560130834579
1221434.0,2.0,3.0,30-59,45-59,40-49,45-49,Non black 45-59,White 45-59,3.0,2.0,Once a week,More than once a week/Once a week,Protestant/Attend weekly,Complete,,,No,,27.0,1.0,Some college or associate degree,2.0,1.0,6.0,2.0,1.0,100k or more,50k or more,"$200,000 or more",2.0,No,No,3.0,Not so good,Not so good/Poor,18-64,Republican,Non black non Democrat,All Republicans,Republican,Conservative,5.0,,3.0,White,State questionnaire,White,South,Protestant/Other Non-Catholic Christian,Protestant,1.0,4.0,2.0,2.0,1.0,Female,Non black female,White women,White female,White female,"Cities 50,000-500,000","Cities over 50,000",English,Texas,Telephone survey,9.0,3.0,9.0,6.0,9.0,3.0,2.0,Version 1,No,Protestant/Other Christian,All others,All others,3.0,3.0,4.0,5.0,3.0,17-64,High Density Urban,Urban,Urban Core,Upscale,78412.0,1.5073869228363
1221450.0,2.0,3.0,30-59,45-59,50-64,50-59,Non black 45-59,White 45-59,3.0,2.0,More than once a week,More than once a week/Once a week,All others,Complete,,,Yes,,23.0,1.0,Some college or associate degree,2.0,1.0,6.0,2.0,2.0,,,,3.0,No,No,2.0,Poor,Not so good/Poor,18-64,Independent/Something else,Non black non Democrat,White Independents,Independent,Conservative,4.0,,2.0,White,State questionnaire,White,South,Protestant/Other Non-Catholic Christian,Other Christian,1.0,2.0,1.0,3.0,1.0,Female,Non black female,White women,White female,White female,"Cities over 500,000","Cities over 50,000",English,Texas,Telephone survey,9.0,3.0,9.0,6.0,9.0,3.0,1.0,Version 1,No,Protestant/Other Christian,White Born-again/Evangelical Christians,White/Protestant/Other Christian/Born Again/Evangelical,3.0,3.0,5.0,6.0,3.0,17-64,Suburb,Urban,Urban Core,Very downscale,78221.0,1.47733879089355
1221393.0,2.0,4.0,30-59,45-59,50-64,50-59,Non black 45-59,White 45-59,3.0,2.0,Once a week,More than once a week/Once a week,All others,Complete,,,Yes,,23.0,1.0,Some college or associate degree,2.0,1.0,6.0,2.0,1.0,,,,4.0,No,No,2.0,Good,Excellent/Good,18-64,Republican,Non black non Democrat,All Republicans,Republican,Conservative,5.0,,2.0,White,State questionnaire,White,South,Something else,Something else,4.0,2.0,1.0,3.0,1.0,Female,Non black female,White women,White female,White female,"Cities over 500,000","Cities over 50,000",English,Texas,Telephone survey,9.0,3.0,9.0,6.0,9.0,3.0,1.0,Version 1,No,Something else,White Born-again/Evangelical Christians,All others,3.0,3.0,5.0,6.0,3.0,17-64,Suburb,Urban,Urban Core,Very upscale,78249.0,2.21600818634033
1221410.0,2.0,3.0,30-59,30-44,30-39,30-39,Non black 30-44,White 30-44,3.0,2.0,Once a week,More than once a week/Once a week,Catholic/Attend weekly,Complete,,,No,,23.0,2.0,College graduate,2.0,1.0,6.0,2.0,3.0,Less than 100k,50k or more,"$50,000-$74,999",3.0,No,No,2.0,Not so good,Not so good/Poor,18-64,Republican,Non black non Democrat,All Republicans,Republican,Conservative,5.0,,9.0,White,State questionnaire,White,South,Catholic,Catholic,2.0,2.0,1.0,1.0,2.0,Male,Non black male,White men,White male,White male,Rural,Small Cities/Rural,English,Texas,Telephone survey,9.0,3.0,9.0,6.0,9.0,3.0,1.0,Version 1,Yes,Catholic,All others,All others,2.0,2.0,3.0,3.0,2.0,17-64,Extremely Low Density Rural,Rural,Rural,Very downscale,78832.0,1.75437080860138
1221403.0,2.0,3.0,60+,60+,65+,75 or over,Non black 60+,White 60+,3.0,2.0,Once a week,More than once a week/Once a week,Protestant/Attend weekly,Complete,,,Yes,,23.0,1.0,High school graduate,2.0,1.0,6.0,1.0,3.0,Less than 100k,Less than 50k,"$30,000-$49,999",1.0,No,No,3.0,Omit,Omit,65+,Republican,Non black non Democrat,All Republicans,Republican,Conservative,5.0,,2.0,White,State questionnaire,White,South,Protestant/Other Non-Catholic Christian,Protestant,1.0,2.0,1.0,1.0,2.0,Female,Non black female,White women,White female,White female,"Cities 10,000-50,000",Small Cities/Rural,English,Texas,Telephone survey,9.0,3.0,9.0,6.0,9.0,3.0,1.0,Version 1,No,Protestant/Other Christian,White Born-again/Evangelical Christians,White/Protestant/Other Christian/Born Again/Evangelical,4.0,4.0,6.0,9.0,4.0,65+,Extremely Low Density Rural,Rural,Rural,Very downscale,78840.0,1.99279868602753
1221603.0,1.0,2.0,30-59,45-59,50-64,50-59,Non black 45-59,White 45-59,3.0,2.0,Never,Never,Protestant/Do not attend weekly,Complete,,,No,,23.0,2.0,College graduate,1.0,1.0,6.0,2.0,1.0,,,,2.0,No,No,3.0,Good,Excellent/Good,18-64,Independent/Something else,Non black non Democrat,White Independents,Independent,Conservative,4.0,,3.0,White,State questionnaire,White,South,Protestant/Other Non-Catholic Christian,Protestant,1.0,4.0,2.0,2.0,1.0,Female,Non black female,White women,White female,White female,Suburbs,Suburbs,English,Texas,Telephone survey,9.0,3.0,9.0,6.0,9.0,3.0,2.0,Version 1,No,Protestant/Other Christian,All others,All others,3.0,3.0,5.0,6.0,3.0,17-64,Suburb,80s Suburbs,Urban Perimeter,Very upscale,78015.0,0.347374379634857
