ID,ABORT2,ABORTION,AGE3,AGE60,AGE65,AGE9,ATTEND,ATTEND2,ATTREL,BACKSIDE,BEATDEM,BORNINSC,BREAKREP,BREAKRP2,BRNAGAIN,BUSHANG08,BUSHANG2,CALL,CDNUM,CHANGEREP,COLLEDUC,EDUC,GEOCODE,GETAHEAD,HSEDUC,IMMPRIME,INC100K,INC50K,INCOME07,ISSIA08R,ISSVQUAL,MOVETOSC,OVER65,PARTY,PARTYID,PHIL3,PHIL5,PRECINCT,QLTNH08R,QRACEAI,QTYPE,RACE,REGION,REL5,RELIGN8,RELWHITE,RPRS08,SCRPRS08,SEX,SEXRACE,SEXWHITE,SHAREREL,SHARERL2,SIZEPLAC,SIZEPLC3,STANUM,TAXPREF,TELEPOLL,TIME3D,TIMEPR,TIMEWK,VERSION,VETVOTER,WHITEREL,WHTEVANG,WPROTBRN,XAGE,XAGE60,XAGE65,XAGE9,XOVER65,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE,WEIGHT
535224.0,1.0,1.0,30-59,30-44,30-39,30-39,A few times a year,A few times a month/A few times a year,Catholic/Do not attend weekly,Complete,2.0,2.0,2.0,1.0,No,4.0,2.0,Call 1,4.0,2.0,2.0,College graduate,1.0,3.0,2.0,3.0,Less than 100k,Less than 50k,"$30,000-$49,999",3.0,Omit,3.0,18-64,Independent/Something else,Independent,Moderate,3.0,105.0,9.0,White,State questionnaire,White,South,Catholic,Catholic,2.0,0.0,0.0,Female,White female,White female,2.0,1.0,Suburbs,Suburbs,South Carolina,1.0,Election day exit poll,2.0,5.0,2.0,Version 1,No,Catholic,All others,All others,2.0,2.0,3.0,3.0,17-64,Town,70s Suburbs,Urban Perimeter,Upscale,29316.0,2.10400295257568
535223.0,1.0,1.0,30-59,30-44,30-39,30-39,A few times a year,A few times a month/A few times a year,Catholic/Do not attend weekly,Complete,2.0,2.0,2.0,1.0,No,4.0,2.0,Call 1,4.0,2.0,2.0,College graduate,1.0,3.0,2.0,3.0,Less than 100k,Less than 50k,"$30,000-$49,999",3.0,Omit,3.0,18-64,Independent/Something else,Independent,Moderate,3.0,105.0,9.0,White,State questionnaire,White,South,Catholic,Catholic,2.0,0.0,0.0,Female,White female,White female,2.0,1.0,Suburbs,Suburbs,South Carolina,1.0,Election day exit poll,2.0,5.0,2.0,Version 1,No,Catholic,All others,All others,2.0,2.0,3.0,3.0,17-64,Town,70s Suburbs,Urban Perimeter,Upscale,29316.0,2.10400295257568
534499.0,1.0,1.0,30-59,30-44,30-39,30-39,A few times a year,A few times a month/A few times a year,Catholic/Do not attend weekly,Complete,2.0,2.0,2.0,1.0,No,4.0,2.0,Call 1,4.0,2.0,2.0,College graduate,1.0,3.0,2.0,3.0,Less than 100k,Less than 50k,"$30,000-$49,999",3.0,Omit,3.0,18-64,Independent/Something else,Independent,Moderate,3.0,105.0,9.0,White,State questionnaire,White,South,Catholic,Catholic,2.0,0.0,0.0,Female,White female,White female,2.0,1.0,Suburbs,Suburbs,South Carolina,1.0,Election day exit poll,2.0,5.0,2.0,Version 1,No,Catholic,All others,All others,2.0,2.0,3.0,3.0,17-64,Town,70s Suburbs,Urban Perimeter,Upscale,29316.0,2.10400295257568
536530.0,9.0,9.0,30-59,45-59,40-49,45-49,Omit,Omit,Omit,Complete,9.0,2.0,1.0,1.0,No,1.0,1.0,Call 2,4.0,9.0,,,1.0,9.0,,9.0,,,,3.0,My candidates leadership/personal qualities,3.0,18-64,,,,,56.0,3.0,White,State questionnaire,White,South,,,9.0,1.0,1.0,Female,White female,White female,1.0,1.0,Suburbs,Suburbs,South Carolina,9.0,Election day exit poll,1.0,1.0,1.0,Version 1,No,,All others,All others,3.0,3.0,4.0,5.0,17-64,Low Density Rural,70s Suburbs,High-Growth Suburban Perimeter,Downscale,29690.0,0.654883027076721
536477.0,2.0,3.0,30-59,45-59,40-49,45-49,Once a week,More than once a week/Once a week,All others,Complete,1.0,1.0,2.0,1.0,No,2.0,1.0,Call 2,4.0,1.0,2.0,Postgraduate study,1.0,1.0,2.0,3.0,Less than 100k,Less than 50k,"$15,000-$29,999",4.0,My candidates position on the issues,1.0,18-64,Republican,Republican,Conservative,5.0,109.0,3.0,White,State questionnaire,White,South,Protestant/Other Non-Catholic Christian,Other Christian,1.0,1.0,1.0,Male,White male,White male,2.0,1.0,"Cities 10,000-50,000",Small Cities/Rural,South Carolina,2.0,Election day exit poll,2.0,5.0,2.0,Version 1,No,Protestant/Other Christian,All others,All others,3.0,3.0,4.0,5.0,17-64,Suburb,Rural,Rural,Very upscale,29307.0,0.726559102535248
536199.0,1.0,2.0,30-59,45-59,50-64,50-59,Once a week,More than once a week/Once a week,Protestant/Attend weekly,Complete,1.0,2.0,3.0,2.0,Yes,3.0,2.0,Call 2,2.0,1.0,2.0,College graduate,2.0,2.0,2.0,2.0,100k or more,50k or more,"$100,000-$149,999",3.0,My candidates leadership/personal qualities,4.0,18-64,Republican,Republican,Moderate,3.0,74.0,2.0,White,State questionnaire,White,South,Protestant/Other Non-Catholic Christian,Protestant,1.0,1.0,1.0,Male,White male,White male,2.0,1.0,Suburbs,Suburbs,South Carolina,2.0,Election day exit poll,2.0,5.0,2.0,Version 1,No,Protestant/Other Christian,White Born-again/Evangelical Christians,White/Protestant/Other Christian/Born Again/Evangelical,3.0,3.0,5.0,6.0,17-64,Suburb,60s Suburbs,Urban Perimeter,Upscale,29033.0,0.530263423919678
537050.0,1.0,2.0,30-59,30-44,30-39,30-39,Once a week,More than once a week/Once a week,All others,Complete,1.0,1.0,2.0,1.0,Yes,1.0,1.0,Call 2,3.0,2.0,2.0,Postgraduate study,1.0,2.0,2.0,1.0,100k or more,50k or more,"$100,000-$149,999",3.0,My candidates position on the issues,1.0,18-64,Republican,Republican,Moderate,3.0,89.0,2.0,White,State questionnaire,White,South,Protestant/Other Non-Catholic Christian,Other Christian,1.0,1.0,1.0,Female,White female,White female,1.0,1.0,Suburbs,Suburbs,South Carolina,1.0,Election day exit poll,1.0,1.0,1.0,Version 1,No,Protestant/Other Christian,White Born-again/Evangelical Christians,White/Protestant/Other Christian/Born Again/Evangelical,2.0,2.0,3.0,3.0,17-64,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,29642.0,0.822801768779755
536093.0,2.0,3.0,30-59,30-44,30-39,30-39,More than once a week,More than once a week/Once a week,All others,Complete,2.0,2.0,4.0,2.0,Yes,2.0,1.0,Call 2,2.0,1.0,2.0,Postgraduate study,2.0,1.0,2.0,1.0,Less than 100k,50k or more,"$50,000-$74,999",2.0,My candidates leadership/personal qualities,4.0,18-64,Republican,Republican,Conservative,5.0,98.0,3.0,White,State questionnaire,White,South,Protestant/Other Non-Catholic Christian,Other Christian,1.0,1.0,1.0,Male,White male,White male,3.0,2.0,Suburbs,Suburbs,South Carolina,1.0,Election day exit poll,2.0,3.0,1.0,Version 1,No,Protestant/Other Christian,White Born-again/Evangelical Christians,White/Protestant/Other Christian/Born Again/Evangelical,2.0,2.0,3.0,3.0,17-64,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,29063.0,0.499071419239044
537035.0,1.0,2.0,30-59,30-44,40-49,40-44,A few times a year,A few times a month/A few times a year,Protestant/Do not attend weekly,Complete,1.0,2.0,4.0,2.0,No,1.0,1.0,Call 2,2.0,1.0,1.0,Some college or associate degree,4.0,2.0,2.0,3.0,Less than 100k,50k or more,"$50,000-$74,999",3.0,My candidates position on the issues,4.0,18-64,Republican,Republican,Moderate,3.0,10.0,3.0,White,State questionnaire,White,South,Protestant/Other Non-Catholic Christian,Protestant,1.0,1.0,1.0,Female,White female,White female,4.0,2.0,"Cities 10,000-50,000",Small Cities/Rural,South Carolina,1.0,Election day exit poll,2.0,5.0,2.0,Version 1,No,Protestant/Other Christian,All others,All others,2.0,2.0,4.0,4.0,17-64,Suburb,Rural,Rural,Very upscale,29928.0,0.631909728050232
534553.0,1.0,2.0,30-59,30-44,40-49,40-44,A few times a year,A few times a month/A few times a year,Protestant/Do not attend weekly,Complete,1.0,1.0,3.0,2.0,Yes,2.0,1.0,Call 1,2.0,1.0,1.0,High school graduate,2.0,3.0,1.0,3.0,Less than 100k,Less than 50k,"$30,000-$49,999",3.0,My candidates leadership/personal qualities,1.0,18-64,Republican,Republican,Conservative,4.0,74.0,3.0,White,State questionnaire,White,South,Protestant/Other Non-Catholic Christian,Protestant,1.0,1.0,1.0,Female,White female,White female,3.0,2.0,Suburbs,Suburbs,South Carolina,1.0,Election day exit poll,2.0,5.0,2.0,Version 1,No,Protestant/Other Christian,White Born-again/Evangelical Christians,White/Protestant/Other Christian/Born Again/Evangelical,2.0,2.0,4.0,4.0,17-64,Suburb,60s Suburbs,Urban Perimeter,Upscale,29033.0,0.543128490447998
