ID,AGE3,AGE60,AGE65,AGE9,AGEBLACK,AGEBYRACE,ATTEND,ATTEND2,ATTREL,BACKSIDE,BREAKDEM,BREAKDM2,CALL,CDNUM,CHIEFDST,COLLEDUC,DPRS08,DPRS08ST,EDUC,FAVBILL,FAVBILL2,GADPRS08,GENDISS,GENDISS2,GEOCODE,GETAHEAD,HSEDUC,INC100K,INC50K,INCOME07,ISSIA08D,LATINO,MARRIED,NEC,NEC2,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PHIL3,PHIL5,PRECINCT,QLTNH08D,QRACEAI,QTYPE,RACE,RACEISS,RACEISS2,REGION,REL5,RELIGN8,RELWHITE,SATCLIN,SATISDEM,SATOBAM,SEX,SEXBLACK,SEXBYRACE,SEXRACE,SEXWED,SEXWHITE,SIZEPLAC,SIZEPLC3,STANUM,TELEPOLL,TIME3D,TIMEPR,TIMEWK,UNFAIRSC,UNFRCLIN,UNFROBAM,UNION4,UNIONHH,UNIONMEM,UNIONVOT,UNITEST,VERSION,WHITEREL,WOMENWED,XAGE,XAGE60,XAGE65,XAGE9,XAGEBYRACE,XOVER65,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE,WEIGHT
1105837.0,60+,60+,65+,65-74,Non black 60+,White 60+,Omit,Omit,Protestant/Do not attend weekly,Complete,3.0,2.0,Call 1,9.0,1.0,1.0,2.0,1.0,Did not complete high school,1.0,1.0,1.0,3.0,2.0,3.0,2.0,1.0,100k or more,50k or more,"$100,000-$149,999",1.0,No,Yes,Not so good,Not so good/Poor,65+,Democrat,Non black Democrat,White Democrats,Democrat,Moderate,3.0,141.0,4.0,White,State questionnaire,White,1.0,1.0,South,Protestant/Other Non-Catholic Christian,Protestant,1.0,1.0,1.0,2.0,Male,Non black male,White men,White male,Married men,White male,Suburbs,Suburbs, Georgia,Election day exit poll,2.0,5.0,2.0,2.0,2.0,Barack Obama did,"Yes, I do",Yes,I am,Yes,1.0,Version 1,Protestant/Other Christian,2.0,4.0,4.0,6.0,8.0,4.0,65+,Low Density Rural,70s Suburbs,Low-Growth Suburban Perimeter,Very downscale,30739.0,1.28693783283234
1112831.0,60+,60+,65+,65-74,Non black 60+,White 60+,Once a week,More than once a week/Once a week,All others,Complete,1.0,1.0,Call 2,9.0,1.0,1.0,2.0,1.0,Did not complete high school,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,Less than 100k,Less than 50k,"$15,000-$29,999",3.0,No,Yes,Poor,Not so good/Poor,65+,Democrat,Non black Democrat,White Democrats,Democrat,Liberal,1.0,139.0,3.0,White,State questionnaire,White,3.0,2.0,South,Protestant/Other Non-Catholic Christian,Other Christian,1.0,1.0,1.0,2.0,,,,,,Non white,Suburbs,Suburbs, Georgia,Election day exit poll,2.0,5.0,2.0,2.0,2.0,Barack Obama did,No one does,No,No,No,1.0,Version 1,Protestant/Other Christian,2.0,4.0,4.0,6.0,8.0,4.0,65+,Low Density Rural,70s Suburbs,Low-Growth Suburban Perimeter,Very downscale,30728.0,0.658803582191467
1112813.0,60+,60+,65+,65-74,Non black 60+,White 60+,A few times a year,A few times a month/A few times a year,Protestant/Do not attend weekly,Complete,3.0,2.0,Call 2,10.0,1.0,1.0,2.0,1.0,Some college or associate degree,1.0,1.0,1.0,3.0,2.0,3.0,2.0,2.0,Less than 100k,Less than 50k,"$15,000-$29,999",3.0,No,No,Poor,Not so good/Poor,65+,Democrat,Non black Democrat,White Democrats,Democrat,Liberal,2.0,116.0,3.0,White,State questionnaire,White,3.0,2.0,South,Protestant/Other Non-Catholic Christian,Protestant,1.0,1.0,3.0,1.0,Female,Non black female,White women,White female,Non-married women,White female,"Cities 50,000-500,000","Cities over 50,000", Georgia,Election day exit poll,2.0,5.0,2.0,3.0,1.0,Barack Obama did,No one does,No,No,No,1.0,Version 1,Protestant/Other Christian,2.0,4.0,4.0,6.0,8.0,4.0,65+,Low Density Rural,Urban,Urban Core,Downscale,30646.0,0.762940406799316
1122141.0,18-29,18-29,18-24,18-24,Black 18-29,Black 18-29,More than once a week,More than once a week/Once a week,All others,Complete,1.0,1.0,Call 3,1.0,3.0,1.0,2.0,1.0,Some college or associate degree,1.0,1.0,1.0,2.0,1.0,5.0,1.0,2.0,Less than 100k,50k or more,"$75,000-$99,999",1.0,No,No,Not so good,Not so good/Poor,18-64,Democrat,Black Democrat,Black Democrats,Democrat,Conservative,4.0,114.0,1.0,Black,State questionnaire,Black,3.0,2.0,South,Protestant/Other Non-Catholic Christian,Other Christian,9.0,1.0,3.0,1.0,Female,Black female,Black women,Non white female,Non-married women,Non white,Rural,Small Cities/Rural, Georgia,Election day exit poll,2.0,3.0,1.0,3.0,1.0,Barack Obama did,No one does,No,No,No,1.0,Version 1,Non-white,2.0,1.0,1.0,1.0,1.0,5.0,17-64,Extremely Low Density Rural,Rural,Rural,Downscale,31320.0,1.1801450252533
1105808.0,60+,60+,65+,65-74,Non black 60+,All other,Never,Never,All others,Complete,3.0,2.0,Call 1,4.0,1.0,2.0,2.0,1.0,College graduate,1.0,1.0,1.0,3.0,2.0,1.0,3.0,2.0,Less than 100k,50k or more,"$50,000-$74,999",9.0,No,No,Poor,Not so good/Poor,65+,Democrat,Non black Democrat,All other,Democrat,Liberal,1.0,53.0,9.0,American Indian,State questionnaire,Other,2.0,1.0,South,None,None,9.0,1.0,3.0,1.0,Female,Non black female,All other races,Non white female,Non-married women,Non white,Suburbs,Suburbs, Georgia,Election day exit poll,2.0,5.0,2.0,3.0,1.0,Barack Obama did,No one does,No,No,No,1.0,Version 1,Non-white,2.0,4.0,4.0,6.0,8.0,13.0,65+,High Density Urban,70s Suburbs,Urban Perimeter,Upscale,30083.0,1.37234354019165
1112806.0,60+,60+,65+,65-74,Black 60+,Black 60+,A few times a month,A few times a month/A few times a year,All others,Complete,4.0,2.0,Call 2,4.0,1.0,1.0,2.0,1.0,Did not complete high school,1.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,Less than 100k,Less than 50k,"$30,000-$49,999",1.0,No,Yes,Poor,Not so good/Poor,65+,Democrat,Black Democrat,Black Democrats,Democrat,Liberal,1.0,53.0,3.0,Black,State questionnaire,Black,3.0,2.0,South,Protestant/Other Non-Catholic Christian,Other Christian,9.0,1.0,1.0,2.0,Female,Black female,Black women,Non white female,Married women,Non white,Suburbs,Suburbs, Georgia,Election day exit poll,2.0,5.0,2.0,4.0,2.0,Barack Obama did not,No one does,No,No,No,1.0,Version 1,Non-white,1.0,4.0,4.0,6.0,8.0,8.0,65+,High Density Urban,70s Suburbs,Urban Perimeter,Upscale,30083.0,1.33502781391144
1112801.0,60+,60+,65+,75 or over,Non black 60+,White 60+,More than once a week,More than once a week/Once a week,Catholic/Attend weekly,Complete,3.0,2.0,Call 2,9.0,1.0,1.0,2.0,1.0,High school graduate,2.0,1.0,1.0,3.0,2.0,3.0,3.0,1.0,Less than 100k,Less than 50k,"$15,000-$29,999",1.0,No,Yes,Not so good,Not so good/Poor,65+,Democrat,Non black Democrat,White Democrats,Democrat,Liberal,2.0,139.0,3.0,White,State questionnaire,White,3.0,2.0,South,Catholic,Catholic,2.0,1.0,3.0,1.0,Male,Non black male,White men,White male,Married men,White male,Suburbs,Suburbs, Georgia,Election day exit poll,2.0,5.0,2.0,4.0,2.0,Barack Obama did not,No one does,No,No,No,1.0,Version 1,Catholic,2.0,4.0,4.0,6.0,9.0,4.0,65+,Low Density Rural,70s Suburbs,Low-Growth Suburban Perimeter,Very downscale,30728.0,0.753909468650818
1112794.0,60+,60+,65+,65-74,Non black 60+,White 60+,More than once a week,More than once a week/Once a week,All others,Complete,1.0,1.0,Call 2,10.0,1.0,1.0,2.0,1.0,High school graduate,2.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,Less than 100k,Less than 50k,"$15,000-$29,999",2.0,No,Yes,Poor,Not so good/Poor,65+,Democrat,Non black Democrat,White Democrats,Democrat,Moderate,3.0,116.0,3.0,White,State questionnaire,White,2.0,1.0,South,Protestant/Other Non-Catholic Christian,Other Christian,1.0,1.0,1.0,2.0,Female,Non black female,White women,White female,Married women,White female,"Cities 50,000-500,000","Cities over 50,000", Georgia,Election day exit poll,2.0,5.0,2.0,3.0,1.0,Barack Obama did,"Yes, I do",Yes,I am,Yes,1.0,Version 1,Protestant/Other Christian,1.0,4.0,4.0,6.0,8.0,4.0,65+,Low Density Rural,Urban,Urban Core,Downscale,30646.0,0.762940406799316
1105779.0,60+,60+,50-64,60-64,Non black 60+,White 60+,More than once a week,More than once a week/Once a week,Protestant/Attend weekly,Complete,4.0,2.0,Call 1,9.0,1.0,1.0,2.0,1.0,High school graduate,1.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,,,,1.0,,Yes,Poor,Not so good/Poor,18-64,Democrat,Non black Democrat,White Democrats,Democrat,Moderate,3.0,141.0,1.0,White,State questionnaire,White,3.0,2.0,South,Protestant/Other Non-Catholic Christian,Protestant,1.0,1.0,3.0,1.0,Male,Non black male,White men,White male,Married men,White male,Suburbs,Suburbs, Georgia,Election day exit poll,1.0,1.0,1.0,4.0,2.0,Barack Obama did not,"Yes, I do",Yes,I am,Yes,1.0,Version 1,Protestant/Other Christian,2.0,3.0,4.0,5.0,7.0,4.0,17-64,Low Density Rural,70s Suburbs,Low-Growth Suburban Perimeter,Very downscale,30739.0,1.28693783283234
1105776.0,18-29,18-29,18-24,18-24,Non black 18-29,White 18-29,Once a week,More than once a week/Once a week,Protestant/Attend weekly,Complete,2.0,1.0,Call 1,9.0,1.0,1.0,2.0,1.0,Did not complete high school,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,,,,2.0,No,No,Not so good,Not so good/Poor,18-64,Democrat,Non black Democrat,White Democrats,Democrat,Moderate,3.0,139.0,1.0,White,State questionnaire,White,9.0,9.0,South,Protestant/Other Non-Catholic Christian,Protestant,1.0,1.0,1.0,2.0,Female,Non black female,White women,White female,Non-married women,White female,Suburbs,Suburbs, Georgia,Election day exit poll,2.0,5.0,2.0,9.0,9.0,Omit,No one does,No,No,No,1.0,Version 1,Protestant/Other Christian,2.0,1.0,1.0,1.0,1.0,1.0,17-64,Low Density Rural,70s Suburbs,Low-Growth Suburban Perimeter,Very downscale,30728.0,0.581782877445221
