ID,ABORT2,ABORTION,AGE3,AGE60,AGE65,AGE9,AGEBLACK,AGEBYRACE,ATTEND,ATTEND2,ATTREL,BACKSIDE,BREAKREP,BREAKRP2,BRNAGAIN,BUSHANG08,BUSHANG2,CALL,CDNUM,CHIEFREPAL,COLLEDUC,ECONREP,EDUC,GEOCODE,HSEDUC,IMMPRIME,INC100K,INC50K,INCOME07,IRAQWAR,IRAQWAR2,ISSIA08R,ISSVQUAL,LATINO,LATINOS,NEC,NEC2,NYRPRS08,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PHIL3,PHIL5,PRECINCT,QLTNH08R,QRACEAI,QTYPE,RACE,REGION,REL5,RELIGN8,RELWHITE,RPRS08,RPRS08ST,SEX,SEXBLACK,SEXBYRACE,SEXRACE,SEXWHITE,SIZEPLAC,SIZEPLC3,ZIPCODE,SPANISHQ,STANUM,TELEPOLL,TERRWORR,TERWORR2,TIME3D,TIMEPR,TIMEWK,VERSION,VETVOTER,WHITEREL,WHTEVANG,WPROTBRN,XAGE,XAGE60,XAGE65,XAGE9,XAGEBYRACE,XOVER65,ZCODE1,ZCODE2,ZCODE3,ZCODE4,WEIGHT
1104420.0,1.0,2.0,18-29,18-29,18-24,18-24,Non black 18-29,White 18-29,Never,Never,All others,Complete,2.0,1.0,No,2.0,1.0,Call 1,1.0,4.0,1.0,4.0,Some college or associate degree,2.0,2.0,3.0,Less than 100k,50k or more,"$75,000-$99,999",Strongly disapprove,Disapprove,2.0,My candidates position on the issues,No,No,Not so good,Not so good/Poor,4.0,18-64,Independent/Something else,Non black non Democrat,White Independents,Something else,Conservative,4.0,129.0,2.0,White,State questionnaire,White,East,None,None,5.0,6.0,4.0,Male,Non black male,White men,White male,White male,,,11794.0,English, New York,Election day exit poll,Somewhat worried,Worried,2.0,5.0,2.0,Version 1,No,None,All others,All others,1.0,1.0,1.0,1.0,1.0,17-64,,,,,0.34660479426384
1104448.0,2.0,3.0,18-29,18-29,18-24,18-24,Non black 18-29,Latino 18-29,Never,Never,All others,Complete,4.0,2.0,No,3.0,2.0,Call 1,1.0,4.0,1.0,4.0,Some college or associate degree,2.0,2.0,2.0,Less than 100k,Less than 50k,"$30,000-$49,999",Strongly disapprove,Disapprove,3.0,My candidates position on the issues,Yes,Yes,Not so good,Not so good/Poor,4.0,18-64,Republican,Non black non Democrat,All Republicans,Republican,Conservative,4.0,129.0,2.0,Hispanic/Latino,State questionnaire,Hispanic/Latino,East,None,None,9.0,6.0,4.0,Male,Non black male,Latino men,Non white male,Non white,,,11794.0,English, New York,Election day exit poll,Not too worried,Not worried,2.0,5.0,2.0,Version 1,No,Non-white,All others,All others,1.0,1.0,1.0,1.0,9.0,17-64,,,,,0.34660479426384
1104475.0,2.0,3.0,18-29,18-29,18-24,18-24,Non black 18-29,White 18-29,A few times a year,A few times a month/A few times a year,Catholic/Do not attend weekly,Complete,2.0,1.0,No,3.0,2.0,Call 1,1.0,5.0,1.0,5.0,Some college or associate degree,2.0,2.0,3.0,100k or more,50k or more,"$100,000-$149,999",Somewhat disapprove,Disapprove,3.0,My candidates position on the issues,No,No,Good,Excellent/Good,5.0,18-64,Republican,Non black non Democrat,All Republicans,Republican,Conservative,4.0,129.0,2.0,White,State questionnaire,White,East,Catholic,Catholic,2.0,7.0,5.0,Male,Non black male,White men,White male,White male,,,11794.0,English, New York,Election day exit poll,Not too worried,Not worried,2.0,3.0,1.0,Version 1,No,Catholic,All others,All others,1.0,1.0,1.0,1.0,1.0,17-64,,,,,0.156317323446274
1104505.0,1.0,2.0,18-29,18-29,18-24,18-24,Non black 18-29,White 18-29,Once a week,More than once a week/Once a week,All others,Complete,4.0,2.0,No,3.0,2.0,Call 1,1.0,5.0,1.0,5.0,Some college or associate degree,2.0,2.0,3.0,100k or more,50k or more,"$100,000-$149,999",Strongly approve,Approve,4.0,My candidates position on the issues,No,No,Good,Excellent/Good,5.0,18-64,Republican,Non black non Democrat,All Republicans,Republican,Conservative,5.0,129.0,2.0,White,State questionnaire,White,East,None,None,5.0,7.0,5.0,Female,Non black female,White women,White female,White female,,,11794.0,English, New York,Election day exit poll,Somewhat worried,Worried,2.0,5.0,2.0,Version 1,No,None,All others,All others,1.0,1.0,1.0,1.0,1.0,17-64,,,,,0.163172587752342
1117703.0,2.0,3.0,18-29,18-29,18-24,18-24,Non black 18-29,White 18-29,A few times a year,A few times a month/A few times a year,Protestant/Do not attend weekly,Complete,2.0,1.0,Yes,3.0,2.0,Call 2,1.0,3.0,1.0,3.0,Some college or associate degree,2.0,2.0,2.0,Less than 100k,50k or more,"$50,000-$74,999",Somewhat disapprove,Disapprove,3.0,My candidates leadership/personal qualities,No,No,Not so good,Not so good/Poor,3.0,18-64,Independent/Something else,Non black non Democrat,White Independents,Independent,Moderate,3.0,129.0,1.0,White,State questionnaire,White,East,Protestant/Other Non-Catholic Christian,Protestant,1.0,4.0,3.0,Female,Non black female,White women,White female,White female,,,11794.0,English, New York,Election day exit poll,Somewhat worried,Worried,2.0,4.0,2.0,Version 1,No,Protestant/Other Christian,White Born-again/Evangelical Christians,White/Protestant/Other Christian/Born Again/Evangelical,1.0,1.0,1.0,1.0,1.0,17-64,,,,,0.345042496919632
1117769.0,2.0,3.0,18-29,18-29,18-24,18-24,Non black 18-29,White 18-29,A few times a year,A few times a month/A few times a year,Catholic/Do not attend weekly,Complete,1.0,1.0,No,1.0,1.0,Call 2,1.0,3.0,1.0,3.0,Some college or associate degree,2.0,2.0,2.0,Less than 100k,50k or more,"$75,000-$99,999",Strongly approve,Approve,2.0,My candidates position on the issues,No,No,Good,Excellent/Good,3.0,18-64,Republican,Non black non Democrat,All Republicans,Republican,Conservative,4.0,129.0,1.0,White,State questionnaire,White,East,Catholic,Catholic,2.0,4.0,3.0,Male,Non black male,White men,White male,White male,,,11794.0,English, New York,Election day exit poll,Very worried,Worried,2.0,3.0,1.0,Version 1,No,Catholic,All others,All others,1.0,1.0,1.0,1.0,1.0,17-64,,,,,0.323116719722748
1117831.0,2.0,3.0,18-29,18-29,18-24,18-24,Non black 18-29,White 18-29,Once a week,More than once a week/Once a week,Catholic/Attend weekly,Complete,2.0,1.0,No,3.0,2.0,Call 2,1.0,3.0,1.0,4.0,Some college or associate degree,2.0,2.0,1.0,,,,Strongly disapprove,Disapprove,2.0,My candidates position on the issues,No,No,Not so good,Not so good/Poor,3.0,18-64,Independent/Something else,Non black non Democrat,White Independents,Independent,Moderate,3.0,129.0,2.0,White,State questionnaire,White,East,Catholic,Catholic,2.0,4.0,3.0,Male,Non black male,White men,White male,White male,,,11794.0,English, New York,Election day exit poll,Not at all worried,Not worried,2.0,3.0,1.0,Version 1,No,Catholic,All others,All others,1.0,1.0,1.0,1.0,1.0,17-64,,,,,0.323116719722748
1117901.0,2.0,3.0,18-29,18-29,18-24,18-24,Non black 18-29,White 18-29,Once a week,More than once a week/Once a week,All others,Complete,1.0,1.0,No,3.0,2.0,Call 2,1.0,1.0,2.0,1.0,College graduate,2.0,2.0,3.0,,,,Somewhat approve,Approve,4.0,My candidates leadership/personal qualities,No,No,Not so good,Not so good/Poor,3.0,18-64,Republican,Non black non Democrat,All Republicans,Republican,Conservative,4.0,129.0,4.0,White,State questionnaire,White,East,Jewish,Jewish,3.0,4.0,3.0,Male,Non black male,White men,White male,White male,,,11794.0,English, New York,Election day exit poll,Very worried,Worried,2.0,5.0,2.0,Version 1,No,Jewish,All others,All others,1.0,1.0,1.0,1.0,1.0,17-64,,,,,0.323116719722748
1117970.0,1.0,1.0,18-29,18-29,18-24,18-24,Non black 18-29,White 18-29,A few times a year,A few times a month/A few times a year,Protestant/Do not attend weekly,Complete,3.0,2.0,No,4.0,2.0,Call 2,1.0,3.0,1.0,3.0,High school graduate,2.0,1.0,2.0,100k or more,50k or more,"$100,000-$149,999",Somewhat disapprove,Disapprove,3.0,My candidates position on the issues,No,No,Not so good,Not so good/Poor,3.0,18-64,Republican,Non black non Democrat,All Republicans,Republican,Moderate,3.0,129.0,2.0,White,State questionnaire,White,East,Protestant/Other Non-Catholic Christian,Protestant,1.0,4.0,3.0,Male,Non black male,White men,White male,White male,,,11794.0,English, New York,Election day exit poll,Not too worried,Not worried,2.0,4.0,2.0,Version 1,No,Protestant/Other Christian,All others,All others,1.0,1.0,1.0,1.0,1.0,17-64,,,,,0.323116719722748
1118047.0,2.0,3.0,18-29,18-29,18-24,18-24,Non black 18-29,White 18-29,A few times a month,A few times a month/A few times a year,Catholic/Do not attend weekly,Complete,2.0,1.0,No,4.0,2.0,Call 2,1.0,3.0,1.0,3.0,Some college or associate degree,2.0,2.0,1.0,Less than 100k,50k or more,"$75,000-$99,999",Somewhat disapprove,Disapprove,3.0,Omit,No,No,Poor,Not so good/Poor,3.0,18-64,Republican,Non black non Democrat,All Republicans,Republican,Moderate,3.0,129.0,3.0,White,State questionnaire,White,East,Catholic,Catholic,2.0,4.0,3.0,Male,Non black male,White men,White male,White male,,,11794.0,English, New York,Election day exit poll,Somewhat worried,Worried,2.0,3.0,1.0,Version 1,No,Catholic,All others,All others,1.0,1.0,1.0,1.0,1.0,17-64,,,,,0.323116719722748
