ID,ABORT2,ABORTION,AGE3,AGE60,AGE65,AGE9,AGEBLACK,AGEBYRACE,ATTEND,ATTEND2,ATTREL,BACKSIDE,BEATDEMOH,BRNAGAIN,CALL,CDNUM,COLLEDUC,EDUC,GEOCODE,HSEDUC,IMMPRIME,INC100K,INC50K,INCOME07,ISSIA08R,MCCONSRV,NEC,NEC2,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PHIL3,PHIL5,PRECINCT,QLTNH08R,QRACEAI,QTYPE,RACE,REGION,REL5,RELIGN8,RELWHITE,RPRS08,SATISHUCK,SATHUCK2,SATISMCCN,SATMCCN2,SEX,SEXBLACK,SEXBYRACE,SEXRACE,SEXWHITE,SIZEPLAC,SIZEPLC3,STANUM,TELEPOLL,TIME3D,TIMEPR,TIMEWK,TLKRADIO,TLKRADI2,USRELR,VERSION,VETVOTER,WHITEREL,WHTEVANG,WIRPRS08,WPROTBRN,XAGE,XAGE60,XAGE65,XAGE9,XAGEBYRACE,XOVER65,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE,WEIGHT
1198808.0,2.0,3.0,30-59,30-44,40-49,40-44,Non black 30-44,White 30-44,More than once a week,More than once a week/Once a week,All others,Complete,2.0,Yes,Call 1,8.0,1.0,High school graduate,4.0,1.0,3.0,Less than 100k,50k or more,"$75,000-$99,999",1.0,2.0,Good,Excellent/Good,18-64,Republican,Non black non Democrat,All Republicans,Republican,Conservative,4.0,4.0,2.0,White,State questionnaire,White,Midwest,Protestant/Other Non-Catholic Christian,Other Christian,1.0,2.0,1.0,1.0,2.0,1.0,Male,Non black male,White men,White male,White male,Suburbs,Suburbs,Wisconsin,Election day exit poll,2.0,5.0,2.0,1.0,1.0,1.0,Version 1,No,Protestant/Other Christian,White Born-again/Evangelical Christians,1.0,White/Protestant/Other Christian/Born Again/Evangelical,2.0,2.0,4.0,4.0,2.0,17-64,,,,,,1.43715798854828
1198800.0,2.0,4.0,60+,60+,65+,65-74,Non black 60+,White 60+,Once a week,More than once a week/Once a week,Protestant/Attend weekly,Complete,2.0,Yes,Call 1,8.0,2.0,Postgraduate study,4.0,2.0,2.0,Less than 100k,50k or more,"$75,000-$99,999",4.0,3.0,Good,Excellent/Good,65+,Republican,Non black non Democrat,All Republicans,Republican,Conservative,5.0,4.0,2.0,White,State questionnaire,White,Midwest,Protestant/Other Non-Catholic Christian,Protestant,1.0,2.0,1.0,1.0,1.0,1.0,Male,Non black male,White men,White male,White male,Suburbs,Suburbs,Wisconsin,Election day exit poll,2.0,5.0,2.0,4.0,2.0,2.0,Version 1,Yes,Protestant/Other Christian,White Born-again/Evangelical Christians,1.0,White/Protestant/Other Christian/Born Again/Evangelical,4.0,4.0,6.0,8.0,4.0,65+,,,,,,1.53619122505188
1198791.0,2.0,3.0,30-59,45-59,40-49,45-49,Non black 45-59,White 45-59,A few times a year,A few times a month/A few times a year,Protestant/Do not attend weekly,Complete,2.0,Yes,Call 1,8.0,2.0,Postgraduate study,4.0,2.0,2.0,100k or more,50k or more,"$100,000-$149,999",4.0,3.0,Not so good,Not so good/Poor,18-64,Republican,Non black non Democrat,All Republicans,Republican,Conservative,4.0,4.0,2.0,White,State questionnaire,White,Midwest,Protestant/Other Non-Catholic Christian,Protestant,1.0,2.0,1.0,1.0,2.0,1.0,Male,Non black male,White men,White male,White male,Suburbs,Suburbs,Wisconsin,Election day exit poll,2.0,4.0,2.0,2.0,1.0,1.0,Version 1,No,Protestant/Other Christian,White Born-again/Evangelical Christians,1.0,White/Protestant/Other Christian/Born Again/Evangelical,3.0,3.0,4.0,5.0,3.0,17-64,,,,,,1.43715798854828
1198788.0,2.0,3.0,30-59,30-44,40-49,40-44,Non black 30-44,White 30-44,Once a week,More than once a week/Once a week,Protestant/Attend weekly,Complete,2.0,Yes,Call 1,8.0,2.0,College graduate,4.0,2.0,3.0,Less than 100k,50k or more,"$50,000-$74,999",1.0,3.0,Good,Excellent/Good,18-64,Independent/Something else,Non black non Democrat,White Independents,Independent,Conservative,5.0,4.0,2.0,White,State questionnaire,White,Midwest,Protestant/Other Non-Catholic Christian,Protestant,1.0,2.0,2.0,1.0,1.0,1.0,Male,Non black male,White men,White male,White male,Suburbs,Suburbs,Wisconsin,Election day exit poll,2.0,3.0,1.0,3.0,2.0,2.0,Version 1,No,Protestant/Other Christian,White Born-again/Evangelical Christians,1.0,White/Protestant/Other Christian/Born Again/Evangelical,2.0,2.0,4.0,4.0,2.0,17-64,,,,,,1.43715798854828
1198781.0,2.0,3.0,30-59,45-59,40-49,45-49,Non black 45-59,White 45-59,Once a week,More than once a week/Once a week,All others,Complete,9.0,Yes,Call 1,8.0,2.0,College graduate,4.0,2.0,3.0,Less than 100k,50k or more,"$75,000-$99,999",9.0,2.0,Not so good,Not so good/Poor,18-64,Independent/Something else,Non black non Democrat,White Independents,Independent,Conservative,5.0,4.0,2.0,White,State questionnaire,White,Midwest,Protestant/Other Non-Catholic Christian,Other Christian,1.0,2.0,1.0,1.0,3.0,2.0,Male,Non black male,White men,White male,White male,Suburbs,Suburbs,Wisconsin,Election day exit poll,2.0,4.0,2.0,3.0,2.0,9.0,Version 1,Yes,Protestant/Other Christian,White Born-again/Evangelical Christians,1.0,White/Protestant/Other Christian/Born Again/Evangelical,3.0,3.0,4.0,5.0,3.0,17-64,,,,,,1.43715798854828
1200974.0,2.0,3.0,30-59,45-59,40-49,45-49,Non black 45-59,White 45-59,Once a week,More than once a week/Once a week,Catholic/Attend weekly,Complete,2.0,No,Call 3,1.0,1.0,Some college or associate degree,3.0,2.0,2.0,Less than 100k,50k or more,"$50,000-$74,999",2.0,2.0,Not so good,Not so good/Poor,18-64,Republican,Non black non Democrat,All Republicans,Republican,Conservative,4.0,85.0,2.0,White,State questionnaire,White,Midwest,Catholic,Catholic,2.0,2.0,1.0,1.0,2.0,1.0,Male,Non black male,White men,White male,White male,Rural,Small Cities/Rural,Wisconsin,Election day exit poll,2.0,5.0,2.0,2.0,1.0,2.0,Version 1,Yes,Catholic,All others,1.0,All others,3.0,3.0,4.0,5.0,3.0,17-64,,,,,,1.25400257110596
1200971.0,2.0,4.0,30-59,30-44,30-39,30-39,Non black 30-44,White 30-44,More than once a week,More than once a week/Once a week,Protestant/Attend weekly,Complete,1.0,Yes,Call 3,1.0,1.0,Some college or associate degree,3.0,2.0,1.0,Less than 100k,Less than 50k,"$30,000-$49,999",4.0,2.0,Good,Excellent/Good,18-64,Republican,Non black non Democrat,All Republicans,Republican,Conservative,5.0,85.0,2.0,White,State questionnaire,White,Midwest,Protestant/Other Non-Catholic Christian,Protestant,1.0,2.0,1.0,1.0,3.0,2.0,Male,Non black male,White men,White male,White male,Rural,Small Cities/Rural,Wisconsin,Election day exit poll,2.0,5.0,2.0,1.0,1.0,2.0,Version 1,No,Protestant/Other Christian,White Born-again/Evangelical Christians,1.0,White/Protestant/Other Christian/Born Again/Evangelical,2.0,2.0,3.0,3.0,2.0,17-64,,,,,,1.25400257110596
1200968.0,1.0,2.0,30-59,30-44,30-39,30-39,Non black 30-44,White 30-44,A few times a month,A few times a month/A few times a year,Protestant/Do not attend weekly,Complete,2.0,No,Call 3,1.0,2.0,College graduate,3.0,2.0,1.0,Less than 100k,50k or more,"$75,000-$99,999",3.0,2.0,Not so good,Not so good/Poor,18-64,Republican,Non black non Democrat,All Republicans,Republican,Conservative,4.0,85.0,3.0,White,State questionnaire,White,Midwest,Protestant/Other Non-Catholic Christian,Protestant,1.0,2.0,1.0,1.0,3.0,2.0,Female,Non black female,White women,White female,White female,Rural,Small Cities/Rural,Wisconsin,Election day exit poll,2.0,4.0,2.0,2.0,1.0,1.0,Version 1,No,Protestant/Other Christian,All others,1.0,All others,2.0,2.0,3.0,3.0,2.0,17-64,,,,,,1.16743803024292
1200966.0,2.0,4.0,30-59,45-59,50-64,50-59,Non black 45-59,White 45-59,Once a week,More than once a week/Once a week,Catholic/Attend weekly,Complete,9.0,Yes,Call 3,1.0,1.0,High school graduate,3.0,1.0,1.0,,,,9.0,2.0,Good,Excellent/Good,18-64,Republican,Non black non Democrat,All Republicans,Republican,Conservative,4.0,85.0,2.0,White,State questionnaire,White,Midwest,Catholic,Catholic,2.0,2.0,1.0,1.0,2.0,1.0,Female,Non black female,White women,White female,White female,Rural,Small Cities/Rural,Wisconsin,Election day exit poll,2.0,3.0,1.0,1.0,1.0,9.0,Version 1,No,Catholic,White Born-again/Evangelical Christians,1.0,All others,3.0,3.0,5.0,6.0,3.0,17-64,,,,,,1.16743803024292
1200527.0,2.0,4.0,30-59,45-59,40-49,45-49,Non black 45-59,White 45-59,More than once a week,More than once a week/Once a week,All others,Complete,1.0,Yes,Call 3,8.0,2.0,College graduate,4.0,2.0,3.0,Less than 100k,50k or more,"$50,000-$74,999",3.0,2.0,Poor,Not so good/Poor,18-64,Republican,Non black non Democrat,All Republicans,Republican,Conservative,5.0,4.0,2.0,White,State questionnaire,White,Midwest,Protestant/Other Non-Catholic Christian,Other Christian,1.0,2.0,1.0,1.0,3.0,2.0,Male,Non black male,White men,White male,White male,Suburbs,Suburbs,Wisconsin,Election day exit poll,2.0,4.0,2.0,1.0,1.0,1.0,Version 1,Yes,Protestant/Other Christian,White Born-again/Evangelical Christians,1.0,White/Protestant/Other Christian/Born Again/Evangelical,3.0,3.0,4.0,5.0,3.0,17-64,,,,,,1.43715798854828
