ID,ABORT2,ABORTION,AGE3,AGE60,AGE65,AGE9,AGEBLACK,AGEBYRACE,ATTEND,ATTEND2,ATTREL,BACKSIDE,BREAKREP,BREAKRP2,BRNAGAIN,BUSHANG08,BUSHANG2,CALL,CDNUM,CHIEFREPAL,COLLEDUC,ECONREP,EDUC,GARPRS08,GEOCODE,HSEDUC,IMMPRIME,INC100K,INC50K,INCOME07,IRAQWAR,IRAQWAR2,ISSIA08R,ISSVQUAL,LATINO,NEC,NEC2,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PHIL3,PHIL5,PRECINCT,QLTNH08R,QRACEAI,QTYPE,RACE,REGION,REL5,RELIGN8,RELWHITE,RPRS08,RPRS08ST,SEX,SEXBLACK,SEXBYRACE,SEXRACE,SEXWHITE,SHAREREL,SHARERL2,SIZEPLAC,SIZEPLC3,STANUM,TELEPOLL,TIME3D,TIMEPR,TIMEWK,VERSION,VETVOTER,WHITEREL,WHTEVANG,WPROTBRN,XAGE,XAGE60,XAGE65,XAGE9,XAGEBYRACE,XOVER65,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE,WEIGHT
1105546.0,1.0,2.0,60+,60+,65+,65-74,Non black 60+,All other,A few times a month,A few times a month/A few times a year,Protestant/Do not attend weekly,Complete,4.0,2.0,Yes,4.0,2.0,Call 1,6.0,5.0,2.0,5.0,Postgraduate study,0.0,2.0,2.0,1.0,100k or more,50k or more,"$100,000-$149,999",Strongly disapprove,Disapprove,2.0,My candidates position on the issues,No,Not so good,Not so good/Poor,65+,Democrat,Non black Democrat,All other,Democrat,Moderate,3.0,35.0,2.0,Other,State questionnaire,Other,South,Protestant/Other Non-Catholic Christian,Protestant,9.0,0.0,,Female,Non black female,All other races,Non white female,Non white,4.0,2.0,"Cities 50,000-500,000","Cities over 50,000", Georgia,Election day exit poll,2.0,5.0,2.0,Version 1,Yes,Non-white,All others,All others,4.0,4.0,6.0,8.0,13.0,65+,Suburb,Urban,Urban Core,Very upscale,30067.0,1.95770728588104
1112567.0,1.0,2.0,18-29,18-29,25-29,25-29,Black 18-29,Black 18-29,Omit,Omit,All others,Complete,4.0,2.0,Yes,4.0,2.0,Call 2,4.0,9.0,2.0,9.0,College graduate,1.0,1.0,2.0,1.0,Less than 100k,Less than 50k,"Under $15,000",Strongly disapprove,Disapprove,3.0,My candidates position on the issues,No,Poor,Not so good/Poor,18-64,Democrat,Black Democrat,Black Democrats,Democrat,Liberal,2.0,50.0,1.0,Black,State questionnaire,Black,South,None,None,9.0,1.0,1.0,Female,Black female,Black women,Non white female,Non white,2.0,1.0,"Cities 50,000-500,000","Cities over 50,000", Georgia,Election day exit poll,1.0,1.0,1.0,Version 1,No,Non-white,All others,All others,1.0,1.0,2.0,2.0,5.0,17-64,High Density Urban,Urban,Urban Core,Very upscale,30307.0,0.266069680452347
1112565.0,1.0,2.0,18-29,18-29,25-29,25-29,Black 18-29,Black 18-29,Omit,Omit,All others,Complete,4.0,2.0,Yes,4.0,2.0,Call 2,4.0,9.0,2.0,9.0,College graduate,1.0,1.0,2.0,1.0,Less than 100k,Less than 50k,"Under $15,000",Strongly disapprove,Disapprove,3.0,My candidates position on the issues,No,Poor,Not so good/Poor,18-64,Democrat,Black Democrat,Black Democrats,Democrat,Liberal,2.0,50.0,1.0,Black,State questionnaire,Black,South,None,None,9.0,1.0,1.0,Female,Black female,Black women,Non white female,Non white,2.0,1.0,"Cities 50,000-500,000","Cities over 50,000", Georgia,Election day exit poll,1.0,1.0,1.0,Version 1,No,Non-white,All others,All others,1.0,1.0,2.0,2.0,5.0,17-64,High Density Urban,Urban,Urban Core,Very upscale,30307.0,0.266069680452347
1121872.0,2.0,4.0,30-59,30-44,30-39,30-39,Non black 30-44,White 30-44,Once a week,More than once a week/Once a week,Catholic/Attend weekly,Complete,9.0,9.0,No,1.0,1.0,Call 3,6.0,5.0,2.0,5.0,Postgraduate study,1.0,1.0,2.0,2.0,100k or more,50k or more,"$150,000-$199,999",Strongly approve,Approve,3.0,My candidates position on the issues,No,Poor,Not so good/Poor,18-64,Republican,Non black non Democrat,All Republicans,Republican,Conservative,5.0,80.0,2.0,White,State questionnaire,White,South,Catholic,Catholic,2.0,1.0,1.0,Male,Non black male,White men,White male,White male,1.0,1.0,Suburbs,Suburbs, Georgia,Election day exit poll,1.0,1.0,1.0,Version 1,Yes,Catholic,All others,All others,2.0,2.0,3.0,3.0,2.0,17-64,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,30005.0,0.547246098518372
1112521.0,1.0,2.0,18-29,18-29,18-24,18-24,Non black 18-29,White 18-29,Never,Never,All others,Complete,2.0,1.0,No,3.0,2.0,Call 2,7.0,1.0,1.0,1.0,High school graduate,1.0,2.0,1.0,3.0,,,,Somewhat disapprove,Disapprove,1.0,My candidates leadership/personal qualities,No,Not so good,Not so good/Poor,18-64,Independent/Something else,Non black non Democrat,White Independents,Independent,Moderate,3.0,92.0,4.0,White,State questionnaire,White,South,None,None,5.0,1.0,1.0,Male,Non black male,White men,White male,White male,4.0,2.0,Suburbs,Suburbs, Georgia,Election day exit poll,2.0,5.0,2.0,Version 1,Yes,None,All others,All others,1.0,1.0,1.0,1.0,1.0,17-64,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,30043.0,1.52357232570648
1121532.0,1.0,1.0,30-59,30-44,40-49,40-44,Non black 30-44,White 30-44,A few times a year,A few times a month/A few times a year,All others,Complete,2.0,1.0,Yes,2.0,1.0,Call 3,8.0,1.0,1.0,3.0,High school graduate,1.0,4.0,1.0,2.0,100k or more,50k or more,"$200,000 or more",Somewhat approve,Approve,3.0,My candidates position on the issues,No,Good,Excellent/Good,18-64,Republican,Non black non Democrat,All Republicans,Republican,Moderate,3.0,110.0,1.0,White,State questionnaire,White,South,Protestant/Other Non-Catholic Christian,Other Christian,1.0,1.0,1.0,Female,Non black female,White women,White female,White female,2.0,1.0,"Cities 50,000-500,000","Cities over 50,000", Georgia,Election day exit poll,2.0,3.0,1.0,Version 1,No,Protestant/Other Christian,White Born-again/Evangelical Christians,White/Protestant/Other Christian/Born Again/Evangelical,2.0,2.0,4.0,4.0,2.0,17-64,Suburb,Urban,Urban Core,Upscale,31211.0,0.984317660331726
1107589.0,2.0,4.0,30-59,30-44,30-39,30-39,Non black 30-44,White 30-44,,,,Not complete,1.0,1.0,,2.0,1.0,Call 1,11.0,,,,,1.0,2.0,,,,,,,,9.0,My candidates leadership/personal qualities,No,,,18-64,,,,,,,125.0,2.0,White,State questionnaire,White,South,,,,1.0,1.0,Female,Non black female,White women,White female,White female,,,Suburbs,Suburbs, Georgia,Election day exit poll,2.0,4.0,2.0,Version 1,No,,,,2.0,2.0,3.0,3.0,2.0,17-64,Low Density Rural,80s Suburbs,High-Growth Suburban Perimeter,Downscale,30132.0,1.49434411525726
1122132.0,2.0,3.0,30-59,30-44,30-39,30-39,Non black 30-44,White 30-44,,,,Not complete,3.0,2.0,,1.0,1.0,Call 3,8.0,,,,,1.0,5.0,,,,,,,,4.0,My candidates leadership/personal qualities,No,,,18-64,,,,,,,135.0,1.0,White,State questionnaire,White,South,,,,1.0,1.0,Male,Non black male,White men,White male,White male,,,"Cities 10,000-50,000",Small Cities/Rural, Georgia,Election day exit poll,1.0,1.0,1.0,Version 1,No,,,,2.0,2.0,3.0,3.0,2.0,17-64,Low Density Rural,Rural,Rural,Downscale,31794.0,1.01530039310455
1122169.0,2.0,3.0,60+,60+,65+,65-74,Non black 60+,White 60+,Once a week,More than once a week/Once a week,Protestant/Attend weekly,Complete,3.0,2.0,Yes,1.0,1.0,Call 3,8.0,3.0,1.0,4.0,Some college or associate degree,2.0,5.0,2.0,3.0,Less than 100k,50k or more,"$50,000-$74,999",Somewhat approve,Approve,4.0,My candidates position on the issues,No,Not so good,Not so good/Poor,65+,Republican,Non black non Democrat,All Republicans,Republican,Conservative,4.0,135.0,2.0,White,State questionnaire,White,South,Protestant/Other Non-Catholic Christian,Protestant,1.0,2.0,2.0,Female,Non black female,White women,White female,White female,3.0,2.0,"Cities 10,000-50,000",Small Cities/Rural, Georgia,Election day exit poll,2.0,5.0,2.0,Version 1,No,Protestant/Other Christian,White Born-again/Evangelical Christians,White/Protestant/Other Christian/Born Again/Evangelical,4.0,4.0,6.0,8.0,4.0,65+,Low Density Rural,Rural,Rural,Downscale,31794.0,0.406387686729431
1105835.0,2.0,4.0,30-59,30-44,30-39,30-39,Non black 30-44,White 30-44,More than once a week,More than once a week/Once a week,All others,Complete,4.0,2.0,Yes,2.0,1.0,Call 1,9.0,2.0,1.0,2.0,Some college or associate degree,2.0,3.0,2.0,1.0,Less than 100k,50k or more,"$50,000-$74,999",Somewhat approve,Approve,4.0,My candidates position on the issues,No,Poor,Not so good/Poor,18-64,Independent/Something else,Non black non Democrat,White Independents,Independent,Conservative,4.0,137.0,2.0,White,State questionnaire,White,South,Protestant/Other Non-Catholic Christian,Other Christian,1.0,2.0,2.0,Female,Non black female,White women,White female,White female,1.0,1.0,Rural,Small Cities/Rural, Georgia,Election day exit poll,2.0,5.0,2.0,Version 1,No,Protestant/Other Christian,White Born-again/Evangelical Christians,White/Protestant/Other Christian/Born Again/Evangelical,2.0,2.0,3.0,3.0,2.0,17-64,Low Density Rural,Rural,Rural,Downscale,30512.0,1.48387253284454
