ID,ABORT2,ABORTION,AGE3,AGE60,AGE65,AGE9,AGEBLACK,AGEBYRACE,ATTEND,ATTEND2,ATTREL,BACKSIDE,BREAKREP,BREAKRP2,BRNAGAIN,BUSHANG08,BUSHANG2,CALL,CDNUM,CHIEFREPAL,COLLEDUC,CTRPRS08,ECONREP,EDUC,FAVLIEBER,FAVLIBR2,GEOCODE,HSEDUC,IMMPRIME,INC100K,INC50K,INCOME07,IRAQWAR,IRAQWAR2,ISSIA08R,ISSVQUAL,LATINO,NEC,NEC2,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PHIL3,PHIL5,PRECINCT,QLTNH08R,QRACEAI,QTYPE,RACE,REGION,REL5,RELIGN8,RELWHITE,RPRS08,RPRS08ST,SEX,SEXBLACK,SEXBYRACE,SEXRACE,SEXWHITE,SIZEPLAC,SIZEPLC3,STANUM,TELEPOLL,TIME3D,TIMEPR,TIMEWK,VERSION,VETVOTER,WHITEREL,WHTEVANG,WPROTBRN,XAGE,XAGE60,XAGE65,XAGE9,XAGEBYRACE,XOVER65,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE,WEIGHT
1116130.0,2.0,4.0,60+,60+,65+,75 or over,Black 60+,Black 60+,More than once a week,More than once a week/Once a week,Protestant/Attend weekly,Complete,4.0,2.0,Yes,3.0,2.0,Call 2,4.0,2.0,1.0,0.0,2.0,High school graduate,3.0,2.0,3.0,1.0,2.0,Less than 100k,Less than 50k,"$30,000-$49,999",Strongly disapprove,Disapprove,3.0,My candidates leadership/personal qualities,No,Not so good,Not so good/Poor,65+,Independent/Something else,Black non Democrat,Black Indpendents,Independent,Conservative,4.0,62.0,2.0,Black,State questionnaire,Black,East,Protestant/Other Non-Catholic Christian,Protestant,9.0,0.0,,Female,Black female,Black women,Non white female,Non white,"Cities 50,000-500,000","Cities over 50,000",Connecticut,Election day exit poll,2.0,5.0,2.0,Version 1,Yes,Non-white,All others,All others,4.0,4.0,6.0,9.0,8.0,65+,Suburb,Urban,Urban Core,Very upscale,6851.0,1.73621499538422
1104121.0,1.0,1.0,30-59,30-44,40-49,40-44,Non black 30-44,Latino 30-44,Never,Never,All others,Complete,1.0,1.0,No,2.0,1.0,Call 1,1.0,5.0,2.0,0.0,5.0,College graduate,4.0,2.0,2.0,2.0,1.0,100k or more,50k or more,"$150,000-$199,999",Somewhat approve,Approve,3.0,My candidates position on the issues,Yes,Not so good,Not so good/Poor,18-64,Independent/Something else,Non black non Democrat,Latino Independents,Something else,Liberal,2.0,75.0,1.0,Hispanic/Latino,State questionnaire,Hispanic/Latino,East,None,None,9.0,0.0,,Female,Non black female,Latino women,Non white female,Non white,Suburbs,Suburbs,Connecticut,Election day exit poll,2.0,3.0,1.0,Version 1,No,Non-white,All others,All others,2.0,2.0,4.0,4.0,10.0,17-64,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Upscale,6479.0,1.23552894592285
1124089.0,1.0,1.0,30-59,45-59,40-49,45-49,Non black 45-59,White 45-59,,,,Not complete,2.0,1.0,,3.0,2.0,Call 3,3.0,,,1.0,,,,,2.0,,,,,,,,3.0,My candidates leadership/personal qualities,No,,,18-64,,,,,,,87.0,2.0,White,State questionnaire,White,East,,,,1.0,1.0,Female,Non black female,White women,White female,White female,Suburbs,Suburbs,Connecticut,Election day exit poll,1.0,1.0,1.0,Version 1,No,,,,3.0,3.0,4.0,5.0,3.0,17-64,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Upscale,6492.0,0.286683022975922
1120056.0,2.0,3.0,18-29,18-29,25-29,25-29,Black 18-29,Black 18-29,A few times a year,A few times a month/A few times a year,All others,Complete,1.0,1.0,No,4.0,2.0,Call 2,1.0,1.0,1.0,1.0,1.0,High school graduate,4.0,2.0,2.0,1.0,2.0,Less than 100k,Less than 50k,"$30,000-$49,999",Somewhat disapprove,Disapprove,2.0,My candidates leadership/personal qualities,No,Not so good,Not so good/Poor,18-64,Republican,Black non Democrat,All Republicans,Republican,Conservative,4.0,43.0,3.0,Black,State questionnaire,Black,East,Protestant/Other Non-Catholic Christian,Other Christian,9.0,1.0,1.0,Male,Black male,Black men,Non white male,Non white,Suburbs,Suburbs,Connecticut,Election day exit poll,2.0,4.0,2.0,Version 1,Yes,Non-white,All others,All others,1.0,1.0,2.0,2.0,5.0,17-64,Suburb,60s Suburbs,Urban Perimeter,Downscale,6040.0,1.3159145116806
1125768.0,1.0,1.0,30-59,30-44,30-39,30-39,Non black 30-44,White 30-44,Once a week,More than once a week/Once a week,Catholic/Attend weekly,Complete,1.0,1.0,No,4.0,2.0,Call 3,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,,3.0,Less than 100k,Less than 50k,"$30,000-$49,999",Somewhat disapprove,Disapprove,3.0,My candidates leadership/personal qualities,No,Poor,Not so good/Poor,18-64,Independent/Something else,Non black non Democrat,White Independents,Something else,Liberal,2.0,12.0,2.0,White,State questionnaire,White,East,Catholic,Catholic,2.0,1.0,1.0,Female,Non black female,White women,White female,White female,Suburbs,Suburbs,Connecticut,Election day exit poll,2.0,5.0,2.0,Version 1,No,Catholic,All others,All others,2.0,2.0,3.0,3.0,2.0,17-64,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Downscale,6010.0,0.352433830499649
1123495.0,2.0,3.0,30-59,30-44,30-39,30-39,Non black 30-44,Latino 30-44,Once a week,More than once a week/Once a week,Catholic/Attend weekly,Complete,1.0,1.0,No,3.0,2.0,Call 3,5.0,2.0,1.0,1.0,2.0,Some college or associate degree,4.0,2.0,1.0,2.0,1.0,Less than 100k,50k or more,"$50,000-$74,999",Strongly disapprove,Disapprove,1.0,My candidates leadership/personal qualities,Yes,Not so good,Not so good/Poor,18-64,Republican,Non black non Democrat,All Republicans,Republican,Moderate,3.0,88.0,2.0,Hispanic/Latino,State questionnaire,Hispanic/Latino,East,Catholic,Catholic,9.0,1.0,1.0,Female,Non black female,Latino women,Non white female,Non white,Suburbs,Suburbs,Connecticut,Election day exit poll,1.0,1.0,1.0,Version 1,No,Non-white,All others,All others,2.0,2.0,3.0,3.0,10.0,17-64,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very downscale,6704.0,0.480058670043945
1103586.0,1.0,1.0,18-29,18-29,18-24,18-24,Non black 18-29,Latino 18-29,A few times a month,A few times a month/A few times a year,Catholic/Do not attend weekly,Complete,2.0,1.0,No,4.0,2.0,Call 1,5.0,1.0,1.0,1.0,1.0,High school graduate,2.0,1.0,1.0,1.0,1.0,Less than 100k,Less than 50k,"$15,000-$29,999",Strongly disapprove,Disapprove,2.0,My candidates leadership/personal qualities,Yes,Poor,Not so good/Poor,18-64,Republican,Non black non Democrat,All Republicans,Republican,Moderate,3.0,88.0,4.0,Hispanic/Latino,State questionnaire,Hispanic/Latino,East,Catholic,Catholic,9.0,1.0,1.0,Female,Non black female,Latino women,Non white female,Non white,Suburbs,Suburbs,Connecticut,Election day exit poll,1.0,1.0,1.0,Version 1,No,Non-white,All others,All others,1.0,1.0,1.0,1.0,9.0,17-64,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very downscale,6704.0,0.480058670043945
1123417.0,2.0,3.0,30-59,30-44,30-39,30-39,Non black 30-44,White 30-44,Omit,Omit,Omit,Complete,1.0,1.0,,3.0,2.0,Call 3,5.0,3.0,,1.0,3.0,,2.0,1.0,1.0,,1.0,,,,Somewhat disapprove,Disapprove,1.0,My candidates leadership/personal qualities,No,Not so good,Not so good/Poor,18-64,Republican,Non black non Democrat,All Republicans,Republican,Moderate,3.0,88.0,1.0,White,State questionnaire,White,East,,,9.0,1.0,1.0,Male,Non black male,White men,White male,White male,Suburbs,Suburbs,Connecticut,Election day exit poll,1.0,1.0,1.0,Version 1,No,,All others,,2.0,2.0,3.0,3.0,2.0,17-64,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very downscale,6704.0,0.480058670043945
1103562.0,1.0,2.0,30-59,45-59,50-64,50-59,Non black 45-59,White 45-59,Once a week,More than once a week/Once a week,Catholic/Attend weekly,Complete,1.0,1.0,No,3.0,2.0,Call 1,5.0,1.0,2.0,1.0,1.0,College graduate,1.0,1.0,1.0,2.0,2.0,100k or more,50k or more,"$100,000-$149,999",Strongly disapprove,Disapprove,3.0,My candidates leadership/personal qualities,No,Poor,Not so good/Poor,18-64,Republican,Non black non Democrat,All Republicans,Republican,Liberal,2.0,88.0,3.0,White,State questionnaire,White,East,Catholic,Catholic,2.0,1.0,1.0,Female,Non black female,White women,White female,White female,Suburbs,Suburbs,Connecticut,Election day exit poll,2.0,5.0,2.0,Version 1,No,Catholic,All others,All others,3.0,3.0,5.0,6.0,3.0,17-64,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very downscale,6704.0,0.480058670043945
1124487.0,1.0,1.0,18-29,18-29,18-24,18-24,Non black 18-29,White 18-29,Once a week,More than once a week/Once a week,All others,Complete,2.0,1.0,Yes,3.0,2.0,Call 3,5.0,1.0,1.0,1.0,1.0,Some college or associate degree,2.0,1.0,1.0,2.0,1.0,Less than 100k,Less than 50k,"$30,000-$49,999",Strongly disapprove,Disapprove,2.0,My candidates leadership/personal qualities,No,Good,Excellent/Good,18-64,Republican,Non black non Democrat,All Republicans,Republican,Moderate,3.0,51.0,1.0,White,State questionnaire,White,East,Protestant/Other Non-Catholic Christian,Other Christian,1.0,1.0,1.0,Male,Non black male,White men,White male,White male,Suburbs,Suburbs,Connecticut,Election day exit poll,2.0,4.0,2.0,Version 1,No,Protestant/Other Christian,White Born-again/Evangelical Christians,White/Protestant/Other Christian/Born Again/Evangelical,1.0,1.0,1.0,1.0,1.0,17-64,High Density Urban,60s Suburbs,Urban Perimeter,Very downscale,6053.0,0.296949923038483
