ID,ATTEND,ATTEND2,ATTREL,BACKSIDE,BEATREP2,BREAKDEM,BREAKDM2,CALL,CDNUM,CHIEFDEM2,CLRCLIN,CLROBAM,CLRPLAN,COLLEDUC,DPRS08,EDUC,FINWORRY,FINWRRY2,GENDISS,GENDISS2,GEOCODE,HSEDUC,INC100K,INC50K,INCOME07,INSPIRSC,INSPIRSO,INSPIRES,ISSIA08D,LATINO,NEC,NEC2,OHDPRS08,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PHIL3,PHIL5,PRECINCT,QLTNH08D,QRACEAI,QTYPE,RACE,RACEISS,RACEISS2,REGION,REL5,RELIGN8,RELWHITE,SATCLIN,SATISDEM,SATOBAM,SEX,SEXBLACK,SEXBYRACE,SEXRACE,SEXWHITE,SIZEPLAC,SIZEPLC3,STANUM,SUPERDEL,TELEPOLL,TIME3D,TIMEPR,TIMEWK,TRADE,UNFAIRSC,UNFRCLIN,UNFROBAM,UNION4,UNIONHH,UNIONMEM,UNIONVOT,VERSION,WHITEREL,XAGE,XAGE60,XAGE65,XAGE9,XAGEBYRACE,XBEATREP,XCHIEFDEM,XOVER65,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE,WEIGHT
1221891.0,,,,Not complete,1.0,3.0,2.0,Call 1,5.0,,2.0,2.0,4.0,,0.0,,1.0,1.0,,,4.0,,,,,,,,1.0,No,Not so good,Not so good/Poor,0.0,,,,,,,116.0,4.0,White,State questionnaire,White,,,Midwest,,,,,,,Male,Non black male,White men,White male,White male,Rural,Small Cities/Rural,Ohio,,Election day exit poll,1.0,1.0,1.0,,3.0,1.0,Barack Obama did,,,,,Version 1,,4.0,4.0,6.0,8.0,4.0,1.0,,65+,Low Density Rural,Rural,Rural,Downscale,45856.0,0.93648362159729
1221785.0,A few times a year,A few times a month/A few times a year,All others,Complete,1.0,2.0,1.0,Call 1,3.0,1.0,1.0,1.0,3.0,1.0,0.0,Some college or associate degree,1.0,1.0,3.0,2.0,5.0,2.0,100k or more,50k or more,"$100,000-$149,999",1.0,1.0,3.0,2.0,No,Good,Excellent/Good,0.0,Independent/Something else,Non black non Democrat,White Independents,Independent,Moderate,3.0,145.0,1.0,White,State questionnaire,White,9.0,9.0,Midwest,Protestant/Other Non-Catholic Christian,Other Christian,1.0,2.0,4.0,2.0,Female,Non black female,White women,White female,White female,Suburbs,Suburbs,Ohio,9.0,Election day exit poll,9.0,9.0,9.0,9.0,1.0,1.0,Barack Obama did not,No one does,No,No,No,Version 1,Protestant/Other Christian,3.0,3.0,4.0,5.0,3.0,1.0,1.0,17-64,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,45066.0,0.701730012893677
1224822.0,Once a week,More than once a week/Once a week,All others,Complete,1.0,2.0,1.0,Call 2,18.0,1.0,1.0,2.0,1.0,1.0,2.0,Some college or associate degree,3.0,2.0,1.0,1.0,3.0,2.0,Less than 100k,Less than 50k,"$30,000-$49,999",1.0,2.0,1.0,3.0,No,Good,Excellent/Good,1.0,Democrat,Non black Democrat,White Democrats,Democrat,Moderate,3.0,110.0,2.0,White,State questionnaire,White,2.0,1.0,Midwest,Protestant/Other Non-Catholic Christian,Other Christian,1.0,1.0,1.0,2.0,Female,Non black female,White women,White female,White female,"Cities 10,000-50,000",Small Cities/Rural,Ohio,2.0,Election day exit poll,2.0,5.0,2.0,3.0,4.0,2.0,Barack Obama did not,No one does,No,No,No,Version 1,Protestant/Other Christian,2.0,2.0,3.0,3.0,2.0,1.0,1.0,17-64,Suburb,Rural,Rural,Downscale,43701.0,0.699333548545837
1224817.0,More than once a week,More than once a week/Once a week,Protestant/Attend weekly,Complete,1.0,2.0,1.0,Call 2,2.0,1.0,1.0,2.0,1.0,2.0,2.0,Postgraduate study,2.0,1.0,3.0,2.0,5.0,2.0,Less than 100k,Less than 50k,"$30,000-$49,999",1.0,2.0,1.0,1.0,No,Not so good,Not so good/Poor,1.0,Democrat,Black Democrat,Black Democrats,Democrat,Liberal,2.0,144.0,3.0,Black,State questionnaire,Black,3.0,2.0,Midwest,Protestant/Other Non-Catholic Christian,Protestant,9.0,1.0,1.0,2.0,Female,Black female,Black women,Non white female,Non white,Suburbs,Suburbs,Ohio,1.0,Election day exit poll,2.0,5.0,2.0,2.0,3.0,1.0,Barack Obama did,No one does,No,No,No,Version 1,Non-white,4.0,4.0,6.0,8.0,8.0,1.0,1.0,65+,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,45039.0,1.01100897789001
1224815.0,Once a week,More than once a week/Once a week,Catholic/Attend weekly,Complete,1.0,9.0,9.0,Call 2,16.0,1.0,1.0,1.0,3.0,1.0,2.0,High school graduate,2.0,1.0,3.0,2.0,2.0,1.0,,,,2.0,1.0,2.0,1.0,No,Not so good,Not so good/Poor,1.0,Democrat,Non black Democrat,White Democrats,Democrat,Liberal,2.0,128.0,3.0,White,State questionnaire,White,3.0,2.0,Midwest,Catholic,Catholic,2.0,1.0,3.0,1.0,Male,Non black male,White men,White male,White male,Suburbs,Suburbs,Ohio,2.0,Election day exit poll,2.0,4.0,2.0,1.0,3.0,1.0,Barack Obama did,"Yes, someone else does",Yes,"Member in household, but not voter",No,Version 1,Catholic,2.0,2.0,4.0,4.0,2.0,1.0,1.0,17-64,Suburb,60s Suburbs,Urban Perimeter,Upscale,44641.0,2.5861713886261
1224810.0,A few times a year,A few times a month/A few times a year,All others,Complete,1.0,4.0,2.0,Call 2,18.0,1.0,1.0,2.0,1.0,1.0,2.0,High school graduate,3.0,2.0,1.0,1.0,3.0,1.0,Less than 100k,Less than 50k,"$30,000-$49,999",1.0,2.0,1.0,1.0,No,Not so good,Not so good/Poor,1.0,Democrat,Non black Democrat,White Democrats,Democrat,Conservative,4.0,110.0,1.0,White,State questionnaire,White,3.0,2.0,Midwest,Something else,Something else,4.0,1.0,1.0,2.0,Male,Non black male,White men,White male,White male,"Cities 10,000-50,000",Small Cities/Rural,Ohio,2.0,Election day exit poll,2.0,5.0,2.0,3.0,1.0,1.0,Barack Obama did not,"Yes, someone else does",Yes,"Member in household, but not voter",No,Version 1,Something else,3.0,3.0,5.0,6.0,3.0,1.0,1.0,17-64,Suburb,Rural,Rural,Downscale,43701.0,0.76973819732666
1224807.0,Never,Never,Catholic/Do not attend weekly,Complete,1.0,2.0,1.0,Call 2,13.0,1.0,1.0,2.0,1.0,1.0,2.0,High school graduate,3.0,2.0,3.0,2.0,2.0,1.0,,,,1.0,2.0,1.0,1.0,No,Omit,Omit,1.0,Democrat,Non black Democrat,White Democrats,Democrat,Liberal,2.0,132.0,1.0,White,State questionnaire,White,3.0,2.0,Midwest,Catholic,Catholic,2.0,1.0,1.0,2.0,Female,Non black female,White women,White female,White female,"Cities 50,000-500,000","Cities over 50,000",Ohio,1.0,Election day exit poll,1.0,1.0,1.0,2.0,4.0,2.0,Barack Obama did not,"Yes, someone else does",Yes,"Member in household, but not voter",No,Version 1,Catholic,4.0,4.0,6.0,9.0,4.0,1.0,1.0,65+,High Density Urban,Urban,Urban Core,Downscale,44301.0,1.66410076618195
1224804.0,A few times a year,A few times a month/A few times a year,Protestant/Do not attend weekly,Complete,1.0,4.0,2.0,Call 2,12.0,1.0,1.0,2.0,1.0,1.0,2.0,High school graduate,1.0,1.0,3.0,2.0,3.0,1.0,Less than 100k,50k or more,"$75,000-$99,999",1.0,1.0,3.0,1.0,No,Poor,Not so good/Poor,1.0,Democrat,Non black Democrat,White Democrats,Democrat,Moderate,3.0,56.0,3.0,White,State questionnaire,White,3.0,2.0,Midwest,Protestant/Other Non-Catholic Christian,Protestant,1.0,1.0,3.0,1.0,Male,Non black male,White men,White male,White male,Suburbs,Suburbs,Ohio,2.0,Election day exit poll,2.0,5.0,2.0,2.0,4.0,2.0,Barack Obama did not,"Yes, I do",Yes,I am,Yes,Version 1,Protestant/Other Christian,3.0,3.0,4.0,5.0,3.0,1.0,1.0,17-64,Suburb,80s Suburbs,Urban Perimeter,Very upscale,43068.0,1.30780065059662
1227136.0,Never,Never,All others,Complete,1.0,2.0,1.0,Call 3,13.0,1.0,2.0,2.0,4.0,1.0,2.0,Some college or associate degree,2.0,1.0,3.0,2.0,2.0,2.0,Less than 100k,50k or more,"$50,000-$74,999",1.0,2.0,1.0,1.0,No,Poor,Not so good/Poor,1.0,Democrat,Non black Democrat,White Democrats,Democrat,Liberal,2.0,90.0,1.0,White,State questionnaire,White,2.0,1.0,Midwest,None,None,5.0,1.0,1.0,2.0,Female,Non black female,White women,White female,White female,Suburbs,Suburbs,Ohio,2.0,Election day exit poll,2.0,5.0,2.0,2.0,3.0,1.0,Barack Obama did,"Yes, someone else does",Yes,"Member in household, but not voter",No,Version 1,None,2.0,2.0,3.0,3.0,2.0,1.0,1.0,17-64,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very downscale,44055.0,0.916655421257019
1224801.0,More than once a week,More than once a week/Once a week,All others,Complete,1.0,1.0,1.0,Call 2,13.0,1.0,2.0,1.0,2.0,1.0,2.0,High school graduate,1.0,1.0,3.0,2.0,2.0,1.0,Less than 100k,Less than 50k,"$15,000-$29,999",1.0,2.0,1.0,1.0,Yes,Good,Excellent/Good,1.0,Independent/Something else,Non black non Democrat,Latino Independents,Independent,Moderate,3.0,90.0,3.0,White,State questionnaire,Hispanic/Latino,3.0,2.0,Midwest,Jewish,Jewish,9.0,1.0,1.0,2.0,Female,Non black female,Latino women,Non white female,Non white,Suburbs,Suburbs,Ohio,1.0,Election day exit poll,2.0,5.0,2.0,2.0,1.0,1.0,Barack Obama did not,"Yes, someone else does",Yes,"Member in household, but not voter",No,Version 1,Non-white,2.0,2.0,3.0,3.0,10.0,1.0,1.0,17-64,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very downscale,44055.0,0.916655421257019
