ID,AGE3,AGE60,AGE65,AGE9,ATTEND,ATTEND2,ATTREL,BACKSIDE,BCLIN3RD,BEATREP,BREAKDEM,BREAKDM2,BUSHANG08,BUSHANG2,CALL,CDNUM,CHIEFDEM,CHILD,COLLEDUC,DESCRIBPR,DPRS08,ECONWORR,ECOWORR2,EDUC,FAVBILL,FAVBILL2,FAVEDW,FAVEDW2,FAVHCLIN,FAVHCLN2,FAVOBAM,FAVOBAM2,FTEVER,FTPRIM,FTVOTEP,GEOCODE,GETAHEAD,GLOBWARM,HEALTHDEM,HONEST08,HSEDUC,INC100K,INC50K,INCOME07,IRAQKEEP,ISSIA08D,ISSVQUAL,LEADERD,MARCHILD,MARRIED,MARRIEDMOM,MOMS,NEC,NEC2,OVER65,PARENTS,PARTY,PARTYID,PHIL3,PHIL5,PRECINCT,PRSNH08D,QLTNH08D,QRACEAI,QTYPE,RACE,REGION,REGNHDEM,REL5,RELIGN8,RELWHITE,SEX,SEXRACE,SEXWED,SEXWHITE,SIZEPLAC,SIZEPLC3,STANUM,TELEPOLL,TERRWORR,TERWORR2,TIME3D,TIMEPR,TIMEWK,TOOSOON,UNFAIRDEM,UNION4,UNIONHH,UNIONMEM,UNIONVOT,UNITE,VERSION,WHITEREL,WOMENWED,WORK,WRKWOMEN,XAGE,XAGE60,XAGE65,XAGE9,XOVER65,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE,WEIGHT
469764.0,,,,,,,,Not complete,,,,,,,Call 2,1.0,,,,9.0,2.0,,,,,,,,,,,,,,,3.0,,,,,,,,,9.0,9.0,Omit,,,,,,Omit,Omit,,,,,,,56.0,2.0,9.0,,State questionnaire,,East,,,,,,,,,Suburbs,Suburbs,New Hampshire,Election day exit poll,,,9.0,9.0,9.0,,,,,,,,Version 2,,,,,,,,,,Suburb,80s Suburbs,Low-Growth Suburban Perimeter,Very upscale,3053.0,1.53623735904694
469707.0,60+,60+,65+,75 or over,,,,Not complete,,,,,,,Call 2,2.0,,,,9.0,2.0,,,,,,,,,,,,,,,3.0,,,,,,,,,9.0,9.0,Omit,,,,,,Omit,Omit,65+,,,,,,3.0,2.0,9.0,White,State questionnaire,White,East,,,,,Male,White male,,White male,Suburbs,Suburbs,New Hampshire,Election day exit poll,,,9.0,9.0,9.0,,,,,,,,Version 2,,,,,4.0,4.0,6.0,9.0,65+,Suburb,70s Suburbs,High-Growth Suburban Perimeter,Very upscale,3031.0,0.183526515960693
470623.0,30-59,45-59,50-64,50-59,,,,Not complete,,,,,,,Call 3,2.0,,,,9.0,8.0,,,,,,,,,,,,,,,3.0,,,,,,,,,9.0,9.0,Omit,,,,,,Omit,Omit,18-64,,,,,,3.0,7.0,9.0,White,State questionnaire,White,East,,,,,Female,White female,,White female,Suburbs,Suburbs,New Hampshire,Election day exit poll,,,9.0,9.0,9.0,,,,,,,,Version 2,,,,,3.0,3.0,5.0,6.0,17-64,Suburb,70s Suburbs,High-Growth Suburban Perimeter,Very upscale,3031.0,0.160507902503014
470300.0,18-29,18-29,25-29,25-29,,,,Not complete,,,,,,,Call 3,1.0,,,,3.0,8.0,,,,,,,,,,,,,,,3.0,,,,,,,,,1.0,3.0,My candidates position on the issues,,,,,,Not so good,Not so good/Poor,18-64,,,,,,29.0,7.0,2.0,White,State questionnaire,White,East,2.0,,,,Female,White female,,White female,Suburbs,Suburbs,New Hampshire,Election day exit poll,,,1.0,1.0,1.0,,,No one does,No,No,No,,Version 2,,,,,1.0,1.0,2.0,2.0,17-64,Low Density Rural,60s Suburbs,Low-Growth Suburban Perimeter,Very downscale,3835.0,0.847089290618896
469252.0,30-59,45-59,40-49,45-49,,,,Complete,1.0,,,,,,Call 2,2.0,,,1.0,3.0,2.0,2.0,1.0,Some college or associate degree,,,,,,,,,,,,3.0,2.0,1.0,1.0,,2.0,Less than 100k,50k or more,"$75,000-$99,999",2.0,1.0,My candidates position on the issues,,,,,,Not so good,Not so good/Poor,18-64,,Independent/Something else,Independent,Moderate,3.0,89.0,2.0,2.0,White,State questionnaire,White,East,2.0,,,,Female,White female,,White female,Rural,Small Cities/Rural,New Hampshire,Election day exit poll,Somewhat worried,Worried,1.0,1.0,1.0,1.0,5.0,"Yes, someone else does",Yes,"Member in household, but not voter",No,,Version 2,,,Yes,Working women,3.0,3.0,4.0,5.0,17-64,Low Density Rural,Rural,Rural,Very downscale,3263.0,0.842279016971588
468441.0,30-59,30-44,30-39,30-39,,,,Complete,2.0,,,,,,Call 1,1.0,,,1.0,3.0,2.0,1.0,1.0,High school graduate,,,,,,,,,,,,3.0,3.0,2.0,1.0,,1.0,Less than 100k,Less than 50k,"$30,000-$49,999",3.0,1.0,My candidates position on the issues,,,,,,Not so good,Not so good/Poor,18-64,,Republican,Republican,Moderate,3.0,104.0,2.0,3.0,White,State questionnaire,White,East,1.0,,,,Male,White male,,White male,Suburbs,Suburbs,New Hampshire,Election day exit poll,Somewhat worried,Worried,1.0,1.0,1.0,2.0,3.0,"Yes, I do",Yes,I am,Yes,,Version 2,,,Yes,All others,2.0,2.0,3.0,3.0,17-64,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Upscale,3873.0,0.930748701095581
468295.0,18-29,18-29,25-29,25-29,,,,Complete,1.0,,,,,,Call 1,2.0,,,2.0,3.0,2.0,2.0,1.0,College graduate,,,,,,,,,,,,3.0,1.0,1.0,1.0,,2.0,100k or more,50k or more,"$200,000 or more",2.0,1.0,My candidates position on the issues,,,,,,Excellent,Excellent/Good,18-64,,Democrat,Democrat,Moderate,3.0,42.0,2.0,3.0,White,State questionnaire,White,East,1.0,,,,Male,White male,,White male,Suburbs,Suburbs,New Hampshire,Election day exit poll,Somewhat worried,Worried,1.0,1.0,1.0,2.0,5.0,"Yes, I do",Yes,I am,Yes,,Version 2,,,Yes,All others,1.0,1.0,2.0,2.0,17-64,Suburb,70s Suburbs,High-Growth Suburban Perimeter,Very upscale,3049.0,0.987725734710693
468243.0,30-59,30-44,30-39,30-39,,,,Complete,2.0,,,,,,Call 1,2.0,,,1.0,3.0,2.0,1.0,1.0,High school graduate,,,,,,,,,,,,4.0,2.0,2.0,2.0,,1.0,Less than 100k,Less than 50k,"$30,000-$49,999",1.0,3.0,My candidates leadership/personal qualities,,,,,,Not so good,Not so good/Poor,18-64,,Independent/Something else,Independent,Moderate,3.0,55.0,2.0,1.0,White,State questionnaire,White,East,1.0,,,,Male,White male,,White male,Rural,Small Cities/Rural,New Hampshire,Election day exit poll,Somewhat worried,Worried,1.0,1.0,1.0,2.0,5.0,No one does,No,No,No,,Version 2,,,Yes,All others,2.0,2.0,3.0,3.0,17-64,Low Density Rural,Rural,Rural,Very downscale,3561.0,0.92609441280365
468148.0,60+,60+,65+,65-74,,,,Complete,2.0,,,,,,Call 1,2.0,,,1.0,3.0,2.0,1.0,1.0,High school graduate,,,,,,,,,,,,4.0,2.0,2.0,2.0,,1.0,,,,2.0,2.0,My candidates position on the issues,,,,,,Poor,Not so good/Poor,65+,,Democrat,Democrat,Conservative,4.0,33.0,2.0,1.0,White,State questionnaire,White,East,1.0,,,,Female,White female,,White female,Rural,Small Cities/Rural,New Hampshire,Election day exit poll,Somewhat worried,Worried,1.0,1.0,1.0,2.0,9.0,No one does,No,No,No,,Version 2,,,Yes,Working women,4.0,4.0,6.0,8.0,65+,Extremely Low Density Rural,Rural,Rural,Very downscale,3581.0,1.37294626235962
469695.0,18-29,18-29,25-29,25-29,,,,Complete,1.0,,,,,,Call 2,2.0,,,1.0,3.0,4.0,1.0,1.0,Some college or associate degree,,,,,,,,,,,,2.0,3.0,1.0,1.0,,2.0,Less than 100k,Less than 50k,"$15,000-$29,999",2.0,1.0,My candidates leadership/personal qualities,,,,,,Good,Excellent/Good,18-64,,Republican,Republican,Conservative,4.0,46.0,4.0,2.0,White,State questionnaire,White,East,2.0,,,,Female,White female,,White female,Rural,Small Cities/Rural,New Hampshire,Election day exit poll,Somewhat worried,Worried,1.0,1.0,1.0,2.0,2.0,No one does,No,No,No,,Version 2,,,No,All others,1.0,1.0,2.0,2.0,17-64,Low Density Rural,Rural,Rural,Downscale,3452.0,0.987846493721008
