ID,AGE3,AGE60,AGE65,AGE9,AGEBLACK,AGEBYRACE,ATTEND,ATTEND2,ATTREL,BACKSIDE,BEATREP2,BREAKDEM,BREAKDM2,CALL,CDNUM,CHIEFDEM2,CLRCLIN,CLROBAM,CLRPLAN,COLLEDUC,DPRS08,EDUC,FINWORRY,FINWRRY2,GENDISS,GENDISS2,GEOCODE,HSEDUC,INC100K,INC50K,INCOME07,INSPIRSC,INSPIRSO,INSPIRES,ISSIA08D,LATINO,NEC,NEC2,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PHIL3,PHIL5,PRECINCT,QLTNH08D,QRACEAI,QTYPE,RACE,RACEISS,RACEISS2,REGION,REL5,RELIGN8,RELWHITE,RIDPRS08,SATCLIN,SATISDEM,SATOBAM,SEX,SEXBLACK,SEXBYRACE,SEXRACE,SEXWHITE,SIZEPLAC,SIZEPLC3,STANUM,SUPERDEL,TELEPOLL,TIME3D,TIMEPR,TIMEWK,TRADE,UNFAIRSC,UNFRCLIN,UNFROBAM,UNION4,UNIONHH,UNIONMEM,UNIONVOT,VERSION,WHITEREL,XAGE,XAGE60,XAGE65,XAGE9,XAGEBYRACE,XBEATREP,XCHIEFDEM,XOVER65,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE,WEIGHT
1229053.0,,,,,,,,,,Not complete,9.0,9.0,9.0,Call 3,1.0,,9.0,9.0,9.0,,8.0,,3.0,2.0,,,1.0,,,,,,,,1.0,,Omit,Omit,,,,,,,,45.0,1.0,White,State questionnaire,White,,,East,,,,1.0,,,,Female,Non black female,White women,White female,White female,"Cities 50,000-500,000","Cities over 50,000",Rhode Island,,Election day exit poll,2.0,4.0,2.0,,9.0,9.0,Omit,,,,,Version 1,,,,,,,9.0,,,Extremely High Density Urban,Urban,Urban Core,Upscale,2906.0,0.676616072654724
1229079.0,,,,,,,,,,Not complete,9.0,9.0,9.0,Call 3,1.0,,9.0,9.0,9.0,,8.0,,1.0,1.0,,,1.0,,,,,,,,2.0,,Omit,Omit,,,,,,,,45.0,1.0,,State questionnaire,,,,East,,,,1.0,,,,Female,,,,,"Cities 50,000-500,000","Cities over 50,000",Rhode Island,,Election day exit poll,2.0,5.0,2.0,,9.0,9.0,Omit,,,,,Version 1,,,,,,,9.0,,,Extremely High Density Urban,Urban,Urban Core,Upscale,2906.0,0.607018947601318
1223025.0,,,,,,,,,,Not complete,9.0,9.0,9.0,Call 1,1.0,,9.0,9.0,9.0,,8.0,,9.0,9.0,,,1.0,,,,,,,,9.0,,Omit,Omit,,,,,,,,45.0,9.0,White,State questionnaire,White,,,East,,,,1.0,,,,Male,Non black male,White men,White male,White male,"Cities 50,000-500,000","Cities over 50,000",Rhode Island,,Election day exit poll,2.0,5.0,2.0,,9.0,9.0,Omit,,,,,Version 1,,,,,,,9.0,,,Extremely High Density Urban,Urban,Urban Core,Upscale,2906.0,0.802425980567932
1229254.0,30-59,45-59,50-64,50-59,Non black 45-59,White 45-59,,,,Not complete,9.0,2.0,1.0,Call 3,2.0,,2.0,2.0,4.0,,2.0,,1.0,1.0,,,2.0,,,,,,,,9.0,No,Not so good,Not so good/Poor,18-64,,,,,,,10.0,1.0,White,State questionnaire,White,,,East,,,,2.0,,,,Female,Non black female,White women,White female,White female,"Cities 50,000-500,000","Cities over 50,000",Rhode Island,,Election day exit poll,2.0,3.0,1.0,,4.0,2.0,Barack Obama did not,,,,,Version 1,,3.0,3.0,5.0,6.0,3.0,9.0,,17-64,High Density Urban,Urban,Urban Core,Downscale,2920.0,0.729143559932709
1229083.0,,,,,,,,,,Not complete,9.0,9.0,9.0,Call 3,1.0,,9.0,9.0,9.0,,2.0,,9.0,9.0,,,1.0,,,,,,,,9.0,,Omit,Omit,,,,,,,,45.0,9.0,White,State questionnaire,White,,,East,,,,2.0,,,,Male,Non black male,White men,White male,White male,"Cities 50,000-500,000","Cities over 50,000",Rhode Island,,Election day exit poll,1.0,2.0,1.0,,9.0,9.0,Omit,,,,,Version 1,,,,,,,9.0,,,Extremely High Density Urban,Urban,Urban Core,Upscale,2906.0,1.61405086517334
1226472.0,60+,60+,65+,75 or over,Non black 60+,White 60+,,,,Not complete,9.0,1.0,1.0,Call 2,2.0,,1.0,1.0,3.0,,2.0,,2.0,1.0,,,2.0,,,,,,,,1.0,No,Poor,Not so good/Poor,65+,,,,,,,10.0,1.0,White,State questionnaire,White,,,East,,,,2.0,,,,Female,Non black female,White women,White female,White female,"Cities 50,000-500,000","Cities over 50,000",Rhode Island,,Election day exit poll,2.0,5.0,2.0,,3.0,1.0,Barack Obama did,,,,,Version 1,,4.0,4.0,6.0,9.0,4.0,9.0,,65+,High Density Urban,Urban,Urban Core,Downscale,2920.0,0.82246345281601
1226143.0,60+,60+,65+,75 or over,Non black 60+,White 60+,,,,Not complete,9.0,9.0,9.0,Call 2,1.0,,9.0,9.0,9.0,,2.0,,9.0,9.0,,,3.0,,,,,,,,9.0,,Omit,Omit,65+,,,,,,,43.0,9.0,White,State questionnaire,White,,,East,,,,2.0,,,,Female,Non black female,White women,White female,White female,Rural,Small Cities/Rural,Rhode Island,,Election day exit poll,9.0,9.0,9.0,,9.0,9.0,Omit,,,,,Version 1,,4.0,4.0,6.0,9.0,4.0,9.0,,65+,Suburb,Rural,Rural,Very upscale,2871.0,0.975890338420868
1223073.0,30-59,45-59,50-64,50-59,Black 45-59,Black 45-59,,,,Not complete,9.0,1.0,1.0,Call 1,1.0,,1.0,1.0,3.0,,2.0,,2.0,1.0,,,1.0,,,,,,,,2.0,No,Omit,Omit,18-64,,,,,,,47.0,9.0,Black,State questionnaire,Black,,,East,,,,2.0,,,,Female,Black female,Black women,Non white female,Non white,"Cities 50,000-500,000","Cities over 50,000",Rhode Island,,Election day exit poll,2.0,5.0,2.0,,4.0,2.0,Barack Obama did not,,,,,Version 1,,3.0,3.0,5.0,6.0,7.0,9.0,,17-64,Extremely High Density Urban,Urban,Urban Core,Downscale,2918.0,1.39265537261963
1222588.0,,,,,,,,,,Not complete,9.0,1.0,1.0,Call 1,1.0,,9.0,9.0,9.0,,2.0,,9.0,9.0,,,3.0,,,,,,,,9.0,,Omit,Omit,,,,,,,,3.0,9.0,White,State questionnaire,White,,,East,,,,2.0,,,,,,,,Non white,Suburbs,Suburbs,Rhode Island,,Election day exit poll,2.0,5.0,2.0,,9.0,9.0,Omit,,,,,Version 1,,,,,,,9.0,,,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Upscale,2830.0,2.38937187194824
1229274.0,30-59,30-44,40-49,40-44,Black 30-44,Black 30-44,More than once a week,More than once a week/Once a week,All others,Complete,1.0,1.0,1.0,Call 3,1.0,2.0,2.0,1.0,2.0,1.0,8.0,High school graduate,1.0,1.0,1.0,1.0,1.0,1.0,Less than 100k,Less than 50k,"$15,000-$29,999",2.0,1.0,2.0,2.0,No,Poor,Not so good/Poor,18-64,Democrat,Black Democrat,Black Democrats,Democrat,Conservative,4.0,47.0,1.0,Black,State questionnaire,Black,3.0,2.0,East,None,None,9.0,1.0,2.0,2.0,1.0,Male,Black male,Black men,Non white male,Non white,"Cities 50,000-500,000","Cities over 50,000",Rhode Island,1.0,Election day exit poll,2.0,4.0,2.0,2.0,1.0,1.0,Barack Obama did not,No one does,No,No,No,Version 1,Non-white,2.0,2.0,4.0,4.0,6.0,1.0,2.0,17-64,Extremely High Density Urban,Urban,Urban Core,Downscale,2918.0,0.821096360683441
