ID,AGE3,BACKSIDE,BREAKCAU,BRNAGAIN,BUSHANG08,CALL,CDNUM,DESIA08R,GEOCODE,IAPARTYID,IARPRS08,INC100K,INC50K08,INCOME08,ISSIA08R,PHIL4R,PRECINCT,QLTIA08R,QRACE3,QTYPE,REGION,RPRS08,SEX,SHAREREL,SIZEPLAC,SIZEPLC3,STANUM,TELEPOLL,TIMECAU,VERSION,XAGE,XAGE6,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE,WEIGHT
439390.0,30-59,Complete,1.0,Yes,2.0,Call 3,5.0,2.0,3.0,2.0,5.0,Less than 100k,2.0,4.0,4.0,2.0,98.0,1.0,1.0,State questionnaire,Midwest,6.0,Male,2.0,Rural,Small Cities/Rural, Iowa,Election day exit poll,2.0,Version 1,3.0,4.0,Extremely Low Density Rural,Rural,Rural,Downscale,51247.0,5.70372152328491
439641.0,30-59,Complete,1.0,Yes,2.0,Call 3,5.0,2.0,3.0,2.0,5.0,Less than 100k,2.0,4.0,4.0,1.0,98.0,2.0,1.0,State questionnaire,Midwest,6.0,Male,1.0,Rural,Small Cities/Rural, Iowa,Election day exit poll,1.0,Version 1,3.0,4.0,Extremely Low Density Rural,Rural,Rural,Downscale,51247.0,5.70372152328491
439428.0,60+,Complete,2.0,Yes,2.0,Call 3,5.0,2.0,3.0,2.0,7.0,,,,3.0,1.0,98.0,9.0,1.0,State questionnaire,Midwest,9.0,Male,1.0,Rural,Small Cities/Rural, Iowa,Election day exit poll,2.0,Version 1,3.0,5.0,Extremely Low Density Rural,Rural,Rural,Downscale,51247.0,4.90167999267578
439647.0,60+,Complete,2.0,Yes,2.0,Call 2,4.0,2.0,3.0,2.0,5.0,,,,1.0,1.0,37.0,2.0,1.0,State questionnaire,Midwest,6.0,Female,1.0,Rural,Small Cities/Rural, Iowa,Election day exit poll,5.0,Version 1,4.0,6.0,Extremely Low Density Rural,Rural,Rural,Very downscale,50447.0,4.81825017929077
439493.0,18-29,Complete,1.0,Yes,1.0,Call 3,5.0,1.0,3.0,2.0,6.0,Less than 100k,1.0,3.0,1.0,1.0,98.0,1.0,1.0,State questionnaire,Midwest,7.0,Male,2.0,Rural,Small Cities/Rural, Iowa,Election day exit poll,2.0,Version 1,1.0,2.0,Extremely Low Density Rural,Rural,Rural,Downscale,51247.0,4.4562406539917
437740.0,30-59,Complete,1.0,No,2.0,Call 3,4.0,2.0,1.0,2.0,5.0,Less than 100k,2.0,4.0,1.0,1.0,113.0,1.0,1.0,State questionnaire,Midwest,6.0,,4.0,"Cities 10,000-50,000",Small Cities/Rural, Iowa,Election day exit poll,1.0,Version 1,3.0,4.0,Low Density Rural,Rural,Rural,Downscale,50501.0,4.36359357833862
437542.0,30-59,Complete,1.0,No,2.0,Call 3,4.0,2.0,1.0,2.0,4.0,Less than 100k,1.0,3.0,2.0,1.0,113.0,1.0,1.0,State questionnaire,Midwest,4.0,Male,2.0,"Cities 10,000-50,000",Small Cities/Rural, Iowa,Election day exit poll,5.0,Version 1,3.0,4.0,Low Density Rural,Rural,Rural,Downscale,50501.0,4.32932329177856
437272.0,60+,Complete,1.0,Yes,3.0,Call 2,4.0,1.0,1.0,1.0,4.0,Less than 100k,1.0,3.0,4.0,1.0,113.0,2.0,1.0,State questionnaire,Midwest,4.0,Female,1.0,"Cities 10,000-50,000",Small Cities/Rural, Iowa,Election day exit poll,1.0,Version 1,3.0,5.0,Low Density Rural,Rural,Rural,Downscale,50501.0,4.32932329177856
436751.0,30-59,Complete,1.0,Yes,3.0,Call 1,4.0,2.0,1.0,2.0,4.0,100k or more,2.0,6.0,1.0,2.0,113.0,3.0,1.0,State questionnaire,Midwest,4.0,Male,1.0,"Cities 10,000-50,000",Small Cities/Rural, Iowa,Election day exit poll,2.0,Version 1,3.0,4.0,Low Density Rural,Rural,Rural,Downscale,50501.0,4.32932329177856
437238.0,30-59,Complete,2.0,No,3.0,Call 2,4.0,3.0,1.0,3.0,4.0,Less than 100k,1.0,3.0,4.0,3.0,113.0,3.0,1.0,State questionnaire,Midwest,4.0,Female,3.0,"Cities 10,000-50,000",Small Cities/Rural, Iowa,Election day exit poll,2.0,Version 1,2.0,3.0,Low Density Rural,Rural,Rural,Downscale,50501.0,4.32932329177856
439409.0,18-29,Complete,1.0,No,2.0,Call 3,5.0,2.0,3.0,2.0,6.0,Less than 100k,1.0,1.0,4.0,1.0,98.0,2.0,1.0,State questionnaire,Midwest,7.0,Female,2.0,Rural,Small Cities/Rural, Iowa,Election day exit poll,2.0,Version 1,1.0,1.0,Extremely Low Density Rural,Rural,Rural,Downscale,51247.0,4.30558919906616
437713.0,30-59,Complete,2.0,Yes,2.0,Call 3,4.0,1.0,1.0,2.0,2.0,100k or more,2.0,6.0,1.0,1.0,113.0,1.0,1.0,State questionnaire,Midwest,2.0,Female,2.0,"Cities 10,000-50,000",Small Cities/Rural, Iowa,Election day exit poll,4.0,Version 1,3.0,4.0,Low Density Rural,Rural,Rural,Downscale,50501.0,4.29297637939453
437607.0,30-59,Complete,2.0,Yes,1.0,Call 3,4.0,1.0,1.0,2.0,2.0,100k or more,2.0,6.0,1.0,1.0,113.0,2.0,1.0,State questionnaire,Midwest,2.0,Male,1.0,"Cities 10,000-50,000",Small Cities/Rural, Iowa,Election day exit poll,5.0,Version 1,2.0,3.0,Low Density Rural,Rural,Rural,Downscale,50501.0,4.29297637939453
437506.0,30-59,Complete,1.0,Yes,1.0,Call 3,4.0,1.0,1.0,2.0,2.0,Less than 100k,2.0,4.0,1.0,2.0,113.0,3.0,1.0,State questionnaire,Midwest,2.0,Female,2.0,"Cities 10,000-50,000",Small Cities/Rural, Iowa,Election day exit poll,4.0,Version 1,3.0,4.0,Low Density Rural,Rural,Rural,Downscale,50501.0,4.29297637939453
437473.0,30-59,Complete,2.0,Yes,1.0,Call 3,4.0,1.0,1.0,2.0,2.0,,,,1.0,1.0,113.0,1.0,1.0,State questionnaire,Midwest,2.0,Female,1.0,"Cities 10,000-50,000",Small Cities/Rural, Iowa,Election day exit poll,5.0,Version 1,3.0,4.0,Low Density Rural,Rural,Rural,Downscale,50501.0,4.29297637939453
437290.0,30-59,Complete,4.0,Yes,2.0,Call 2,4.0,1.0,1.0,3.0,2.0,Less than 100k,1.0,3.0,1.0,2.0,113.0,1.0,1.0,State questionnaire,Midwest,2.0,Male,2.0,"Cities 10,000-50,000",Small Cities/Rural, Iowa,Election day exit poll,5.0,Version 1,2.0,3.0,Low Density Rural,Rural,Rural,Downscale,50501.0,4.29297637939453
