ID,AGE3,ATTEND,ATTEND2,ATTREL,BACKSIDE,BEATMCCN,BREAKDEM,BREAKDM2,CALL,CDNUM,CLINASVP,CLINVSMCCN,COLLEDUC,DPRS08,EDUC,GASTAX,GENDISS,GENDISS2,GENDISS4,GEOCODE,HONESTCLIN,HONESTDEM,HONESTOBAM,HSEDUC,INC100K,INC50K,INCOME07,ISSIA08D,KYDPRS08,OBAMAASVP,OBAMVSMCCN,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PHIL3,PHIL5,PRECINCT,QLTNH08D,QRACEAI,QTYPE,RACE,RACEISS,RACEISS2,RACEISS5,RECESS08,RECSS082,REGION,REL5,RELIGN8,RELWHITE,REVWRIGHT,RVWRGHT2,SATCLIN,SATISDEM,SATOBAM,SEX,SEXBLACK,SEXBYRACE,SEXRACE,SEXWHITE,SHARECLIN,SHAREOBAM,SHAREVAL,SIZEPLAC,SIZEPLC3,STANUM,TELEPOLL,TIME3D,TIMEPR,TIMEWK,UNFAIRSC,UNFRCLIN,UNFROBAM,VERSION,WHITEREL,WINNOM,XAGE,XAGE60,XAGE65,XAGE9,XAGEBYRACE,XBEATREP,XOVER65,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE,WEIGHT
3695425.0,60+,,,,Not complete,9.0,4.0,2.0,Call 2,3.0,,,,2.0,,1.0,,,,1.0,2.0,4.0,2.0,,,,,2.0,1.0,,,,,,,,,50.0,3.0,White,State questionnaire,White,,,,3.0,2.0,South,,,,,,2.0,4.0,2.0,Female,Non black female,White women,White female,White female,2.0,2.0,4.0,"Cities 50,000-500,000","Cities over 50,000",Kentucky,Election day exit poll,2.0,5.0,2.0,,,,Version 1,,,3.0,4.0,5.0,7.0,4.0,9.0,17-64,Suburb,Urban,Urban Core,Upscale,40214.0,1.55889177322388
3695413.0,30-59,,,,Not complete,1.0,3.0,2.0,Call 2,6.0,,,,2.0,,1.0,,,,5.0,1.0,1.0,2.0,,,,,3.0,1.0,,,,,,,,,28.0,1.0,White,State questionnaire,White,,,,1.0,1.0,South,,,,,,1.0,1.0,2.0,Female,Non black female,White women,White female,White female,1.0,2.0,1.0,Rural,Small Cities/Rural,Kentucky,Election day exit poll,2.0,5.0,2.0,,,,Version 1,,,3.0,3.0,5.0,6.0,3.0,1.0,17-64,Low Density Rural,Rural,Rural,Very downscale,41635.0,0.691809296607971
3695404.0,60+,,,,Not complete,1.0,2.0,1.0,Call 2,3.0,,,,2.0,,2.0,,,,1.0,1.0,1.0,2.0,,,,,3.0,1.0,,,,,,,,,50.0,1.0,,State questionnaire,,,,,2.0,1.0,South,,,,,,9.0,9.0,9.0,,,,,,1.0,2.0,1.0,"Cities 50,000-500,000","Cities over 50,000",Kentucky,Election day exit poll,1.0,1.0,1.0,,,,Version 1,,,4.0,4.0,6.0,9.0,,1.0,65+,Suburb,Urban,Urban Core,Upscale,40214.0,1.28006458282471
3695402.0,30-59,,,,Not complete,1.0,4.0,2.0,Call 2,5.0,,,,2.0,,2.0,,,,5.0,1.0,1.0,2.0,,,,,1.0,1.0,,,,,,,,,89.0,4.0,White,State questionnaire,White,,,,2.0,1.0,South,,,,,,1.0,1.0,2.0,Male,Non black male,White men,White male,White male,1.0,2.0,1.0,Rural,Small Cities/Rural,Kentucky,Election day exit poll,2.0,5.0,2.0,,,,Version 1,,,3.0,3.0,5.0,6.0,3.0,1.0,17-64,Low Density Rural,Rural,Rural,Very downscale,41562.0,0.868981540203094
3695396.0,30-59,,,,Not complete,2.0,3.0,2.0,Call 2,3.0,,,,2.0,,2.0,,,,1.0,1.0,3.0,1.0,,,,,1.0,1.0,,,,,,,,,50.0,3.0,Black,State questionnaire,Black,,,,2.0,1.0,South,,,,,,1.0,3.0,1.0,Female,Black female,Black women,Non white female,Non white,1.0,1.0,3.0,"Cities 50,000-500,000","Cities over 50,000",Kentucky,Election day exit poll,1.0,1.0,1.0,,,,Version 1,,,2.0,2.0,3.0,3.0,6.0,2.0,17-64,Suburb,Urban,Urban Core,Upscale,40214.0,0.763105034828186
3695376.0,60+,,,,Not complete,1.0,3.0,2.0,Call 2,5.0,,,,2.0,,9.0,,,,5.0,1.0,3.0,1.0,,,,,1.0,1.0,,,,,,,,,66.0,3.0,White,State questionnaire,White,,,,1.0,1.0,South,,,,,,1.0,1.0,2.0,Male,Non black male,White men,White male,White male,1.0,1.0,3.0,Rural,Small Cities/Rural,Kentucky,Election day exit poll,2.0,5.0,2.0,,,,Version 1,,,4.0,4.0,6.0,8.0,4.0,1.0,65+,Low Density Rural,Rural,Rural,Downscale,41844.0,1.53966426849365
3695367.0,60+,,,,Not complete,1.0,4.0,2.0,Call 2,5.0,,,,2.0,,9.0,,,,5.0,1.0,1.0,2.0,,,,,1.0,1.0,,,,,,,,,89.0,9.0,White,State questionnaire,White,,,,2.0,1.0,South,,,,,,1.0,1.0,2.0,Male,Non black male,White men,White male,White male,1.0,2.0,1.0,Rural,Small Cities/Rural,Kentucky,Election day exit poll,2.0,5.0,2.0,,,,Version 1,,,4.0,4.0,6.0,8.0,4.0,1.0,65+,Low Density Rural,Rural,Rural,Very downscale,41562.0,1.22602903842926
3695364.0,60+,,,,Not complete,1.0,4.0,2.0,Call 2,5.0,,,,2.0,,2.0,,,,5.0,1.0,1.0,2.0,,,,,3.0,1.0,,,,,,,,,89.0,4.0,White,State questionnaire,White,,,,1.0,1.0,South,,,,,,1.0,1.0,2.0,,,,,Non white,1.0,2.0,1.0,Rural,Small Cities/Rural,Kentucky,Election day exit poll,2.0,5.0,2.0,,,,Version 1,,,3.0,4.0,5.0,7.0,4.0,1.0,17-64,Low Density Rural,Rural,Rural,Very downscale,41562.0,1.14410126209259
3695355.0,30-59,,,,Not complete,1.0,4.0,2.0,Call 2,5.0,,,,2.0,,1.0,,,,5.0,1.0,1.0,2.0,,,,,3.0,1.0,,,,,,,,,89.0,4.0,White,State questionnaire,White,,,,2.0,1.0,South,,,,,,1.0,1.0,2.0,Female,Non black female,White women,White female,White female,1.0,2.0,1.0,Rural,Small Cities/Rural,Kentucky,Election day exit poll,2.0,5.0,2.0,,,,Version 1,,,3.0,3.0,5.0,6.0,3.0,1.0,17-64,Low Density Rural,Rural,Rural,Very downscale,41562.0,0.781488299369812
3695161.0,60+,,,,Not complete,1.0,2.0,1.0,Call 1,1.0,,,,2.0,,2.0,,,,2.0,1.0,3.0,1.0,,,,,1.0,1.0,,,,,,,,,82.0,2.0,White,State questionnaire,White,,,,2.0,1.0,South,,,,,,1.0,3.0,1.0,Female,Non black female,White women,White female,White female,1.0,2.0,1.0,Rural,Small Cities/Rural,Kentucky,Election day exit poll,2.0,5.0,2.0,,,,Version 1,,,3.0,4.0,5.0,7.0,4.0,1.0,17-64,Low Density Rural,Rural,Rural,Downscale,42345.0,1.29036211967468
