ID,@2NDIAD08,AGE3,BACKSIDE,BREAKCAU,CALL,CDNUM,DPRS08,GEOCODE,IADPRS08,IAPARTYID,INC100K,INC50K08,INCOME08,ISSIA08D,MARRIED,PHIL3,PHIL4,PRECINCT,PREVCAUC,QLTIA08D,QRACE3,QTYPE,REGION,SEX,SEXWED,SIZEPLAC,SIZEPLC3,STANUM,TELEPOLL,TIMECAU,UNION2,VERSION,WOMENWED,XAGE,XAGE6,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE,WEIGHT
439667.0,5.0,18-29,Complete,2.0,Call 3,3.0,0.0,1.0,0.0,1.0,Less than 100k,2.0,4.0,1.0,No,Liberal,1.0,73.0,1.0,3.0,1.0,State questionnaire,Midwest,Female,Non-married women,"Cities 50,000-500,000","Cities over 50,000", Iowa,Election day exit poll,5.0,1.0,Version 1,2.0,1.0,1.0,High Density Urban,Urban,Urban Core,Upscale,50311.0,1.03758239746094
439637.0,3.0,18-29,Complete,1.0,Call 3,3.0,0.0,1.0,0.0,1.0,Less than 100k,1.0,3.0,1.0,No,Liberal,1.0,73.0,2.0,1.0,3.0,State questionnaire,Midwest,Female,Non-married women,"Cities 50,000-500,000","Cities over 50,000", Iowa,Election day exit poll,3.0,1.0,Version 1,2.0,1.0,1.0,High Density Urban,Urban,Urban Core,Upscale,50311.0,0.8593430519104
436419.0,9.0,30-59,Complete,1.0,Call 1,1.0,0.0,2.0,0.0,2.0,Less than 100k,1.0,3.0,3.0,Yes,Liberal,1.0,96.0,1.0,1.0,1.0,State questionnaire,Midwest,Male,Married men,"Cities 50,000-500,000","Cities over 50,000", Iowa,Election day exit poll,5.0,2.0,Version 1,2.0,3.0,4.0,Suburb,Urban,Urban Core,Upscale,52806.0,0.406575322151184
437465.0,5.0,30-59,Complete,2.0,Call 3,3.0,1.0,1.0,1.0,1.0,,,,1.0,Yes,Moderate,3.0,67.0,1.0,3.0,1.0,State questionnaire,Midwest,Male,Married men,Suburbs,Suburbs, Iowa,Election day exit poll,5.0,2.0,Version 1,2.0,3.0,4.0,Suburb,70s Suburbs,Urban Perimeter,Very upscale,50009.0,1.56520390510559
437434.0,9.0,60+,Complete,1.0,Call 3,3.0,1.0,1.0,1.0,1.0,Less than 100k,2.0,4.0,2.0,Yes,Moderate,3.0,67.0,1.0,1.0,1.0,State questionnaire,Midwest,Male,Married men,Suburbs,Suburbs, Iowa,Election day exit poll,5.0,1.0,Version 1,2.0,3.0,5.0,Suburb,70s Suburbs,Urban Perimeter,Very upscale,50009.0,1.51317346096039
437418.0,2.0,30-59,Complete,2.0,Call 3,3.0,1.0,1.0,1.0,1.0,Less than 100k,1.0,3.0,1.0,Yes,Moderate,3.0,67.0,1.0,3.0,1.0,State questionnaire,Midwest,Female,Married women,Suburbs,Suburbs, Iowa,Election day exit poll,4.0,2.0,Version 1,1.0,3.0,4.0,Suburb,70s Suburbs,Urban Perimeter,Very upscale,50009.0,1.32440054416656
437278.0,2.0,60+,Complete,1.0,Call 2,1.0,1.0,2.0,1.0,1.0,Less than 100k,1.0,1.0,9.0,Yes,Liberal,2.0,95.0,1.0,3.0,1.0,State questionnaire,Midwest,Male,Married men,"Cities 50,000-500,000","Cities over 50,000", Iowa,Election day exit poll,4.0,1.0,Version 1,2.0,4.0,6.0,Suburb,Urban,Urban Core,Upscale,52806.0,1.38335287570953
437201.0,1.0,30-59,Complete,1.0,Call 2,4.0,1.0,1.0,1.0,1.0,100k or more,2.0,6.0,2.0,Yes,Liberal,2.0,100.0,1.0,3.0,1.0,State questionnaire,Midwest,Male,Married men,"Cities 50,000-500,000","Cities over 50,000", Iowa,Election day exit poll,4.0,2.0,Version 1,2.0,3.0,4.0,Suburb,Urban,Urban Core,Very upscale,50011.0,1.139004945755
437110.0,5.0,60+,Complete,1.0,Call 1,5.0,1.0,3.0,1.0,1.0,Less than 100k,1.0,3.0,2.0,Yes,Liberal,2.0,117.0,1.0,3.0,1.0,State questionnaire,Midwest,Female,Married women,Suburbs,Suburbs, Iowa,Election day exit poll,5.0,2.0,Version 1,1.0,3.0,5.0,Extremely Low Density Rural,60s Suburbs,High-Growth Suburban Perimeter,Downscale,51039.0,2.00749349594116
437009.0,3.0,60+,Complete,1.0,Call 2,4.0,1.0,1.0,1.0,1.0,,,,2.0,Yes,Moderate,3.0,100.0,2.0,3.0,1.0,State questionnaire,Midwest,Female,Married women,"Cities 50,000-500,000","Cities over 50,000", Iowa,Election day exit poll,2.0,2.0,Version 1,1.0,4.0,6.0,Suburb,Urban,Urban Core,Very upscale,50011.0,0.931733787059784
437007.0,5.0,30-59,Complete,1.0,Call 2,5.0,1.0,3.0,1.0,1.0,Less than 100k,2.0,5.0,2.0,Yes,Moderate,3.0,17.0,2.0,4.0,1.0,State questionnaire,Midwest,Male,Married men,Rural,Small Cities/Rural, Iowa,Election day exit poll,1.0,2.0,Version 1,2.0,3.0,4.0,Low Density Rural,Rural,Rural,Upscale,51401.0,0.791756629943848
436950.0,6.0,60+,Complete,2.0,Call 2,5.0,1.0,3.0,1.0,1.0,,,,1.0,No,Moderate,3.0,66.0,2.0,1.0,1.0,State questionnaire,Midwest,Female,Non-married women,Rural,Small Cities/Rural, Iowa,Election day exit poll,1.0,2.0,Version 1,2.0,4.0,6.0,Extremely Low Density Rural,Rural,Rural,Downscale,51050.0,0.580385208129883
436948.0,1.0,30-59,Complete,1.0,Call 3,2.0,1.0,2.0,1.0,1.0,Less than 100k,1.0,3.0,2.0,No,Moderate,3.0,53.0,2.0,3.0,1.0,State questionnaire,Midwest,Female,Non-married women,"Cities 50,000-500,000","Cities over 50,000", Iowa,Election day exit poll,5.0,2.0,Version 1,2.0,2.0,3.0,Suburb,Urban,Urban Core,Upscale,52404.0,0.989152669906616
436925.0,5.0,18-29,Complete,1.0,Call 2,3.0,1.0,1.0,1.0,1.0,Less than 100k,2.0,4.0,1.0,Yes,Liberal,2.0,70.0,1.0,1.0,1.0,State questionnaire,Midwest,Female,Married women,"Cities 50,000-500,000","Cities over 50,000", Iowa,Election day exit poll,5.0,2.0,Version 1,1.0,1.0,1.0,High Density Urban,Urban,Urban Core,Very upscale,50310.0,1.05334830284119
