ID,AGE3,AGE60,AGE65,AGE9,AGEBLACK,ATTEND,ATTEND2,ATTREL,BACKSIDE,BREAKDEM,BREAKDM2,CALL,CDNUM,CHIEFDSC,COLLEDUC,CUBAN3,CUBAN3S,DPRS08,EDUC,FLDPRS08,GEOCODE,HSEDUC,INC100K,INC50K,INCOME07,IRAQKEEP,ISSIA08D,ISSVQUAL,MARRIED,NEC,NEC2,OVER65,PARTY,PARTYBLACK,PARTYID,PHIL3,PHIL5,PRECINCT,QLTNH08D,QRACEAI,QTYPE,RACE,READYBLACK,RDYBLCK2,READYWOMAN,RDYWMN2,REGION,REL5,RELIGN8,RELWHITE,SATCLIN2,SATISCLIN,SATISOBAM,SATOBAM2,SEX,SEXBLACK,SEXRACE,SEXWED,SEXWHITE,SIZEPLAC,SIZEPLC3,SPANISHQ,STANUM,TELEPOLL,TIME3D,TIME3DAB,TIMEPR,TIMEPRAB,TIMEWK,TIMEWKAB,UNFAIRSC,UNFRCLIN,UNFROBAM,UNITESC,VERSION,WHITEREL,WOMENWED,XAGE,XAGE60,XAGE65,XAGE9,XOVER65,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE,WEIGHT
698498.0,30-59,45-59,40-49,45-49,Black 45-59,More than once a week,More than once a week/Once a week,All others,Complete,,,,8.0,4.0,1.0,3.0,3.0,8.0,Did not complete high school,4.0,5.0,1.0,Less than 100k,Less than 50k,"$15,000-$29,999",1.0,2.0,My candidates position on the issues,No,Poor,Not so good/Poor,18-64,Democrat,Black Democrat,Democrat,Liberal,2.0,,1.0,Black,State questionnaire,Black,1.0,1.0,1.0,1.0,South,Protestant/Other Non-Catholic Christian,Other Christian,9.0,1.0,1.0,1.0,1.0,Female,Black female,Non white female,Non-married women,Non white,Suburbs,Suburbs,English,Florida,Telephone survey,9.0,3.0,9.0,6.0,9.0,3.0,3.0,1.0,Barack Obama did,4.0,Version 1,Non-white,2.0,3.0,3.0,4.0,5.0,17-64,Town,80s Suburbs,Urban Perimeter,Downscale,34472.0,1.56368100643158
698414.0,60+,60+,65+,75 or over,Non black 60+,Once a week,More than once a week/Once a week,Catholic/Attend weekly,Complete,,,,8.0,1.0,1.0,3.0,3.0,2.0,High school graduate,1.0,5.0,1.0,,,,1.0,3.0,Omit,No,Poor,Not so good/Poor,65+,Democrat,Non black Democrat,Democrat,Moderate,3.0,,9.0,White,State questionnaire,White,2.0,1.0,2.0,1.0,South,Catholic,Catholic,2.0,1.0,2.0,2.0,1.0,Female,Non black female,White female,Non-married women,White female,Suburbs,Suburbs,English,Florida,Telephone survey,9.0,3.0,9.0,6.0,9.0,3.0,3.0,1.0,Barack Obama did,2.0,Version 1,Catholic,2.0,4.0,4.0,6.0,9.0,65+,Town,80s Suburbs,Urban Perimeter,Downscale,34472.0,0.332361221313477
698333.0,60+,60+,50-64,60-64,Non black 60+,A few times a month,A few times a month/A few times a year,Protestant/Do not attend weekly,Complete,,,,7.0,1.0,1.0,,,2.0,Some college or associate degree,1.0,5.0,2.0,Less than 100k,Less than 50k,"$15,000-$29,999",1.0,1.0,My candidates position on the issues,No,Not so good,Not so good/Poor,18-64,Democrat,Non black Democrat,Democrat,Liberal,1.0,,2.0,White,State questionnaire,White,4.0,2.0,1.0,1.0,South,Protestant/Other Non-Catholic Christian,Protestant,1.0,1.0,1.0,4.0,2.0,Female,Non black female,White female,Non-married women,White female,"Cities 10,000-50,000",Small Cities/Rural,,Florida,Telephone survey,9.0,3.0,9.0,6.0,9.0,3.0,3.0,1.0,Barack Obama did,1.0,Version 1,Protestant/Other Christian,2.0,3.0,4.0,5.0,7.0,17-64,Low Density Rural,Rural,Rural,Very downscale,32177.0,0.331685155630112
698522.0,60+,60+,65+,65-74,Black 60+,Once a week,More than once a week/Once a week,Protestant/Attend weekly,Complete,,,,7.0,1.0,1.0,3.0,3.0,2.0,High school graduate,1.0,5.0,1.0,,,,1.0,1.0,My candidates position on the issues,Yes,Not so good,Not so good/Poor,65+,Democrat,Black Democrat,Democrat,Moderate,3.0,,1.0,Black,State questionnaire,Black,2.0,1.0,1.0,1.0,South,Protestant/Other Non-Catholic Christian,Protestant,9.0,1.0,1.0,2.0,1.0,Female,Black female,Non white female,Married women,Non white,"Cities 10,000-50,000",Small Cities/Rural,English,Florida,Telephone survey,9.0,3.0,9.0,6.0,9.0,3.0,4.0,2.0,Barack Obama did not,1.0,Version 1,Non-white,1.0,4.0,4.0,6.0,8.0,65+,Low Density Rural,Rural,Rural,Upscale,32137.0,2.25711822509766
698431.0,30-59,45-59,50-64,50-59,Black 45-59,Once a week,More than once a week/Once a week,All others,Complete,,,,7.0,1.0,1.0,3.0,3.0,2.0,Did not complete high school,1.0,5.0,1.0,Less than 100k,Less than 50k,"Under $15,000",1.0,1.0,My candidates leadership/personal qualities,Yes,Poor,Not so good/Poor,18-64,Democrat,Black Democrat,Democrat,Conservative,5.0,,2.0,Black,State questionnaire,Black,3.0,2.0,3.0,2.0,South,Protestant/Other Non-Catholic Christian,Other Christian,9.0,1.0,1.0,2.0,1.0,Female,Black female,Non white female,Married women,Non white,Suburbs,Suburbs,English,Florida,Telephone survey,9.0,3.0,9.0,6.0,9.0,3.0,3.0,1.0,Barack Obama did,1.0,Version 1,Non-white,1.0,3.0,3.0,5.0,6.0,17-64,Extremely Low Density Rural,80s Suburbs,High-Growth Suburban Perimeter,Downscale,32092.0,2.09228253364563
698322.0,60+,60+,50-64,60-64,Non black 60+,A few times a year,A few times a month/A few times a year,Protestant/Do not attend weekly,Complete,,,,7.0,1.0,2.0,3.0,3.0,2.0,Postgraduate study,1.0,5.0,2.0,100k or more,50k or more,"$100,000-$149,999",2.0,1.0,My candidates position on the issues,Yes,Not so good,Not so good/Poor,18-64,Democrat,Non black Democrat,Democrat,Moderate,3.0,,3.0,White,State questionnaire,White,4.0,2.0,1.0,1.0,South,Protestant/Other Non-Catholic Christian,Protestant,1.0,1.0,1.0,4.0,2.0,Male,Non black male,White male,Married men,White male,Suburbs,Suburbs,English,Florida,Telephone survey,9.0,3.0,9.0,6.0,9.0,3.0,3.0,1.0,Barack Obama did,1.0,Version 1,Protestant/Other Christian,2.0,3.0,4.0,5.0,7.0,17-64,Suburb,80s Suburbs,Urban Perimeter,Very upscale,32259.0,1.33229994773865
698325.0,30-59,45-59,50-64,50-59,Non black 45-59,Never,Never,All others,Complete,,,,6.0,1.0,1.0,3.0,3.0,2.0,Some college or associate degree,1.0,5.0,2.0,Less than 100k,Less than 50k,"Under $15,000",2.0,1.0,My candidates position on the issues,No,Poor,Not so good/Poor,18-64,Democrat,Non black Democrat,Democrat,Liberal,2.0,,1.0,White,State questionnaire,White,2.0,1.0,2.0,1.0,South,None,None,5.0,1.0,1.0,2.0,1.0,Female,Non black female,White female,Non-married women,White female,"Cities 10,000-50,000",Small Cities/Rural,English,Florida,Telephone survey,9.0,3.0,9.0,6.0,9.0,3.0,4.0,2.0,Barack Obama did not,1.0,Version 1,None,2.0,3.0,3.0,5.0,6.0,17-64,Town,Rural,Rural,Downscale,34476.0,0.394289076328278
698449.0,30-59,45-59,40-49,45-49,Non black 45-59,Once a week,More than once a week/Once a week,All others,Complete,,,,6.0,1.0,1.0,3.0,3.0,2.0,High school graduate,1.0,5.0,1.0,100k or more,50k or more,"$100,000-$149,999",2.0,1.0,My candidates leadership/personal qualities,Yes,Poor,Not so good/Poor,18-64,Democrat,Non black Democrat,Democrat,Liberal,1.0,,4.0,White,State questionnaire,White,2.0,1.0,1.0,1.0,South,Protestant/Other Non-Catholic Christian,Other Christian,1.0,1.0,1.0,9.0,9.0,Female,Non black female,White female,Married women,White female,Suburbs,Suburbs,English,Florida,Telephone survey,9.0,3.0,9.0,6.0,9.0,3.0,3.0,1.0,Barack Obama did,1.0,Version 1,Protestant/Other Christian,1.0,3.0,3.0,4.0,5.0,17-64,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Downscale,32068.0,4.91939878463745
698294.0,60+,60+,65+,65-74,Non black 60+,Never,Never,Protestant/Do not attend weekly,Complete,,,,6.0,1.0,2.0,3.0,3.0,2.0,Postgraduate study,1.0,5.0,2.0,,,,1.0,1.0,My candidates position on the issues,No,Poor,Not so good/Poor,65+,Democrat,Non black Democrat,Democrat,Liberal,2.0,,3.0,White,State questionnaire,White,2.0,1.0,2.0,1.0,South,Protestant/Other Non-Catholic Christian,Protestant,1.0,1.0,1.0,2.0,1.0,Female,Non black female,White female,Non-married women,White female,Suburbs,Suburbs,English,Florida,Telephone survey,9.0,3.0,9.0,6.0,9.0,3.0,3.0,1.0,Barack Obama did,1.0,Version 1,Protestant/Other Christian,2.0,4.0,4.0,6.0,8.0,65+,Low Density Rural,80s Suburbs,Urban Perimeter,Very downscale,34482.0,0.336546421051025
698276.0,60+,60+,65+,65-74,Non black 60+,A few times a year,A few times a month/A few times a year,Protestant/Do not attend weekly,Complete,,,,6.0,1.0,2.0,3.0,3.0,2.0,College graduate,1.0,5.0,2.0,Less than 100k,Less than 50k,"$30,000-$49,999",2.0,1.0,My candidates position on the issues,No,Not so good,Not so good/Poor,65+,Democrat,Non black Democrat,Democrat,Moderate,3.0,,3.0,White,State questionnaire,White,2.0,1.0,2.0,1.0,South,Protestant/Other Non-Catholic Christian,Protestant,1.0,1.0,1.0,2.0,1.0,Female,Non black female,White female,Non-married women,White female,"Cities 50,000-500,000","Cities over 50,000",English,Florida,Telephone survey,9.0,3.0,9.0,6.0,9.0,3.0,2.0,2.0,Barack Obama did,1.0,Version 1,Protestant/Other Christian,2.0,4.0,4.0,6.0,8.0,65+,Suburb,Urban,Urban Core,Upscale,32607.0,0.336546421051025
