ID,@2NDNVD08,AGE3,AGE60,BACKSIDE,BREAKDNV,BREAKDN2,CALL,CDNUM,DPRS08,GEOCODE,INC100K,INC50K08,INCOME08,ISSIA08D,LATINO,LATINOS,NVDPRS08,NVPARTYID,OVER65,PARTYNV,PHIL3,PHIL5,PRECINCT,QLTNV08D,QRACEAI,QTYPE,RACE,REGION,REL5,RELIGN8,RELWHITE,SEX,SEXRACE,SEXWHITE,SIZEPLAC,SIZEPLC3,SPANISHQ,STANUM,TELEPOLL,TIME3DNV,TIMECAUNV,TIMEWKNV,UNION2,VERSION,WHITEREL,XAGE,XAGE6,XAGE60,XOVER65,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE,WEIGHT
536587.0,2.0,30-59,45-59,Complete,1.0,1.0,Call 2,1.0,2.0,2.0,Less than 100k,1.0,2.0,3.0,No,No,1.0,1.0,18-64,1.0,Conservative,5.0,18.0,2.0,White,State questionnaire,White,West,Catholic,Catholic,2.0,Female,White female,White female,,,English,Nevada,Election day exit poll,2.0,5.0,2.0,1.0,Version 1,Catholic,3.0,4.0,3.0,17-64,,,,,,0.582953214645386
536583.0,2.0,18-29,18-29,Complete,1.0,1.0,Call 2,1.0,2.0,2.0,Less than 100k,1.0,1.0,3.0,No,No,1.0,1.0,18-64,1.0,Conservative,4.0,18.0,2.0,White,State questionnaire,White,West,Catholic,Catholic,2.0,Female,White female,White female,,,English,Nevada,Election day exit poll,2.0,5.0,2.0,1.0,Version 1,Catholic,1.0,1.0,1.0,17-64,,,,,,0.560908138751984
536581.0,7.0,30-59,30-44,Complete,4.0,2.0,Call 2,1.0,2.0,2.0,100k or more,2.0,6.0,1.0,No,No,1.0,1.0,18-64,1.0,Moderate,3.0,18.0,3.0,Black,State questionnaire,Black,West,Protestant/Other Non-Catholic Christian,Other Christian,9.0,Male,Non white male,Non white,,,English,Nevada,Election day exit poll,2.0,5.0,2.0,2.0,Version 1,Non-white,2.0,3.0,2.0,17-64,,,,,,0.543902397155762
536578.0,6.0,60+,60+,Complete,2.0,1.0,Call 2,1.0,2.0,2.0,Less than 100k,1.0,3.0,3.0,No,No,1.0,3.0,18-64,3.0,Moderate,3.0,18.0,3.0,,State questionnaire,,West,Catholic,Catholic,9.0,Female,,,,,English,Nevada,Election day exit poll,2.0,5.0,2.0,1.0,Version 1,Non-white,3.0,5.0,4.0,17-64,,,,,,0.534485876560211
536575.0,6.0,60+,60+,Complete,2.0,1.0,Call 2,1.0,2.0,2.0,Less than 100k,1.0,3.0,3.0,No,No,1.0,3.0,18-64,3.0,Moderate,3.0,18.0,3.0,,State questionnaire,,West,Catholic,Catholic,9.0,Female,,,,,English,Nevada,Election day exit poll,2.0,5.0,2.0,1.0,Version 1,Non-white,3.0,5.0,4.0,17-64,,,,,,0.534485876560211
536571.0,7.0,18-29,18-29,Complete,1.0,1.0,Call 2,1.0,2.0,2.0,Less than 100k,1.0,2.0,3.0,No,No,1.0,1.0,18-64,1.0,Liberal,1.0,18.0,1.0,White,State questionnaire,White,West,Catholic,Catholic,2.0,Male,White male,White male,,,English,Nevada,Election day exit poll,2.0,5.0,2.0,2.0,Version 1,Catholic,1.0,2.0,1.0,17-64,,,,,,0.613252401351929
536568.0,7.0,18-29,18-29,Complete,9.0,9.0,Call 2,1.0,2.0,2.0,Less than 100k,1.0,1.0,2.0,No,No,1.0,2.0,18-64,2.0,Moderate,3.0,18.0,2.0,White,State questionnaire,White,West,Catholic,Catholic,2.0,,,Non white,,,English,Nevada,Election day exit poll,2.0,4.0,2.0,2.0,Version 1,Catholic,1.0,1.0,1.0,17-64,,,,,,0.574151158332825
536559.0,9.0,30-59,45-59,Complete,2.0,1.0,Call 2,1.0,2.0,2.0,100k or more,2.0,6.0,1.0,No,No,1.0,3.0,18-64,3.0,Conservative,4.0,18.0,2.0,White,State questionnaire,White,West,Catholic,Catholic,2.0,Female,White female,White female,,,English,Nevada,Election day exit poll,1.0,2.0,1.0,1.0,Version 1,Catholic,3.0,4.0,3.0,17-64,,,,,,0.582953214645386
536556.0,7.0,60+,60+,Complete,1.0,1.0,Call 2,1.0,2.0,2.0,Less than 100k,1.0,3.0,3.0,No,No,1.0,1.0,18-64,1.0,Moderate,3.0,18.0,2.0,White,State questionnaire,White,West,Catholic,Catholic,2.0,Female,White female,White female,,,English,Nevada,Election day exit poll,2.0,5.0,2.0,1.0,Version 1,Catholic,3.0,5.0,4.0,17-64,,,,,,0.647020637989044
536203.0,2.0,30-59,45-59,Complete,1.0,1.0,Call 2,1.0,2.0,2.0,Less than 100k,2.0,4.0,3.0,Yes,Yes,1.0,1.0,18-64,1.0,Moderate,3.0,47.0,2.0,Hispanic/Latino,State questionnaire,Hispanic/Latino,West,Protestant/Other Non-Catholic Christian,Other Christian,9.0,Female,Non white female,Non white,,,English,Nevada,Election day exit poll,2.0,5.0,2.0,1.0,Version 1,Non-white,3.0,4.0,3.0,17-64,,,,,,0.515167951583862
