ID,ABORT2,ABORTION,ATTEND,ATTEND2,ATTREL,BACKSIDE,BEATDEMVA,BREAKREP,BREAKRP2,BRNAGAIN,CALL,CDNUM,CHIEFREPLA,COLLEDUC,ECONREPLA,EDUC,GEOCODE,HSEDUC,IMMPRIME,INC100K,INC50K,INCOME07,IRAQWAR,IRAQWAR2,ISSIA08R,MCCONSRV,MDRPRS08,NEC,NEC2,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PHIL3,PHIL5,PRECINCT,QLTNH08R,QRACEAI,QTYPE,RACE,REGION,REL5,RELIGN8,RELWHITE,RPRS08,SATISMCCN,SATMCCN2,SEX,SEXBLACK,SEXBYRACE,SEXRACE,SEXWHITE,SIZEPLAC,SIZEPLC3,STANUM,TELEPOLL,TIME3D,TIMEPR,TIMEWK,TLKRADIO,TLKRADI2,VERSION,VETVOTER,WHITEREL,WHTEVANG,WPROTBRN,XAGE,XAGE60,XAGE65,XAGE9,XAGEBYRACE,XOVER65,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE,WEIGHT
1161393.0,1.0,1.0,A few times a year,A few times a month/A few times a year,All others,Complete,2.0,1.0,1.0,No,Call 1,3.0,2.0,2.0,2.0,College graduate,1.0,2.0,1.0,Less than 100k,50k or more,"$75,000-$99,999",Strongly disapprove,Disapprove,3.0,1.0,0.0,Not so good,Not so good/Poor,Democrat,Non black Democrat,White Democrats,Democrat,Liberal,1.0,42.0,2.0,White,State questionnaire,White,East,Something else,Something else,4.0,0.0,3.0,2.0,Female,Non black female,White women,White female,White female,"Cities over 500,000","Cities over 50,000", Maryland,Election day exit poll,2.0,3.0,1.0,4.0,2.0,Version 1,No,Something else,All others,All others,2.0,2.0,3.0,3.0,2.0,17-64,Suburb,Urban,Urban Core,Very upscale,21210.0,0.753780663013458
1164714.0,9.0,9.0,Never,Never,All others,Complete,9.0,2.0,1.0,No,Call 3,1.0,9.0,1.0,9.0,High school graduate,4.0,1.0,2.0,100k or more,50k or more,"$100,000-$149,999",Somewhat disapprove,Disapprove,1.0,9.0,1.0,Not so good,Not so good/Poor,Republican,Non black non Democrat,All Republicans,Republican,Moderate,3.0,110.0,9.0,White,State questionnaire,White,East,,,9.0,2.0,1.0,1.0,Female,Non black female,White women,White female,White female,Rural,Small Cities/Rural, Maryland,Election day exit poll,1.0,1.0,1.0,3.0,2.0,Version 1,No,,All others,All others,2.0,2.0,3.0,3.0,2.0,17-64,Low Density Rural,Rural,Rural,Downscale,21625.0,1.06774568557739
1164725.0,1.0,2.0,Once a week,More than once a week/Once a week,Catholic/Attend weekly,Complete,1.0,1.0,1.0,Yes,Call 3,8.0,1.0,1.0,1.0,High school graduate,3.0,1.0,1.0,Less than 100k,Less than 50k,"$30,000-$49,999",Strongly approve,Approve,9.0,1.0,1.0,Not so good,Not so good/Poor,Republican,Non black non Democrat,All Republicans,Republican,Liberal,2.0,75.0,1.0,Hispanic/Latino,State questionnaire,Hispanic/Latino,East,Catholic,Catholic,9.0,2.0,1.0,1.0,,,,,Non white,Suburbs,Suburbs, Maryland,Election day exit poll,2.0,3.0,1.0,3.0,2.0,Version 1,No,Non-white,All others,All others,3.0,3.0,5.0,6.0,11.0,17-64,High Density Urban,60s Suburbs,Urban Perimeter,Very upscale,20901.0,0.641852557659149
1161415.0,2.0,4.0,Never,Never,All others,Complete,1.0,1.0,1.0,No,Call 1,3.0,1.0,1.0,2.0,Some college or associate degree,1.0,2.0,1.0,Less than 100k,Less than 50k,"$15,000-$29,999",Strongly disapprove,Disapprove,3.0,2.0,1.0,Poor,Not so good/Poor,Democrat,Black Democrat,Black Democrats,Democrat,Liberal,1.0,42.0,2.0,Black,State questionnaire,Black,East,Something else,Something else,9.0,2.0,4.0,2.0,Female,Black female,Black women,Non white female,Non white,"Cities over 500,000","Cities over 50,000", Maryland,Election day exit poll,2.0,5.0,2.0,4.0,2.0,Version 1,No,Non-white,All others,All others,1.0,1.0,2.0,2.0,5.0,17-64,Suburb,Urban,Urban Core,Very upscale,21210.0,1.49815559387207
1164722.0,2.0,4.0,More than once a week,More than once a week/Once a week,Protestant/Attend weekly,Complete,2.0,4.0,2.0,Yes,Call 3,8.0,2.0,1.0,1.0,Some college or associate degree,3.0,2.0,1.0,Less than 100k,Less than 50k,"$30,000-$49,999",Strongly approve,Approve,4.0,2.0,1.0,Good,Excellent/Good,Republican,Black non Democrat,All Republicans,Republican,Conservative,4.0,75.0,2.0,Black,State questionnaire,Black,East,Protestant/Other Non-Catholic Christian,Protestant,9.0,2.0,1.0,1.0,Female,Black female,Black women,Non white female,Non white,Suburbs,Suburbs, Maryland,Election day exit poll,2.0,4.0,2.0,2.0,1.0,Version 1,No,Non-white,All others,All others,1.0,1.0,2.0,2.0,5.0,17-64,High Density Urban,60s Suburbs,Urban Perimeter,Very upscale,20901.0,0.641852557659149
1161410.0,1.0,1.0,A few times a year,A few times a month/A few times a year,Protestant/Do not attend weekly,Complete,2.0,1.0,1.0,No,Call 1,3.0,2.0,2.0,2.0,College graduate,1.0,2.0,1.0,100k or more,50k or more,"$150,000-$199,999",Somewhat disapprove,Disapprove,3.0,1.0,1.0,Not so good,Not so good/Poor,Democrat,Non black Democrat,White Democrats,Democrat,Liberal,2.0,42.0,4.0,White,State questionnaire,White,East,Protestant/Other Non-Catholic Christian,Protestant,1.0,2.0,2.0,1.0,Male,Non black male,White men,White male,White male,"Cities over 500,000","Cities over 50,000", Maryland,Election day exit poll,2.0,4.0,2.0,2.0,1.0,Version 1,No,Protestant/Other Christian,All others,All others,3.0,4.0,5.0,7.0,4.0,17-64,Suburb,Urban,Urban Core,Very upscale,21210.0,1.49815559387207
1164718.0,2.0,3.0,More than once a week,More than once a week/Once a week,Protestant/Attend weekly,Complete,3.0,1.0,1.0,No,Call 3,1.0,3.0,1.0,2.0,Some college or associate degree,4.0,2.0,2.0,Less than 100k,Less than 50k,"$30,000-$49,999",Somewhat approve,Approve,2.0,9.0,1.0,Good,Excellent/Good,Democrat,Non black Democrat,White Democrats,Democrat,Liberal,2.0,110.0,2.0,White,State questionnaire,White,East,Protestant/Other Non-Catholic Christian,Protestant,1.0,2.0,2.0,1.0,Female,Non black female,White women,White female,White female,Rural,Small Cities/Rural, Maryland,Election day exit poll,2.0,3.0,1.0,4.0,2.0,Version 1,Yes,Protestant/Other Christian,All others,All others,3.0,3.0,4.0,5.0,3.0,17-64,Low Density Rural,Rural,Rural,Downscale,21625.0,1.06774568557739
1164717.0,2.0,3.0,More than once a week,More than once a week/Once a week,Protestant/Attend weekly,Complete,3.0,1.0,1.0,No,Call 3,1.0,3.0,1.0,2.0,Some college or associate degree,4.0,2.0,2.0,Less than 100k,Less than 50k,"$30,000-$49,999",Somewhat approve,Approve,2.0,9.0,1.0,Good,Excellent/Good,Democrat,Non black Democrat,White Democrats,Democrat,Liberal,2.0,110.0,2.0,White,State questionnaire,White,East,Protestant/Other Non-Catholic Christian,Protestant,1.0,2.0,2.0,1.0,Female,Non black female,White women,White female,White female,Rural,Small Cities/Rural, Maryland,Election day exit poll,2.0,3.0,1.0,4.0,2.0,Version 1,Yes,Protestant/Other Christian,All others,All others,3.0,3.0,4.0,5.0,3.0,17-64,Low Density Rural,Rural,Rural,Downscale,21625.0,1.06774568557739
1164711.0,2.0,3.0,Once a week,More than once a week/Once a week,Protestant/Attend weekly,Complete,1.0,3.0,2.0,Yes,Call 3,3.0,4.0,2.0,4.0,College graduate,2.0,2.0,3.0,Less than 100k,50k or more,"$75,000-$99,999",Somewhat approve,Approve,1.0,2.0,1.0,Good,Excellent/Good,Republican,Non black non Democrat,All Republicans,Republican,Conservative,5.0,27.0,2.0,White,State questionnaire,White,East,Protestant/Other Non-Catholic Christian,Protestant,1.0,2.0,4.0,2.0,Female,Non black female,White women,White female,White female,Suburbs,Suburbs, Maryland,Election day exit poll,2.0,4.0,2.0,2.0,1.0,Version 1,No,Protestant/Other Christian,White Born-again/Evangelical Christians,White/Protestant/Other Christian/Born Again/Evangelical,2.0,2.0,3.0,3.0,2.0,17-64,Suburb,80s Suburbs,Urban Perimeter,Very upscale,21117.0,0.2170240432024
1164710.0,1.0,2.0,A few times a month,A few times a month/A few times a year,All others,Complete,3.0,3.0,2.0,No,Call 3,1.0,3.0,2.0,2.0,College graduate,4.0,2.0,3.0,,,,Strongly disapprove,Disapprove,3.0,2.0,1.0,Good,Excellent/Good,Republican,Non black non Democrat,All Republicans,Republican,Conservative,5.0,110.0,1.0,White,State questionnaire,White,East,,,9.0,2.0,3.0,2.0,Female,Non black female,White women,White female,White female,Rural,Small Cities/Rural, Maryland,Election day exit poll,2.0,4.0,2.0,4.0,2.0,Version 1,No,,All others,All others,2.0,2.0,4.0,4.0,2.0,17-64,Low Density Rural,Rural,Rural,Downscale,21625.0,1.06774568557739
