ID,AGE3,AGE60,AGE65,AGE9,AGEBLACK,AGEBYRACE,ATTEND,ATTEND2,ATTREL,BACKSIDE,BEATREP2,BREAKDEM,BREAKDEM2,CALL,CDNUM,CHIEFDEM2,CLRCLIN,CLROBAM,CLRPLAN,COLLEDUC,DPRS08,EDUC,FINWORRY,FINWORRY2,GENDISS,GENDISS2,GEOCODE,HSEDUC,IMMPRIME,INC100K,INC50K,INCOME07,INSPIRECLIN,INSPIREOBAM,INSPIRES,ISSIA08D,LATINO,LATINOS,NEC,NEC2,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PHIL3,PHIL5,PRECINCT,QLTNH08D,QRACEAI,QTYPE,RACE,RACEISS,RACEISS2,REGION,REL5,RELIGN8,RELWHITE,SATCLIN,SATISDEM,SATOBAM,SEX,SEXBLACK,SEXBYRACE,SEXRACE,SEXWHITE,SIZEPLAC,SIZEPLC3,SPANISHQ,STANUM,SUPERDEL,TELEPOLL,TIME3D,TIME3DAB,TIMEPR,TIMEPRAB,TIMEWK,TIMEWKAB,TRADE,TXDPRS08,UNFAIRSC,UNFRCLIN,UNFROBAM,VERSION,WHITEREL,XAGE,XAGE60,XAGE65,XAGE9,XAGEBYRACE,XBEATREP,XCHIEFDEM,XOVER65,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE,WEIGHT
1221150.0,,,,,,,,,,Complete,,,,,6.0,,,,,,0.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,State questionnaire,,,,South,,,,,,,Male,,,,,"Cities 50,000-500,000","Cities over 50,000",,Texas,,Telephone survey,9.0,3.0,9.0,6.0,9.0,3.0,,0.0,,,,Version 1,,,,,,,,,,Suburb,Urban,Urban Core,Very upscale,76018.0,1.61395192146301
1220971.0,30-59,45-59,50-64,50-59,Non black 45-59,Latino 45-59,,,,Complete,,,,,8.0,,,,,,0.0,,,,,,1.0,,,,,,,,,,Yes,Yes,,,18-64,,,,,,,,,White,State questionnaire,Hispanic/Latino,,,South,,,,,,,Male,Non black male,Latino men,Non white male,Non white,Rural,Small Cities/Rural,English,Texas,,Telephone survey,9.0,3.0,9.0,6.0,9.0,3.0,,0.0,,,,Version 1,,3.0,3.0,5.0,6.0,11.0,,,17-64,Extremely Low Density Rural,Rural,Rural,Downscale,77331.0,4.60483694076538
1225972.0,30-59,30-44,40-49,40-44,Non black 30-44,White 30-44,,,,Not complete,2.0,2.0,1.0,Call 2,10.0,,1.0,1.0,3.0,,8.0,,3.0,2.0,,,4.0,,,,,,,,,3.0,No,No,Good,Excellent/Good,18-64,,,,,,,89.0,1.0,White,State questionnaire,White,,,South,,,,,,,Female,Non black female,White women,White female,White female,"Cities over 500,000","Cities over 50,000",English,Texas,,Election day exit poll,9.0,9.0,9.0,9.0,9.0,9.0,,2.0,9.0,9.0,Omit,Version 1,,2.0,2.0,4.0,4.0,2.0,2.0,,17-64,High Density Urban,Urban,Urban Core,Very upscale,78703.0,0.815700709819794
1223216.0,30-59,30-44,30-39,30-39,Non black 30-44,Latino 30-44,,,,Not complete,1.0,9.0,9.0,Call 1,27.0,,1.0,2.0,1.0,,2.0,,2.0,1.0,,,6.0,,,,,,,,,3.0,Yes,Yes,Not so good,Not so good/Poor,18-64,,,,,,,74.0,1.0,Hispanic/Latino,State questionnaire,Hispanic/Latino,,,South,,,,,,,Female,Non black female,Latino women,Non white female,Non white,"Cities 50,000-500,000","Cities over 50,000",English,Texas,,Election day exit poll,2.0,2.0,5.0,5.0,2.0,2.0,,1.0,9.0,9.0,Omit,Version 1,,2.0,2.0,3.0,3.0,10.0,1.0,,17-64,High Density Urban,Urban,Urban Core,Upscale,78412.0,0.800302386283875
1225892.0,30-59,45-59,50-64,50-59,Non black 45-59,White 45-59,,,,Not complete,2.0,2.0,1.0,Call 2,11.0,,1.0,2.0,1.0,,2.0,,1.0,1.0,,,5.0,,,,,,,,,2.0,No,No,Poor,Not so good/Poor,18-64,,,,,,,72.0,3.0,White,State questionnaire,White,,,South,,,,,,,Female,Non black female,White women,White female,White female,"Cities 50,000-500,000","Cities over 50,000",English,Texas,,Election day exit poll,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,9.0,9.0,Omit,Version 1,,3.0,3.0,5.0,6.0,3.0,2.0,,17-64,Suburb,Urban,Urban Core,Downscale,79701.0,0.236128464341164
1225846.0,,,,,,,,,,Not complete,9.0,9.0,9.0,Call 2,30.0,,9.0,9.0,9.0,,8.0,,9.0,9.0,,,2.0,,,,,,,,,9.0,,,Omit,Omit,,,,,,,,29.0,9.0,Black,State questionnaire,Black,,,South,,,,,,,Female,Black female,Black women,Non white female,Non white,"Cities over 500,000","Cities over 50,000",,Texas,,Election day exit poll,9.0,9.0,9.0,9.0,9.0,9.0,,2.0,9.0,9.0,Omit,Version 1,,,,,,,9.0,,,Suburb,Urban,Urban Core,Upscale,75232.0,0.621629953384399
1221172.0,30-59,45-59,50-64,50-59,Non black 45-59,White 45-59,Never,Never,Protestant/Do not attend weekly,Complete,2.0,,,,28.0,2.0,2.0,1.0,2.0,2.0,8.0,College graduate,2.0,1.0,3.0,2.0,6.0,2.0,3.0,Less than 100k,50k or more,"$50,000-$74,999",2.0,1.0,2.0,2.0,No,No,Poor,Not so good/Poor,18-64,Independent/Something else,Non black non Democrat,White Independents,Independent,Moderate,3.0,,1.0,White,State questionnaire,White,3.0,2.0,South,Protestant/Other Non-Catholic Christian,Protestant,1.0,2.0,2.0,1.0,Female,Non black female,White women,White female,White female,"Cities 10,000-50,000",Small Cities/Rural,English,Texas,2.0,Telephone survey,9.0,3.0,9.0,6.0,9.0,3.0,1.0,2.0,1.0,1.0,Barack Obama did not,Version 1,Protestant/Other Christian,3.0,3.0,5.0,6.0,3.0,2.0,2.0,17-64,Suburb,Rural,Rural,Very downscale,78572.0,0.782655656337738
1220850.0,18-29,18-29,25-29,25-29,Non black 18-29,Latino 18-29,Never,Never,Catholic/Do not attend weekly,Complete,1.0,,,,28.0,1.0,2.0,2.0,4.0,1.0,2.0,High school graduate,1.0,1.0,2.0,1.0,6.0,1.0,2.0,Less than 100k,Less than 50k,"$15,000-$29,999",1.0,2.0,1.0,1.0,,,Not so good,Not so good/Poor,18-64,Independent/Something else,Non black non Democrat,Latino Independents,Independent,Conservative,4.0,,4.0,Hispanic/Latino,State questionnaire,Hispanic/Latino,3.0,2.0,South,Catholic,Catholic,9.0,1.0,1.0,2.0,Female,Non black female,Latino women,Non white female,Non white,Suburbs,Suburbs,,Texas,2.0,Telephone survey,9.0,3.0,9.0,6.0,9.0,3.0,2.0,1.0,1.0,1.0,Barack Obama did not,Version 1,Non-white,1.0,1.0,2.0,2.0,9.0,1.0,1.0,17-64,Suburb,80s Suburbs,Urban Perimeter,Very downscale,78557.0,6.29369020462036
1220919.0,18-29,18-29,25-29,25-29,Non black 18-29,White 18-29,A few times a year,A few times a month/A few times a year,All others,Complete,2.0,,,,28.0,1.0,2.0,2.0,4.0,2.0,8.0,College graduate,4.0,2.0,2.0,1.0,6.0,2.0,2.0,Less than 100k,50k or more,"$50,000-$74,999",2.0,2.0,4.0,1.0,No,No,Not so good,Not so good/Poor,18-64,Democrat,Non black Democrat,White Democrats,Democrat,Liberal,2.0,,3.0,White,State questionnaire,White,2.0,1.0,South,Something else,Something else,4.0,1.0,3.0,1.0,Female,Non black female,White women,White female,White female,Suburbs,Suburbs,English,Texas,2.0,Telephone survey,9.0,3.0,9.0,6.0,9.0,3.0,2.0,2.0,1.0,1.0,Barack Obama did not,Version 1,Something else,1.0,1.0,2.0,2.0,1.0,2.0,1.0,17-64,Low Density Rural,80s Suburbs,High-Growth Suburban Perimeter,Upscale,78101.0,2.55709385871887
1221051.0,18-29,18-29,25-29,25-29,Non black 18-29,Latino 18-29,More than once a week,More than once a week/Once a week,Protestant/Attend weekly,Complete,2.0,,,,28.0,1.0,1.0,2.0,1.0,2.0,8.0,College graduate,2.0,1.0,2.0,1.0,6.0,2.0,1.0,Less than 100k,50k or more,"$75,000-$99,999",1.0,2.0,1.0,2.0,,,Poor,Not so good/Poor,18-64,Democrat,Non black Democrat,Latino Democrats,Democrat,Liberal,2.0,,1.0,Hispanic/Latino,State questionnaire,Hispanic/Latino,2.0,1.0,South,Protestant/Other Non-Catholic Christian,Protestant,9.0,1.0,3.0,1.0,Female,Non black female,Latino women,Non white female,Non white,"Cities 50,000-500,000","Cities over 50,000",,Texas,2.0,Telephone survey,9.0,3.0,9.0,6.0,9.0,3.0,2.0,2.0,1.0,1.0,Barack Obama did not,Version 1,Non-white,1.0,1.0,2.0,2.0,9.0,2.0,1.0,17-64,Extremely Low Density Rural,Urban,Urban Core,Upscale,78045.0,1.27854692935944
