ID,ABORT2,ABORTION,ATTEND,ATTEND2,ATTREL,BACKSIDE,BREAKREP,BREAKREP2,BRNAGAIN,BUSHANG08,BUSHANG2,CALL,CDNUM,CHIEFREPAL,COLLEDUC,DERPRS08,ECONREP,EDUC,GEOCODE,HSEDUC,IMMPRIME,INC100K,INC50K,INCOME07,IRAQWAR,IRAQWAR2,ISSIA08R,ISSVQUAL,LATINO,NEC,NEC2,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PHIL3,PHIL5,PRECINCT,QLTNH08R,QRACEAI,QTYPE,RACE,REGION,REL5,RELIGN8,RELWHITE,RPRS08,RPRS08ST,SEX,SEXBLACK,SEXBYRACE,SEXRACE,SEXWHITE,SIZEPLAC,SIZEPLC3,STANUM,TELEPOLL,TIME3D,TIMEPR,TIMEWK,VERSION,VETVOTER,WHITEREL,WHTEVANG,WPROTBRN,XAGE,XAGE60,XAGE65,XAGE9,XAGEBYRACE,XOVER65,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE,WEIGHT
1108431.0,1.0,2.0,A few times a month,A few times a month/A few times a year,Protestant/Do not attend weekly,Complete,2.0,1.0,Yes,2.0,1.0,Call 1,1.0,1.0,1.0,1.0,1.0,Some college or associate degree,1.0,2.0,3.0,Less than 100k,Less than 50k,"$15,000-$29,999",Somewhat approve,Approve,1.0,My candidates leadership/personal qualities,Yes,Good,Excellent/Good,Republican,Non black non Democrat,All Republicans,Republican,Conservative,4.0,20.0,3.0,White,State questionnaire,Hispanic/Latino,East,Protestant/Other Non-Catholic Christian,Protestant,9.0,1.0,1.0,Female,Non black female,Latino women,Non white female,Non white,Suburbs,Suburbs,Delaware,Election day exit poll,2.0,3.0,1.0,Version 1,No,Non-white,All others,All others,3.0,3.0,5.0,6.0,11.0,17-64,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Very upscale,19711.0,1.04604172706604
1108370.0,1.0,1.0,Never,Never,All others,Complete,3.0,2.0,No,3.0,2.0,Call 1,1.0,4.0,1.0,1.0,4.0,Some college or associate degree,1.0,2.0,3.0,Less than 100k,50k or more,"$75,000-$99,999",Strongly disapprove,Disapprove,3.0,My candidates leadership/personal qualities,No,Poor,Not so good/Poor,Democrat,Non black Democrat,White Democrats,Democrat,Liberal,1.0,36.0,2.0,White,State questionnaire,White,East,None,None,5.0,1.0,1.0,Male,Non black male,White men,White male,White male,Suburbs,Suburbs,Delaware,Election day exit poll,1.0,1.0,1.0,Version 1,No,None,All others,All others,2.0,2.0,3.0,3.0,2.0,17-64,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Very upscale,19808.0,0.814120292663574
1109445.0,2.0,4.0,More than once a week,More than once a week/Once a week,All others,Complete,1.0,1.0,Yes,2.0,1.0,Call 1,1.0,1.0,1.0,1.0,1.0,Some college or associate degree,1.0,2.0,1.0,Less than 100k,Less than 50k,"Under $15,000",Somewhat approve,Approve,1.0,My candidates leadership/personal qualities,No,Good,Excellent/Good,Republican,Non black non Democrat,All Republicans,Republican,Moderate,3.0,20.0,3.0,White,State questionnaire,White,East,Protestant/Other Non-Catholic Christian,Other Christian,1.0,1.0,1.0,Female,Non black female,White women,White female,White female,Suburbs,Suburbs,Delaware,Election day exit poll,2.0,5.0,2.0,Version 1,No,Protestant/Other Christian,White Born-again/Evangelical Christians,White/Protestant/Other Christian/Born Again/Evangelical,3.0,3.0,5.0,6.0,3.0,17-64,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Very upscale,19711.0,1.04604172706604
1109444.0,2.0,4.0,More than once a week,More than once a week/Once a week,All others,Complete,1.0,1.0,Yes,2.0,1.0,Call 1,1.0,1.0,1.0,1.0,1.0,Some college or associate degree,1.0,2.0,1.0,Less than 100k,Less than 50k,"Under $15,000",Somewhat approve,Approve,1.0,My candidates leadership/personal qualities,No,Good,Excellent/Good,Republican,Non black non Democrat,All Republicans,Republican,Moderate,3.0,20.0,3.0,White,State questionnaire,White,East,Protestant/Other Non-Catholic Christian,Other Christian,1.0,1.0,1.0,Female,Non black female,White women,White female,White female,Suburbs,Suburbs,Delaware,Election day exit poll,2.0,5.0,2.0,Version 1,No,Protestant/Other Christian,White Born-again/Evangelical Christians,White/Protestant/Other Christian/Born Again/Evangelical,3.0,3.0,5.0,6.0,3.0,17-64,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Very upscale,19711.0,1.04604172706604
1108134.0,1.0,2.0,A few times a year,A few times a month/A few times a year,All others,Complete,4.0,2.0,No,4.0,2.0,Call 1,1.0,3.0,2.0,1.0,3.0,Postgraduate study,1.0,2.0,2.0,100k or more,50k or more,"$100,000-$149,999",Somewhat disapprove,Disapprove,3.0,My candidates leadership/personal qualities,No,Not so good,Not so good/Poor,Republican,Non black non Democrat,All Republicans,Republican,Conservative,5.0,47.0,2.0,White,State questionnaire,White,East,Protestant/Other Non-Catholic Christian,Other Christian,1.0,1.0,1.0,Male,Non black male,White men,White male,White male,"Cities 50,000-500,000","Cities over 50,000",Delaware,Election day exit poll,1.0,1.0,1.0,Version 1,Yes,Protestant/Other Christian,All others,All others,4.0,4.0,6.0,8.0,4.0,65+,Suburb,Urban,Urban Core,Very upscale,19803.0,1.58425974845886
1131010.0,1.0,2.0,,,,Not complete,1.0,1.0,,1.0,1.0,Call 3,1.0,,,1.0,,,1.0,,,,,,,,3.0,My candidates position on the issues,No,,,,,,,,,47.0,2.0,White,State questionnaire,White,East,,,,1.0,1.0,Male,Non black male,White men,White male,White male,"Cities 50,000-500,000","Cities over 50,000",Delaware,Election day exit poll,2.0,5.0,2.0,Version 1,No,,,,3.0,3.0,4.0,5.0,3.0,17-64,Suburb,Urban,Urban Core,Very upscale,19803.0,1.58425974845886
1108432.0,1.0,2.0,A few times a month,A few times a month/A few times a year,Protestant/Do not attend weekly,Complete,2.0,1.0,Yes,2.0,1.0,Call 1,1.0,1.0,1.0,1.0,1.0,Some college or associate degree,1.0,2.0,3.0,Less than 100k,Less than 50k,"$15,000-$29,999",Somewhat approve,Approve,1.0,My candidates leadership/personal qualities,Yes,Good,Excellent/Good,Republican,Non black non Democrat,All Republicans,Republican,Conservative,4.0,20.0,3.0,White,State questionnaire,Hispanic/Latino,East,Protestant/Other Non-Catholic Christian,Protestant,9.0,1.0,1.0,Female,Non black female,Latino women,Non white female,Non white,Suburbs,Suburbs,Delaware,Election day exit poll,2.0,3.0,1.0,Version 1,No,Non-white,All others,All others,3.0,3.0,5.0,6.0,11.0,17-64,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Very upscale,19711.0,1.04604172706604
1126461.0,2.0,4.0,More than once a week,More than once a week/Once a week,All others,Complete,1.0,1.0,Yes,2.0,1.0,Call 3,1.0,9.0,1.0,1.0,3.0,Some college or associate degree,2.0,2.0,1.0,Less than 100k,Less than 50k,"$30,000-$49,999",Strongly approve,Approve,4.0,My candidates position on the issues,No,Not so good,Not so good/Poor,Republican,Non black non Democrat,All Republicans,Republican,Conservative,4.0,64.0,2.0,White,State questionnaire,White,East,Protestant/Other Non-Catholic Christian,Other Christian,1.0,1.0,1.0,Female,Non black female,White women,White female,White female,Rural,Small Cities/Rural,Delaware,Election day exit poll,2.0,4.0,2.0,Version 1,No,Protestant/Other Christian,White Born-again/Evangelical Christians,White/Protestant/Other Christian/Born Again/Evangelical,3.0,3.0,4.0,5.0,3.0,17-64,Low Density Rural,Rural,Rural,Downscale,19963.0,2.57184648513794
1126154.0,2.0,3.0,More than once a week,More than once a week/Once a week,All others,Complete,4.0,2.0,Yes,2.0,1.0,Call 3,1.0,2.0,1.0,2.0,2.0,Some college or associate degree,2.0,2.0,1.0,Less than 100k,Less than 50k,"$15,000-$29,999",Strongly approve,Approve,4.0,Omit,No,Good,Excellent/Good,Republican,Non black non Democrat,All Republicans,Republican,Conservative,4.0,2.0,2.0,White,State questionnaire,White,East,Protestant/Other Non-Catholic Christian,Other Christian,1.0,2.0,2.0,Female,Non black female,White women,White female,White female,Suburbs,Suburbs,Delaware,Election day exit poll,2.0,4.0,2.0,Version 1,No,Protestant/Other Christian,White Born-again/Evangelical Christians,White/Protestant/Other Christian/Born Again/Evangelical,3.0,3.0,5.0,6.0,3.0,17-64,Low Density Rural,80s Suburbs,Low-Growth Suburban Perimeter,Very downscale,19943.0,0.605570673942566
1122838.0,2.0,4.0,Once a week,More than once a week/Once a week,Catholic/Attend weekly,Complete,1.0,1.0,No,3.0,2.0,Call 3,1.0,3.0,1.0,2.0,5.0,Did not complete high school,1.0,1.0,2.0,100k or more,50k or more,"$100,000-$149,999",Strongly approve,Approve,2.0,My candidates position on the issues,No,Good,Excellent/Good,Republican,Non black non Democrat,All Republicans,Republican,Conservative,5.0,47.0,2.0,White,State questionnaire,White,East,Catholic,Catholic,2.0,2.0,2.0,Female,Non black female,White women,White female,White female,"Cities 50,000-500,000","Cities over 50,000",Delaware,Election day exit poll,2.0,5.0,2.0,Version 1,No,Catholic,All others,All others,1.0,1.0,1.0,1.0,1.0,17-64,Suburb,Urban,Urban Core,Very upscale,19803.0,1.34540247917175
