ID,WEIGHT,PRSAZ24,SENAZ24,AZ24ABORTION,ABORT2,ABORTION,AGE,AGE3,AGE4,AGE10,AGE45,AGE60,AGE65,AGEBLACK,AGEBYGENDER,AGEBYRACE,AGEBYRACE08,AGESEX45,BACKSIDE,BIDENPRES2,BIDENPRES4,CALL,CDNUM,CHALLENGEELECTION,CONTROLSEN,DEMOCRACYSECURE,DEMOCRACYSECURE2,EARLYVELECTION,EDUC18,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,FAIRELECTION,FAIRELECTION2,FAVHARRIS,FAVPRES24,FAVTRUMP,FINSIT,FORCAND24,GENDERBYSOP,GEOCODE,IMMDEP24,ISSUE24,LATINO,NEC,NEC2,NEWVOTER,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYID,PARTYWHITE,PHIL3,PTYIDEO,PTYIDEO7,QLT24,QRACE3,QRACEAI,QTYPE,RACE,RACE2,RACE2B,RACEAI,REGION,SEX,SEXBYRACE,SIZEPLAC,SIZEPLC3,SPANISHQ,STANUM,SUBURBWHITE,TELEPOLL,TRACKANGR,TRACKANGR2,VERSION,VOTE2020,VOTEMETHOD,ZIPCODE
9128.0,0.003213053,,,Yes,Omit,Omit,,,,,,,,,,,,,Complete,Omit,Omit,,7.0,Omit,Omit,Omit,Omit,Absentee or early in-person,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White men college graduates,Omit,Omit,Omit,Omit,Omit,Omit,For your candidate,Urban men,2.0,Omit,Omit,No,Omit,Omit,No,,,,,,,,Liberal,,,Omit,White,White,State questionnaire,White,Non-black,White,White,West,Male,White men,"Cities over 500,000","Cities over 50,000",English,Arizona,Other,Telephone survey,Omit,Omit,Version 1,Omit,By mail,85719.0
9130.0,0.326226657,,,No,Illegal,Illegal in all cases,65+,60+,65+,75 or older,45+,60+,65+,Non-Black 60+,Women 65+,White 60+,White 65+,Women 45+,Complete,Strongly or somewhat disapprove,Strongly disapprove,,6.0,Challenge the results,The Republican Party,Very threatened,Somewhat threatened or Very threatened,Absentee or early in-person,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White women non college graduates,Omit,Omit,Omit,Omit,Favorable,About the same,For your candidate,Suburban women,3.0,Deported to the countries they came from,Abortion,No,Poor,Not so good or poor,No,65+,Republican,Non-black non-Democrat,All Republicans,Republican women,Republican,White Republican,Conservative,Independent/Something else,Conservative Republicans,Has the ability to lead,White,White,State questionnaire,White,Non-black,White,White,West,Female,White women,Suburbs,Suburbs,English,Arizona,White suburban women,Telephone survey,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Version 1,Donald Trump,By mail,85616.0
9131.0,2.699712432,,Kari Lake,Did not vote,Illegal,Illegal in all cases,65+,60+,65+,75 or older,45+,60+,65+,Non-Black 60+,Men 65+,Latino 60+,Latino 65+,Men 45+,Complete,Strongly or somewhat disapprove,Strongly disapprove,,3.0,Accept the results,The Republican Party,Very threatened,Somewhat threatened or Very threatened,Absentee or early in-person,Never attended college,No college degree,High school graduate or less,Non white no college degree,Non-whites,Somewhat confident,Very confident or Somewhat confident,Unfavorable,Only Trump,Favorable,Worse today,For your candidate,Urban men,1.0,Deported to the countries they came from,The economy,Yes,Poor,Not so good or poor,No,65+,Republican,Non-black non-Democrat,All Republicans,Republican men,Republican,All others,Conservative,Independent/Something else,Conservative Republicans,Cares about people like me,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,Non-black,Non-white,Hispanic/Latino,West,Male,Latino men,"Cities over 500,000","Cities over 50,000",English,Arizona,Other,Telephone survey,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Version 1,Donald Trump,By mail,85041.0
9132.0,4.127564155,Kamala Harris,Ruben Gallego,Yes,Legal,Legal in all cases,30-44,30-59,18-34,30-34,18-44,30-44,30-39,Non-Black 30-44,Men 30-44,Latino 30-44,Latino 30-44,Men 18-44,Complete,Strongly or somewhat approve,Somewhat approve,,9.0,Accept the results,The Democratic Party,Somewhat threatened,Somewhat threatened or Very threatened,Absentee or early in-person,Bachelor's degree (BA or BS),College graduate,More than high school graduate,Non white college degree,Non-whites,Very confident,Very confident or Somewhat confident,Favorable,Only Harris,Unfavorable,Better today,For your candidate,Suburban men,1.0,Offered a chance to apply for legal status,The state of democracy,Yes,Excellent,Excellent or good,No,18-64,Republican,Non-black non-Democrat,All Republicans,Republican men,Republican,All others,Conservative,Independent/Something else,Conservative Republicans,Has good judgment,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,Non-black,Non-white,Hispanic/Latino,West,Male,Latino men,Suburbs,Suburbs,English,Arizona,Other,Telephone survey,"Satisfied, but not enthusiastic","Enthusiastic or Satisfied, but not enthusiastic",Version 1,Joe Biden,By mail,85388.0
9133.0,0.324826635,Kamala Harris,Ruben Gallego,Yes,Legal,Legal in most cases,65+,60+,65+,75 or older,45+,60+,65+,Non-Black 60+,Women 65+,White 60+,White 65+,Women 45+,Complete,Strongly or somewhat approve,Strongly approve,,8.0,Accept the results,The Democratic Party,Very secure,Very secure or Somewhat secure,Absentee or early in-person,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,Very confident,Very confident or Somewhat confident,Favorable,Only Harris,Unfavorable,Better today,For your candidate,Suburban women,1.0,Offered a chance to apply for legal status,The state of democracy,No,Good,Excellent or good,No,65+,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Liberal,Liberal Democrats,Liberal Democrats,Has good judgment,White,White,State questionnaire,White,Non-black,White,White,West,Female,White women,Suburbs,Suburbs,English,Arizona,White suburban women,Telephone survey,"Satisfied, but not enthusiastic","Enthusiastic or Satisfied, but not enthusiastic",Version 1,Joe Biden,By mail,85382.0
9134.0,0.242941767,Kamala Harris,Ruben Gallego,Yes,Legal,Legal in all cases,65+,60+,65+,75 or older,45+,60+,65+,Non-Black 60+,Men 65+,White 60+,White 65+,Men 45+,Complete,Strongly or somewhat approve,Somewhat approve,,1.0,Accept the results,The Democratic Party,Somewhat threatened,Somewhat threatened or Very threatened,Absentee or early in-person,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White men college graduates,Very confident,Very confident or Somewhat confident,Favorable,Only Harris,Unfavorable,About the same,For your candidate,Urban men,1.0,Deported to the countries they came from,The state of democracy,No,Good,Excellent or good,No,65+,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,White Independent,Moderate,Moderate/Liberal Republicans,Moderate Independents,Has good judgment,White,White,State questionnaire,White,Non-black,White,White,West,Male,White men,"Cities over 500,000","Cities over 50,000",English,Arizona,Other,Telephone survey,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Version 1,Joe Biden,By mail,85022.0
9135.0,0.518638502,Kamala Harris,Ruben Gallego,Yes,Legal,Legal in most cases,45-65,30-59,50-64,50-59,45+,45-59,50-64,Non-Black 45-59,Men 45-64,All others,All others,Men 45+,Complete,Strongly or somewhat approve,Somewhat approve,,7.0,Challenge the results,The Democratic Party,Somewhat threatened,Somewhat threatened or Very threatened,Absentee or early in-person,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,Non white college degree,Non-whites,Very confident,Very confident or Somewhat confident,Favorable,Only Harris,Unfavorable,Better today,For your candidate,Urban men,2.0,Offered a chance to apply for legal status,The state of democracy,No,Good,Excellent or good,No,18-64,Independent/Something else,Non-black non-Democrat,All Other,Independent men,Independent,All others,Moderate,Moderate/Liberal Republicans,Moderate Independents,Has good judgment,Other,Asian,State questionnaire,Asian,Non-black,Non-white,Asian,West,Male,All other races,"Cities over 500,000","Cities over 50,000",English,Arizona,Other,Telephone survey,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Version 1,Joe Biden,By mail,85711.0
9136.0,0.458462794,Kamala Harris,Ruben Gallego,No,Legal,Legal in all cases,65+,60+,65+,75 or older,45+,60+,65+,Non-Black 60+,Women 65+,White 60+,White 65+,Women 45+,Complete,Strongly or somewhat approve,Strongly approve,,2.0,Accept the results,The Democratic Party,Somewhat threatened,Somewhat threatened or Very threatened,Absentee or early in-person,Associate's degree (AA or AS),No college degree,More than high school graduate,White no college degree,White women non college graduates,Very confident,Very confident or Somewhat confident,Favorable,Only Harris,Unfavorable,About the same,Against their opponent,Urban women,3.0,Offered a chance to apply for legal status,The state of democracy,No,Good,Excellent or good,No,65+,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Moderate,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Has good judgment,White,White,State questionnaire,White,Non-black,White,White,West,Female,White women,"Cities 50,000-500,000","Cities over 50,000",English,Arizona,Other,Telephone survey,"Satisfied, but not enthusiastic","Enthusiastic or Satisfied, but not enthusiastic",Version 1,Joe Biden,By mail,86004.0
9137.0,3.775324107,Kamala Harris,Ruben Gallego,Yes,Legal,Legal in all cases,18-29,18-29,18-34,25-29,18-44,18-29,25-29,Non-Black 18-29,Women 18-29,Latino 18-29,Latino 18-29,Women 18-44,Complete,Strongly or somewhat approve,Somewhat approve,,4.0,Accept the results,The Democratic Party,Very threatened,Somewhat threatened or Very threatened,Absentee or early in-person,Associate's degree (AA or AS),No college degree,More than high school graduate,Non white no college degree,Non-whites,Very confident,Very confident or Somewhat confident,Favorable,Only Harris,Unfavorable,Worse today,For your candidate,Suburban women,1.0,Offered a chance to apply for legal status,The economy,Yes,Poor,Not so good or poor,No,18-64,Democrat,Non-black Democrat,Latino Democrat,Democratic women,Democrat,Non-White Democrats,Moderate,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Can bring needed change,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,Non-black,Non-white,Hispanic/Latino,West,Female,Latino women,Suburbs,Suburbs,English,Arizona,Other,Telephone survey,Angry,"Dissatisfied, but not angry or Angry",Version 1,Joe Biden,By mail,85224.0
9138.0,1.168653173,Kamala Harris,Ruben Gallego,Yes,Legal,Legal in all cases,18-29,18-29,18-34,18-24,18-44,18-29,18-24,Non-Black 18-29,Men 18-29,White 18-29,White 18-29,Men 18-44,Complete,Strongly or somewhat disapprove,Somewhat disapprove,,3.0,Accept the results,The Democratic Party,Somewhat threatened,Somewhat threatened or Very threatened,Absentee or early in-person,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White men college graduates,Very confident,Very confident or Somewhat confident,Unfavorable,Neither,Unfavorable,About the same,Against their opponent,Urban men,1.0,Offered a chance to apply for legal status,The economy,No,Not so good,Not so good or poor,No,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,White Independent,Moderate,Moderate/Liberal Republicans,Moderate Independents,Has good judgment,White,White,State questionnaire,White,Non-black,White,White,West,Male,White men,"Cities over 500,000","Cities over 50,000",English,Arizona,Other,Telephone survey,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Version 1,Donald Trump,By mail,85015.0
