ID,WEIGHT,PRSGA24,ABORT2,ABORTION,AGE,AGE3,AGE4,AGE10,AGE45,AGE60,AGE65,AGEBLACK,AGEBYGENDER,AGEBYRACE,AGEBYRACE08,AGESEX45,BACKSIDE,BIDENPRES2,BIDENPRES4,BRNAGAIN,CALL,CDNUM,CHALLENGEELECTION,CHILD12,DEMOCRACYSECURE,DEMOCRACYSECURE2,EARLYVELECTION,EDUC18,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,EXTREMEHARRIS,EXTREMEPRES24,EXTREMETRUMP,FAIRELECTION,FAIRELECTION2,FAVHARRIS,FAVPRES24,FAVTRUMP,FINSIT,FORCAND24,GENDERBYSOP,GEOCODE,HANDLECRIME24,HANDLECRISIS24,HANDLERACEISS24,HURRICANEAID,ISSUE24,KEMP2,LATINO,NEC,NEC2,NEWVOTER,OVER65,PARENTS,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYID,PARTYWHITE,PHIL3,PRECINCT,PTYIDEO,PTYIDEO7,QLT24,QRACE3,QRACEAI,QTYPE,RACE,RACE2,RACE2B,RACEAI,REGION,SEX,SEXBYRACE,SIZEPLAC,SIZEPLC3,SPANISHQ,STANUM,SUBURBWHITE,TELEPOLL,TIME16,TIME16MONTH,TIME16WEEK,TRACKANGR,TRACKANGR2,VERSION,VETVOTER,VOTE2020,VOTEMETHOD,WHTEVANG,ZIPCODE
942.0,4.709262384,Kamala Harris,Legal,Legal in all cases,30-44,30-59,35-49,35-39,18-44,30-44,30-39,Non-Black 30-44,Men 30-44,Latino 30-44,Latino 30-44,Men 18-44,Complete,Strongly or somewhat approve,Somewhat approve,,,3.0,Accept the results,Yes,,,Absentee or early in-person,Associate's degree (AA or AS),No college degree,More than high school graduate,Non white no college degree,Non-whites,No,Only Trump,Yes,Very confident,Very confident or Somewhat confident,,,,,,Suburban men,4.0,Kamala Harris,Kamala Harris,Kamala Harris,,,,Yes,Good,Excellent or good,No,18-64,Men with children,Independent/Something else,Non-black non-Democrat,Latino Independent,Independent men,Independent,All others,Moderate,,Moderate/Liberal Republicans,Moderate Independents,,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,Non-black,Non-white,Hispanic/Latino,South,Male,Latino men,Suburbs,Suburbs,English, Georgia,Other,Telephone survey,In the last few days,In the last month,In the last week,,,Version 2,,Joe Biden,Early in-person,,31808.0
943.0,0.289739099,Donald Trump,Omit,Omit,45-65,30-59,50-64,60-64,45+,45-59,50-64,Non-Black 45-59,Women 45-64,White 45-59,White 45-64,Women 45+,Complete,Strongly or somewhat disapprove,Strongly disapprove,,,3.0,Challenge the results,No,,,Absentee or early in-person,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White women non college graduates,Yes,Only Harris,No,Very confident,Very confident or Somewhat confident,,,,,,Suburban women,4.0,Donald Trump,Donald Trump,Donald Trump,,,,No,Poor,Not so good or poor,No,18-64,Women without children,Republican,Non-black non-Democrat,All Republicans,Republican women,Republican,White Republican,Conservative,,Independent/Something else,Conservative Republicans,,White,White,State questionnaire,White,Non-black,White,White,South,Female,White women,Suburbs,Suburbs,English, Georgia,White suburban women,Telephone survey,In the last week,In the last month,In the last week,,,Version 2,,Donald Trump,Early in-person,,30180.0
944.0,0.030681171,Kamala Harris,Legal,Legal in most cases,30-44,30-59,35-49,40-44,18-44,30-44,40-49,Black 30-44,Women 30-44,Black 30-44,Black 30-44,Women 18-44,Complete,Strongly or somewhat disapprove,Somewhat disapprove,,,7.0,Accept the results,Yes,,,Absentee or early in-person,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,Non white college degree,Non-whites,No,Only Trump,Yes,Very confident,Very confident or Somewhat confident,,,,,,Suburban women,2.0,Kamala Harris,Kamala Harris,Kamala Harris,,,,No,Poor,Not so good or poor,No,18-64,Women with children,Independent/Something else,Black non-Democrat,Black Independent,Independent women,Independent,All others,Moderate,,Moderate/Liberal Republicans,Moderate Independents,,Black,Black,State questionnaire,Black,Black,Non-white,Black,South,Female,Black women,Suburbs,Suburbs,English, Georgia,Other,Telephone survey,In the last week,In the last month,In the last week,,,Version 2,,Joe Biden,By mail,,30078.0
945.0,0.316020356,Donald Trump,Illegal,Illegal in all cases,65+,60+,65+,65-74,45+,60+,65+,Non-Black 60+,Men 65+,White 60+,White 65+,Men 45+,Complete,Strongly or somewhat disapprove,Strongly disapprove,,,13.0,Challenge the results,No,,,Absentee or early in-person,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White men non college graduates,Yes,Only Harris,No,Not at all confident,Not very confident or Not at all confident,,,,,,Suburban men,3.0,Donald Trump,Donald Trump,Donald Trump,,,,No,Poor,Not so good or poor,No,65+,Men without children,Republican,Non-black non-Democrat,All Republicans,Republican men,Republican,White Republican,Conservative,,Independent/Something else,Conservative Republicans,,White,White,State questionnaire,White,Non-black,White,White,South,Male,White men,Suburbs,Suburbs,English, Georgia,White suburban men,Telephone survey,In October,In the last month,Before that,,,Version 2,,Donald Trump,Early in-person,,30260.0
946.0,0.486994344,Donald Trump,Legal,Legal in all cases,65+,60+,65+,65-74,45+,60+,65+,Non-Black 60+,Men 65+,White 60+,White 65+,Men 45+,Complete,Strongly or somewhat disapprove,Strongly disapprove,,,7.0,Accept the results,No,,,Absentee or early in-person,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White men non college graduates,Yes,Only Harris,No,Very confident,Very confident or Somewhat confident,,,,,,Suburban men,2.0,Donald Trump,Donald Trump,Donald Trump,,,,No,Poor,Not so good or poor,No,65+,Men without children,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,White Independent,Conservative,,Moderate/Liberal Republicans,Conservative Independents,,White,White,State questionnaire,White,Non-black,White,White,South,Male,White men,Suburbs,Suburbs,English, Georgia,White suburban men,Telephone survey,In October,In the last month,Before that,,,Version 2,,Donald Trump,Early in-person,,30044.0
947.0,0.126351548,Donald Trump,Illegal,Illegal in all cases,65+,60+,65+,75 or older,45+,60+,65+,Non-Black 60+,Men 65+,White 60+,White 65+,Men 45+,Complete,Strongly or somewhat disapprove,Strongly disapprove,,,14.0,Accept the results,No,,,Absentee or early in-person,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White men college graduates,Yes,Only Harris,No,Not very confident,Not very confident or Not at all confident,,,,,,Suburban men,2.0,Donald Trump,Donald Trump,Donald Trump,,,,No,Poor,Not so good or poor,No,65+,Men without children,Republican,Non-black non-Democrat,All Republicans,Republican men,Republican,White Republican,Conservative,,Independent/Something else,Conservative Republicans,,White,White,State questionnaire,White,Non-black,White,White,South,Male,White men,Suburbs,Suburbs,English, Georgia,White suburban men,Telephone survey,In October,In the last month,Before that,,,Version 2,,Donald Trump,Early in-person,,30106.0
948.0,0.184143644,Kamala Harris,Legal,Legal in most cases,65+,60+,65+,65-74,45+,60+,65+,Non-Black 60+,Men 65+,All others,All others,Men 45+,Complete,Strongly or somewhat approve,Somewhat approve,,,11.0,Accept the results,No,,,Absentee or early in-person,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,Non white college degree,Non-whites,No,Only Trump,Yes,Not very confident,Not very confident or Not at all confident,,,,,,Suburban men,2.0,Kamala Harris,Kamala Harris,Kamala Harris,,,,No,Good,Excellent or good,No,65+,Men without children,Democrat,Non-black Democrat,All Other,Democratic men,Democrat,Non-White Democrats,Liberal,,Liberal Democrats,Liberal Democrats,,Other,Other,State questionnaire,Other,Non-black,Non-white,Other,South,Male,All other races,Suburbs,Suburbs,English, Georgia,Other,Telephone survey,In October,In the last month,Before that,,,Version 2,,Joe Biden,Early in-person,,30064.0
949.0,0.171172838,Kamala Harris,Legal,Legal in most cases,45-65,30-59,50-64,50-59,45+,45-59,50-64,Non-Black 45-59,Men 45-64,White 45-59,White 45-64,Men 45+,Complete,Omit,Omit,,,4.0,Accept the results,No,,,Absentee or early in-person,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White men college graduates,No,Neither,No,Very confident,Very confident or Somewhat confident,,,,,,Suburban men,3.0,Kamala Harris,Kamala Harris,Kamala Harris,,,,No,Poor,Not so good or poor,No,18-64,Men without children,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Something else,White Independent,Liberal,,Moderate/Liberal Republicans,Liberal Independents,,White,White,State questionnaire,White,Non-black,White,White,South,Male,White men,Suburbs,Suburbs,English, Georgia,White suburban men,Telephone survey,In October,In the last month,Before that,,,Version 2,,Joe Biden,Early in-person,,30088.0
950.0,0.509504551,Kamala Harris,Legal,Legal in all cases,65+,60+,65+,65-74,45+,60+,65+,Black 60+,Men 65+,Black 60+,Black 65+,Men 45+,Complete,Strongly or somewhat approve,Strongly approve,,,13.0,Accept the results,No,,,Absentee or early in-person,Bachelor's degree (BA or BS),College graduate,More than high school graduate,Non white college degree,Non-whites,No,Only Trump,Yes,Very confident,Very confident or Somewhat confident,,,,,,Suburban men,2.0,Kamala Harris,Kamala Harris,Kamala Harris,,,,No,Good,Excellent or good,No,65+,Men without children,Democrat,Black Democrat,Black Democrat,Democratic men,Democrat,Non-White Democrats,Liberal,,Liberal Democrats,Liberal Democrats,,Black,Black,State questionnaire,Black,Black,Non-white,Black,South,Male,Black men,Suburbs,Suburbs,English, Georgia,Other,Telephone survey,In October,In the last month,Before that,,,Version 2,,Joe Biden,Early in-person,,30294.0
951.0,4.565982845,Kamala Harris,Legal,Legal in most cases,30-44,30-59,35-49,35-39,18-44,30-44,30-39,Non-Black 30-44,Men 30-44,White 30-44,White 30-44,Men 18-44,Complete,Strongly or somewhat disapprove,Somewhat disapprove,,,2.0,Accept the results,Yes,,,Absentee or early in-person,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White men non college graduates,Yes,Both,Yes,Very confident,Very confident or Somewhat confident,,,,,,Urban men,4.0,Kamala Harris,Kamala Harris,Kamala Harris,,,,No,Not so good,Not so good or poor,No,18-64,Men with children,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Something else,White Independent,Conservative,,Moderate/Liberal Republicans,Conservative Independents,,White,White,State questionnaire,White,Non-black,White,White,South,Male,White men,"Cities 50,000-500,000","Cities over 50,000",English, Georgia,Other,Telephone survey,In October,In the last month,Before that,,,Version 2,,Joe Biden,Early in-person,,31201.0
