ID,WEIGHT,PRSPA24,SENPA24,ABORT2,ABORTION,AGE,AGE3,AGE4,AGE10,AGE45,AGE60,AGE65,AGEBLACK,AGEBYGENDER,AGEBYRACE,AGEBYRACE08,AGESEX45,BACKSIDE,BIDENPRES2,BIDENPRES4,CALL,CDNUM,CHALLENGEELECTION,CHILD12,CONTROLSEN,DEMOCRACYSECURE,DEMOCRACYSECURE2,EARLYVELECTION,EDUC18,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,EXTREMEHARRIS,EXTREMEPRES24,EXTREMETRUMP,FAIRELECTION,FAIRELECTION2,FAVHARRIS,FAVPRES24,FAVTRUMP,FINSIT,FORCAND24,FRACKING24,GENDERBYSOP,GEOCODE,ISSUE24,LATINO,NEC,NEC2,NEWVOTER,OVER65,PARENTS,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYID,PARTYWHITE,PHIL3,PRECINCT,PTYIDEO,PTYIDEO7,QLT24,QRACE3,QRACEAI,QTYPE,RACE,RACE2,RACE2B,RACEAI,REGION,SEX,SEXBYRACE,SHAPIRO2,SIZEPLAC,SIZEPLC3,STANUM,SUBURBWHITE,TELEPOLL,TIME16,TIME16MONTH,TIME16WEEK,TRACKANGR,TRACKANGR2,UNIONHH12,VERSION,VOTE2020,VOTEMETHOD,ZIPCODE
21694.0,0.0,Kamala Harris,Bob Casey,,,65+,60+,65+,65-74,45+,60+,65+,,Men 65+,,,Men 45+,Complete,,,,10.0,,,,Very secure,Very secure or Somewhat secure,Absentee or early in-person,Never attended college,No college degree,High school graduate or less,,,,,,,,Favorable,Only Harris,Unfavorable,,For your candidate,,Rural men,4.0,Immigration,,,,,65+,,Democrat,,,Democratic men,Democrat,,Conservative,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Has good judgment,,Hispanic/Latino,National questionnaire,,Non-black,,,East,Male,,,"Cities 10,000-50,000",Small Cities/Rural,Pennsylvania,,Telephone survey,,,,"Satisfied, but not enthusiastic","Enthusiastic or Satisfied, but not enthusiastic",,Version 1,Did not vote,Early in-person,17013.0
12789.0,0.195337611,,Bob Casey,,,65+,60+,65+,65-74,45+,60+,65+,Non-Black 60+,Women 65+,White 60+,White 65+,Women 45+,Complete,,,,4.0,,No,,Somewhat threatened,Somewhat threatened or Very threatened,Absentee or early in-person,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White women college graduates,,,,,,Favorable,Only Harris,Unfavorable,About the same,For your candidate,Oppose,Suburban women,2.0,Abortion,No,,,,65+,Women without children,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Independent,White Independent,Moderate,,Moderate/Liberal Republicans,Moderate Independents,Has good judgment,White,White,State questionnaire,White,Non-black,White,White,East,Female,White women,,Suburbs,Suburbs,Pennsylvania,White suburban women,Telephone survey,,,,"Satisfied, but not enthusiastic","Enthusiastic or Satisfied, but not enthusiastic",No,Version 1,Joe Biden,By mail,19002.0
12790.0,0.189233313,,Bob Casey,,,65+,60+,65+,75 or older,45+,60+,65+,Non-Black 60+,Women 65+,White 60+,White 65+,Women 45+,Complete,,,,6.0,,No,,Very threatened,Somewhat threatened or Very threatened,Absentee or early in-person,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White women college graduates,,,,,,Favorable,Only Harris,Unfavorable,Better today,For your candidate,Oppose,Suburban women,2.0,The state of democracy,No,,,,65+,Women without children,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Independent,White Independent,Moderate,,Moderate/Liberal Republicans,Moderate Independents,Has good judgment,White,White,State questionnaire,White,Non-black,White,White,East,Female,White women,,Suburbs,Suburbs,Pennsylvania,White suburban women,Telephone survey,,,,"Satisfied, but not enthusiastic","Enthusiastic or Satisfied, but not enthusiastic",No,Version 1,Joe Biden,By mail,19382.0
12791.0,0.378423991,,Bernie Moreno,,,65+,60+,65+,75 or older,45+,60+,65+,Non-Black 60+,Women 65+,White 60+,White 65+,Women 45+,Complete,,,,7.0,,No,,Somewhat threatened,Somewhat threatened or Very threatened,Absentee or early in-person,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White women non college graduates,,,,,,Omit,Omit,Omit,About the same,For your candidate,Favor,Suburban women,3.0,Foreign policy,No,,,,65+,Women without children,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Independent,White Independent,Conservative,,Moderate/Liberal Republicans,Conservative Independents,Has the ability to lead,White,White,State questionnaire,White,Non-black,White,White,East,Female,White women,,Suburbs,Suburbs,Pennsylvania,White suburban women,Telephone survey,,,,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",No,Version 1,Omit,By mail,18064.0
12792.0,0.250357579,Kamala Harris,Bob Casey,,,45-65,30-59,50-64,50-59,45+,45-59,50-64,Black 45-59,Women 45-64,Black 45-59,Black 45-64,Women 45+,Complete,,,,2.0,,No,,Very threatened,Somewhat threatened or Very threatened,Absentee or early in-person,Bachelor's degree (BA or BS),College graduate,More than high school graduate,Non white college degree,Non-whites,,,,,,Favorable,Only Harris,Unfavorable,Worse today,For your candidate,Favor,Urban women,1.0,The economy,No,,,,18-64,Women without children,Democrat,Black Democrat,Black Democrat,Democratic women,Democrat,Non-White Democrats,Moderate,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Cares about people like me,Black,Black,State questionnaire,Black,Black,Non-white,Black,East,Female,Black women,,"Cities over 500,000","Cities over 50,000",Pennsylvania,Other,Telephone survey,,,,Enthusiastic,"Enthusiastic or Satisfied, but not enthusiastic",Yes,Version 1,Joe Biden,By mail,19120.0
12794.0,0.481574674,Kamala Harris,Bob Casey,,,65+,60+,65+,65-74,45+,60+,65+,Non-Black 60+,Women 65+,White 60+,White 65+,Women 45+,Complete,,,,12.0,,No,,Somewhat secure,Very secure or Somewhat secure,Absentee or early in-person,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White women college graduates,,,,,,Favorable,Only Harris,Unfavorable,About the same,For your candidate,Favor,Suburban women,5.0,The state of democracy,No,,,,65+,Women without children,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Moderate,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Can bring needed change,White,White,State questionnaire,White,Non-black,White,White,East,Female,White women,,Suburbs,Suburbs,Pennsylvania,White suburban women,Telephone survey,,,,"Satisfied, but not enthusiastic","Enthusiastic or Satisfied, but not enthusiastic",No,Version 1,Joe Biden,By mail,15120.0
12795.0,0.431178717,Kamala Harris,Bob Casey,,,65+,60+,65+,65-74,45+,60+,65+,Non-Black 60+,Men 65+,White 60+,White 65+,Men 45+,Complete,,,,4.0,,No,,Somewhat threatened,Somewhat threatened or Very threatened,Absentee or early in-person,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White men college graduates,,,,,,Favorable,Only Harris,Unfavorable,Better today,For your candidate,Oppose,Suburban men,3.0,The state of democracy,No,,,,65+,Men without children,Democrat,Non-black Democrat,White Democrat,Democratic men,Democrat,White Democrat,Liberal,,Liberal Democrats,Liberal Democrats,Has good judgment,White,White,State questionnaire,White,Non-black,White,White,East,Male,White men,,Suburbs,Suburbs,Pennsylvania,White suburban men,Telephone survey,,,,"Satisfied, but not enthusiastic","Enthusiastic or Satisfied, but not enthusiastic",No,Version 1,Joe Biden,By mail,19512.0
12796.0,1.103783644,Kamala Harris,Bob Casey,,,65+,60+,65+,65-74,45+,60+,65+,Non-Black 60+,Women 65+,White 60+,White 65+,Women 45+,Complete,,,,4.0,,No,,Somewhat threatened,Somewhat threatened or Very threatened,Absentee or early in-person,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White women college graduates,,,,,,Favorable,Only Harris,Unfavorable,Better today,For your candidate,Oppose,Suburban women,2.0,The state of democracy,No,,,,65+,Women without children,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Independent,White Independent,Liberal,,Moderate/Liberal Republicans,Liberal Independents,Has good judgment,White,White,State questionnaire,White,Non-black,White,White,East,Female,White women,,Suburbs,Suburbs,Pennsylvania,White suburban women,Telephone survey,,,,"Satisfied, but not enthusiastic","Enthusiastic or Satisfied, but not enthusiastic",No,Version 1,Joe Biden,By mail,19462.0
12797.0,0.605688783,Kamala Harris,Bob Casey,,,65+,60+,65+,75 or older,45+,60+,65+,Non-Black 60+,Women 65+,White 60+,White 65+,Women 45+,Complete,,,,10.0,,No,,Somewhat threatened,Somewhat threatened or Very threatened,Absentee or early in-person,Associate's degree (AA or AS),No college degree,More than high school graduate,White no college degree,White women non college graduates,,,,,,Favorable,Only Harris,Unfavorable,Better today,Against their opponent,Favor,Rural women,4.0,The state of democracy,No,,,,65+,Women without children,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Moderate,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Omit,White,White,State questionnaire,White,Non-black,White,White,East,Female,White women,,"Cities 10,000-50,000",Small Cities/Rural,Pennsylvania,Other,Telephone survey,,,,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",No,Version 1,Joe Biden,By mail,17110.0
12798.0,0.295457946,Kamala Harris,Bob Casey,,,65+,60+,65+,75 or older,45+,60+,65+,Non-Black 60+,Men 65+,White 60+,White 65+,Men 45+,Complete,,,,13.0,,No,,Very threatened,Somewhat threatened or Very threatened,Absentee or early in-person,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White men college graduates,,,,,,Favorable,Only Harris,Unfavorable,About the same,For your candidate,Favor,Rural men,4.0,The state of democracy,No,,,,65+,Men without children,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,White Independent,Liberal,,Moderate/Liberal Republicans,Liberal Independents,Has good judgment,White,White,State questionnaire,White,Non-black,White,White,East,Male,White men,,"Cities 10,000-50,000",Small Cities/Rural,Pennsylvania,Other,Telephone survey,,,,Enthusiastic,"Enthusiastic or Satisfied, but not enthusiastic",No,Version 1,Joe Biden,By mail,17201.0
