ID,WEIGHT,PRSNV24,SENNV24,NVQUEST6,ABORT2,ABORTION,AGE,AGE3,AGE4,AGE10,AGE45,AGE60,AGE65,AGEBLACK,AGEBYGENDER,AGEBYRACE,AGEBYRACE08,AGESEX45,BACKSIDE,BIDENPRES2,BIDENPRES4,CALL,CDNUM,CHILD12,CONTROLSEN,DEMOCRACYSECURE,DEMOCRACYSECURE2,EARLYVELECTION,EDUC18,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,FAIRELECTION,FAIRELECTION2,FAVHARRIS,FAVPRES24,FAVTRUMP,FINSIT,FORCAND24,GENDERBYSOP,GEOCODE,IMMDEP24,ISSUE24,LATINO,MARCHILD,MARRIED,NEC,NEC2,NEWVOTER,OVER65,PARENTS,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYID,PARTYWHITE,PHIL3,PRECINCT,PTYIDEO,PTYIDEO7,QLT24,QRACE3,QRACEAI,QTYPE,RACE,RACE2,RACE2B,RACEAI,REGION,SEX,SEXBYRACE,SEXWED,SIZEPLAC,SIZEPLC3,SPANISHQ,STANUM,SUBURBWHITE,TELEPOLL,TIME16,TIME16MONTH,TIME16WEEK,TRACKANGR,TRACKANGR2,UNIONHH12,VERSION,VOTE2020,VOTEMETHOD,ZIPCODE
3112.0,6.390954373,Kamala Harris,Jacky Rosen,Yes,Legal,Legal in all cases,30-44,30-59,35-49,40-44,18-44,30-44,40-49,Non-Black 30-44,Men 30-44,White 30-44,White 30-44,Men 18-44,Complete,Strongly or somewhat approve,Somewhat approve,,4.0,Yes,The Democratic Party,,,Absentee or early in-person,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White men non college graduates,Somewhat confident,Very confident or Somewhat confident,,,,,,Urban men,2.0,Offered a chance to apply for legal status,,No,Married with children,Yes,Good,Excellent or good,No,18-64,Men with children,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,White Independent,Liberal,,Moderate/Liberal Republicans,Liberal Independents,,White,White,State questionnaire,White,Non-black,White,White,West,Male,White men,Married men,"Cities over 500,000","Cities over 50,000",English,Nevada,Other,Telephone survey,Before that,Before that,Before that,,,,Version 2,Joe Biden,By mail,89130.0
3113.0,0.019415851,Donald Trump,None of these candidates,Did not vote,Legal,Legal in all cases,,,,,,,,,,,,,Complete,Strongly or somewhat disapprove,Strongly disapprove,,3.0,No,The Republican Party,,,Absentee or early in-person,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White women non college graduates,Not very confident,Not very confident or Not at all confident,,,,,,Urban women,2.0,Omit,,No,All others,No,Poor,Not so good or poor,No,,Women without children,Republican,Non-black non-Democrat,All Republicans,Republican women,Republican,White Republican,,,,,,White,White,State questionnaire,White,Non-black,White,White,West,Female,White women,Non married women,"Cities over 500,000","Cities over 50,000",English,Nevada,Other,Telephone survey,Before that,Before that,Before that,,,,Version 2,Donald Trump,By mail,89117.0
3114.0,0.615121464,Donald Trump,Sam Brown,No,Illegal,Illegal in most cases,65+,60+,65+,65-74,45+,60+,65+,Non-Black 60+,Men 65+,White 60+,White 65+,Men 45+,Complete,Strongly or somewhat disapprove,Strongly disapprove,,3.0,No,The Republican Party,,,Absentee or early in-person,Never attended college,No college degree,High school graduate or less,White no college degree,White men non college graduates,Not very confident,Not very confident or Not at all confident,,,,,,Urban men,2.0,Deported to the countries they came from,,No,All others,Yes,Poor,Not so good or poor,No,65+,Men without children,Republican,Non-black non-Democrat,All Republicans,Republican men,Republican,White Republican,Conservative,,Independent/Something else,Conservative Republicans,,White,White,State questionnaire,White,Non-black,White,White,West,Male,White men,Married men,"Cities over 500,000","Cities over 50,000",English,Nevada,Other,Telephone survey,Before that,Before that,Before that,,,,Version 2,Donald Trump,Early in-person,89147.0
3115.0,2.72547793,None of these candidates,Jacky Rosen,No,Illegal,Illegal in most cases,65+,60+,65+,65-74,45+,60+,65+,Non-Black 60+,Men 65+,White 60+,White 65+,Men 45+,Complete,Strongly or somewhat disapprove,Strongly disapprove,,2.0,No,The Democratic Party,,,Absentee or early in-person,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White men college graduates,Somewhat confident,Very confident or Somewhat confident,,,,,,Suburban men,1.0,Offered a chance to apply for legal status,,No,All others,Yes,Not so good,Not so good or poor,No,65+,Men without children,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,White Independent,Moderate,,Moderate/Liberal Republicans,Moderate Independents,,White,White,State questionnaire,White,Non-black,White,White,West,Male,White men,Married men,Suburbs,Suburbs,English,Nevada,White suburban men,Telephone survey,Before that,Before that,Before that,,,,Version 2,Other,By mail,89436.0
3116.0,5.439939102,Kamala Harris,Jacky Rosen,Yes,Legal,Legal in most cases,45-65,30-59,50-64,50-59,45+,45-59,50-64,Non-Black 45-59,Men 45-64,Latino 45-59,Latino 45-64,Men 45+,Complete,Strongly or somewhat approve,Strongly approve,,3.0,Yes,The Democratic Party,,,Absentee or early in-person,Associate's degree (AA or AS),No college degree,More than high school graduate,Non white no college degree,Non-whites,Very confident,Very confident or Somewhat confident,,,,,,Urban men,2.0,Offered a chance to apply for legal status,,Yes,All others,No,Good,Excellent or good,No,18-64,Men with children,Independent/Something else,Non-black non-Democrat,Latino Independent,Independent men,Something else,All others,Liberal,,Moderate/Liberal Republicans,Liberal Independents,,Other,American Indian,State questionnaire,Hispanic/Latino,Non-black,Non-white,Hispanic/Latino,West,Male,Latino men,Non married men,"Cities over 500,000","Cities over 50,000",English,Nevada,Other,Telephone survey,Before that,Before that,Before that,,,,Version 2,Joe Biden,By mail,89178.0
3117.0,0.81242119,Donald Trump,Sam Brown,Yes,Legal,Legal in most cases,65+,60+,65+,75 or older,45+,60+,65+,Non-Black 60+,Women 65+,White 60+,White 65+,Women 45+,Complete,Strongly or somewhat disapprove,Strongly disapprove,,2.0,No,The Republican Party,,,Absentee or early in-person,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White women non college graduates,Not very confident,Not very confident or Not at all confident,,,,,,Urban women,1.0,Deported to the countries they came from,,No,All others,No,Poor,Not so good or poor,No,65+,Women without children,Republican,Non-black non-Democrat,All Republicans,Republican women,Republican,White Republican,Moderate,,Conservative Republicans,Mod./Liberal Republicans,,White,White,State questionnaire,White,Non-black,White,White,West,Female,White women,Non married women,"Cities 50,000-500,000","Cities over 50,000",English,Nevada,Other,Telephone survey,Before that,Before that,Before that,,,,Version 2,Donald Trump,Early in-person,89502.0
3118.0,0.47484098,Donald Trump,Sam Brown,,Legal,Legal in all cases,65+,60+,65+,75 or older,45+,60+,65+,Non-Black 60+,Men 65+,White 60+,White 65+,Men 45+,Complete,Strongly or somewhat disapprove,Strongly disapprove,,4.0,No,The Republican Party,,,Absentee or early in-person,Never attended college,No college degree,High school graduate or less,White no college degree,White men non college graduates,Not very confident,Not very confident or Not at all confident,,,,,,Rural men,3.0,Deported to the countries they came from,,No,All others,Yes,Not so good,Not so good or poor,No,65+,Men without children,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,White Independent,Conservative,,Moderate/Liberal Republicans,Conservative Independents,,White,White,State questionnaire,White,Non-black,White,White,West,Male,White men,Married men,Rural,Small Cities/Rural,English,Nevada,Other,Telephone survey,Before that,Before that,Before that,,,,Version 2,Donald Trump,By mail,89061.0
3119.0,0.301042439,Kamala Harris,,Yes,Legal,Legal in all cases,30-44,30-59,35-49,35-39,18-44,30-44,30-39,Non-Black 30-44,Men 30-44,Latino 30-44,Latino 30-44,Men 18-44,Complete,Strongly or somewhat approve,Somewhat approve,,4.0,No,The Democratic Party,,,Absentee or early in-person,Bachelor's degree (BA or BS),College graduate,More than high school graduate,Non white college degree,Non-whites,Very confident,Very confident or Somewhat confident,,,,,,Suburban men,2.0,Offered a chance to apply for legal status,,Yes,All others,No,Good,Excellent or good,No,18-64,Men without children,Independent/Something else,Non-black non-Democrat,Latino Independent,Independent men,Independent,All others,Moderate,,Moderate/Liberal Republicans,Moderate Independents,,Other,White,State questionnaire,Hispanic/Latino,Non-black,Non-white,Hispanic/Latino,West,Male,Latino men,Non married men,Suburbs,Suburbs,English,Nevada,Other,Telephone survey,In October,In the last month,Before that,,,,Version 2,Joe Biden,Early in-person,89031.0
3120.0,0.392737555,Kamala Harris,Jacky Rosen,Yes,Legal,Legal in most cases,45-65,30-59,50-64,50-59,45+,45-59,50-64,Non-Black 45-59,Women 45-64,All others,All others,Women 45+,Complete,Strongly or somewhat disapprove,Somewhat disapprove,,2.0,No,The Democratic Party,,,Absentee or early in-person,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,Non white college degree,Non-whites,Very confident,Very confident or Somewhat confident,,,,,,Rural women,3.0,Omit,,No,All others,Yes,Not so good,Not so good or poor,No,18-64,Women without children,Independent/Something else,Non-black non-Democrat,All Other,Independent women,Independent,All others,Moderate,,Moderate/Liberal Republicans,Moderate Independents,,Other,Other,State questionnaire,Other,Non-black,Non-white,Other,West,Female,All other races,Married women,Rural,Small Cities/Rural,English,Nevada,Other,Telephone survey,Before that,Before that,Before that,,,,Version 2,Joe Biden,Early in-person,89423.0
3121.0,0.327584719,Kamala Harris,Jacky Rosen,Yes,Legal,Legal in most cases,65+,60+,65+,75 or older,45+,60+,65+,Non-Black 60+,Women 65+,White 60+,White 65+,Women 45+,Complete,Strongly or somewhat approve,Strongly approve,,2.0,No,The Democratic Party,,,Absentee or early in-person,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White women college graduates,Very confident,Very confident or Somewhat confident,,,,,,Urban women,1.0,Offered a chance to apply for legal status,,No,All others,Yes,Good,Excellent or good,No,65+,Women without children,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Liberal,,Liberal Democrats,Liberal Democrats,,White,White,State questionnaire,White,Non-black,White,White,West,Female,White women,Married women,"Cities 50,000-500,000","Cities over 50,000",English,Nevada,Other,Telephone survey,Before that,Before that,Before that,,,,Version 2,Joe Biden,Early in-person,89503.0
