ID,WEIGHT,PRSOH24,SENOH24,ABORT2,ABORTION,AGE,AGE3,AGE4,AGE10,AGE45,AGE60,AGE65,AGEBLACK,AGEBYGENDER,AGEBYRACE,AGEBYRACE08,AGESEX45,BACKSIDE,BIDENPRES2,BIDENPRES4,BRNAGAIN,CALL,CDNUM,CHILD12,CONTROLSEN,DEMOCRACYSECURE,DEMOCRACYSECURE2,DEWINE24,EARLYVELECTION,EDUC18,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,FAIRELECTION,FAIRELECTION2,FAVHARRIS,FAVPRES24,FAVTRUMP,FAVVANCE,FAVVP24,FAVWALZ,FINSIT,FORCAND24,GENDERBYSOP,GEOCODE,IMMBETTER,INC100K,INC50K,INCOME3,INCOME24,INCWHITE,ISSUE24,LATINO,NEC,NEC2,NEWVOTER,OVER65,PARENTS,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYID,PARTYWHITE,PHIL3,PRECINCT,PTYIDEO,PTYIDEO7,QLT24,QRACE3,QRACEAI,QTYPE,RACE,RACE2,RACE2B,RACEAI,REGION,SEX,SEXBYRACE,SIZEPLAC,SIZEPLC3,STANUM,SUBURBWHITE,TELEPOLL,TIME16,TIME16MONTH,TIME16WEEK,TRACKANGR,TRACKANGR2,UNIONHH12,VERSION,VOTE2020,VOTEMETHOD,WHNCLINC,WHTEVANG
5427.0,0.077870044,Kamala Harris,Sherrod Brown,Legal,Legal in all cases,45-65,30-59,50-64,50-59,45+,45-59,50-64,,Men 45-64,,,Men 45+,Complete,Strongly or somewhat approve,Strongly approve,,,1.0,,The Democratic Party,,,Approve,Absentee or early in-person,Attended college but received no degree,No college degree,More than high school graduate,,,Very confident,Very confident or Somewhat confident,,,,Unfavorable,Only Walz,Favorable,,,Urban men,5.0,Omit,,,,,,,,Good,Excellent or good,No,18-64,,Democrat,,,Democratic men,Democrat,,Moderate,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,,,State questionnaire,,,,,Midwest,Male,,"Cities 50,000-500,000","Cities over 50,000",Ohio,Other,Telephone survey,Before that,Before that,Before that,,,,Version 2,Joe Biden,Early in-person,,
5428.0,0.147391047,Kamala Harris,Sherrod Brown,Legal,Legal in most cases,65+,60+,65+,65-74,45+,60+,65+,Non-Black 60+,Men 65+,White 60+,White 65+,Men 45+,Complete,Strongly or somewhat approve,Strongly approve,No,,1.0,,The Democratic Party,,,Omit,Absentee or early in-person,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White men non college graduates,Very confident,Very confident or Somewhat confident,,,,Unfavorable,Only Walz,Favorable,,,Urban men,5.0,Help the country,,,,,,,No,Good,Excellent or good,No,65+,,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,White Independent,Moderate,,Moderate/Liberal Republicans,Moderate Independents,,White,White,State questionnaire,White,Non-black,White,White,Midwest,Male,White men,"Cities 50,000-500,000","Cities over 50,000",Ohio,Other,Telephone survey,Before that,Before that,Before that,,,,Version 2,Joe Biden,Early in-person,,All others
5429.0,0.214012054,Kamala Harris,Sherrod Brown,Legal,Legal in all cases,65+,60+,65+,65-74,45+,60+,65+,Non-Black 60+,Women 65+,White 60+,White 65+,Women 45+,Complete,Strongly or somewhat approve,Somewhat approve,No,,1.0,,The Democratic Party,,,Approve,Absentee or early in-person,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White women non college graduates,Very confident,Very confident or Somewhat confident,,,,Unfavorable,Only Walz,Favorable,,,Suburban women,5.0,Hurt the country,,,,,,,No,Good,Excellent or good,No,65+,,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Moderate,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,White,White,State questionnaire,White,Non-black,White,White,Midwest,Female,White women,Suburbs,Suburbs,Ohio,White suburban women,Telephone survey,Before that,Before that,Before that,,,,Version 2,Joe Biden,Early in-person,,All others
5430.0,1.358262741,Donald Trump,Bernie Moreno,Illegal,Illegal in most cases,65+,60+,65+,65-74,45+,60+,65+,Non-Black 60+,Men 65+,White 60+,White 65+,Men 45+,Complete,Strongly or somewhat disapprove,Strongly disapprove,No,,1.0,,The Republican Party,,,Approve,Absentee or early in-person,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White men college graduates,Very confident,Very confident or Somewhat confident,,,,Favorable,Only Vance,Unfavorable,,,Urban men,5.0,Hurt the country,,,,,,,No,Poor,Not so good or poor,No,65+,,Republican,Non-black non-Democrat,All Republicans,Republican men,Republican,White Republican,Conservative,,Independent/Something else,Conservative Republicans,,White,White,State questionnaire,White,Non-black,White,White,Midwest,Male,White men,"Cities 50,000-500,000","Cities over 50,000",Ohio,Other,Telephone survey,In September,Before that,Before that,,,,Version 2,Donald Trump,By mail,,All others
5431.0,0.01320281,Did not vote,Bernie Moreno,Legal,Legal in most cases,45-65,30-59,50-64,60-64,45+,45-59,50-64,Non-Black 45-59,Women 45-64,White 45-59,White 45-64,Women 45+,Complete,Strongly or somewhat disapprove,Strongly disapprove,No,,10.0,,The Republican Party,,,Approve,Absentee or early in-person,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,Very confident,Very confident or Somewhat confident,,,,Unfavorable,Neither,Unfavorable,,,Suburban women,5.0,Hurt the country,,,,,,,No,Poor,Not so good or poor,No,18-64,,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Independent,White Independent,Moderate,,Moderate/Liberal Republicans,Moderate Independents,,White,White,State questionnaire,White,Non-black,White,White,Midwest,Female,White women,Suburbs,Suburbs,Ohio,White suburban women,Telephone survey,In October,In the last month,Before that,,,,Version 2,Other,Early in-person,,All others
5432.0,1.212412663,Kamala Harris,Sherrod Brown,Legal,Legal in most cases,65+,60+,65+,75 or older,45+,60+,65+,Non-Black 60+,Men 65+,White 60+,White 65+,Men 45+,Complete,Strongly or somewhat approve,Somewhat approve,Yes,,1.0,,The Democratic Party,,,Approve,Absentee or early in-person,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White men college graduates,Very confident,Very confident or Somewhat confident,,,,Unfavorable,Only Walz,Favorable,,,Urban men,5.0,Help the country,,,,,,,No,Good,Excellent or good,No,65+,,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,White Independent,Conservative,,Moderate/Liberal Republicans,Conservative Independents,,White,White,State questionnaire,White,Non-black,White,White,Midwest,Male,White men,"Cities 50,000-500,000","Cities over 50,000",Ohio,Other,Telephone survey,Before that,Before that,Before that,,,,Version 2,Joe Biden,By mail,,White Born-again/Evangelical Christians
5433.0,0.911137502,Kamala Harris,Sherrod Brown,Illegal,Illegal in most cases,65+,60+,65+,75 or older,45+,60+,65+,Non-Black 60+,Men 65+,White 60+,White 65+,Men 45+,Complete,Strongly or somewhat approve,Somewhat approve,Yes,,1.0,,The Democratic Party,,,Omit,Absentee or early in-person,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White men college graduates,Very confident,Very confident or Somewhat confident,,,,Unfavorable,Only Walz,Favorable,,,Urban men,5.0,Omit,,,,,,,No,Good,Excellent or good,No,65+,,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,White Independent,Moderate,,Moderate/Liberal Republicans,Moderate Independents,,White,White,State questionnaire,White,Non-black,White,White,Midwest,Male,White men,"Cities 50,000-500,000","Cities over 50,000",Ohio,Other,Telephone survey,Before that,Before that,Before that,,,,Version 2,Omit,By mail,,White Born-again/Evangelical Christians
5434.0,0.068322312,Kamala Harris,Sherrod Brown,Legal,Legal in all cases,30-44,30-59,35-49,40-44,18-44,30-44,40-49,Black 30-44,Women 30-44,Black 30-44,Black 30-44,Women 18-44,Complete,Strongly or somewhat disapprove,Somewhat disapprove,,,8.0,,The Democratic Party,,,Approve,Absentee or early in-person,Bachelor's degree (BA or BS),College graduate,More than high school graduate,Non white college degree,Non-whites,Somewhat confident,Very confident or Somewhat confident,,,,Favorable,Both,Favorable,,,Urban women,5.0,Help the country,,,,,,,No,Not so good,Not so good or poor,No,18-64,,Independent/Something else,Black non-Democrat,Black Independent,Independent women,Independent,All others,Liberal,,Moderate/Liberal Republicans,Liberal Independents,,Black,Black,State questionnaire,Black,Black,Non-white,Black,Midwest,Female,Black women,"Cities 50,000-500,000","Cities over 50,000",Ohio,Other,Telephone survey,Before that,Before that,Before that,,,,Version 2,Joe Biden,Early in-person,,All others
5435.0,4.632739374,Donald Trump,Bernie Moreno,Legal,Legal in most cases,65+,60+,65+,75 or older,45+,60+,65+,Non-Black 60+,Men 65+,White 60+,White 65+,Men 45+,Complete,Strongly or somewhat disapprove,Strongly disapprove,Yes,,8.0,,The Republican Party,,,Approve,Absentee or early in-person,Never attended college,No college degree,High school graduate or less,White no college degree,White men non college graduates,Very confident,Very confident or Somewhat confident,,,,Favorable,Both,Favorable,,,Urban men,5.0,Hurt the country,,,,,,,No,Not so good,Not so good or poor,No,65+,,Republican,Non-black non-Democrat,All Republicans,Republican men,Republican,White Republican,Conservative,,Independent/Something else,Conservative Republicans,,White,White,State questionnaire,White,Non-black,White,White,Midwest,Male,White men,"Cities 50,000-500,000","Cities over 50,000",Ohio,Other,Telephone survey,Before that,Before that,Before that,,,,Version 2,Donald Trump,By mail,,White Born-again/Evangelical Christians
5436.0,0.065886265,Kamala Harris,Sherrod Brown,Legal,Legal in all cases,65+,60+,65+,75 or older,45+,60+,65+,Non-Black 60+,Men 65+,White 60+,White 65+,Men 45+,Complete,Strongly or somewhat approve,Somewhat approve,No,,10.0,,The Democratic Party,,,Approve,Absentee or early in-person,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White men college graduates,Very confident,Very confident or Somewhat confident,,,,Unfavorable,Only Walz,Favorable,,,Urban men,5.0,Help the country,,,,,,,No,Excellent,Excellent or good,No,65+,,Republican,Non-black non-Democrat,All Republicans,Republican men,Republican,White Republican,Moderate,,Conservative Republicans,Mod./Liberal Republicans,,White,White,State questionnaire,White,Non-black,White,White,Midwest,Male,White men,"Cities 50,000-500,000","Cities over 50,000",Ohio,Other,Telephone survey,Before that,Before that,Before that,,,,Version 2,Joe Biden,Early in-person,,All others
