V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37
1.0,0.0,G,32.0,3.0,1.0,First call,1.0,65 and over,Hispanic,Male,Johnson,,Yes,Disapprove,Approve,Hispanic,Oppose Clinton,Yes,Yes,Yes,Same,Perot,Independent,,15 to 30K,,65 and over,State,Complete,Albuqueque area,60 and over,65 and over,Independent/Other,65 and over,1.448,Unfavorable
1.0,0.0,G,32.0,3.0,2.0,First call,1.0,45-49,Black,Female,Chavez,More,No,Approve,Disapprove,Black,Neither,No,No,No,Worse,Clinton,Independent,College grad,50 to 75K,Liberal,18 to 64,State,Complete,Albuqueque area,45 to 59,40 to 49,Independent/Other,40 to 49,0.704,Favorable
1.0,0.0,G,32.0,3.0,3.0,First call,1.0,50-59,Hispanic,Female,Chavez,Less,Yes,Approve,Disapprove,Hispanic,Neither,No,No,Yes,Better,Clinton,Democrat,HS grad,50 to 75K,Moderate,18 to 64,State,Complete,Albuqueque area,45 to 59,50 to 59,Democrat,50 to 64,0.704,Unfavorable
1.0,0.0,G,32.0,3.0,4.0,First call,1.0,50-59,Hispanic,Female,Chavez,More,Yes,Approve,Disapprove,Hispanic,Neither,No,No,Yes,Better,Clinton,Democrat,Postgrad,50 to 75K,Moderate,18 to 64,State,Complete,Albuqueque area,45 to 59,50 to 59,Democrat,50 to 64,0.704,Favorable
1.0,0.0,G,32.0,3.0,5.0,First call,1.0,18-24,Hispanic,Female,Chavez,More,Yes,Approve,Approve,Hispanic,Neither,No,No,No,Better,Clinton,Democrat,Some college,30 to 50K,Liberal,18 to 64,State,Complete,Albuqueque area,18 to 29,18 to 24,Democrat,18 to 24,0.7189999999999999,Favorable
1.0,0.0,G,32.0,3.0,6.0,First call,1.0,50-59,White,Male,Johnson,Less,No,Disapprove,Approve,White,Neither,Yes,Yes,No,Same,Dole,Republican,Some college,50 to 75K,Conservative,18 to 64,State,Complete,Albuqueque area,45 to 59,50 to 59,Republican,50 to 64,1.292,Unfavorable
1.0,0.0,G,32.0,3.0,7.0,First call,1.0,60-64,Hispanic,,Chavez,Less,Yes,Approve,Disapprove,Hispanic,Support Clinton,No,,No,Better,Clinton,Democrat,No HS,15 to 30K,Liberal,18 to 64,State,Complete,Albuqueque area,60 and over,65 and over,Democrat,50 to 64,0.943,Favorable
1.0,0.0,G,32.0,3.0,8.0,First call,1.0,50-59,White,Male,Chavez,More,No,Approve,Disapprove,White,Neither,No,No,Yes,Worse,Clinton,Something else,Postgrad,30 to 50K,Liberal,18 to 64,State,Complete,Albuqueque area,45 to 59,50 to 59,Independent/Other,50 to 64,0.8410000000000001,Unfavorable
1.0,0.0,G,32.0,3.0,9.0,First call,1.0,50-59,White,Female,Chavez,More,No,Approve,Disapprove,White,Support Clinton,No,No,No,Same,Clinton,Independent,College grad,75 to 100K,Liberal,18 to 64,State,Complete,Albuqueque area,45 to 59,50 to 59,Independent/Other,50 to 64,0.837,Favorable
1.0,0.0,G,32.0,3.0,10.0,First call,1.0,50-59,White,Male,Johnson,Less,No,Approve,Disapprove,White,Neither,No,No,Yes,Same,Clinton,Independent,College grad,50 to 75K,Conservative,18 to 64,State,Complete,Albuqueque area,45 to 59,50 to 59,Independent/Other,50 to 64,1.292,Unfavorable
