State ID Number,Precint Number,Sequence Number Within Precinct,Call Number,Age,Race,Sex,Senator Vote,Governor Vote,Clinton Approval,Congress Approval,Reason for Cong Vote,Religious Right,State economy condition,Cong impeach Clin?,Should Clin resign?,Cong censure Clin?,Financial Situation,1996 vote,Party ID,Education,Religion,Income,Ideology,Age (65 and over),State or national poll,Backside,Geocode,Age (4 categories),Age (ABC categories),Party ID,Age (6 categories),Weight 3 implied dec,Senate issues,Governor issues,Future of state economy,Clinton as person,Union memeber in HH
36.0,1.0,1.0,First call,30-39,White,Male,Voinovich,Taft,Disapprove,Disapprove,Neither,Yes,Good,No,Yes,Yes,Better,Dole,Republican,Some college,Protestant,75 to 100K,Conservative,18 to 64,State,Complete,Central,30 to 44,30 to 39,Republican,30 to 39,0.579,Economy/jobs,Economy/jobs,Same,Unfavorable,Yes
36.0,1.0,2.0,First call,45-49,White,Female,Voinovich,Taft,Disapprove,Disapprove,Oppose Clinton,No,Good,Yes,Yes,Yes,Worse,Dole,Republican,Some college,Protestant,50 to 75K,Moderate,18 to 64,State,Complete,Central,45 to 59,40 to 49,Republican,40 to 49,0.588,Economy/jobs,Economy/jobs,Better,Unfavorable,Yes
36.0,1.0,3.0,First call,40-44,White,Male,Voinovich,Taft,Disapprove,Disapprove,Neither,No,Good,Yes,Yes,No,Better,Dole,Republican,College grad,Protestant,30 to 50K,Moderate,18 to 64,State,Complete,Central,30 to 44,40 to 49,Republican,40 to 49,0.579,Economy/jobs,Economy/jobs,Same,Unfavorable,No
36.0,1.0,4.0,First call,40-44,White,Male,Boyle,Taft,Disapprove,Approve,Support Clinton,No,Good,No,No,No,Same,Dole,Independent,Some college,Catholic,50 to 75K,Conservative,18 to 64,State,Complete,Central,30 to 44,40 to 49,Independent/Other,40 to 49,0.5640000000000001,Taxes,Education,Same,Unfavorable,No
36.0,1.0,5.0,First call,60-64,White,Male,Voinovich,Taft,Disapprove,Approve,Neither,No,Excellent,Yes,Yes,Yes,Better,Dole,Republican,College grad,Protestant,75 to 100K,Moderate,18 to 64,State,Complete,Central,60 and over,60 and over,Republican,50 to 64,0.723,Clin/Lwnsky,Taxes,Same,Unfavorable,No
36.0,1.0,6.0,First call,18-24,White,Male,Voinovich,Taft,Disapprove,Approve,Neither,No,Good,Yes,Yes,No,Better,Clinton,Republican,College grad,Other Christian,30 to 50K,Moderate,18 to 64,State,Complete,Central,18 to 29,18 to 24,Republican,18 to 24,0.658,Education,Education,Better,Unfavorable,No
36.0,1.0,7.0,Second call,45-49,White,Female,Voinovich,Taft,Disapprove,Disapprove,Oppose Clinton,No,Good,Yes,Yes,Yes,Worse,Dole,Republican,Some college,Protestant,50 to 75K,Moderate,18 to 64,State,Complete,Central,45 to 59,40 to 49,Republican,40 to 49,0.588,Economy/jobs,Economy/jobs,Better,Unfavorable,Yes
36.0,1.0,8.0,Second call,40-44,White,Male,Voinovich,Taft,Disapprove,Disapprove,Neither,No,Good,Yes,Yes,No,Better,Dole,Republican,College grad,Protestant,30 to 50K,Moderate,18 to 64,State,Complete,Central,30 to 44,40 to 49,Republican,40 to 49,0.579,Economy/jobs,Economy/jobs,Same,Unfavorable,No
36.0,1.0,9.0,Second call,40-44,White,Male,Voinovich,Taft,Disapprove,Approve,Neither,No,Good,Yes,No,No,Same,Dole,Independent,Some college,Catholic,50 to 75K,Conservative,18 to 64,State,Complete,Central,30 to 44,40 to 49,Independent/Other,40 to 49,0.579,Taxes,Education,Same,Unfavorable,No
36.0,1.0,10.0,Second call,60-64,White,Male,Voinovich,Taft,Disapprove,Approve,Neither,No,Excellent,Yes,Yes,Yes,Better,Dole,Republican,College grad,Protestant,75 to 100K,Moderate,18 to 64,State,Complete,Central,60 and over,60 and over,Republican,50 to 64,0.723,Clin/Lwnsky,Taxes,Same,Unfavorable,No
