State ID Number,Precint Number,Sequence Number Within Precinct,Call Number,Age,Race,Sex,Senator Vote,Governor Race,Hispanic descent,Clinton Approval,Congress Approval,Q-Race (without Hispanic adj),Reason for Cong Vote,Religious Right,Cong impeach Clin?,Should Clin resign?,Cong censure Clin?,Financial Situation,1996 vote,Education,Income,Ideology,Age (65 and over),Prop300: Bar Medical Use of Marijuana,State or national poll,Backside,Geocode,Age (4 categories),Age (ABC categories),Party ID,Age (6 categories),Weight 3 implied dec
3.0,1.0,1.0,First call,60-64,Other,Male,Ranger,Johnson,No,Approve,Approve,,Support Clinton,No,No,Yes,Better,Clinton,Democrat,No HS,30 to 50K,Liberal,18 to 64,Yes,State,Complete,Desert area,60 and over,65 and over,Democrat,50 to 64,0.91
3.0,1.0,2.0,First call,30-39,Other,Female,Ranger,Johnson,No,Disapprove,Approve,,Oppose Clinton,Yes,Yes,Yes,Better,Other,Republican,No HS,Under 15K,Moderate,18 to 64,Yes,State,Complete,Desert area,30 to 44,30 to 39,Republican,30 to 39,0.908
3.0,1.0,3.0,First call,25-29,Other,Female,Ranger,Johnson,No,Disapprove,Approve,,Oppose Clinton,Yes,Yes,Yes,Same,Did not vote,Democrat,No HS,Under 15K,Liberal,18 to 64,No,State,Complete,Desert area,18 to 29,25 to 29,Democrat,25 to 29,0.899
3.0,1.0,4.0,First call,40-44,Other,Female,McCain,Hull,No,Disapprove,Disapprove,,Oppose Clinton,Yes,Yes,Yes,Same,Clinton,Democrat,College grad,50 to 75K,Moderate,18 to 64,No,State,Complete,Desert area,30 to 44,40 to 49,Democrat,40 to 49,1.015
3.0,1.0,5.0,First call,45-49,Other,Female,McCain,Johnson,,Approve,Disapprove,,,,,,,,,,,,18 to 64,No,State,Not complete,Desert area,45 to 59,40 to 49,,40 to 49,0.8660000000000001
3.0,1.0,6.0,First call,65 and over,Hispanic,Male,McCain,Johnson,Yes,Approve,Approve,,Support Clinton,Yes,Yes,Yes,Better,Clinton,Democrat,HS grad,50 to 75K,Liberal,65 and over,Yes,State,Complete,Desert area,60 and over,65 and over,Democrat,65 and over,0.748
3.0,1.0,7.0,First call,45-49,Hispanic,Female,McCain,Hull,Yes,Approve,Approve,,Support Clinton,No,No,No,Same,Clinton,Democrat,No HS,Under 15K,Liberal,18 to 64,Yes,State,Complete,Desert area,45 to 59,40 to 49,Democrat,40 to 49,0.876
3.0,1.0,8.0,First call,50-59,Other,Female,McCain,Johnson,No,Approve,Approve,,Support Clinton,No,No,No,Better,Clinton,Democrat,College grad,30 to 50K,Moderate,18 to 64,Yes,State,Complete,Desert area,45 to 59,50 to 59,Democrat,50 to 64,0.871
3.0,1.0,9.0,First call,40-44,Other,Female,McCain,Johnson,No,Approve,Approve,,Support Clinton,No,No,No,Same,Clinton,Democrat,Some college,15 to 30K,Conservative,18 to 64,Yes,State,Complete,Desert area,30 to 44,40 to 49,Democrat,40 to 49,0.871
3.0,1.0,10.0,First call,65 and over,Other,Male,McCain,Johnson,No,Approve,Approve,,Support Clinton,No,No,No,Better,Clinton,Democrat,No HS,Under 15K,Liberal,65 and over,No,State,Complete,Desert area,60 and over,65 and over,Democrat,65 and over,0.867
3.0,1.0,11.0,First call,25-29,White,Male,Ranger,Johnson,No,Approve,Disapprove,White,,,,,,,,,,,18 to 64,Yes,State,Not complete,Desert area,18 to 29,25 to 29,,25 to 29,0.957
3.0,1.0,12.0,First call,30-39,Other,Female,McCain,Hull,No,Approve,Approve,,Support Clinton,Yes,No,No,Better,Clinton,Democrat,No HS,Under 15K,Moderate,18 to 64,Yes,State,Complete,Desert area,30 to 44,30 to 39,Democrat,30 to 39,1.023
3.0,1.0,13.0,First call,18-24,Other,Male,McCain,Johnson,No,Approve,Disapprove,,Support Clinton,No,No,No,Better,Clinton,Republican,HS grad,15 to 30K,Moderate,18 to 64,No,State,Complete,Desert area,18 to 29,18 to 24,Republican,18 to 24,0.912
3.0,1.0,14.0,Second call,30-39,Other,Female,McCain,Johnson,No,Approve,Disapprove,,Neither,No,No,,Same,Dole,Something else,HS grad,Under 15K,Liberal,18 to 64,,State,Complete,Desert area,30 to 44,30 to 39,Independent/Other,30 to 39,0.868
3.0,1.0,15.0,Second call,45-49,Other,Male,Ranger,Johnson,,Approve,Approve,,Support Clinton,No,Yes,No,Better,Clinton,Independent,Some college,30 to 50K,Liberal,18 to 64,No,State,Complete,Desert area,45 to 59,40 to 49,Independent/Other,40 to 49,0.955
3.0,1.0,16.0,Second call,40-44,Other,Male,Ranger,Johnson,No,Approve,Disapprove,,Support Clinton,No,No,Yes,Better,Clinton,Democrat,Some college,15 to 30K,Liberal,18 to 64,Yes,State,Complete,Desert area,30 to 44,40 to 49,Democrat,40 to 49,0.961
3.0,1.0,17.0,Second call,45-49,Other,Male,McCain,Hull,No,Approve,Disapprove,,Neither,No,No,No,Same,Clinton,Democrat,No HS,50 to 75K,Conservative,18 to 64,No,State,Complete,Desert area,45 to 59,40 to 49,Democrat,40 to 49,1.074
3.0,1.0,18.0,Second call,65 and over,Other,Female,Ranger,Johnson,No,Approve,Approve,,Support Clinton,No,No,No,Better,Clinton,Democrat,No HS,Under 15K,Liberal,65 and over,Yes,State,Complete,Desert area,60 and over,65 and over,Democrat,65 and over,0.86
3.0,1.0,19.0,Second call,60-64,Other,Female,Ranger,Johnson,No,Disapprove,Approve,,Oppose Clinton,Yes,Yes,Yes,Better,Clinton,Democrat,No HS,Under 15K,Liberal,18 to 64,No,State,Complete,Desert area,60 and over,65 and over,Democrat,50 to 64,0.8540000000000001
