V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45
1.0,0.0,G,14.0,2.0,1.0,First call,1.0,25-29,White,Female,,Ryan,Approve,,,,Oppose Clinton,,,,,,,Worse,Independent,,3.0,HS grad,Catholic,,Liberal,18 to 64,,National,Complete,North,18 to 29,25 to 29,Independent/Other,25 to 29,1.603,,,No
1.0,0.0,G,14.0,2.0,2.0,Second call,1.0,45-49,White,Female,Moseley-Braun,Poshard,Approve,Disapprove,,,Neither,No,,,No,No,Yes,Better,Democrat,,3.0,Postgrad,Catholic,30 to 50K,Moderate,18 to 64,,National,Complete,North,45 to 59,40 to 49,Independent/Other,40 to 49,1.432,,Unfavorable,No
1.0,0.0,G,14.0,2.0,3.0,Second call,1.0,50-59,Black,Female,Moseley-Braun,Poshard,Approve,Approve,,,Neither,Yes,,,No,No,No,Same,Democrat,,1.0,HS grad,Protestant,15 to 30K,Conservative,18 to 64,,National,Complete,North,45 to 59,50 to 59,Democrat,50 to 64,1.306,,Favorable,Yes
1.0,0.0,G,14.0,2.0,4.0,Second call,1.0,65 and over,White,,Moseley-Braun,Ryan,Disapprove,Approve,,,Neither,,,,,Yes,,Same,,,,,Catholic,,Moderate,65 and over,,National,Complete,North,60 and over,60 and over,,65 and over,1.931,,,
1.0,0.0,G,14.0,2.0,5.0,Second call,1.0,60-64,Black,Female,Fitzgerald,Ryan,,Approve,,,,No,,,,Yes,Yes,Same,Republican,,2.0,Some college,Something else,30 to 50K,Moderate,18 to 64,,National,Complete,North,60 and over,60 and over,Republican,50 to 64,1.51,,Unfavorable,No
1.0,0.0,G,14.0,2.0,6.0,Second call,1.0,65 and over,White,Female,Moseley-Braun,Poshard,Approve,Disapprove,,,Neither,No,,,No,No,Yes,Same,Democrat,,1.0,Some college,Catholic,30 to 50K,Moderate,65 and over,,National,Complete,North,60 and over,60 and over,Democrat,65 and over,1.8840000000000001,,Unfavorable,Yes
1.0,0.0,G,14.0,2.0,7.0,Second call,1.0,40-44,Black,Female,Moseley-Braun,Poshard,Approve,,,,,,,,,,,Better,,,1.0,,,50 to 75K,Liberal,18 to 64,,National,Complete,North,30 to 44,40 to 49,Democrat,40 to 49,1.306,,,
1.0,0.0,G,14.0,2.0,8.0,Second call,1.0,65 and over,White,Female,Moseley-Braun,Poshard,Approve,,,,,,,,,,,Same,,,1.0,,,,Moderate,65 and over,,National,Complete,North,60 and over,60 and over,Democrat,65 and over,1.8840000000000001,,,
1.0,0.0,G,14.0,2.0,9.0,Second call,1.0,30-39,White,Female,Moseley-Braun,Ryan,Approve,,,,,,,,,,,Better,,,4.0,,,,Liberal,18 to 64,,National,Complete,North,30 to 44,30 to 39,Independent/Other,30 to 39,1.47,,,
1.0,0.0,G,14.0,2.0,10.0,Second call,1.0,30-39,Black,Female,Moseley-Braun,Poshard,Disapprove,,,,,,,,,,,Better,,,2.0,,,30 to 50K,Moderate,18 to 64,,National,Complete,North,30 to 44,30 to 39,Republican,30 to 39,1.306,,,
1.0,0.0,G,14.0,2.0,11.0,Second call,1.0,25-29,White,Male,Fitzgerald,Poshard,Approve,,,,,,,,,,,Better,,,1.0,,,30 to 50K,Liberal,18 to 64,,National,Complete,North,18 to 29,25 to 29,Democrat,25 to 29,1.638,,,
1.0,0.0,G,14.0,2.0,12.0,Second call,1.0,50-59,White,Female,Moseley-Braun,Poshard,Approve,,,,,,,,,,,Better,,,1.0,,,30 to 50K,Moderate,18 to 64,,National,Complete,North,45 to 59,50 to 59,Democrat,50 to 64,1.432,,,
