State ID Number,Precint Number,Sequence Number Within Precinct,Call Number,Age,Race,Sex,Governor Vote,Clinton Approval,Congress Approval,Phys-Ass-Suicide,Reason for Cong Vote,Cong impeach Clin?,Should Clin resign?,Cong censure Clin?,Financial Situation,1996 vote,Party ID,Education,Income,Ideology,Age (65 and over),Feiger opinion,State or national poll,Backside,Geocode,Age (4 categories),Age (ABC categories),Party ID,Age (6 categories),Weight (3 implied dec places),Clinton as person,Union member in HH
23.0,5.0,1.0,First call,50-59,White,,Feiger,Approve,Disapprove,Yes,,,,,,,,,,,18 to 64,Favorable,State,Not complete,Unvrsty/Upper,45 to 59,50 to 59,,50 to 64,1.6019999999999999,Favorable,No
23.0,5.0,2.0,First call,50-59,White,Male,Feiger,Approve,Disapprove,Yes,Neither,No,No,No,Same,Clinton,Democrat,Some college,30 to 50K,Moderate,18 to 64,Favorable,State,Complete,Unvrsty/Upper,45 to 59,50 to 59,Democrat,50 to 64,1.7810000000000001,Favorable,No
23.0,5.0,3.0,First call,50-59,White,Female,Engler,Disapprove,Approve,No,Oppose Clinton,Yes,Yes,No,Same,Dole,Republican,HS grad,50 to 75K,Conservative,18 to 64,Unfavorable,State,Complete,Unvrsty/Upper,45 to 59,50 to 59,Republican,50 to 64,1.888,Unfavorable,No
23.0,5.0,4.0,First call,45-49,White,Male,Engler,Disapprove,,No,Neither,Yes,Yes,Yes,Same,Dole,Independent,College grad,50 to 75K,Conservative,18 to 64,Unfavorable,State,Complete,Unvrsty/Upper,45 to 59,40 to 49,Independent/Other,40 to 49,2.1,Unfavorable,Yes
23.0,5.0,5.0,First call,50-59,White,Male,Engler,Approve,Approve,No,Neither,No,No,Yes,Worse,Clinton,Independent,Some college,30 to 50K,Moderate,18 to 64,Unfavorable,State,Complete,Unvrsty/Upper,45 to 59,50 to 59,Independent/Other,50 to 64,2.1,Unfavorable,Yes
23.0,5.0,6.0,First call,65 and over,White,Male,Feiger,Disapprove,Disapprove,No,Neither,No,No,Yes,Same,Clinton,Democrat,HS grad,15 to 30K,Liberal,65 and over,Favorable,State,Complete,Unvrsty/Upper,60 and over,60 and over,Democrat,65 and over,2.254,Unfavorable,Yes
23.0,5.0,7.0,First call,40-44,White,Male,Feiger,Approve,Disapprove,Yes,Support Clinton,No,No,No,Better,Clinton,Democrat,College grad,15 to 30K,Liberal,18 to 64,Favorable,State,Complete,Unvrsty/Upper,30 to 44,40 to 49,Democrat,40 to 49,1.7810000000000001,Favorable,No
23.0,5.0,8.0,First call,30-39,White,Male,Engler,Disapprove,Disapprove,No,Oppose Clinton,Yes,Yes,No,Worse,Dole,Republican,Some college,15 to 30K,Conservative,18 to 64,Unfavorable,State,Complete,Unvrsty/Upper,30 to 44,30 to 39,Republican,30 to 39,2.1,Unfavorable,No
23.0,5.0,9.0,Second call,65 and over,White,Male,Engler,Disapprove,Disapprove,No,Oppose Clinton,Yes,Yes,No,Same,Dole,Republican,HS grad,30 to 50K,Conservative,65 and over,Unfavorable,State,Complete,Unvrsty/Upper,60 and over,60 and over,Republican,65 and over,2.599,Unfavorable,No
23.0,5.0,10.0,Second call,50-59,White,Male,Feiger,Disapprove,Disapprove,No,Neither,No,No,,Better,Clinton,Democrat,HS grad,100K or more,Moderate,18 to 64,Favorable,State,Complete,Unvrsty/Upper,45 to 59,50 to 59,Democrat,50 to 64,1.822,Unfavorable,No
23.0,5.0,11.0,Second call,60-64,White,Female,Engler,Disapprove,Disapprove,No,Neither,Yes,Yes,No,Same,Dole,Independent,College grad,30 to 50K,Conservative,18 to 64,Unfavorable,State,Complete,Unvrsty/Upper,60 and over,60 and over,Independent/Other,50 to 64,2.338,Unfavorable,No
23.0,5.0,12.0,Second call,60-64,White,Female,Engler,Approve,Approve,No,Neither,No,No,No,Same,Clinton,Independent,HS grad,15 to 30K,Moderate,18 to 64,Unfavorable,State,Complete,Unvrsty/Upper,60 and over,60 and over,Independent/Other,50 to 64,2.338,,No
23.0,5.0,13.0,Third call,30-39,White,Male,Engler,Disapprove,Approve,No,Oppose Clinton,Yes,Yes,Yes,Better,,Republican,HS grad,30 to 50K,Conservative,18 to 64,Unfavorable,State,Complete,Unvrsty/Upper,30 to 44,30 to 39,Republican,30 to 39,2.1,Unfavorable,No
23.0,5.0,14.0,Third call,30-39,White,Female,Engler,Disapprove,Approve,No,Oppose Clinton,No,No,Yes,Better,Clinton,Independent,College grad,75 to 100K,Moderate,18 to 64,Unfavorable,State,Complete,Unvrsty/Upper,30 to 44,30 to 39,Independent/Other,30 to 39,1.888,Unfavorable,No
23.0,5.0,15.0,Third call,30-39,White,Male,Feiger,Disapprove,Approve,Yes,Oppose Clinton,No,No,Yes,Same,Perot,Independent,College grad,30 to 50K,Moderate,18 to 64,Favorable,State,Complete,Unvrsty/Upper,30 to 44,30 to 39,Independent/Other,30 to 39,1.7810000000000001,Unfavorable,No
23.0,5.0,16.0,Third call,18-24,White,Female,Engler,Disapprove,Approve,No,Neither,Yes,Yes,Yes,Better,Dole,Independent,College grad,50 to 75K,Conservative,18 to 64,Unfavorable,State,Complete,Unvrsty/Upper,18 to 29,18 to 24,Independent/Other,18 to 24,2.02,Unfavorable,No
