V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33
1.0,0.0,G,46.0,1.0,1.0,First call,1.0,50-59,White,Female,Leahy,Dean,Sanders,Disapprove,Disapprove,Neither,No,Yes,Yes,Same,Democrat,30 to 50K,Liberal,18 to 64,Favorable,State,Green Mountains,45 to 59,50 to 59,Democrat,50 to 64,0.876
1.0,0.0,G,46.0,1.0,2.0,First call,1.0,30-39,White,Male,Leahy,Dean,Candon,Disapprove,,Neither,Yes,Yes,No,Same,Republican,,Conservative,18 to 64,Unfavorable,State,Green Mountains,30 to 44,30 to 39,Republican,30 to 39,0.9820000000000001
1.0,0.0,G,46.0,1.0,3.0,First call,1.0,30-39,White,Male,Leahy,Dwyer,Sanders,Disapprove,Approve,Neither,Yes,Yes,Yes,Better,Independent,50 to 75K,Moderate,18 to 64,,State,Green Mountains,30 to 44,30 to 39,Independent/Other,30 to 39,1.011
1.0,0.0,G,46.0,1.0,4.0,First call,1.0,30-39,White,Female,Leahy,Dwyer,Candon,Approve,Approve,Neither,Yes,No,No,Same,Republican,30 to 50K,Moderate,18 to 64,Unfavorable,State,Green Mountains,30 to 44,30 to 39,Republican,30 to 39,0.9580000000000001
1.0,0.0,G,46.0,1.0,5.0,First call,1.0,50-59,White,Female,Leahy,Dean,Sanders,Approve,Disapprove,Neither,No,No,No,Better,Independent,50 to 75K,Liberal,18 to 64,Favorable,State,Green Mountains,45 to 59,50 to 59,Independent/Other,50 to 64,0.876
1.0,0.0,G,46.0,1.0,6.0,First call,1.0,50-59,White,Male,Leahy,Dwyer,Candon,Disapprove,Disapprove,Neither,Yes,Yes,Yes,Better,Republican,100K or more,Conservative,18 to 64,Unfavorable,State,Green Mountains,45 to 59,50 to 59,Republican,50 to 64,1.043
1.0,0.0,G,46.0,1.0,7.0,First call,1.0,40-44,White,Female,Leahy,Dean,Sanders,Approve,Disapprove,Support Clinton,No,No,No,Same,Democrat,15 to 30K,Moderate,18 to 64,Favorable,State,Green Mountains,30 to 44,40 to 49,Democrat,40 to 49,0.876
1.0,0.0,G,46.0,1.0,8.0,First call,1.0,30-39,White,Male,Leahy,Dean,Sanders,Approve,Approve,Neither,Yes,Yes,No,Better,Independent,50 to 75K,Moderate,18 to 64,Favorable,State,Green Mountains,30 to 44,30 to 39,Independent/Other,30 to 39,0.9520000000000001
1.0,0.0,G,46.0,1.0,9.0,First call,1.0,45-49,White,Male,Tuttle,Dean,Candon,Disapprove,Approve,Neither,Yes,Yes,,Same,Republican,30 to 50K,Conservative,18 to 64,Unfavorable,State,Green Mountains,45 to 59,40 to 49,Republican,40 to 49,0.914
1.0,0.0,G,46.0,1.0,10.0,First call,1.0,30-39,White,Male,Leahy,Dean,Candon,Approve,Approve,Neither,Yes,Yes,,Better,Republican,75 to 100K,Moderate,18 to 64,Unfavorable,State,Green Mountains,30 to 44,30 to 39,Republican,30 to 39,0.9820000000000001
