V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32
1.0,0.0,G,17.0,11.0,1.0,First call,1.0,50-59,White,Male,Brownback,Graves,Approve,Disapprove,Neither,No,No,No,Yes,Same,Republican,50 to 75K,Conservative,18 to 64,State,Witchita area,45 to 59,50 to 59,Republican,50 to 64,0.531
1.0,0.0,G,17.0,11.0,2.0,First call,1.0,50-59,White,Female,Felenciano,Graves,Approve,Disapprove,Neither,No,No,No,Yes,Same,Independent,30 to 50K,Moderate,18 to 64,State,Witchita area,45 to 59,50 to 59,Independent/Other,50 to 64,0.693
1.0,0.0,G,17.0,11.0,3.0,First call,1.0,50-59,White,Male,Brownback,Graves,Disapprove,Disapprove,Neither,Yes,Yes,Yes,Yes,Better,Republican,30 to 50K,Conservative,18 to 64,State,Witchita area,45 to 59,50 to 59,Republican,50 to 64,0.531
1.0,0.0,G,17.0,11.0,4.0,First call,1.0,65 and over,White,Male,Brownback,Other,Disapprove,Disapprove,Oppose Clinton,Yes,Yes,Yes,Yes,Same,Republican,15 to 30K,Moderate,65 and over,State,Witchita area,60 and over,60 and over,Republican,65 and over,0.8520000000000001
1.0,0.0,G,17.0,11.0,5.0,First call,1.0,50-59,White,Male,Felenciano,Graves,Approve,Disapprove,Neither,No,No,No,Yes,Worse,Republican,30 to 50K,Liberal,18 to 64,State,Witchita area,45 to 59,50 to 59,Republican,50 to 64,0.6609999999999999
1.0,0.0,G,17.0,11.0,6.0,First call,1.0,50-59,White,Female,Felenciano,Graves,Approve,Disapprove,Support Clinton,No,No,No,Yes,Better,Democrat,50 to 75K,Moderate,18 to 64,State,Witchita area,45 to 59,50 to 59,Democrat,50 to 64,0.693
1.0,0.0,G,17.0,11.0,7.0,First call,1.0,45-49,White,Female,Felenciano,Graves,Approve,Disapprove,Neither,Yes,No,No,No,Same,Republican,50 to 75K,Conservative,18 to 64,State,Witchita area,45 to 59,40 to 49,Republican,40 to 49,0.693
1.0,0.0,G,17.0,11.0,8.0,First call,1.0,60-64,White,Female,Brownback,,Disapprove,Approve,Neither,Yes,No,Yes,Yes,Same,Republican,50 to 75K,Conservative,18 to 64,State,Witchita area,60 and over,60 and over,Republican,50 to 64,0.666
1.0,0.0,G,17.0,11.0,9.0,First call,1.0,60-64,White,Male,Brownback,Graves,Disapprove,Disapprove,Neither,No,Yes,Yes,No,Same,Independent,100K or more,Moderate,18 to 64,State,Witchita area,60 and over,60 and over,Independent/Other,50 to 64,0.607
1.0,0.0,G,17.0,11.0,10.0,Second call,1.0,50-59,White,Male,Felenciano,Graves,Approve,Disapprove,Neither,No,No,No,No,Same,Independent,75 to 100K,Moderate,18 to 64,State,Witchita area,45 to 59,50 to 59,Independent/Other,50 to 64,0.6609999999999999
