State ID Number,Precint Number,Sequence Number Within Precinct,Call Number,Age,Race,Sex,Senator Vote,Governor Race,Clinton Approval,Congress Approval,Reason for Cong Vote,Religious Right,Cong impeach Clin?,Should Clin resign?,Cong censure Clin?,Finanacial Situation,1996 vote,Party ID,Education,Income,Ideology,Age (65 and over),Hillary Opinion,State or national poll,Backside,Geocode,Age (4 categories),Age (ABC categories),Party ID,Age (6 categories),Weight 3 decimal pl,Clinton as person
4.0,4.0,1.0,First call,60-64,White,Male,Boozman,Huckabee,Disapprove,Approve,Oppose Clinton,No,Yes,Yes,No,Better,Dole,Republican,Postgrad,75 to 100K,Conservative,18 to 64,Unfavorable,State,Complete,Northwest,60 and over,60 and over,Republican,50 to 64,0.5599999999999999,Unfavorable
4.0,4.0,2.0,First call,65 and over,White,Male,Lincoln,Huckabee,Disapprove,Disapprove,Neither,Yes,No,No,Yes,Worse,Perot,Democrat,,30 to 50K,Moderate,65 and over,Favorable,State,Complete,Northwest,60 and over,60 and over,Democrat,65 and over,0.452,Favorable
4.0,4.0,3.0,First call,65 and over,White,Female,Lincoln,Huckabee,Approve,Disapprove,Support Clinton,No,No,No,No,Better,Clinton,Democrat,HS grad,,Moderate,65 and over,Favorable,State,Complete,Northwest,60 and over,60 and over,Democrat,65 and over,0.448,Favorable
4.0,4.0,4.0,First call,25-29,White,Male,Boozman,Huckabee,Disapprove,Approve,Neither,No,Yes,Yes,No,Better,Dole,Republican,College grad,75 to 100K,Conservative,18 to 64,Unfavorable,State,Complete,Northwest,18 to 29,25 to 29,Republican,25 to 29,0.467,Unfavorable
4.0,4.0,5.0,First call,65 and over,White,Male,Boozman,Bristow,Disapprove,Disapprove,Oppose Clinton,No,Yes,Yes,Yes,Worse,Dole,Independent,,15 to 30K,Moderate,65 and over,Unfavorable,State,Complete,Northwest,60 and over,60 and over,Independent/Other,65 and over,0.578,Unfavorable
4.0,4.0,6.0,First call,25-29,White,Female,Boozman,Huckabee,Disapprove,Approve,Neither,Yes,,,,Better,Dole,Republican,Some college,15 to 30K,Conservative,18 to 64,Unfavorable,State,Complete,Northwest,18 to 29,25 to 29,Republican,25 to 29,0.462,Unfavorable
4.0,4.0,7.0,First call,60-64,White,Male,Lincoln,Bristow,Approve,Disapprove,Neither,No,No,No,Yes,Same,Clinton,Independent,Postgrad,50 to 75K,Moderate,18 to 64,Favorable,State,Complete,Northwest,60 and over,60 and over,Independent/Other,50 to 64,0.468,Favorable
4.0,4.0,8.0,First call,65 and over,White,Male,Boozman,Huckabee,Disapprove,Disapprove,Oppose Clinton,Yes,Yes,Yes,Yes,Same,Dole,Republican,Some college,15 to 30K,Conservative,65 and over,Unfavorable,State,Complete,Northwest,60 and over,60 and over,Republican,65 and over,0.5599999999999999,Unfavorable
4.0,4.0,9.0,First call,65 and over,White,Female,Boozman,Huckabee,Disapprove,Approve,Neither,Yes,Yes,,,Same,Dole,Republican,HS grad,15 to 30K,Conservative,65 and over,Unfavorable,State,Complete,Northwest,60 and over,60 and over,Republican,65 and over,0.5549999999999999,Unfavorable
4.0,4.0,10.0,First call,60-64,White,Female,Lincoln,Bristow,Approve,Disapprove,Support Clinton,No,No,No,Yes,Better,Clinton,Democrat,Some college,50 to 75K,Moderate,18 to 64,Favorable,State,Complete,Northwest,60 and over,60 and over,Democrat,50 to 64,0.464,Favorable
4.0,4.0,11.0,First call,65 and over,White,Female,Lincoln,Bristow,Approve,Disapprove,Support Clinton,No,No,No,No,Better,Clinton,Independent,Some college,50 to 75K,Conservative,65 and over,Favorable,State,Complete,Northwest,60 and over,60 and over,Independent/Other,65 and over,0.464,Favorable
4.0,4.0,12.0,First call,50-59,White,Female,Lincoln,Other,Approve,Disapprove,Support Clinton,Yes,No,No,No,Better,Clinton,Democrat,HS grad,30 to 50K,Moderate,18 to 64,Favorable,State,Complete,Northwest,45 to 59,50 to 59,Democrat,50 to 64,0.43700000000000006,Unfavorable
4.0,4.0,13.0,First call,60-64,Other,Female,Boozman,Huckabee,Disapprove,Approve,Neither,Yes,Yes,No,No,Same,Dole,Republican,Some college,75 to 100K,Conservative,18 to 64,Unfavorable,State,Complete,Northwest,60 and over,60 and over,Republican,50 to 64,0.5549999999999999,Unfavorable
4.0,4.0,14.0,Second call,30-39,White,Male,Lincoln,Bristow,Approve,Disapprove,Support Clinton,No,No,No,No,Better,Clinton,Democrat,College grad,100K or more,Liberal,18 to 64,Favorable,State,Complete,Northwest,30 to 44,30 to 39,Democrat,30 to 39,0.45,Favorable
4.0,4.0,15.0,Second call,65 and over,White,Male,Lincoln,Bristow,Approve,Approve,Support Clinton,Yes,No,No,Yes,Better,Did not vote,Independent,Some college,30 to 50K,Conservative,65 and over,Favorable,State,Complete,Northwest,60 and over,60 and over,Independent/Other,65 and over,0.468,Favorable
4.0,4.0,16.0,Second call,65 and over,White,Female,Boozman,Huckabee,Disapprove,Approve,Oppose Clinton,Yes,Yes,Yes,,Worse,Dole,Republican,HS grad,15 to 30K,Conservative,65 and over,Unfavorable,State,Complete,Northwest,60 and over,60 and over,Republican,65 and over,0.5549999999999999,Unfavorable
4.0,4.0,17.0,Second call,30-39,White,Male,Boozman,Huckabee,Disapprove,Disapprove,Neither,Yes,Yes,Yes,No,Same,Dole,Republican,Postgrad,50 to 75K,Moderate,18 to 64,Unfavorable,State,Complete,Northwest,30 to 44,30 to 39,Republican,30 to 39,0.54,Unfavorable
4.0,4.0,18.0,Second call,40-44,White,Female,Lincoln,Huckabee,Disapprove,Approve,Neither,No,Yes,Yes,Yes,Worse,Dole,Republican,HS grad,Under 15K,Moderate,18 to 64,Unfavorable,State,Complete,Northwest,30 to 44,40 to 49,Republican,40 to 49,0.43100000000000005,Unfavorable
4.0,4.0,19.0,Second call,65 and over,White,Female,Lincoln,Bristow,Approve,Disapprove,Support Clinton,No,No,No,No,Same,Clinton,Democrat,College grad,50 to 75K,Conservative,65 and over,Favorable,State,Complete,Northwest,60 and over,60 and over,Democrat,65 and over,0.464,Favorable
4.0,4.0,20.0,Second call,65 and over,,,Lincoln,Bristow,Approve,Disapprove,Neither,No,No,No,Yes,Same,Clinton,Democrat,College grad,50 to 75K,Liberal,65 and over,Favorable,State,Complete,Northwest,60 and over,60 and over,Democrat,65 and over,0.464,Favorable
4.0,4.0,21.0,Second call,40-44,White,Male,Lincoln,Huckabee,Approve,Disapprove,Support Clinton,No,No,No,No,Better,Clinton,Independent,Some college,15 to 30K,Moderate,18 to 64,Favorable,State,Complete,Northwest,30 to 44,40 to 49,Independent/Other,40 to 49,0.435,Favorable
4.0,4.0,22.0,Third call,60-64,White,Male,Lincoln,Bristow,Approve,Disapprove,Support Clinton,No,No,No,Yes,Better,Clinton,Democrat,Some college,50 to 75K,Liberal,18 to 64,Favorable,State,Complete,Northwest,60 and over,60 and over,Democrat,50 to 64,0.468,Favorable
4.0,4.0,23.0,Third call,30-39,White,Male,Boozman,Huckabee,Disapprove,Approve,Neither,No,Yes,Yes,No,Better,Dole,Republican,Postgrad,100K or more,Conservative,18 to 64,,State,Complete,Northwest,30 to 44,30 to 39,Republican,30 to 39,0.54,Unfavorable
4.0,4.0,24.0,Third call,45-49,White,Male,Boozman,Huckabee,Disapprove,Approve,Neither,Yes,No,No,Yes,Same,Dole,Republican,Postgrad,100K or more,Conservative,18 to 64,Unfavorable,State,Complete,Northwest,45 to 59,40 to 49,Republican,40 to 49,0.54,Favorable
4.0,4.0,25.0,Third call,40-44,White,Female,Lincoln,Huckabee,Approve,Approve,Neither,No,No,No,Yes,Better,Clinton,Independent,HS grad,15 to 30K,Moderate,18 to 64,Favorable,State,Complete,Northwest,30 to 44,40 to 49,Independent/Other,40 to 49,0.43100000000000005,Favorable
4.0,4.0,26.0,Third call,25-29,White,Female,Lincoln,Bristow,Approve,Disapprove,Support Clinton,No,No,Yes,No,Better,Clinton,Democrat,Some college,Under 15K,Liberal,18 to 64,Favorable,State,Complete,Northwest,18 to 29,25 to 29,Democrat,25 to 29,0.38499999999999995,Favorable
4.0,4.0,27.0,Third call,18-24,White,Male,,Huckabee,Approve,Approve,Neither,No,No,No,No,Same,Clinton,Democrat,No HS,100K or more,Conservative,18 to 64,Unfavorable,State,Complete,Northwest,18 to 29,18 to 24,Democrat,18 to 24,0.41000000000000003,Favorable
4.0,4.0,28.0,Third call,45-49,White,Female,Heffley,Bristow,Approve,Approve,Neither,No,No,No,No,Same,Clinton,Democrat,Some college,15 to 30K,Moderate,18 to 64,Favorable,State,Complete,Northwest,45 to 59,40 to 49,Democrat,40 to 49,0.302,Favorable
4.0,4.0,29.0,Third call,40-44,White,Male,Boozman,Huckabee,Disapprove,Disapprove,Support Clinton,No,No,No,Yes,Worse,Dole,Republican,Postgrad,100K or more,Moderate,18 to 64,Unfavorable,State,Complete,Northwest,30 to 44,40 to 49,Republican,40 to 49,0.54,Unfavorable
4.0,4.0,30.0,Third call,50-59,White,Female,Lincoln,Huckabee,Approve,Disapprove,Neither,No,No,No,No,Same,Clinton,Democrat,Some college,Under 15K,Moderate,18 to 64,Favorable,State,Complete,Northwest,45 to 59,50 to 59,Democrat,50 to 64,0.43100000000000005,Favorable
4.0,4.0,31.0,Third call,60-64,White,Male,Boozman,Huckabee,Disapprove,Approve,Oppose Clinton,No,Yes,Yes,Yes,Same,Dole,Republican,College grad,30 to 50K,Conservative,18 to 64,Unfavorable,State,Complete,Northwest,60 and over,60 and over,Republican,50 to 64,0.5599999999999999,Unfavorable
4.0,4.0,32.0,Third call,65 and over,White,Female,,Huckabee,Approve,,Neither,,No,No,,Same,Clinton,Independent,No HS,Under 15K,,65 and over,Favorable,State,Complete,Northwest,60 and over,60 and over,Independent/Other,65 and over,0.48800000000000004,
4.0,4.0,33.0,Third call,40-44,White,Male,Boozman,Huckabee,Disapprove,,Neither,,No,Yes,Yes,Same,Dole,Independent,Postgrad,Under 15K,Conservative,18 to 64,Unfavorable,State,Complete,Northwest,30 to 44,40 to 49,Independent/Other,40 to 49,0.54,Unfavorable
4.0,4.0,34.0,Third call,60-64,White,Male,Lincoln,Bristow,Approve,,Neither,No,No,No,,Better,Clinton,Democrat,Some college,50 to 75K,Moderate,18 to 64,Favorable,State,Complete,Northwest,60 and over,60 and over,Democrat,50 to 64,0.468,
4.0,4.0,35.0,Third call,65 and over,White,Male,Lincoln,Bristow,Approve,Disapprove,Support Clinton,No,No,No,No,Better,Clinton,Democrat,No HS,15 to 30K,Moderate,65 and over,Favorable,State,Complete,Northwest,60 and over,60 and over,Democrat,65 and over,0.468,Unfavorable
4.0,4.0,36.0,Third call,60-64,White,Female,Boozman,Huckabee,Disapprove,Disapprove,Neither,Yes,,Yes,,Same,Other,Independent,Some college,30 to 50K,Conservative,18 to 64,Unfavorable,State,Complete,Northwest,60 and over,60 and over,Independent/Other,50 to 64,0.5549999999999999,Unfavorable
4.0,5.0,1.0,First call,65 and over,White,Male,Lincoln,Huckabee,Disapprove,Disapprove,Neither,No,Yes,Yes,No,Same,Perot,Democrat,Some college,Under 15K,Moderate,65 and over,Unfavorable,State,Complete,Northwest,60 and over,60 and over,Democrat,65 and over,0.467,Unfavorable
4.0,5.0,2.0,First call,30-39,White,Male,Lincoln,Bristow,Approve,Disapprove,Support Clinton,No,No,No,No,Better,Clinton,Independent,Postgrad,75 to 100K,Moderate,18 to 64,Favorable,State,Complete,Northwest,30 to 44,30 to 39,Independent/Other,30 to 39,0.464,Favorable
4.0,5.0,3.0,First call,60-64,White,Male,,Bristow,Approve,Disapprove,Support Clinton,No,No,No,No,Same,Clinton,Democrat,No HS,15 to 30K,,18 to 64,Favorable,State,Complete,Northwest,60 and over,60 and over,Democrat,50 to 64,0.524,Favorable
4.0,5.0,4.0,First call,18-24,White,Female,Lincoln,Huckabee,Approve,Disapprove,Support Clinton,Yes,No,No,No,Better,Clinton,Democrat,Some college,75 to 100K,Moderate,18 to 64,Favorable,State,Complete,Northwest,18 to 29,18 to 24,Democrat,18 to 24,0.38299999999999995,Favorable
4.0,5.0,5.0,First call,65 and over,White,Male,Lincoln,Bristow,Approve,Disapprove,Support Clinton,Yes,No,No,No,Same,Clinton,Democrat,HS grad,30 to 50K,Conservative,65 and over,Favorable,State,Complete,Northwest,60 and over,60 and over,Democrat,65 and over,0.482,Favorable
4.0,5.0,6.0,First call,60-64,White,Female,Lincoln,Bristow,Disapprove,Approve,Oppose Clinton,No,Yes,Yes,Yes,Same,Perot,Republican,HS grad,15 to 30K,Moderate,18 to 64,Favorable,State,Complete,Northwest,60 and over,60 and over,Republican,50 to 64,0.47700000000000004,Unfavorable
