V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36
1.0,0.0,G,42.0,4.0,1.0,First call,1.0,50-59,White,Female,Daschle,Hunhoff,Moser,Approve,Disapprove,Support Clinton,No,No,No,Better,Clinton,Democrat,No,30 to 50K,Moderate,18 to 64,Approve,State,Complete,Northeast,45 to 59,50 to 59,Democrat,50 to 64,0.194
1.0,0.0,G,42.0,4.0,2.0,First call,1.0,30-39,White,Female,Daschle,Janklow,Moser,Approve,Disapprove,Support Clinton,No,No,No,Same,Clinton,Democrat,No,50 to 75K,Moderate,18 to 64,,State,Complete,Northeast,30 to 44,30 to 39,Democrat,30 to 39,0.283
1.0,0.0,G,42.0,4.0,3.0,First call,1.0,65 and over,White,Female,Daschle,Hunhoff,Thune,Approve,Disapprove,Neither,No,No,Yes,Same,Clinton,Independent,No,Under 15K,Moderate,65 and over,Disapprove,State,Complete,Northeast,60 and over,60 and over,Independent/Other,65 and over,0.227
1.0,0.0,G,42.0,4.0,4.0,First call,1.0,30-39,Other,Male,Other,Other,Thune,Disapprove,Disapprove,Neither,No,No,Yes,Worse,Perot,Independent,No,Under 15K,Conservative,18 to 64,Disapprove,State,Complete,Northeast,30 to 44,30 to 39,Independent/Other,30 to 39,0.534
1.0,0.0,G,42.0,4.0,5.0,First call,1.0,60-64,White,Male,Schmidt,Janklow,Thune,Approve,Approve,Neither,No,No,Yes,Same,Dole,Republican,No,50 to 75K,Conservative,18 to 64,Disapprove,State,Complete,Northeast,60 and over,60 and over,Republican,50 to 64,0.32999999999999996
1.0,0.0,G,42.0,4.0,6.0,First call,1.0,40-44,White,Male,Daschle,Janklow,Moser,Approve,Disapprove,Support Clinton,No,No,Yes,Same,Clinton,Independent,No,50 to 75K,Liberal,18 to 64,Approve,State,Complete,Northeast,30 to 44,40 to 49,Independent/Other,40 to 49,0.318
1.0,0.0,G,42.0,4.0,7.0,First call,1.0,25-29,White,Female,Schmidt,Janklow,Thune,Disapprove,Approve,Oppose Clinton,Yes,Yes,No,Better,Dole,Republican,Yes,50 to 75K,Conservative,18 to 64,Disapprove,State,Complete,Northeast,18 to 29,25 to 29,Republican,25 to 29,0.295
1.0,0.0,G,42.0,4.0,8.0,First call,1.0,30-39,White,Male,Daschle,Other,Thune,Disapprove,Disapprove,Neither,No,Yes,No,Same,Other,Independent,Yes,30 to 50K,Moderate,18 to 64,Approve,State,Complete,Northeast,30 to 44,30 to 39,Independent/Other,30 to 39,0.49700000000000005
1.0,0.0,G,42.0,4.0,9.0,First call,1.0,45-49,White,Male,Daschle,Hunhoff,Moser,Approve,Disapprove,Support Clinton,No,No,No,Better,Clinton,Democrat,No,15 to 30K,Liberal,18 to 64,Approve,State,Complete,Northeast,45 to 59,40 to 49,Democrat,40 to 49,0.222
1.0,0.0,G,42.0,4.0,10.0,First call,1.0,25-29,White,Female,Daschle,Janklow,Thune,Approve,Approve,Neither,Yes,Yes,Yes,Same,Did not vote,Something else,,50 to 75K,Moderate,18 to 64,Disapprove,State,Complete,Northeast,18 to 29,25 to 29,Independent/Other,25 to 29,0.38499999999999995
1.0,0.0,G,42.0,4.0,11.0,First call,1.0,65 and over,White,Female,Daschle,Hunhoff,Moser,Approve,Approve,Neither,No,No,Yes,Same,Clinton,Democrat,No,Under 15K,Moderate,65 and over,Approve,State,Complete,Northeast,60 and over,60 and over,Democrat,65 and over,0.19199999999999998
1.0,0.0,G,42.0,4.0,12.0,First call,1.0,65 and over,White,Male,Daschle,Hunhoff,Moser,Approve,Disapprove,,,,,,,,No,,,65 and over,Approve,State,Not complete,Northeast,60 and over,60 and over,,65 and over,0.21900000000000003
1.0,0.0,G,42.0,4.0,13.0,First call,1.0,40-44,White,Male,Daschle,Hunhoff,Moser,Approve,Disapprove,Neither,No,No,Yes,Better,Clinton,Democrat,No,50 to 75K,Moderate,18 to 64,Approve,State,Complete,Northeast,30 to 44,40 to 49,Democrat,40 to 49,0.222
1.0,0.0,G,42.0,4.0,14.0,First call,1.0,30-39,White,Male,Daschle,Hunhoff,Thune,Approve,Disapprove,Neither,No,Yes,No,Better,Perot,Republican,Yes,15 to 30K,Moderate,18 to 64,Approve,State,Complete,Northeast,30 to 44,30 to 39,Republican,30 to 39,0.21500000000000002
1.0,0.0,G,42.0,4.0,15.0,First call,1.0,40-44,White,Female,Daschle,Hunhoff,Moser,Approve,Disapprove,Support Clinton,No,No,No,Same,Dole,Democrat,No,,Liberal,18 to 64,Approve,State,Complete,Northeast,30 to 44,40 to 49,Democrat,40 to 49,0.194
1.0,0.0,G,42.0,4.0,16.0,First call,1.0,50-59,White,Male,Daschle,Hunhoff,Moser,Approve,Disapprove,Neither,No,No,Yes,Same,Clinton,Democrat,No,30 to 50K,Liberal,18 to 64,Approve,State,Complete,Northeast,45 to 59,50 to 59,Democrat,50 to 64,0.222
1.0,0.0,G,42.0,4.0,17.0,First call,1.0,40-44,White,Male,Daschle,Janklow,Thune,Approve,Approve,Neither,No,,No,Better,Dole,Democrat,Yes,30 to 50K,Moderate,18 to 64,Approve,State,Complete,Northeast,30 to 44,40 to 49,Democrat,40 to 49,0.306
1.0,0.0,G,42.0,4.0,18.0,First call,1.0,18-24,White,Male,Schmidt,Janklow,Thune,Disapprove,Approve,,,,,,,,Yes,,,18 to 64,Disapprove,State,Not complete,Northeast,18 to 29,18 to 24,,18 to 24,0.33299999999999996
1.0,0.0,G,42.0,4.0,19.0,First call,1.0,65 and over,White,Female,Daschle,Hunhoff,Moser,Approve,Approve,Neither,No,No,No,Same,Clinton,Democrat,No,50 to 75K,Moderate,65 and over,Approve,State,Complete,Northeast,60 and over,60 and over,Democrat,65 and over,0.19199999999999998
1.0,0.0,G,42.0,4.0,20.0,Second call,1.0,18-24,White,Female,Daschle,Hunhoff,Moser,Approve,Approve,Neither,No,No,No,Better,Clinton,Democrat,No,Under 15K,Liberal,18 to 64,Approve,State,Complete,Northeast,18 to 29,18 to 24,Democrat,18 to 24,0.24
1.0,0.0,G,42.0,4.0,21.0,Second call,1.0,18-24,White,Male,Daschle,Janklow,Thune,Approve,Approve,Neither,No,No,No,Better,Clinton,Republican,No,15 to 30K,Conservative,18 to 64,Approve,State,Complete,Northeast,18 to 29,18 to 24,Republican,18 to 24,0.455
1.0,0.0,G,42.0,4.0,22.0,Second call,1.0,50-59,White,Female,Daschle,Janklow,Moser,Approve,Disapprove,Neither,No,No,No,Same,Perot,Democrat,No,75 to 100K,Moderate,18 to 64,Approve,State,Complete,Northeast,45 to 59,50 to 59,Democrat,50 to 64,0.283
1.0,0.0,G,42.0,4.0,23.0,Second call,1.0,45-49,White,Male,Schmidt,Hunhoff,Thune,Disapprove,Approve,Oppose Clinton,Yes,Yes,Yes,Better,Dole,Republican,No,75 to 100K,Moderate,18 to 64,Disapprove,State,Complete,Northeast,45 to 59,40 to 49,Republican,40 to 49,0.23
