V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48
1.0,0.0,G,33.0,1.0,1.0,First call,1.0,45-49,White,Male,Schumer,Golisano,No,Approve,Disapprove,,White,,Neither,,,No,No,Yes,Better,Clinton,Independent,Postgrad,None,100K or more,Moderate,18 to 64,,National,Complete,Upstate urban,45 to 59,40 to 49,Independent/Other,40 to 49,0.5429999999999999,,,Unfavorable,No,Approve,
1.0,0.0,G,33.0,1.0,2.0,First call,1.0,50-59,White,Male,Schumer,Vallone,No,Approve,Disapprove,,White,,Neither,,,No,No,Yes,Better,Clinton,Democrat,Postgrad,Jewish,100K or more,Liberal,18 to 64,,National,Complete,Upstate urban,45 to 59,50 to 59,Democrat,50 to 64,0.6869999999999999,,,Favorable,No,Disapprove,
1.0,0.0,G,33.0,1.0,3.0,First call,1.0,18-24,White,Male,Schumer,Pataki,No,Approve,,,White,,Support Clinton,,,No,No,No,Better,Did not vote,Independent,HS grad,None,100K or more,Liberal,18 to 64,,National,Complete,Upstate urban,18 to 29,18 to 24,Independent/Other,18 to 24,0.618,,,Favorable,Yes,Disapprove,
1.0,0.0,G,33.0,1.0,4.0,First call,1.0,50-59,Black,Male,D'Amato,Pataki,No,Disapprove,Approve,,Black,,Neither,,,No,Yes,,Same,Dole,Republican,HS grad,Protestant,30 to 50K,Conservative,18 to 64,,National,Complete,Upstate urban,45 to 59,50 to 59,Republican,50 to 64,0.453,,,Unfavorable,No,,
1.0,0.0,G,33.0,1.0,5.0,First call,1.0,50-59,White,Female,Schumer,Vallone,No,Approve,Disapprove,,White,,Neither,,,No,No,No,Same,Clinton,Independent,Postgrad,Other Christian,100K or more,Moderate,18 to 64,,National,Complete,Upstate urban,45 to 59,50 to 59,Independent/Other,50 to 64,0.708,,,,No,Disapprove,
1.0,0.0,G,33.0,1.0,6.0,First call,1.0,45-49,White,Male,Schumer,Golisano,No,Approve,Disapprove,,White,,Neither,,,No,No,Yes,Better,Clinton,Independent,Postgrad,None,100K or more,Moderate,18 to 64,,National,Complete,Upstate urban,45 to 59,40 to 49,Independent/Other,40 to 49,0.5429999999999999,,,Unfavorable,No,Approve,
1.0,0.0,G,33.0,1.0,7.0,First call,1.0,50-59,White,Male,Schumer,Vallone,No,Approve,Disapprove,,White,,Neither,,,No,No,Yes,Better,Clinton,Democrat,Postgrad,Jewish,100K or more,Liberal,18 to 64,,National,Complete,Upstate urban,45 to 59,50 to 59,Democrat,50 to 64,0.6869999999999999,,,Favorable,No,Disapprove,
1.0,0.0,G,33.0,1.0,8.0,First call,1.0,45-49,White,Male,Schumer,Pataki,No,Approve,Approve,,White,,Support Clinton,,,No,No,No,Better,Clinton,Independent,College grad,Catholic,100K or more,Liberal,18 to 64,,National,Complete,Upstate urban,45 to 59,40 to 49,Independent/Other,40 to 49,0.616,,,Unfavorable,Yes,Disapprove,
1.0,0.0,G,33.0,1.0,9.0,First call,1.0,50-59,White,Male,Schumer,Ross,No,Approve,,,White,,,,,,,,Same,,Democrat,,,100K or more,Moderate,18 to 64,,National,Complete,Upstate urban,45 to 59,50 to 59,Democrat,50 to 64,0.541,,,,,,No
1.0,0.0,G,33.0,1.0,10.0,First call,1.0,45-49,White,Male,D'Amato,Pataki,,Disapprove,,,White,,,,,,,,,,,,,,,18 to 64,,National,Not complete,Upstate urban,45 to 59,40 to 49,,40 to 49,0.6489999999999999,,,,,,
1.0,0.0,G,33.0,1.0,11.0,First call,1.0,40-44,White,Male,Schumer,Golisano,No,Approve,,,White,,,,,,,,Better,,Independent,,,75 to 100K,Liberal,18 to 64,,National,Complete,Upstate urban,30 to 44,40 to 49,Independent/Other,40 to 49,0.5429999999999999,,,,,,No
1.0,0.0,G,33.0,1.0,12.0,First call,1.0,45-49,White,Female,Schumer,Golisano,No,Approve,,,White,,,,,,,,Better,,Republican,,,75 to 100K,Conservative,18 to 64,,National,Complete,Upstate urban,45 to 59,40 to 49,Republican,40 to 49,0.562,,,,,,No
1.0,0.0,G,33.0,1.0,13.0,First call,1.0,30-39,White,Male,Schumer,Pataki,No,Approve,,,White,,,,,,,,Better,,Republican,,,100K or more,Moderate,18 to 64,,National,Complete,Upstate urban,30 to 44,30 to 39,Republican,30 to 39,0.616,,,,,,No
1.0,0.0,G,33.0,1.0,14.0,First call,1.0,40-44,Asian,Male,Schumer,,,Approve,,,Asian,,,,,,,,Same,,Independent,,,,Moderate,18 to 64,,National,Complete,Upstate urban,30 to 44,40 to 49,Independent/Other,40 to 49,0.6349999999999999,,,,,,
1.0,0.0,G,33.0,1.0,15.0,First call,1.0,65 and over,White,Female,,Pataki,No,Approve,,,White,,,,,,,,Same,,Republican,,,,Moderate,65 and over,,National,Complete,Upstate urban,60 and over,60 and over,Republican,65 and over,0.7569999999999999,,,,,,No
1.0,0.0,G,33.0,1.0,16.0,First call,1.0,50-59,White,Female,Schumer,Golisano,No,Approve,,,White,,,,,,,,Worse,,Independent,,,100K or more,Moderate,18 to 64,,National,Complete,Upstate urban,45 to 59,50 to 59,Independent/Other,50 to 64,0.562,,,,,,No
1.0,0.0,G,33.0,1.0,17.0,First call,1.0,65 and over,White,Male,Schumer,Vallone,No,Approve,,,White,,,,,,,,Worse,,Independent,,,30 to 50K,Moderate,65 and over,,National,Complete,Upstate urban,60 and over,60 and over,Independent/Other,65 and over,0.797,,,,,,No
1.0,0.0,G,33.0,1.0,18.0,Second call,1.0,65 and over,White,Female,D'Amato,Vallone,,Approve,Approve,,White,,,,,,,,,,,,,,,65 and over,,National,Not complete,Upstate urban,60 and over,60 and over,,65 and over,0.8660000000000001,,,,No,Approve,
1.0,0.0,G,33.0,1.0,19.0,Second call,1.0,30-39,White,Female,D'Amato,Pataki,No,Disapprove,Approve,,White,,Oppose Clinton,,,Yes,Yes,Yes,Same,Dole,Republican,HS grad,Catholic,15 to 30K,Moderate,18 to 64,,National,Complete,Upstate urban,30 to 44,30 to 39,Republican,30 to 39,0.6699999999999999,,,Unfavorable,No,Approve,
1.0,0.0,G,33.0,1.0,20.0,Second call,1.0,30-39,White,Male,D'Amato,Pataki,No,Disapprove,Disapprove,,White,,Oppose Clinton,,,Yes,Yes,No,Same,Dole,Independent,College grad,Catholic,30 to 50K,Moderate,18 to 64,,National,Complete,Upstate urban,30 to 44,30 to 39,Independent/Other,30 to 39,0.6489999999999999,,,Unfavorable,Yes,Disapprove,
