State ID Number,Precint Number,Sequence Number Within Precinct,Call Number,Age,Race,Sex,Attorney Gen Vote,Governor Race,Clinton Approval,Congress Approval,Reason for Cong Vote,State economy condition,Why improve schools?,Cong impeach Clin?,Should Clin resign?,Cong censure Clin?,Financial Situation,1996 vote,Kerry good as Pres?,Party ID,Education,Religion,Income,Ideology,Age (65 and over),Child in public school,State or national poll,Backside,Geocode,Age (4 categories),Age (ABC categories),Party ID,Age (6 categories),Weight (3 implied dec places),Governor issues,Future of st economy,Clinton as person,Gov: decided to vote
22.0,1.0,1.0,First call,50-59,White,Male,Reilly,Harschbarger,Approve,Disapprove,Support Clinton,Good,Harshbarger,No,No,No,Better,Clinton,Yes,Independent,Postgrad,Catholic,50 to 75K,Moderate,18 to 64,Yes,State,Complete,Shores/Cape Cod,45 to 59,50 to 59,Independent/Other,50 to 64,1.066,,Same,Favorable,Last week
22.0,1.0,2.0,First call,40-44,White,Female,Bailey,Cellucci,Approve,Disapprove,Neither,Good,Cellucci,No,No,No,Same,Dole,Yes,Independent,Some college,Catholic,30 to 50K,Moderate,18 to 64,Yes,State,Complete,Shores/Cape Cod,30 to 44,40 to 49,Independent/Other,40 to 49,1.011,Ethic/moral,Better,Favorable,Before that
22.0,1.0,3.0,First call,30-39,White,Female,Bailey,Cellucci,Disapprove,Disapprove,Neither,Good,Neither,Yes,Yes,Yes,Same,Perot,No,Independent,Some college,Catholic,30 to 50K,Conservative,18 to 64,No,State,Complete,Shores/Cape Cod,30 to 44,30 to 39,Independent/Other,30 to 39,1.011,State taxes,Same,Unfavorable,Before that
22.0,1.0,4.0,First call,60-64,White,Male,Bailey,Harschbarger,Disapprove,Disapprove,Oppose Clinton,Good,Harshbarger,Yes,Yes,No,Better,Perot,No,Independent,College grad,Catholic,100K or more,Moderate,18 to 64,No,State,Complete,Shores/Cape Cod,60 and over,60 and over,Independent/Other,50 to 64,1.131,Ethic/moral,Worse,Unfavorable,Last week
22.0,1.0,5.0,First call,30-39,White,Female,Reilly,Harschbarger,Approve,Disapprove,Support Clinton,Good,Neither,No,No,No,Better,Clinton,No,Democrat,Postgrad,Other Christian,50 to 75K,Moderate,18 to 64,No,State,Complete,Shores/Cape Cod,30 to 44,30 to 39,Democrat,30 to 39,0.9349999999999999,Economy/jobs,Worse,Favorable,Last 3 days
22.0,1.0,6.0,First call,40-44,White,Male,Bailey,Cellucci,Disapprove,Approve,Oppose Clinton,Good,Cellucci,Yes,Yes,No,Better,Dole,No,Independent,No HS,Other Christian,15 to 30K,Moderate,18 to 64,Yes,State,Complete,Shores/Cape Cod,30 to 44,40 to 49,Independent/Other,40 to 49,1.152,State taxes,Better,Unfavorable,Before that
22.0,1.0,7.0,First call,60-64,White,Male,Reilly,Cellucci,Disapprove,Approve,Neither,Good,Both,Yes,Yes,Yes,Same,Clinton,Yes,Independent,Some college,Catholic,75 to 100K,Conservative,18 to 64,No,State,Complete,Shores/Cape Cod,60 and over,60 and over,Independent/Other,50 to 64,1.429,Economy/jobs,Same,Unfavorable,Before that
22.0,1.0,8.0,First call,65 and over,White,Female,Bailey,Cellucci,Approve,Disapprove,Neither,Excellent,Cellucci,No,No,No,Better,Dole,No,Republican,College grad,Protestant,30 to 50K,Moderate,65 and over,No,State,Complete,Shores/Cape Cod,60 and over,60 and over,Republican,65 and over,1.16,State taxes,Same,Favorable,Before that
22.0,1.0,9.0,First call,65 and over,White,Male,Reilly,Cellucci,Approve,Approve,Neither,Good,Both,No,No,Yes,Same,Dole,,Independent,College grad,Protestant,15 to 30K,Moderate,65 and over,No,State,Complete,Shores/Cape Cod,60 and over,60 and over,Independent/Other,65 and over,1.429,State taxes,Same,Favorable,Last week
22.0,1.0,10.0,First call,45-49,White,Female,Reilly,Harschbarger,Disapprove,Approve,Neither,Good,Harshbarger,No,Yes,Yes,Better,Clinton,Yes,Democrat,Postgrad,Catholic,50 to 75K,Moderate,18 to 64,Yes,State,Complete,Shores/Cape Cod,45 to 59,40 to 49,Democrat,40 to 49,0.9349999999999999,Ethic/moral,Same,Unfavorable,Before that
22.0,1.0,11.0,First call,65 and over,White,Female,Bailey,Cellucci,Approve,Disapprove,Neither,Good,Both,No,Yes,Yes,Same,Clinton,No,Independent,Some college,Protestant,15 to 30K,Moderate,65 and over,No,State,Complete,Shores/Cape Cod,60 and over,60 and over,Independent/Other,65 and over,1.16,Environment,Same,Unfavorable,Last month
22.0,1.0,12.0,First call,50-59,White,Female,Bailey,Cellucci,Approve,Approve,Neither,Good,Both,No,No,No,Same,Clinton,Yes,Independent,College grad,Catholic,50 to 75K,Liberal,18 to 64,No,State,Complete,Shores/Cape Cod,45 to 59,50 to 59,Independent/Other,50 to 64,1.011,Economy/jobs,Same,Favorable,Last 3 days
22.0,1.0,13.0,First call,30-39,White,Female,Bailey,Cellucci,Approve,Disapprove,Neither,Good,Cellucci,Yes,Yes,No,Better,Clinton,Yes,Republican,College grad,Protestant,75 to 100K,Moderate,18 to 64,Yes,State,Complete,Shores/Cape Cod,30 to 44,30 to 39,Republican,30 to 39,1.011,Education,Same,Unfavorable,Before that
22.0,1.0,14.0,Second call,45-49,White,Female,Bailey,Harschbarger,Approve,Disapprove,Neither,Good,Harshbarger,,,Yes,Worse,Clinton,Yes,Independent,College grad,Protestant,15 to 30K,,18 to 64,Yes,State,Complete,Shores/Cape Cod,45 to 59,40 to 49,Independent/Other,40 to 49,0.8640000000000001,Education,Better,Unfavorable,Before that
22.0,1.0,15.0,Second call,30-39,White,Male,Reilly,Harschbarger,Disapprove,Disapprove,Neither,Excellent,Harshbarger,Yes,Yes,No,Better,Dole,No,Democrat,College grad,Something else,50 to 75K,Conservative,18 to 64,Yes,State,Complete,Shores/Cape Cod,30 to 44,30 to 39,Democrat,30 to 39,1.066,Education,Same,Unfavorable,Last week
